"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.915767000E-3,3.728425503E-2,-1.384843793E-2,-4.154531285E-2
7.929927000E-3,3.728425503E-2,-1.384843793E-2,-4.154531285E-2
9.944087000E-3,3.728425503E-2,-1.384843793E-2,-4.154531285E-2
1.195824800E-2,3.728425503E-2,-1.384843793E-2,-4.154531285E-2
1.397240800E-2,3.728425503E-2,-1.384843793E-2,-4.154531285E-2
1.598656800E-2,3.728425503E-2,-1.384843793E-2,-4.154531285E-2
1.793969300E-2,3.728425503E-2,-1.384843793E-2,-4.154531285E-2
1.992333600E-2,3.728425503E-2,-1.384843793E-2,-4.154531285E-2
2.190697800E-2,3.728425503E-2,-1.384843793E-2,-4.154531285E-2
2.392113800E-2,3.728425503E-2,-1.384843793E-2,-4.154531285E-2
2.587426300E-2,3.728425503E-2,-1.384843793E-2,-4.154531285E-2
2.785790600E-2,3.728425503E-2,-1.384843793E-2,-4.154531285E-2
2.987206600E-2,3.728425503E-2,-1.384843793E-2,-4.154531285E-2
3.188622600E-2,3.728425503E-2,-1.384843793E-2,-4.154531285E-2
3.390038600E-2,3.728425503E-2,-1.384843793E-2,-4.154531285E-2
3.591454600E-2,3.728425503E-2,-1.384843793E-2,-4.154531285E-2
3.792870700E-2,5.704491138E-1,1.151550889E0,-9.960222989E-2
3.991234900E-2,5.986786485E-1,1.058340192E0,1.278317347E-2
4.192650900E-2,6.279733777E-1,1.093493938E0,6.817692518E-2
4.394067000E-2,6.519418359E-1,1.131310821E0,1.193096191E-1
4.592431200E-2,6.705839634E-1,1.168595076E0,1.613875628E-1
4.790795500E-2,6.854977012E-1,1.205879331E0,1.981391907E-1
4.989159700E-2,6.945524216E-1,1.241033077E0,2.295644879E-1
5.190575700E-2,6.934871674E-1,1.276186824E0,2.620550692E-1
5.391991800E-2,6.940197945E-1,1.306014180E0,2.860234976E-1
5.593407800E-2,6.892260909E-1,1.334243774E0,3.062635362E-1
5.794823800E-2,6.807039976E-1,1.351820588E0,3.233077526E-1
5.993188000E-2,6.695187092E-1,1.365136385E0,3.339604139E-1
6.194604100E-2,6.530070901E-1,1.375789046E0,3.382214606E-1
6.396020100E-2,6.375607848E-1,1.375789046E0,3.403519988E-1
6.597436100E-2,6.226470470E-1,1.368332148E0,3.360909224E-1
6.798852100E-2,6.093312502E-1,1.351820588E0,3.312972486E-1
7.000268100E-2,5.933523178E-1,1.329982638E0,3.174487948E-1
7.201684100E-2,5.800365210E-1,1.298024774E0,3.014698327E-1
7.403100200E-2,5.656554103E-1,1.260207891E0,2.801645398E-1
7.598412700E-2,5.528722405E-1,1.223988891E0,2.615224123E-1
7.796776900E-2,5.400890708E-1,1.182976127E0,2.370213419E-1
7.995141200E-2,5.267732739E-1,1.141430855E0,2.146507949E-1
8.193505400E-2,5.102616549E-1,1.099885583E0,1.890844405E-1
8.397973200E-2,4.985437691E-1,1.058872819E0,1.656486243E-1
8.596337500E-2,4.836300611E-1,1.023186564E0,1.395496428E-1
8.797753500E-2,4.761732221E-1,9.906959534E-1,1.150485575E-1
8.993066000E-2,4.697816372E-1,9.608685374E-1,8.841694891E-2
9.191430200E-2,4.713795185E-1,9.331716895E-1,6.178534031E-2
9.389794500E-2,4.756405652E-1,9.081379771E-1,3.888215125E-2
9.588158700E-2,4.793690145E-1,8.852347732E-1,1.491370238E-2
9.789574800E-2,4.900216460E-1,8.607336879E-1,-7.456851192E-3
9.987939000E-2,5.022721887E-1,8.378304839E-1,-2.609897964E-2
1.018935500E-1,5.193164349E-1,8.250473142E-1,-4.367584363E-2
1.038771930E-1,5.368933082E-1,8.159925938E-1,-5.486112088E-2
1.058303180E-1,5.560680628E-1,8.138620257E-1,-7.030745596E-2
1.078444780E-1,5.757754445E-1,8.117315173E-1,-7.297061384E-2
1.098586380E-1,5.944175720E-1,8.138620257E-1,-7.776430249E-2
1.118727980E-1,6.178534031E-1,8.218515515E-1,-7.456851006E-2
1.138869590E-1,6.402239203E-1,8.261125684E-1,-7.084008306E-2
1.159011190E-1,6.647250056E-1,8.431568146E-1,-6.072007492E-2
1.178542440E-1,6.892260909E-1,8.649947643E-1,-5.219795927E-2
1.198684040E-1,7.142598033E-1,8.910937309E-1,-4.314320907E-2
1.218215290E-1,7.430219650E-1,9.118663669E-1,-3.355583176E-2
1.238356890E-1,7.712514400E-1,9.379653335E-1,-1.970739290E-2
1.257888140E-1,7.994809747E-1,9.661948681E-1,-1.012001187E-2
1.277724570E-1,8.282431364E-1,9.981527925E-1,2.130528912E-3
1.297560990E-1,8.591358066E-1,1.022653818E0,1.651159860E-2
1.317702590E-1,8.884305358E-1,1.050883412E0,3.036003746E-2
1.337844200E-1,9.198558331E-1,1.082308650E0,4.154531285E-2
1.357985800E-1,9.502158761E-1,1.114266634E0,5.486112088E-2
1.378127400E-1,9.827064872E-1,1.146757245E0,6.711166352E-2
1.398574180E-1,1.018925428E0,1.181378245E0,7.936219871E-2
1.418410600E-1,1.057807565E0,1.212270975E0,8.735168725E-2
1.438857380E-1,1.097755075E0,1.242098331E0,9.853696078E-2
1.458388630E-1,1.140365601E0,1.274056315E0,1.065264493E-1
1.478225050E-1,1.182976127E0,1.301753163E0,1.086569726E-1
