"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.611903000E-3,-4.283226967E0,5.892130375E0,5.468356609E0
6.022791000E-3,-4.285621166E0,5.925649166E0,5.583278179E0
7.579188000E-3,-4.283226967E0,5.983109951E0,5.702988625E0
9.593348000E-3,-4.297592163E0,6.054935932E0,5.834669590E0
1.160750800E-2,-4.326322556E0,6.133944988E0,5.980715752E0
1.362166800E-2,-4.352658749E0,6.184223175E0,6.131550789E0
1.563582900E-2,-4.359841347E0,6.205770969E0,6.291962147E0
1.764998900E-2,-4.304774761E0,6.169857979E0,6.459556103E0
1.966414900E-2,-4.060565948E0,6.009446144E0,6.586448669E0
2.167830900E-2,-3.766079187E0,5.834669590E0,6.713341713E0
2.369246900E-2,-3.557783842E0,5.729324818E0,6.849811077E0
2.567611200E-2,-3.418920040E0,5.686229229E0,6.967126846E0
2.769027200E-2,-3.332728863E0,5.671864033E0,7.055712223E0
2.967391500E-2,-3.258508444E0,5.645527840E0,7.110779285E0
3.165755700E-2,-3.227383852E0,5.645527840E0,7.139509678E0
3.367171700E-2,-3.241749048E0,5.674258232E0,7.161057472E0
3.568587700E-2,-3.280056238E0,5.717353821E0,7.184999466E0
3.770003800E-2,-3.303998232E0,5.774814606E0,7.225700855E0
3.968368000E-2,-3.335123062E0,5.832275391E0,7.307103634E0
4.166732300E-2,-3.387795448E0,5.863399982E0,7.390900612E0
4.368148300E-2,-3.454833031E0,5.872976780E0,7.474697590E0
4.566512500E-2,-3.519476414E0,5.872976780E0,7.536946774E0
4.764876800E-2,-3.617638826E0,5.877765179E0,7.611167431E0
4.963241100E-2,-3.725377798E0,5.872976780E0,7.714118004E0
5.161605300E-2,-3.809175014E0,5.863399982E0,7.821856976E0
5.359969600E-2,-3.849876404E0,5.832275391E0,7.898471355E0
5.558333800E-2,-3.835511208E0,5.781997204E0,7.915230751E0
5.756698100E-2,-3.780444384E0,5.729324818E0,7.879317760E0
5.955062300E-2,-3.691859007E0,5.681440830E0,7.800309181E0
6.153426600E-2,-3.593696833E0,5.667075634E0,7.678205013E0
6.354842600E-2,-3.502717018E0,5.669469833E0,7.527369976E0
6.553206900E-2,-3.452438831E0,5.676652431E0,7.369352818E0
6.754622900E-2,-3.435679436E0,5.686229229E0,7.235277653E0
6.952987200E-2,-3.423708439E0,5.686229229E0,7.125144482E0
7.151351400E-2,-3.399766445E0,5.664681435E0,7.048529625E0
7.352767400E-2,-3.385401249E0,5.633556366E0,7.003039837E0
7.554183400E-2,-3.435679436E0,5.662287235E0,6.991068840E0
7.755599500E-2,-3.509899616E0,5.705382824E0,7.015010834E0
7.953963700E-2,-3.569754839E0,5.724536419E0,7.050923824E0
8.152328000E-2,-3.634398222E0,5.736507416E0,7.096413612E0
8.353744000E-2,-3.699041605E0,5.743690014E0,7.151480675E0
8.552108200E-2,-3.768473387E0,5.741295815E0,7.187393665E0
8.750472500E-2,-3.837905407E0,5.738901615E0,7.199364662E0
8.948836800E-2,-3.897760391E0,5.729324818E0,7.180211067E0
9.147201000E-2,-3.955221176E0,5.712565422E0,7.144298077E0
9.345565300E-2,-4.039018154E0,5.707777023E0,7.070077419E0
9.543929500E-2,-4.158728123E0,5.700594425E0,6.940790653E0
9.748397300E-2,-4.295197964E0,5.688623428E0,6.797138691E0
9.949813300E-2,-4.417302132E0,5.695806026E0,6.641515732E0
1.014817760E-1,-4.505887508E0,5.767632008E0,6.536170483E0
1.034959360E-1,-4.565742493E0,5.880159378E0,6.481103897E0
1.055100960E-1,-4.606443882E0,5.992686749E0,6.435614109E0
1.074937390E-1,-4.649539471E0,6.095637321E0,6.382941723E0
1.094773810E-1,-4.714183331E0,6.186617374E0,6.320692539E0
1.114610240E-1,-4.788403511E0,6.260837555E0,6.260837555E0
1.134446660E-1,-4.879383087E0,6.318298340E0,6.212953568E0
