"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.053309000E-3,-2.737729549E-1,-3.808320463E-1,-3.179814517E-1
7.640223000E-3,-2.737729549E-1,-3.808320463E-1,-3.179814517E-1
9.654383000E-3,-2.737729549E-1,-3.808320463E-1,-3.179814517E-1
1.166854300E-2,-2.737729549E-1,-3.808320463E-1,-3.179814517E-1
1.368270400E-2,-2.737729549E-1,-3.808320463E-1,-3.179814517E-1
1.569686400E-2,-2.737729549E-1,-3.808320463E-1,-3.179814517E-1
1.771102400E-2,-2.737729549E-1,-3.808320463E-1,-3.179814517E-1
1.972518400E-2,-2.737729549E-1,-3.808320463E-1,-3.179814517E-1
2.173934400E-2,-2.737729549E-1,-3.808320463E-1,-3.179814517E-1
2.375350400E-2,-2.737729549E-1,-3.808320463E-1,-3.179814517E-1
2.570662900E-2,-2.737729549E-1,-3.808320463E-1,-3.179814517E-1
2.772079000E-2,-2.737729549E-1,-3.808320463E-1,-3.179814517E-1
2.973495000E-2,-2.737729549E-1,-3.808320463E-1,-3.179814517E-1
3.171859200E-2,-2.737729549E-1,-3.808320463E-1,-3.179814517E-1
3.373275200E-2,-2.737729549E-1,-3.808320463E-1,-3.179814517E-1
3.574691300E-2,-2.737729549E-1,-3.808320463E-1,-3.179814517E-1
3.773055500E-2,-2.993393242E-1,-2.849582434E-1,1.635181010E-1
3.971419800E-2,-2.950782478E-1,-1.715075821E-1,-8.362326026E-2
4.169784000E-2,-2.743056118E-1,-1.613875628E-1,-8.841694891E-2
4.374251800E-2,-2.540655732E-1,-1.794970632E-1,-9.321063757E-2
4.569564300E-2,-2.316950262E-1,-2.002697140E-1,-9.427590668E-2
4.767928600E-2,-2.098570913E-1,-2.162486911E-1,-9.054747969E-2
4.966292800E-2,-1.864212751E-1,-2.402171344E-1,-1.017327532E-1
5.164657100E-2,-1.661812514E-1,-2.647182047E-1,-1.097222418E-1
5.363021300E-2,-1.438107044E-1,-2.876214087E-1,-1.230380461E-1
5.561385600E-2,-1.272991002E-1,-3.147856593E-1,-1.358212233E-1
5.759749800E-2,-1.113201380E-1,-3.344930410E-1,-1.544633508E-1
5.958114100E-2,-9.853696078E-2,-3.536677957E-1,-1.778991669E-1
6.159530100E-2,-9.161274135E-2,-3.717772961E-1,-2.008023560E-1
6.360946100E-2,-9.321063757E-2,-3.813646734E-1,-2.226402760E-1
6.556258600E-2,-9.374327213E-2,-3.872236311E-1,-2.407497615E-1
6.757674700E-2,-9.587380290E-2,-3.893541694E-1,-2.615224123E-1
6.959090700E-2,-9.800432622E-2,-3.861583769E-1,-2.833603323E-1
7.157454900E-2,-1.017327532E-1,-3.824299276E-1,-2.998719513E-1
7.358870900E-2,-1.038632840E-1,-3.808320463E-1,-3.190467060E-1
7.560287000E-2,-1.081243455E-1,-3.824299276E-1,-3.270362020E-1
7.758651200E-2,-1.075917110E-1,-3.845604658E-1,-3.350256681E-1
7.957015500E-2,-1.070590764E-1,-3.872236311E-1,-3.392867148E-1
8.155379700E-2,-1.012001261E-1,-3.957457542E-1,-3.371562064E-1
8.359847500E-2,-9.534116834E-2,-4.042678475E-1,-3.398193717E-1
8.555160000E-2,-8.948221803E-2,-4.143878818E-1,-3.350256681E-1
8.753524300E-2,-8.096009493E-2,-4.245078862E-1,-3.265035450E-1
8.951888500E-2,-6.924218684E-2,-4.399542212E-1,-3.174487948E-1
9.150252800E-2,-6.018744037E-2,-4.506068528E-1,-3.083940744E-1
9.348617000E-2,-5.166532472E-2,-4.527373910E-1,-2.977414131E-1
9.550033100E-2,-4.740426689E-2,-4.538026452E-1,-2.844256163E-1
9.751449100E-2,-4.740426689E-2,-4.500742257E-1,-2.716424465E-1
9.952865100E-2,-4.207794741E-2,-4.532700181E-1,-2.508697808E-1
1.015428110E-1,-4.207794741E-2,-4.617921412E-1,-2.300971150E-1
1.035874890E-1,-4.527373984E-2,-4.783037305E-1,-2.008023560E-1
1.055711310E-1,-5.219795927E-2,-4.900216460E-1,-1.736381054E-1
1.075242560E-1,-6.072007492E-2,-5.054680109E-1,-1.422128081E-1
1.095078990E-1,-7.030745596E-2,-5.209143162E-1,-1.091896072E-1
1.114915410E-1,-8.948221803E-2,-5.390238166E-1,-7.829693705E-2
1.134751840E-1,-1.070590764E-1,-5.507417321E-1,-3.994741663E-2
1.154893440E-1,-1.320927888E-1,-5.566006899E-1,-3.728425596E-3
1.175035040E-1,-1.587243974E-1,-5.566006899E-1,3.621899337E-2
1.195176650E-1,-1.864212751E-1,-5.512743592E-1,6.391586363E-2
1.214707900E-1,-2.141181529E-1,-5.470132828E-1,8.894958347E-2
1.234849500E-1,-2.439455539E-1,-5.523396134E-1,1.134506613E-1
1.254380750E-1,-2.727077007E-1,-5.635249019E-1,1.288969964E-1
1.274522350E-1,-3.014698327E-1,-5.747101903E-1,1.390170157E-1
1.294663950E-1,-3.259709179E-1,-5.874933600E-1,1.368864775E-1
1.314500380E-1,-3.456783295E-1,-5.938849449E-1,1.315601617E-1
1.334641980E-1,-3.643204570E-1,-6.056028605E-1,1.166464612E-1
1.354783580E-1,-3.866910040E-1,-6.109291911E-1,1.033306494E-1
1.374925180E-1,-4.069310129E-1,-6.141249537E-1,8.522115648E-2
1.394761610E-1,-4.324973822E-1,-6.119944453E-1,6.125270575E-2
1.414903210E-1,-4.569984376E-1,-6.029396653E-1,4.420847446E-2
1.435349980E-1,-4.825648069E-1,-5.960154533E-1,2.290318534E-2
1.454881230E-1,-5.113269091E-1,-5.842975378E-1,7.989482954E-3
1.474717660E-1,-5.368933082E-1,-5.715143681E-1,-7.456851192E-3
1.494554090E-1,-5.640575290E-1,-5.566006899E-1,-1.864212751E-2
1.514390510E-1,-5.853627920E-1,-5.448827744E-1,-2.450108156E-2
1.534226940E-1,-6.157228351E-1,-5.374259353E-1,-3.089267015E-2
1.554368540E-1,-6.396912932E-1,-5.310343504E-1,-3.302319720E-2
1.574510140E-1,-6.625944972E-1,-5.273059011E-1,-3.249056637E-2
1.594651740E-1,-6.807039976E-1,-5.289037824E-1,-2.503371425E-2
1.614793340E-1,-6.929545403E-1,-5.320996046E-1,-1.704423130E-2
1.634629770E-1,-7.073355913E-1,-5.342301130E-1,-4.261057824E-3
1.654161020E-1,-7.153250575E-1,-5.395564437E-1,9.587380104E-3
1.673997450E-1,-7.158577442E-1,-5.422195792E-1,2.503371425E-2
1.694139050E-1,-7.211840153E-1,-5.454154015E-1,3.941478580E-2
1.713975470E-1,-7.201187611E-1,-5.438175201E-1,5.326322466E-2
1.734117070E-1,-7.115966678E-1,-5.336974859E-1,6.870955974E-2
1.754258680E-1,-7.036072016E-1,-5.294364095E-1,8.096009493E-2
1.774400280E-1,-6.950850487E-1,-5.171858668E-1,9.427590668E-2
1.794541880E-1,-6.737797856E-1,-5.033374429E-1,1.054611802E-1
1.814683480E-1,-6.492787004E-1,-4.846953154E-1,1.150485575E-1
1.834825080E-1,-6.253102422E-1,-4.580637217E-1,1.246359423E-1
1.854356330E-1,-5.965480804E-1,-4.207794666E-1,1.368864775E-1
1.874192760E-1,-5.645901561E-1,-3.771036267E-1,1.470064968E-1
1.894029180E-1,-5.331648588E-1,-3.211772442E-1,1.603222936E-1
1.913865610E-1,-4.948153496E-1,-2.636529505E-1,1.699096859E-1
1.934007210E-1,-4.564658105E-1,-2.082591951E-1,1.757686287E-1
1.954148810E-1,-4.095941782E-1,-1.533980817E-1,1.789644361E-1
1.973985240E-1,-3.653857112E-1,-1.027980223E-1,1.800296903E-1
1.993821660E-1,-3.163835406E-1,-6.338323653E-2,1.747033745E-1
2.013658090E-1,-2.673813701E-1,-2.609897964E-2,1.715075821E-1
2.033799690E-1,-2.146507949E-1,7.456851192E-3,1.619201899E-1
2.053636120E-1,-1.635181010E-1,3.515372798E-2,1.523328125E-1
2.073777720E-1,-1.177117229E-1,6.391586363E-2,1.454086006E-1
2.093919320E-1,-7.616640627E-2,9.321063757E-2,1.384843737E-1
2.113450570E-1,-3.675162420E-2,1.230380461E-1,1.363538504E-1
2.133287000E-1,-1.065264456E-3,1.507349163E-1,1.342233270E-1
2.153123420E-1,3.195793182E-2,1.768338978E-1,1.390170157E-1
2.172959850E-1,5.645901710E-2,2.002697140E-1,1.416801661E-1
2.193101450E-1,8.042746782E-2,2.183792144E-1,1.496696621E-1
2.213243050E-1,1.001348570E-1,2.338255495E-1,1.523328125E-1
2.233689830E-1,1.198422536E-1,2.471413612E-1,1.581917703E-1
2.253221080E-1,1.352885813E-1,2.535329461E-1,1.651159972E-1
2.273057500E-1,1.464738697E-1,2.567287385E-1,1.725728363E-1
2.292893930E-1,1.587243974E-1,2.577939928E-1,1.800296903E-1
2.312730360E-1,1.677791476E-1,2.524676621E-1,1.810949594E-1
2.332871960E-1,1.731054783E-1,2.407497615E-1,1.869539171E-1
2.353013560E-1,1.842907518E-1,2.295644879E-1,1.928128600E-1
2.372849980E-1,1.928128600E-1,2.157160491E-1,1.954760253E-1
2.392686410E-1,1.970739216E-1,2.024002522E-1,1.976065636E-1
2.412522840E-1,2.034655064E-1,1.896170676E-1,1.986718178E-1
2.432969610E-1,2.098570913E-1,1.773665249E-1,1.970739216E-1
2.452806040E-1,2.109223604E-1,1.725728363E-1,1.938781291E-1
2.472947640E-1,2.119876295E-1,1.667138934E-1,1.901497096E-1
2.493089240E-1,2.130528986E-1,1.651159972E-1,1.874865443E-1
2.512925670E-1,2.093244642E-1,1.677791476E-1,1.805623323E-1
2.532456920E-1,2.103897333E-1,1.651159972E-1,1.757686287E-1
2.552293340E-1,2.018676102E-1,1.661812514E-1,1.720402092E-1
2.572129770E-1,2.018676102E-1,1.651159972E-1,1.645833552E-1
2.591966200E-1,1.992044598E-1,1.597896665E-1,1.624528319E-1
2.611802620E-1,1.949433982E-1,1.597896665E-1,1.587243974E-1
2.632249400E-1,1.938781291E-1,1.549959779E-1,1.523328125E-1
2.652085820E-1,1.917476058E-1,1.475391239E-1,1.486043930E-1
2.672227430E-1,1.938781291E-1,1.400822699E-1,1.427454352E-1
2.692369030E-1,1.928128600E-1,1.342233270E-1,1.336906850E-1
2.712510630E-1,1.901497096E-1,1.278317273E-1,1.251685768E-1
2.732652230E-1,1.928128600E-1,1.214401498E-1,1.123853996E-1
2.752183480E-1,1.885518134E-1,1.187769845E-1,9.906959534E-2
2.772019910E-1,1.885518134E-1,1.182443574E-1,8.522115648E-2
2.792161510E-1,1.864212751E-1,1.209075153E-1,7.456851006E-2
2.812303110E-1,1.800296903E-1,1.241033077E-1,6.018744037E-2
2.832749890E-1,1.747033745E-1,1.310275346E-1,5.166532472E-2
2.852586310E-1,1.720402092E-1,1.342233270E-1,4.367584363E-2
2.872117560E-1,1.699096859E-1,1.379517466E-1,3.355583176E-2
2.891953990E-1,1.688444167E-1,1.422128081E-1,2.343581803E-2
2.911790410E-1,1.661812514E-1,1.427454352E-1,1.544633508E-2
2.931626840E-1,1.656486243E-1,1.475391239E-1,5.326322280E-3
2.951463270E-1,1.683117896E-1,1.502022892E-1,-4.261057824E-3
2.971299690E-1,1.688444167E-1,1.523328125E-1,-1.278317347E-2
2.991136120E-1,1.709749401E-1,1.533980817E-1,-2.663161233E-2
3.010972540E-1,1.752360016E-1,1.507349163E-1,-3.675162420E-2
3.031114150E-1,1.778991669E-1,1.448759735E-1,-4.207794741E-2
3.050950570E-1,1.821602285E-1,1.422128081E-1,-5.060006306E-2
3.071092170E-1,1.810949594E-1,1.358212233E-1,-5.965480953E-2
3.091233770E-1,1.768338978E-1,1.262338310E-1,-6.178534031E-2
