"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.146857000E-3,5.438175201E-1,1.294296384E-1,6.673882008E-1
8.886359000E-3,5.438175201E-1,1.294296384E-1,6.673882008E-1
1.090051900E-2,5.438175201E-1,1.294296384E-1,6.673882008E-1
1.291467900E-2,5.438175201E-1,1.294296384E-1,6.673882008E-1
1.492883900E-2,5.438175201E-1,1.294296384E-1,6.673882008E-1
1.688196400E-2,5.438175201E-1,1.294296384E-1,6.673882008E-1
1.886560700E-2,5.438175201E-1,1.294296384E-1,6.673882008E-1
2.084924900E-2,5.438175201E-1,1.294296384E-1,6.673882008E-1
2.283289200E-2,5.438175201E-1,1.294296384E-1,6.673882008E-1
2.484705200E-2,5.438175201E-1,1.294296384E-1,6.673882008E-1
2.680017700E-2,5.438175201E-1,1.294296384E-1,6.673882008E-1
2.881433700E-2,5.438175201E-1,1.294296384E-1,6.673882008E-1
3.082849800E-2,5.438175201E-1,1.294296384E-1,6.673882008E-1
3.284265800E-2,5.438175201E-1,1.294296384E-1,6.673882008E-1
3.485681800E-2,5.438175201E-1,1.294296384E-1,6.673882008E-1
3.687097800E-2,5.438175201E-1,1.294296384E-1,6.673882008E-1
3.882410300E-2,-1.800296903E-1,-1.048752904E0,-3.089267015E-1
4.083826300E-2,-2.024002522E-1,-9.486179948E-1,-4.655205607E-1
4.279138800E-2,-2.077265680E-1,-9.614011645E-1,-4.708468914E-1
4.480554800E-2,-2.194444835E-1,-9.523464441E-1,-4.884237647E-1
4.678919100E-2,-2.269013226E-1,-9.299758673E-1,-5.006743073E-1
4.880335100E-2,-2.332929224E-1,-9.033442736E-1,-5.107942820E-1
5.081751100E-2,-2.402171344E-1,-8.697884083E-1,-5.342301130E-1
5.283167100E-2,-2.444781959E-1,-8.447546959E-1,-5.475459099E-1
5.484583100E-2,-2.492718846E-1,-8.042746782E-1,-5.597964525E-1
5.679895600E-2,-2.498045117E-1,-7.701861858E-1,-5.720469952E-1
5.878259900E-2,-2.471413612E-1,-7.350324988E-1,-5.869607329E-1
6.076624200E-2,-2.466087192E-1,-6.966829300E-1,-6.002765298E-1
6.274988400E-2,-2.418150306E-1,-6.578007936E-1,-6.141249537E-1
6.476404400E-2,-2.370213419E-1,-6.194512844E-1,-6.269081235E-1
6.677820500E-2,-2.290318608E-1,-5.853627920E-1,-6.391586661E-1
6.879236500E-2,-2.242381722E-1,-5.480785370E-1,-6.556702852E-1
7.080652500E-2,-2.167813182E-1,-5.171858668E-1,-6.700513363E-1
7.282068500E-2,-2.125202566E-1,-4.857605994E-1,-6.791061163E-1
7.477381000E-2,-2.071939409E-1,-4.585963488E-1,-6.908239722E-1
7.675745300E-2,-1.992044598E-1,-4.335626364E-1,-7.004113793E-1
7.874109500E-2,-1.960086524E-1,-4.122573435E-1,-7.110640407E-1
8.072473800E-2,-1.885518134E-1,-3.952131271E-1,-7.163903713E-1
8.270838000E-2,-1.821602285E-1,-3.850930929E-1,-7.195861340E-1
8.475305800E-2,-1.789644361E-1,-3.723099232E-1,-7.233145833E-1
8.673670100E-2,-1.709749401E-1,-3.637878001E-1,-7.227819562E-1
8.875086100E-2,-1.757686287E-1,-3.504720032E-1,-7.259777188E-1
9.076502100E-2,-1.805623323E-1,-3.366235793E-1,-7.297061682E-1
9.271814600E-2,-1.874865443E-1,-3.227751255E-1,-7.281082273E-1
9.470178900E-2,-1.938781291E-1,-3.115898669E-1,-7.297061682E-1
9.668543100E-2,-2.061286718E-1,-2.950782478E-1,-7.249124646E-1
9.866907400E-2,-2.231729031E-1,-2.812298238E-1,-7.249124646E-1
1.006527160E-1,-2.418150306E-1,-2.620550692E-1,-7.179882526E-1
1.026668760E-1,-2.599245310E-1,-2.487392575E-1,-7.121292949E-1
1.047115540E-1,-2.796319127E-1,-2.359560728E-1,-7.084008455E-1
1.066646790E-1,-3.073287904E-1,-2.135855258E-1,-7.089334726E-1
1.086483220E-1,-3.296993375E-1,-2.013349831E-1,-7.084008455E-1
1.106624820E-1,-3.557983339E-1,-1.944107562E-1,-7.110640407E-1
1.126766420E-1,-3.701793849E-1,-1.794970632E-1,-7.121292949E-1
1.146908020E-1,-3.914846778E-1,-1.699096859E-1,-7.105314136E-1
1.167049620E-1,-4.053331316E-1,-1.512675583E-1,-7.121292949E-1
1.187191230E-1,-4.202468395E-1,-1.283643693E-1,-7.105314136E-1
1.207332830E-1,-4.308994710E-1,-9.906959534E-2,-7.062703371E-1
1.227474430E-1,-4.415521026E-1,-6.125270575E-2,-7.062703371E-1
1.247921210E-1,-4.532700181E-1,-1.118527725E-2,-7.062703371E-1
1.267757630E-1,-4.601942301E-1,4.580637068E-2,-7.062703371E-1
1.287899230E-1,-4.623247683E-1,1.086569726E-1,-7.030745149E-1
1.308040830E-1,-4.687163532E-1,1.757686287E-1,-7.041398287E-1
1.328182440E-1,-4.660531878E-1,2.428802997E-1,-6.998787522E-1
1.347713690E-1,-4.655205607E-1,3.131877482E-1,-6.982808709E-1
1.367550110E-1,-4.623247683E-1,3.765709996E-1,-6.972155571E-1
1.387386540E-1,-4.591289759E-1,4.372910559E-1,-6.945524216E-1
1.407222960E-1,-4.527373910E-1,4.974785149E-1,-6.902913451E-1
1.427364560E-1,-4.447479248E-1,5.432848930E-1,-6.865629554E-1
1.447811340E-1,-4.356931746E-1,5.885586143E-1,-6.812366247E-1
1.467342590E-1,-4.213120937E-1,6.183860302E-1,-6.711165905E-1
1.487484190E-1,-4.063983858E-1,6.423544884E-1,-6.673882008E-1
1.507625800E-1,-3.930825889E-1,6.583334208E-1,-6.620618701E-1
1.527767400E-1,-3.818973005E-1,6.657902598E-1,-6.583334208E-1
1.547909000E-1,-3.680488765E-1,6.663229465E-1,-6.524744630E-1
1.567440250E-1,-3.579288721E-1,6.615292430E-1,-6.535397172E-1
1.587276670E-1,-3.430151641E-1,6.567355394E-1,-6.514092088E-1
1.607113100E-1,-3.344930410E-1,6.428871155E-1,-6.519418359E-1
1.626949530E-1,-3.265035450E-1,6.290386319E-1,-6.519418359E-1
1.647396300E-1,-3.217098713E-1,6.119944453E-1,-6.556702852E-1
1.667232730E-1,-3.185140789E-1,5.938849449E-1,-6.625944972E-1
1.687374330E-1,-3.195793331E-1,5.784385800E-1,-6.652576327E-1
1.707515930E-1,-3.217098713E-1,5.603290796E-1,-6.775081754E-1
1.727657530E-1,-3.281014562E-1,5.411543250E-1,-6.823018789E-1
1.747799140E-1,-3.318298757E-1,5.171858668E-1,-6.860303283E-1
1.767330390E-1,-3.424825370E-1,4.948153496E-1,-6.929545403E-1
1.787166810E-1,-3.515372574E-1,4.767058492E-1,-6.993461251E-1
1.807003240E-1,-3.659183383E-1,4.665858448E-1,-6.945524216E-1
1.826839660E-1,-3.797667921E-1,4.569984376E-1,-6.945524216E-1
1.847286440E-1,-3.989415467E-1,4.522047639E-1,-6.982808709E-1
1.866817690E-1,-4.149205089E-1,4.436826408E-1,-6.950850487E-1
1.886654120E-1,-4.293015897E-1,4.426173866E-1,-6.924219131E-1
1.906490540E-1,-4.484763443E-1,4.458131790E-1,-6.870955825E-1
1.926632140E-1,-4.617921412E-1,4.554005563E-1,-6.743124127E-1
1.946773740E-1,-4.756405652E-1,4.585963488E-1,-6.572681665E-1
1.966915350E-1,-4.884237647E-1,4.591289759E-1,-6.412891746E-1
1.987056950E-1,-4.958806038E-1,4.543353021E-1,-6.226470470E-1
2.006893370E-1,-5.086637735E-1,4.452805519E-1,-6.029396653E-1
2.027034980E-1,-5.187838078E-1,4.319647253E-1,-5.821670294E-1
2.047481750E-1,-5.251753926E-1,4.165183902E-1,-5.544701219E-1
2.066707830E-1,-5.347627401E-1,4.095941782E-1,-5.395564437E-1
2.086544250E-1,-5.411543250E-1,4.111920893E-1,-5.075985193E-1
2.106380680E-1,-5.496764779E-1,4.133225977E-1,-4.836300611E-1
2.126217100E-1,-5.619270205E-1,4.095941782E-1,-4.628573954E-1
2.146358710E-1,-5.741775632E-1,3.898867965E-1,-4.452805519E-1
2.166500310E-1,-5.779059529E-1,3.621899188E-1,-4.378236830E-1
2.186641910E-1,-5.906891227E-1,3.414172530E-1,-4.287689328E-1
2.206478330E-1,-6.013417840E-1,3.249056637E-1,-4.202468395E-1
2.226619940E-1,-6.130596995E-1,3.201119602E-1,-4.143878818E-1
