"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.728791675E-3,8.541238403E-1,9.802964630E0,1.246907043E-1
1.273679174E-2,8.644523621E-1,9.761650543E0,1.625619507E-1
2.274479170E-2,8.619076538E-1,9.773326263E0,1.763333130E-1
3.275279177E-2,8.482859802E-1,9.787995758E0,2.073188782E-1
4.276179173E-2,8.408015442E-1,9.809401245E0,2.381547546E-1
5.276979168E-2,8.619076538E-1,9.834249573E0,2.332150269E-1
6.277779175E-2,8.851094055E-1,9.831255798E0,2.002835083E-1
7.278579171E-2,9.062155151E-1,9.835147705E0,1.534309387E-1
8.279479167E-2,9.099577332E-1,9.795180817E0,1.254391479E-1
9.280279174E-2,9.021739197E-1,9.774972839E0,1.332229614E-1
1.028107917E-1,8.922944641E-1,9.772428131E0,1.598675537E-1
1.128187918E-1,8.858578491E-1,9.772577820E0,1.598675537E-1
1.228277917E-1,8.640032959E-1,9.783505096E0,1.672023010E-1
1.328357917E-1,8.318202209E-1,9.755363617E0,1.941462708E-1
1.428437917E-1,8.009843445E-1,9.728269958E0,2.234852600E-1
1.528517917E-1,7.767347717E-1,9.725425873E0,2.233355713E-1
1.628607917E-1,7.924520874E-1,9.734257507E0,2.522254944E-1
1.728687917E-1,7.927514648E-1,9.768835602E0,2.463876343E-1
1.828767917E-1,8.096662903E-1,9.813442841E0,2.492317200E-1
1.928847918E-1,8.116122437E-1,9.813442841E0,2.424957275E-1
2.028937917E-1,8.376580811E-1,9.810898132E0,2.345622253E-1
2.129017917E-1,8.283773804E-1,9.801318054E0,2.345622253E-1
2.229097917E-1,8.027806091E-1,9.739795990E0,2.170486450E-1
2.329177917E-1,7.894583130E-1,9.737700348E0,2.399510193E-1
2.429262918E-1,7.864645386E-1,9.736951904E0,2.694396973E-1
2.529342917E-1,7.816744995E-1,9.758357391E0,2.930905151E-1
2.629422917E-1,7.381150818E-1,9.777966614E0,3.221301270E-1
2.729502918E-1,6.994953918E-1,9.815538483E0,3.206332397E-1
2.829592917E-1,6.854246521E-1,9.791139221E0,3.164419556E-1
2.929672917E-1,6.653663635E-1,9.810299377E0,2.936892700E-1
3.029752917E-1,6.613247681E-1,9.808203735E0,2.477348328E-1
3.129832917E-1,6.750961304E-1,9.838740234E0,2.194436646E-1
3.229922918E-1,6.628216553E-1,9.840686188E0,1.857637024E-1
3.330002917E-1,6.547384644E-1,9.847721558E0,1.691482544E-1
3.430082917E-1,6.670129395E-1,9.830058289E0,1.666035461E-1
3.530162917E-1,6.724017334E-1,9.831555176E0,1.694476318E-1
3.630242917E-1,6.993457031E-1,9.835447083E0,1.664538574E-1
3.730332918E-1,7.301815796E-1,9.825268250E0,1.847158813E-1
3.830412917E-1,7.659571838E-1,9.838440857E0,1.751358032E-1
3.930492917E-1,7.979905701E-1,9.835746460E0,1.773811340E-1
4.030582918E-1,7.834707642E-1,9.850116577E0,2.091151428E-1
4.130662917E-1,7.695497131E-1,9.847871246E0,2.092648315E-1
4.230742917E-1,7.388635254E-1,9.861642609E0,2.189945984E-1
4.330822917E-1,7.077282715E-1,9.855804749E0,2.390528870E-1
4.430902917E-1,6.644682312E-1,9.849218445E0,2.389031982E-1
4.530992918E-1,6.328839111E-1,9.857451324E0,2.209405518E-1
4.631072917E-1,5.869294739E-1,9.863438873E0,1.913021851E-1
4.731152917E-1,5.451663208E-1,9.890233154E0,1.972897339E-1
4.831232917E-1,5.318440247E-1,9.897567902E0,2.085163879E-1
4.931322917E-1,5.075944519E-1,9.912087708E0,1.889071655E-1
5.031402917E-1,4.730163574E-1,9.927505646E0,2.053729248E-1
5.131482917E-1,4.472698975E-1,9.904453583E0,2.281256104E-1
5.231562917E-1,4.328997803E-1,9.885892181E0,2.504292297E-1
5.331652918E-1,4.212240601E-1,9.908046112E0,2.695893860E-1
5.431732917E-1,4.029620361E-1,9.882149963E0,2.588117981E-1
5.531812917E-1,4.176315308E-1,9.912237396E0,2.375559998E-1
5.631892917E-1,4.099974060E-1,9.932145996E0,2.495310974E-1
5.731982917E-1,4.355941772E-1,9.932744751E0,2.636018372E-1
5.832062918E-1,4.622387695E-1,9.937235413E0,2.513273621E-1
5.932142917E-1,4.581971741E-1,9.915530548E0,2.492317200E-1
6.032222917E-1,4.535568237E-1,9.895621948E0,2.941383362E-1
6.132312918E-1,4.138893127E-1,9.869127045E0,3.385958862E-1
6.232392917E-1,3.844006348E-1,9.814340973E0,3.661386108E-1
6.332472917E-1,3.463796997E-1,9.819729767E0,3.969744873E-1
6.432552917E-1,3.074606323E-1,9.819729767E0,4.183799744E-1
6.532642917E-1,2.912942505E-1,9.850865021E0,4.305047607E-1
6.632722918E-1,2.784210205E-1,9.878557434E0,4.117936707E-1
6.732802917E-1,2.209405518E-1,9.899364166E0,3.391946411E-1
6.832882917E-1,2.974314880E-1,9.935139771E0,3.601510620E-1
6.932972918E-1,3.300636292E-1,9.937235413E0,3.486250305E-1
7.033052917E-1,2.993774414E-1,9.904154205E0,3.239263916E-1
7.133132917E-1,3.573069763E-1,9.883497162E0,3.761677551E-1
7.233212917E-1,3.487747192E-1,9.810598755E0,3.989204407E-1
7.333302917E-1,3.520678711E-1,9.779912567E0,4.102967834E-1
7.433382918E-1,3.766168213E-1,9.780661011E0,4.405339050E-1
7.533462917E-1,3.532653809E-1,9.794582062E0,4.426295471E-1
7.633542917E-1,3.291654968E-1,9.800569611E0,4.249662781E-1
7.733632918E-1,3.390449524E-1,9.841883698E0,4.270619202E-1
7.833712917E-1,3.035687256E-1,9.844129028E0,3.878434753E-1
7.933792918E-1,2.963836670E-1,9.869725800E0,3.878434753E-1
8.033872917E-1,2.537223816E-1,9.856553192E0,3.203338623E-1
8.133962917E-1,3.225791931E-1,9.879605255E0,3.278182983E-1
8.234042918E-1,3.504212952E-1,9.898466034E0,3.595523071E-1
8.334122917E-1,3.224295044E-1,9.879455566E0,3.144960022E-1
8.434202917E-1,3.390449524E-1,9.847422180E0,3.297642517E-1
8.534292917E-1,3.323089600E-1,9.836345215E0,3.565585327E-1
8.634372917E-1,3.390449524E-1,9.836943970E0,4.189787292E-1
8.734452918E-1,3.611988831E-1,9.829908600E0,3.956272888E-1
8.834532917E-1,3.920347595E-1,9.829758911E0,3.809577942E-1
8.934622917E-1,4.206253052E-1,9.809251556E0,3.721261597E-1
9.034702918E-1,4.505630493E-1,9.842931519E0,3.402424622E-1
9.134782917E-1,5.047503662E-1,9.927655334E0,3.367996216E-1
9.234862917E-1,5.460644531E-1,9.916129303E0,2.799179077E-1
9.334952917E-1,5.592370605E-1,9.901908875E0,2.448907471E-1
9.435032917E-1,5.972579956E-1,9.883646851E0,2.659968567E-1
9.535112918E-1,5.960604858E-1,9.857301636E0,2.489323425E-1
9.635192917E-1,6.024971008E-1,9.852810974E0,2.145039368E-1
9.735282917E-1,6.387217712E-1,9.862540741E0,2.359094238E-1
9.835362918E-1,6.794371033E-1,9.855205994E0,2.540217590E-1
9.935442917E-1,7.054829407E-1,9.839039612E0,2.426454163E-1
1.003552292E0,7.408094788E-1,9.843979340E0,2.532733154E-1
1.013561292E0,7.767347717E-1,9.849068756E0,2.287243652E-1
1.023569292E0,7.741900635E-1,9.861642609E0,1.869612122E-1
1.033577292E0,7.969427490E-1,9.875713348E0,1.978884888E-1
