"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.352041672E-2,-9.972640127E-2,1.694878489E-1,1.071342528E-1
5.352841667E-2,-9.097898751E-2,2.618556023E-1,1.514655054E-1
6.353741675E-2,-3.872012347E-2,3.041939139E-1,1.896504164E-1
7.354541670E-2,1.772173680E-3,2.787767053E-1,1.982223243E-1
8.355341665E-2,9.505684488E-3,2.293548882E-1,1.956018955E-1
9.356241673E-2,-1.969853975E-2,1.678342819E-1,2.042763382E-1
1.035704167E-1,-7.104665041E-2,1.103374586E-1,2.252261192E-1
1.135784168E-1,-1.062105000E-1,9.221118689E-2,2.502073646E-1
1.235874167E-1,-6.561180204E-2,1.160145029E-1,2.744912207E-1
1.335954167E-1,-3.612612840E-3,1.727595329E-1,2.860165834E-1
1.436034167E-1,2.750072069E-2,1.924304962E-1,2.867219746E-1
1.536124167E-1,3.774270415E-2,2.231468558E-1,2.705235481E-1
1.636204167E-1,2.901582047E-2,2.761808932E-1,2.468891442E-1
1.736284167E-1,3.528330103E-2,3.191845715E-1,2.252994329E-1
1.836373750E-1,6.021481007E-2,3.398754299E-1,2.045086175E-1
1.936453751E-1,8.929412812E-2,3.464566469E-1,1.894409806E-1
2.036533750E-1,1.061181575E-1,3.202916384E-1,1.864856035E-1
2.136623750E-1,1.348824352E-1,2.693690658E-1,1.934857219E-1
2.236703751E-1,1.707715094E-1,2.297246009E-1,2.060061246E-1
2.336783750E-1,1.996724010E-1,1.987690926E-1,1.997066736E-1
2.436873751E-1,2.103581578E-1,1.694984287E-1,2.121823579E-1
2.536953751E-1,2.118665725E-1,1.426748037E-1,2.457690686E-1
2.637033750E-1,2.202458233E-1,1.618932337E-1,3.005432189E-1
2.737123751E-1,2.357281148E-1,2.093952298E-1,3.547654450E-1
2.837203750E-1,2.655758858E-1,2.647047043E-1,4.129299819E-1
2.937283750E-1,3.147119880E-1,3.137063384E-1,4.419136941E-1
3.037373751E-1,3.905549347E-1,3.582198322E-1,4.315596223E-1
3.137453750E-1,4.737448692E-1,3.714397550E-1,3.931107521E-1
3.237533751E-1,5.269735456E-1,3.025411367E-1,3.397811055E-1
3.337623751E-1,5.419706106E-1,2.382249981E-1,2.849788368E-1
3.437703750E-1,5.356093049E-1,1.757189929E-1,2.356073409E-1
3.537783751E-1,5.207251906E-1,1.204083338E-1,2.152935565E-1
3.637873750E-1,5.113373399E-1,1.006719470E-1,2.102285028E-1
3.737953750E-1,5.086494088E-1,1.137454063E-1,2.217101753E-1
3.838033751E-1,5.216957331E-1,1.272093356E-1,2.779124975E-1
3.938123750E-1,5.267671943E-1,1.391861141E-1,3.631003499E-1
4.038203751E-1,5.232710838E-1,1.589756310E-1,4.273909330E-1
4.138283751E-1,4.855359793E-1,1.919998974E-1,4.766032398E-1
4.238373750E-1,4.141981900E-1,1.788967848E-1,4.838764071E-1
4.338453751E-1,3.190631568E-1,1.282778233E-1,4.633402228E-1
4.438533750E-1,2.467803061E-1,5.570799857E-2,4.233506620E-1
4.538623750E-1,1.808449477E-1,-6.525810063E-2,3.720611036E-1
4.638703751E-1,1.241692081E-1,-1.400140375E-1,3.439123034E-1
4.738783750E-1,2.976281010E-2,-2.623335421E-1,3.210285306E-1
4.838873751E-1,-6.163608283E-2,-3.345967531E-1,2.960281968E-1
4.938953751E-1,-1.084927991E-1,-3.800558448E-1,2.840996385E-1
5.039033750E-1,-1.189967394E-1,-4.348731339E-1,3.049027324E-1
5.139123751E-1,-1.256024390E-1,-4.598690271E-1,3.016105294E-1
5.239203750E-1,-9.710566700E-2,-3.684449494E-1,3.251328468E-1
5.339283750E-1,-9.473465383E-2,-3.601712883E-1,3.484693468E-1
5.439373751E-1,-1.314896643E-1,-3.851858974E-1,3.572621942E-1
5.539453750E-1,-1.522982866E-1,-4.106470644E-1,3.578007221E-1
5.639543750E-1,-1.507574022E-1,-4.129592478E-1,3.286435902E-1
5.739623751E-1,-1.408464611E-1,-3.397089839E-1,2.363991588E-1
5.839703750E-1,-1.317782104E-1,-2.994818091E-1,1.405767202E-1
5.939793751E-1,-1.226622090E-1,-3.038046360E-1,8.409934491E-2
6.039873750E-1,-1.024568528E-1,-2.881953716E-1,3.994518146E-2
6.139953750E-1,-8.277183771E-2,-2.985039353E-1,2.065430582E-2
6.240043751E-1,-5.591901392E-2,-3.250527978E-1,2.194891870E-2
6.340123750E-1,-1.240429282E-2,-3.052415252E-1,3.321781754E-2
6.440203751E-1,1.880865544E-2,-2.833090723E-1,4.905733839E-2
6.540293751E-1,4.302051663E-2,-2.603142858E-1,6.903477758E-2
6.640373750E-1,5.802362785E-2,-2.400611341E-1,8.176852763E-2
6.740453751E-1,5.772801861E-2,-2.266475856E-1,9.785827994E-2
6.840543750E-1,5.893508717E-2,-2.247113585E-1,1.101047844E-1
6.940623750E-1,6.164911762E-2,-2.006768584E-1,1.036245152E-1
7.040703751E-1,6.065984070E-2,-1.710443944E-1,7.849356532E-2
7.140793750E-1,4.555838183E-2,-1.527452767E-1,3.646142781E-2
7.240873751E-1,2.706357464E-2,-1.145092994E-1,2.368318383E-3
7.340953751E-1,-2.411229536E-3,-8.481213450E-2,-1.565648802E-2
7.441043750E-1,-2.719459683E-2,-5.663032830E-2,-1.206369232E-2
7.541123751E-1,-5.346854404E-2,-1.178372204E-1,5.290647969E-4
7.641203750E-1,-5.963410065E-2,-1.405467540E-1,1.984215528E-2
7.741293750E-1,-4.033816606E-2,-1.518084556E-1,2.382251620E-2
7.841373751E-1,-3.692704812E-2,-1.619306952E-1,1.500669308E-2
7.941453750E-1,-3.979367390E-2,-1.514191926E-1,1.878642011E-3
8.041543750E-1,-3.646826744E-2,-1.594679952E-1,-1.970902085E-2
