"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.076633336E-2,3.690427244E-1,3.804739416E-1,-1.847827435E-1
7.077433332E-2,4.652629793E-1,4.208117723E-1,-2.810349762E-1
8.078333328E-2,5.162050724E-1,4.898082018E-1,-3.925056458E-1
9.079133335E-2,5.561884642E-1,5.857565999E-1,-6.060578823E-1
1.007993333E-1,5.030559301E-1,5.635283589E-1,-9.251965284E-1
1.108073334E-1,2.225161344E-1,1.233754680E-1,-1.215461731E0
1.208163333E-1,5.033151247E-3,-1.908903271E-1,-1.009358406E0
1.308243333E-1,-9.131442755E-2,-2.240498811E-1,5.588741601E-2
1.408323334E-1,-2.061635256E-3,-7.198755443E-2,4.400779009E-1
1.508403333E-1,-2.885995992E-2,-2.155886590E-1,2.319031209E-1
1.608493333E-1,-8.385959268E-2,-3.809444010E-1,6.742601842E-2
1.708573333E-1,-1.435924321E-1,-3.739485443E-1,-1.179636270E-2
1.808653333E-1,-1.278811991E-1,-3.891538382E-1,-6.411939859E-2
1.908733334E-1,1.294637099E-3,-4.352552891E-1,-1.374218464E-1
2.008823333E-1,1.309642792E-1,-4.712520838E-1,-1.810819209E-1
2.108903333E-1,3.507792056E-1,-5.500243902E-1,-1.750370860E-1
2.208983334E-1,5.395237207E-1,-7.151234150E-1,-1.748183817E-1
2.309073333E-1,6.910610199E-1,-7.949772477E-1,-1.784669161E-1
2.409153333E-1,9.026448131E-1,-8.428530097E-1,-1.996694654E-1
2.509233333E-1,1.080088019E0,-7.962737679E-1,-1.682622731E-1
2.609313333E-1,1.194073081E0,-3.772547543E-1,-1.892754138E-1
2.709403334E-1,1.093284726E0,-1.968942210E-2,-1.812683493E-1
2.809483333E-1,8.391438723E-1,1.529431194E-1,-1.532702744E-1
2.909563333E-1,5.588336587E-1,3.418459296E-1,-1.231549680E-1
3.009643333E-1,3.559443951E-1,5.347983241E-1,-8.497565240E-2
3.109733333E-1,2.104987800E-1,6.931282878E-1,-6.550554931E-2
3.209813333E-1,6.730424613E-2,8.082001805E-1,-6.524114311E-2
3.309893333E-1,-4.572856054E-2,7.360865474E-1,-4.494892061E-2
3.409973333E-1,-1.404010057E-1,5.298753381E-1,1.970437728E-2
3.510063334E-1,-1.732223481E-1,2.148172259E-1,2.201546915E-2
3.610143333E-1,-1.765989661E-1,-5.229995772E-2,6.932732463E-2
3.710223333E-1,-1.898969263E-1,-1.583749950E-1,1.382395476E-1
3.810303333E-1,-2.458474487E-1,-1.988100559E-1,1.924630105E-1
