"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.469958341E-3,4.861889648E-1,9.812993774E0,-5.105882263E-1
1.147795829E-2,4.634362793E-1,9.814041595E0,-5.192701721E-1
2.148695826E-2,4.426295471E-1,9.826765137E0,-5.114863586E-1
3.149495833E-2,4.242178345E-1,9.834099884E0,-5.156776428E-1
4.150395829E-2,4.114942932E-1,9.857750702E0,-5.198689270E-1
5.151195836E-2,4.146377563E-1,9.854008484E0,-5.210664368E-1
6.152095832E-2,4.123924255E-1,9.876461792E0,-5.251080322E-1
7.152895827E-2,3.890409851E-1,9.888736267E0,-5.239105225E-1
8.153795835E-2,3.903881836E-1,9.879754944E0,-5.358856201E-1
9.154595830E-2,3.826043701E-1,9.871971130E0,-5.502557373E-1
1.015549583E-1,3.890409851E-1,9.858648834E0,-5.740562439E-1
1.115629583E-1,3.935316467E-1,9.850865021E0,-5.637277222E-1
1.215719583E-1,3.975732422E-1,9.842332764E0,-5.631289673E-1
1.315799584E-1,4.385879517E-1,9.851014709E0,-5.557942200E-1
1.415889583E-1,4.569996643E-1,9.874815216E0,-5.584886169E-1
1.515969583E-1,5.014572144E-1,9.863887939E0,-5.586383057E-1
1.616059584E-1,5.209167480E-1,9.858648834E0,-5.532495117E-1
1.716139583E-1,5.361849976E-1,9.864786072E0,-5.596861267E-1
1.816229583E-1,5.525010681E-1,9.854307861E0,-5.291496277E-1
1.916309583E-1,5.483097839E-1,9.856852570E0,-5.182223511E-1
2.016399583E-1,5.391787720E-1,9.853709106E0,-4.971162415E-1
2.116479583E-1,5.219645691E-1,9.814939728E0,-4.867877197E-1
2.216569583E-1,5.083428955E-1,9.785900116E0,-4.758604431E-1
2.316649583E-1,4.989125061E-1,9.790989532E0,-4.652325439E-1
2.416739583E-1,5.075944519E-1,9.808652802E0,-4.900808716E-1
2.516819583E-1,5.084925842E-1,9.822124786E0,-5.077441406E-1
2.616909583E-1,5.295986938E-1,9.832902374E0,-5.034031677E-1
2.716989584E-1,5.468128967E-1,9.838440857E0,-5.077441406E-1
2.817079583E-1,5.525010681E-1,9.841284943E0,-5.167254639E-1
2.917159583E-1,5.586383057E-1,9.839189301E0,-5.248086548E-1
3.017249583E-1,5.535488892E-1,9.853858795E0,-5.201683044E-1
3.117329583E-1,5.432203674E-1,9.865085449E0,-5.255570984E-1
3.217419583E-1,5.430706787E-1,9.878258057E0,-5.252577209E-1
3.317499583E-1,5.480104065E-1,9.878557434E0,-5.240602112E-1
3.417579583E-1,5.695655823E-1,9.862540741E0,-5.182223511E-1
3.517669584E-1,5.942642212E-1,9.821226654E0,-5.251080322E-1
3.617749583E-1,6.213578796E-1,9.806557159E0,-5.366340637E-1
3.717839583E-1,6.652166748E-1,9.820627899E0,-5.319937134E-1
3.817919584E-1,7.032376099E-1,9.859696655E0,-5.227130127E-1
3.918009583E-1,7.213499451E-1,9.900262299E0,-5.379812622E-1
4.018089583E-1,7.367678833E-1,9.889185333E0,-5.351371765E-1
4.118179583E-1,7.451504517E-1,9.877958679E0,-5.237608337E-1
4.218259583E-1,7.625143433E-1,9.863438873E0,-5.200186157E-1
4.318349583E-1,7.713459778E-1,9.841734009E0,-5.222639465E-1
4.418429583E-1,7.569758606E-1,9.839638367E0,-5.216651917E-1
4.518519583E-1,7.342231750E-1,9.845775604E0,-5.041516113E-1
4.618599584E-1,7.307803345E-1,9.867181091E0,-4.899311829E-1
4.718689583E-1,7.125183105E-1,9.869276733E0,-4.646337891E-1
4.818769583E-1,6.899153137E-1,9.868079224E0,-4.505630493E-1
4.918859584E-1,6.813830566E-1,9.848320312E0,-4.429289246E-1
5.018939583E-1,6.629713440E-1,9.830357666E0,-4.320016479E-1
5.119029583E-1,6.459068298E-1,9.828711090E0,-4.251159668E-1
5.219109583E-1,6.327342224E-1,9.833950195E0,-4.287084961E-1
5.319199583E-1,6.256988525E-1,9.845476227E0,-4.162843323E-1
5.419279583E-1,6.137237549E-1,9.857301636E0,-4.132905579E-1
5.519369583E-1,5.966592407E-1,9.852062531E0,-4.147874451E-1
5.619449583E-1,5.872288513E-1,9.847721558E0,-4.080514526E-1
5.719539584E-1,5.782475281E-1,9.842482452E0,-4.085005188E-1
5.819619583E-1,5.653742981E-1,9.830657043E0,-4.228706360E-1
5.919709583E-1,5.689668274E-1,9.836794281E0,-4.457730103E-1
6.019789584E-1,5.816903687E-1,9.835297394E0,-4.629872131E-1
6.119879583E-1,6.111790466E-1,9.822723541E0,-4.800517273E-1
6.219959583E-1,6.378236389E-1,9.819879456E0,-4.857398987E-1
6.320049583E-1,6.515950012E-1,9.816286926E0,-4.761598206E-1
6.420129583E-1,6.759942627E-1,9.829908600E0,-4.743635559E-1
6.520219583E-1,7.017407227E-1,9.870025177E0,-4.489164734E-1
6.620299583E-1,7.116201782E-1,9.896669769E0,-4.321513367E-1
6.720389583E-1,6.604266357E-1,9.930050354E0,-4.179309082E-1
6.820469584E-1,6.240522766E-1,9.902208252E0,-3.936813354E-1
6.920559583E-1,6.075865173E-1,9.867181091E0,-3.803590393E-1
