"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.065625042E-3,4.881498871E0,-9.715247040E0,-9.500743103E-1
1.207362500E-2,4.665198669E0,-8.839717712E0,-1.308279419E-1
2.208262496E-2,3.892655182E0,-8.389154663E0,-1.655557251E-1
3.209062503E-2,2.214195557E0,-8.210126953E0,-4.592449951E-1
4.209862498E-2,1.638492737E0,-8.732241211E0,-1.245410156E0
5.210662505E-2,1.654659119E0,-8.845256195E0,-1.893113251E0
6.211462501E-2,1.640588379E0,-8.407865753E0,-2.131417694E0
7.212362497E-2,1.136436768E0,-7.383994904E0,-1.863774261E0
8.213162504E-2,5.583389282E-1,-6.192921753E0,-1.809586945E0
9.213962499E-2,5.625302124E-1,-5.369633789E0,-1.657802582E0
1.021476251E-1,6.786886597E-1,-4.873265991E0,-2.120490417E0
1.121556250E-1,6.968009949E-1,-4.881947937E0,-2.621498566E0
1.221646250E-1,1.279838562E-1,-4.994513855E0,-3.243455200E0
1.321726250E-1,-1.469943237E-1,-5.112318878E0,-3.937561798E0
1.421806250E-1,-1.089733887E-1,-4.903203735E0,-4.183949432E0
1.521886250E-1,-1.821711731E-1,-4.954546967E0,-3.880231018E0
1.621966250E-1,-5.658233643E-2,-5.352868652E0,-3.655099182E0
1.722056250E-1,7.334747314E-3,-5.705235901E0,-3.652704163E0
1.822136251E-1,-1.919009399E-1,-6.030210114E0,-3.787424011E0
1.922216250E-1,-8.135581970E-1,-6.233637085E0,-3.798201599E0
2.022296250E-1,-1.647324371E0,-6.413862305E0,-4.171824646E0
2.122376250E-1,-2.324815521E0,-6.732100525E0,-4.340224457E0
2.222466250E-1,-2.825973358E0,-7.311994629E0,-4.277953949E0
2.322546249E-1,-3.102448425E0,-8.305478668E0,-4.377946014E0
2.422626250E-1,-3.008743286E0,-9.390422516E0,-4.532873840E0
2.522706250E-1,-2.345173187E0,-1.026610153E1,-4.657265167E0
2.622786250E-1,-1.595382385E0,-1.078177917E1,-4.755610657E0
2.722876250E-1,-1.006656647E0,-1.089434509E1,-4.509821777E0
2.822956250E-1,-4.323010254E-1,-1.042611877E1,-3.427272949E0
2.923036250E-1,-3.502716064E-1,-9.340276794E0,-6.150709534E0
3.023116250E-1,3.519181824E-1,-1.123548569E1,-9.227261810E0
3.123206251E-1,2.700833588E0,-1.316572174E1,-6.324647827E0
3.223286250E-1,1.858535156E0,-1.333516937E1,-4.694387970E0
3.323366250E-1,9.339079285E-1,-1.358919113E1,-5.188061371E0
3.423446250E-1,8.705895996E-1,-1.426743073E1,-3.910168762E0
3.523526250E-1,2.324665833E-1,-1.310360092E1,-2.292333069E0
