"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.517233337E-2,1.640249938E-1,1.439923942E-1,-4.638652131E-2
5.518133333E-2,1.752594411E-1,1.190876961E-1,-5.392107368E-2
6.518933340E-2,1.801564544E-1,1.127994359E-1,-4.935641587E-2
7.519733335E-2,1.688075066E-1,1.255536079E-1,-3.565837070E-2
8.520633331E-2,1.541963369E-1,1.449597925E-1,-1.988286898E-2
9.521433339E-2,1.445503682E-1,1.520113051E-1,-9.762590751E-3
1.052223333E-1,1.300925910E-1,1.625560969E-1,1.048702002E-2
1.152303333E-1,1.095670685E-1,1.750384271E-1,1.937945932E-2
1.252393334E-1,8.721914887E-2,1.777892113E-1,2.882782370E-2
1.352473333E-1,6.152564287E-2,1.737874746E-1,3.046959080E-2
1.452553334E-1,3.787543997E-2,1.574505717E-1,3.470614552E-2
1.552643334E-1,1.982746273E-2,1.343654990E-1,4.328658432E-2
1.652723333E-1,1.190056186E-2,9.916836023E-2,4.556358978E-2
1.752803334E-1,6.388108246E-3,8.641624451E-2,3.904242814E-2
1.852883333E-1,1.931840554E-3,8.407452703E-2,3.793428838E-2
1.952973333E-1,-9.400689043E-3,9.931425750E-2,3.176639974E-2
2.053053334E-1,-1.961897127E-2,1.046003625E-1,2.661771141E-2
2.153133333E-1,-2.920790389E-2,8.294451237E-2,1.995804906E-2
2.253223334E-1,-2.707630768E-2,5.725565925E-2,1.259920187E-2
2.353303334E-1,-2.485247888E-2,5.786192417E-2,1.933588833E-2
2.453383333E-1,-2.483063936E-2,5.757537112E-2,1.403886080E-2
2.553463334E-1,-3.733132407E-2,4.852320626E-2,6.604155060E-3
2.653553333E-1,-5.286234617E-2,2.713322826E-2,-1.902780496E-3
2.753633333E-1,-7.058250904E-2,-4.276086111E-4,-7.377701811E-3
2.853713334E-1,-8.059306443E-2,-2.301467583E-2,-1.268218644E-2
2.953803333E-1,-8.531047404E-2,-2.451667190E-2,-9.855963290E-3
3.053885000E-1,-8.499089628E-2,-2.462426201E-2,-8.186694235E-3
3.153965001E-1,-8.665426075E-2,-2.993347682E-2,-6.239679642E-3
3.254045000E-1,-8.312130719E-2,-4.577688873E-2,3.899931908E-4
3.354135000E-1,-7.324757427E-2,-6.191248074E-2,-4.035281949E-3
3.454215000E-1,-6.293075532E-2,-7.551910728E-2,-3.473887686E-3
3.554295000E-1,-5.707715452E-2,-8.920469135E-2,-5.675367545E-3
3.654385000E-1,-5.899383128E-2,-9.733586013E-2,-7.071130443E-3
3.754465000E-1,-5.211554840E-2,-9.812316298E-2,-3.702834481E-3
3.854545000E-1,-3.956913203E-2,-1.045107543E-1,-2.306539100E-3
3.954625000E-1,-2.928286791E-2,-1.123012155E-1,-2.622963395E-3
4.054715000E-1,-1.683791727E-2,-1.026690975E-1,1.522247214E-3
4.154795000E-1,-5.843925290E-3,-9.118749201E-2,3.429376986E-3
4.254875000E-1,-2.827629447E-3,-7.582823932E-2,7.150345948E-3
4.354965000E-1,4.354543053E-3,-4.492204636E-2,1.058920100E-2
4.455045001E-1,3.632027656E-3,-1.830881462E-2,1.831982471E-2
4.555125000E-1,5.169245414E-3,1.765206084E-2,2.837177366E-2
4.655205000E-1,4.631737247E-4,5.450621247E-2,3.488560021E-2
4.755295001E-1,2.507815138E-3,8.766477555E-2,4.215716198E-2
4.855375000E-1,8.915420622E-4,1.174759343E-1,4.284851998E-2
4.955455000E-1,2.786403522E-3,1.496747732E-1,4.734032974E-2
5.055545000E-1,8.242421784E-3,1.766573936E-1,5.028019473E-2
5.155625000E-1,1.690040156E-2,2.037505955E-1,5.401285738E-2
5.255705001E-1,2.107570693E-2,2.231911272E-1,5.413269624E-2
5.355785000E-1,2.743948437E-2,2.463776469E-1,4.768085107E-2
5.455875000E-1,2.243780158E-2,2.630591691E-1,4.245306551E-2
5.555955000E-1,1.866004057E-2,2.807503045E-1,3.946889192E-2
5.656035000E-1,1.806855202E-2,3.026516140E-1,3.863558918E-2
5.756125000E-1,1.650108583E-2,3.279522359E-1,3.827895597E-2
5.856205000E-1,1.421209984E-2,3.560342193E-1,3.978177533E-2
5.956285000E-1,1.816356182E-2,3.921722174E-1,3.787542507E-2
6.056365001E-1,1.751800999E-2,4.250116646E-1,4.162382334E-2
6.156455000E-1,2.149775252E-2,4.622996151E-1,4.413615912E-2
6.256535000E-1,2.225542068E-2,4.911490977E-1,4.624085501E-2
6.356615000E-1,2.292998135E-2,5.124344230E-1,5.119566992E-2
6.456695000E-1,2.437074855E-2,5.298286080E-1,5.638510734E-2
6.556785000E-1,2.158035338E-2,5.506418347E-1,5.042785034E-2
6.656865000E-1,1.564869657E-2,5.653110147E-1,4.797587916E-2
6.756945000E-1,9.412727319E-3,5.722148418E-1,3.972216696E-2
6.857035001E-1,-7.229978219E-4,5.709197521E-1,3.510610759E-2
6.957115000E-1,-1.417922787E-3,5.671601295E-1,3.128092736E-2
7.057195000E-1,-5.114124157E-3,5.625497103E-1,3.221835941E-2
7.157275000E-1,-6.039976608E-3,5.422464609E-1,3.783996776E-2
7.257365000E-1,-5.211467389E-3,5.273112059E-1,4.040512443E-2
7.357445001E-1,-3.156039864E-3,5.099418163E-1,3.682610020E-2
7.457525000E-1,-8.334964514E-4,4.933774769E-1,3.791666403E-2
7.557615000E-1,4.111747257E-3,4.786672890E-1,3.228087723E-2
7.657695001E-1,3.559407778E-3,4.600445926E-1,2.801822126E-2
7.757775000E-1,4.502034746E-3,4.357477129E-1,2.012214623E-2
7.857855000E-1,5.905254744E-3,4.136115313E-1,1.845926791E-2
7.957945000E-1,1.128996443E-2,3.900256157E-1,1.710555516E-2
8.058025000E-1,1.681922004E-2,3.653146625E-1,1.822621375E-2
8.158105001E-1,2.230720222E-2,3.396130204E-1,2.015566267E-2
8.258195000E-1,2.458899841E-2,3.273094893E-1,1.924326457E-2
8.358275000E-1,2.291837335E-2,3.235886097E-1,1.616106741E-2
8.458355000E-1,1.830817573E-2,3.196532428E-1,1.211998612E-2
8.558435000E-1,1.691045985E-2,3.102313876E-1,6.551360246E-3
8.658525000E-1,1.263715141E-2,2.950558960E-1,-1.885800157E-3
8.758605000E-1,1.078272332E-2,2.836975455E-1,-8.272158913E-3
8.858685000E-1,1.094064955E-2,2.734627724E-1,-8.148321882E-3
8.958775001E-1,1.081945561E-2,2.718981206E-1,-1.051133592E-2
9.058855000E-1,9.243397042E-3,2.625006139E-1,-5.574101582E-3
9.158935000E-1,1.012334786E-2,2.524002492E-1,-3.887142520E-3
9.259015000E-1,1.362860017E-2,2.396564931E-1,-8.769715205E-4
9.359105000E-1,1.869919151E-2,2.293114662E-1,-1.870695967E-3
9.459185000E-1,2.018576860E-2,2.167522758E-1,3.800505307E-3
9.559265000E-1,1.889928803E-2,2.074895203E-1,5.157471634E-3
9.659355000E-1,1.978665218E-2,1.895672381E-1,1.157936640E-3
9.759435001E-1,1.979563944E-2,1.788568348E-1,1.460904256E-3
9.859515000E-1,1.757616177E-2,1.728149354E-1,2.594612539E-3
