"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.525733332E-2,-4.427595809E-2,1.559298337E-1,-1.366161853E-1
5.532433325E-2,-4.192218930E-2,1.821110100E-1,-1.454788893E-1
6.539033330E-2,-2.325529605E-2,1.664865166E-1,-1.231994182E-1
7.545733324E-2,5.081874784E-3,1.289503574E-1,-9.522726387E-2
8.552433329E-2,2.453014255E-2,5.229845643E-2,-7.048623264E-2
9.559033334E-2,5.261253938E-2,-3.111658385E-3,-5.866491422E-2
1.056573333E-1,6.488944590E-2,-3.869788349E-2,-5.697407573E-2
1.157243333E-1,5.954934284E-2,-4.303582385E-2,-6.187177077E-2
1.257903333E-1,4.296264052E-2,-4.137001559E-2,-5.183458328E-2
1.358573333E-1,3.030683845E-2,-5.979714915E-2,-3.142372519E-2
1.459270000E-1,1.799478009E-2,-8.058338612E-2,-6.062440574E-3
1.559939999E-1,8.113146760E-3,-1.037500575E-1,2.109906077E-2
1.660610000E-1,-3.981066868E-3,-1.083796993E-1,4.324963689E-2
1.761270000E-1,-1.519340742E-2,-9.567034990E-2,6.191156805E-2
1.861940000E-1,-1.442561764E-2,-7.859496027E-2,6.609858572E-2
1.962610000E-1,-2.366741560E-2,-3.535013646E-2,6.827527285E-2
2.063269999E-1,-2.146258391E-2,3.506180365E-3,6.146903336E-2
2.163940000E-1,-1.805930026E-2,2.056349814E-2,4.742251709E-2
2.264599999E-1,-1.960686408E-2,2.883607708E-2,3.969961777E-2
2.365270000E-1,-1.484526601E-2,6.395416334E-3,3.710589558E-2
2.465939999E-1,-1.237145532E-2,-1.280144788E-2,3.383153677E-2
2.566600000E-1,-1.533581875E-2,-3.389923275E-2,3.618173674E-2
2.667270000E-1,-1.635660790E-2,-4.852291569E-2,4.138741642E-2
2.767939999E-1,-1.618366875E-2,-6.421467662E-2,5.010332912E-2
2.868600000E-1,-1.507046632E-2,-8.176357299E-2,5.355931073E-2
2.969269999E-1,-6.418052129E-3,-8.724059910E-2,5.423938483E-2
3.069940000E-1,-8.622351103E-3,-1.005891636E-1,4.057124630E-2
3.170599999E-1,-6.405375898E-3,-1.044947132E-1,2.244629711E-2
3.271270000E-1,-6.760908291E-3,-1.695408374E-1,1.440967340E-2
3.371930000E-1,1.025842316E-2,-1.614501178E-1,-1.936655492E-2
3.472600000E-1,-1.139760390E-2,-3.066467866E-2,-3.676498681E-2
3.573270000E-1,-1.935616136E-2,8.104619337E-4,-4.170668870E-2
3.673929999E-1,-9.711257182E-3,6.288584322E-3,-3.409590572E-2
3.774600000E-1,6.019902416E-3,-1.723823952E-3,-2.217624150E-2
3.875269999E-1,2.808312699E-2,-5.464616045E-2,-3.825286403E-4
3.975930000E-1,6.225294620E-2,-4.948683828E-2,9.019650519E-3
4.076599999E-1,7.164058834E-2,-4.376104102E-2,2.861172706E-2
4.177260000E-1,8.139951527E-2,-6.779416651E-2,4.293959588E-2
4.277930000E-1,1.018898711E-1,-8.774363995E-2,5.686020851E-2
4.378599999E-1,1.220676154E-1,-1.108640581E-1,6.794217229E-2
4.479260000E-1,1.429132372E-1,-1.265170574E-1,8.088300377E-2
4.579929999E-1,1.699696481E-1,-1.278861016E-1,9.838690609E-2
4.680600000E-1,2.015392929E-1,-9.289615601E-2,1.115775481E-1
4.781259999E-1,2.243584692E-1,-4.260527343E-2,1.185008064E-1
4.881930000E-1,2.372899801E-1,6.861081347E-3,1.223938242E-1
4.982590000E-1,2.673472762E-1,6.388476491E-2,1.145075262E-1
5.083260000E-1,3.577850163E-1,1.586632133E-1,1.120888442E-1
5.183930000E-1,4.247575104E-1,2.302737236E-1,8.271048963E-2
5.284589999E-1,4.338410199E-1,2.974855304E-1,3.056873009E-2
5.385260000E-1,5.480425358E-1,4.526028931E-1,-4.763538949E-3
5.485929999E-1,6.420422792E-1,6.457793117E-1,-5.114728212E-2
5.586590000E-1,7.839232087E-1,7.655571103E-1,-8.480511606E-3
5.687259999E-1,8.017495871E-1,8.564934134E-1,3.050177358E-3
5.787920000E-1,6.481493711E-1,9.232439995E-1,-1.427990571E-2
5.888590000E-1,4.848789275E-1,9.587844014E-1,1.117432117E-2
5.989259999E-1,3.015053868E-1,9.812255502E-1,5.216296762E-3
6.089920000E-1,1.302145869E-1,9.947527647E-1,3.002677113E-3
6.190589999E-1,6.235231832E-2,9.713557959E-1,2.251368389E-2
6.291260000E-1,4.203719273E-2,8.990848064E-1,4.106020182E-2
6.391919999E-1,1.605868712E-2,7.859672904E-1,5.962222070E-2
6.492590000E-1,-2.239576168E-2,6.851357818E-1,8.572971821E-2
6.593250000E-1,-5.827616155E-2,5.755080581E-1,1.137933582E-1
6.693920000E-1,-1.011051163E-1,4.632830024E-1,1.354035735E-1
6.794590000E-1,-1.527768672E-1,3.548069000E-1,1.459546089E-1
6.895249999E-1,-1.983813643E-1,2.684810758E-1,1.538159996E-1
6.995920000E-1,-2.240312397E-1,1.948880553E-1,1.573894769E-1
7.096589999E-1,-2.463557422E-1,1.236588806E-1,1.607360095E-1
7.197250000E-1,-2.679541707E-1,6.040360779E-2,1.629256308E-1
7.297919999E-1,-2.767367661E-1,3.804184124E-2,1.650279313E-1
7.398590000E-1,-2.715952396E-1,3.304916993E-2,1.735359728E-1
7.499250000E-1,-2.535869479E-1,5.229077488E-2,1.806647182E-1
7.599919999E-1,-2.205802500E-1,8.744972944E-2,1.904997081E-1
7.700580000E-1,-1.758588403E-1,1.263068616E-1,2.053231299E-1
7.801249999E-1,-1.264619976E-1,1.636588871E-1,2.207751870E-1
7.901920000E-1,-7.853496075E-2,1.927110404E-1,2.419244200E-1
8.002579999E-1,-3.442013264E-2,2.523262203E-1,2.844659686E-1
8.103250000E-1,-1.395400427E-2,3.010120094E-1,3.027988970E-1
8.203919999E-1,1.898859814E-2,3.611732721E-1,3.208925724E-1
8.304580000E-1,4.574271664E-2,4.310900271E-1,3.331966400E-1
8.405250000E-1,6.031673029E-2,5.319867730E-1,3.486998677E-1
8.505909999E-1,6.648460776E-2,6.235718131E-1,3.624140620E-1
8.606580000E-1,6.476880610E-2,6.897484660E-1,3.721824586E-1
8.707249999E-1,7.275163382E-2,7.327510715E-1,3.921950459E-1
8.807910000E-1,6.394462287E-2,8.285833001E-1,3.763337731E-1
8.908579999E-1,2.660523914E-2,9.059126973E-1,3.183820546E-1
9.009250000E-1,-1.320881583E-2,9.607581496E-1,2.329321504E-1
9.109910000E-1,-6.716179848E-2,9.143962264E-1,1.962484419E-1
9.210579999E-1,-7.253213227E-2,8.734248281E-1,1.766282171E-1
9.311250000E-1,-7.057870179E-2,8.158440590E-1,1.625813693E-1
9.411909999E-1,-7.786241174E-2,7.876281738E-1,1.218073666E-1
9.512580000E-1,-9.260141850E-2,7.926080227E-1,7.586225122E-2
9.613239999E-1,-1.145787239E-1,8.092856407E-1,2.828767151E-2
9.713910000E-1,-1.370267719E-1,8.074771166E-1,-1.593278535E-2
9.814579999E-1,-1.708378941E-1,7.861239910E-1,-6.055440009E-2
9.915240000E-1,-2.224528790E-1,8.078804016E-1,-1.002453566E-1
1.001591000E0,-3.018500805E-1,8.315546513E-1,-1.302547455E-1
1.011658000E0,-3.863737583E-1,8.375600576E-1,-1.521547139E-1
1.021724000E0,-4.556279480E-1,7.982953787E-1,-1.645216495E-1
1.031791000E0,-4.999277592E-1,7.396779060E-1,-1.623828709E-1
1.041857000E0,-4.959798753E-1,6.776460409E-1,-1.389814913E-1
1.051924000E0,-4.403022528E-1,5.793274641E-1,-1.098917872E-1
1.061991000E0,-3.586579859E-1,4.132278860E-1,-1.052830964E-1
1.072057000E0,-2.578536272E-1,2.366275489E-1,-1.491051465E-1
1.082124000E0,-1.324364692E-1,1.019485518E-1,-2.281016409E-1
1.092191000E0,2.303859964E-2,6.544531323E-3,-3.285781741E-1
1.102257000E0,1.859826446E-1,-1.438894719E-1,-4.683859944E-1
1.112324000E0,3.501012623E-1,-3.306607008E-1,-6.235611439E-1
1.122390000E0,5.025814772E-1,-4.999636710E-1,-8.076811433E-1
1.132457000E0,6.341102123E-1,-5.075172186E-1,-1.027669787E0
1.142520250E0,6.919362545E-1,-4.111381173E-1,-1.221093297E0
1.152586250E0,6.391555667E-1,-3.490350842E-1,-1.360647440E0
1.162653250E0,4.966356456E-1,-3.212437928E-1,-1.387473583E0
1.172720250E0,3.553149998E-1,-2.938089669E-1,-1.360597968E0
1.182786250E0,3.546116352E-1,-2.517314851E-1,-1.324156046E0
1.192853250E0,4.824196696E-1,-3.616100252E-1,-1.160663843E0
1.202920250E0,6.130467653E-1,-7.068750858E-1,-9.992898107E-1
1.212986250E0,8.602850437E-1,-9.059751034E-1,-8.288052082E-1
1.223053250E0,1.130585551E0,-9.252379537E-1,-6.606507897E-1
1.233119250E0,1.420718312E0,-6.048727036E-1,-5.511048436E-1
1.243186250E0,1.717165232E0,-2.742459774E-1,-4.684448242E-1
1.253253250E0,1.913319111E0,-3.983853757E-2,-4.788450003E-1
1.263319250E0,1.989683151E0,1.140091643E-1,-4.627927840E-1
1.273386250E0,1.977471471E0,-1.064754371E-2,-4.725135863E-1
1.283453250E0,1.751701474E0,-3.322135508E-1,-5.333659649E-1
1.293519250E0,1.490046263E0,-6.275717020E-1,-6.703462005E-1
1.303586250E0,1.223325253E0,-8.000288010E-1,-8.213686943E-1
1.313653250E0,8.620011210E-1,-8.379167914E-1,-9.346302748E-1
1.323719250E0,3.966164291E-1,-4.809949994E-1,-1.117605209E0
1.333786250E0,2.606333196E-1,-2.226430625E-1,-1.074429274E0
1.343852250E0,2.381016314E-1,-3.645174503E-1,-9.144046307E-1
1.353919250E0,3.285194337E-1,-6.793441176E-1,-8.140289783E-1
1.363986250E0,4.996632338E-1,-1.020067215E0,-7.141541243E-1
