"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.785194300E-2,-1.297508121E0,3.133401155E0,8.219346046E0
2.020038100E-2,-1.654038668E0,3.195614576E0,8.861818314E0
2.254887000E-2,-1.645065546E0,3.147160053E0,8.761918068E0
2.489730800E-2,-1.672582984E0,3.136392355E0,8.569893837E0
2.724579700E-2,-1.799402595E0,3.193820000E0,8.343173981E0
2.959423500E-2,-1.920240164E0,3.299104214E0,8.091927528E0
3.194272400E-2,-2.050648928E0,3.433700562E0,7.868797302E0
3.429116200E-2,-2.138585329E0,3.567698479E0,7.732406139E0
3.663959900E-2,-2.251646042E0,3.650250912E0,7.673183918E0
3.898808900E-2,-2.350948334E0,3.708276987E0,7.619345665E0
4.133652600E-2,-2.450848579E0,3.738785267E0,7.632505894E0
4.368501600E-2,-2.571686029E0,3.712464333E0,7.731808186E0
4.603345300E-2,-2.706282377E0,3.675973892E0,7.750352383E0
4.838194300E-2,-2.816352367E0,3.635295868E0,7.773682594E0
5.073038100E-2,-2.941377163E0,3.598805189E0,7.787441254E0
5.307887000E-2,-2.994019270E0,3.575475216E0,7.786843300E0
5.542730800E-2,-2.772084951E0,3.739383698E0,7.801798344E0
5.777574500E-2,-2.873181820E0,3.712464333E0,7.805985451E0
6.012423500E-2,-3.025724173E0,3.695116282E0,7.766504288E0
6.247267200E-2,-3.131008387E0,3.662813187E0,7.722237110E0
6.482116200E-2,-3.270988464E0,3.613760471E0,7.898707390E0
6.716959900E-2,-3.452843189E0,3.626920938E0,8.035696983E0
6.951808900E-2,-3.561118364E0,3.579064369E0,8.418548584E0
7.186652600E-2,-3.617349625E0,3.482155085E0,8.773882866E0
7.421501600E-2,-3.603590965E0,3.318246841E0,9.254241943E0
7.656345300E-2,-3.568894863E0,3.171686411E0,9.591629982E0
7.891189100E-2,-3.547957659E0,3.048455954E0,9.775279045E0
8.126038100E-2,-3.529413462E0,3.039483070E0,9.890732765E0
8.360881800E-2,-3.525225878E0,3.040679455E0,1.000558758E1
8.595730800E-2,-3.483351469E0,3.031108141E0,1.014018440E1
8.830574500E-2,-3.403192043E0,3.007179976E0,1.025145054E1
9.065423500E-2,-3.303889751E0,2.992224693E0,1.035793114E1
9.300267200E-2,-3.271586657E0,3.017349243E0,1.057328510E1
9.535111000E-2,-3.176471949E0,3.079562664E0,1.082213879E1
9.769959900E-2,-3.037688255E0,3.121437073E0,1.089093208E1
1.000480370E-1,-2.873181820E0,3.213560820E0,1.077069283E1
1.023965260E-1,-2.752344131E0,3.276970625E0,1.057986546E1
1.047449640E-1,-2.639881611E0,3.365504980E0,1.039801121E1
1.070934530E-1,-2.556730986E0,3.444468260E0,1.024008465E1
1.094418910E-1,-2.474178553E0,3.485744476E0,1.016351414E1
1.117903810E-1,-2.391027927E0,3.525824070E0,9.982257843E0
1.141388180E-1,-2.342573404E0,3.528815269E0,9.809974670E0
1.164872560E-1,-2.347358942E0,3.513859987E0,9.757930756E0
