"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.315501600E-2,-4.181249440E-1,8.617527485E-1,-1.959292591E-1
4.550345300E-2,-4.355340898E-1,8.645015955E-1,-1.850867122E-1
4.785194300E-2,-4.506525695E-1,8.588512540E-1,-1.753131598E-1
5.020038100E-2,-4.666872919E-1,8.652651310E-1,-1.630962193E-1
5.254887000E-2,-4.792096615E-1,8.680139780E-1,-1.522536725E-1
5.489730800E-2,-4.892886579E-1,8.670976758E-1,-1.400367320E-1
5.724574500E-2,-5.018110275E-1,8.612946272E-1,-1.302631795E-1
5.959423500E-2,-5.143333673E-1,8.603783846E-1,-1.229330078E-1
6.194267200E-2,-5.230379701E-1,8.727480173E-1,-1.133121699E-1
6.429116200E-2,-5.277720094E-1,8.958075047E-1,-9.880454093E-2
6.663959900E-2,-5.312843919E-1,9.272661209E-1,-8.307522535E-2
6.898808900E-2,-5.248705149E-1,9.538379908E-1,-6.368082762E-2
7.133652600E-2,-5.114318728E-1,9.657495022E-1,-4.184303805E-2
7.368501600E-2,-4.957025647E-1,9.596410394E-1,-1.847812906E-2
7.603345300E-2,-4.766135812E-1,9.378032684E-1,2.596100792E-3
7.838189100E-2,-4.448495209E-1,9.252808690E-1,1.985253580E-2
8.073038100E-2,-4.056025743E-1,9.222266674E-1,3.955236077E-2
8.307881800E-2,-3.611634374E-1,9.336800575E-1,6.032116711E-2
8.542730800E-2,-3.116848171E-1,9.486457705E-1,8.108997345E-2
8.777574500E-2,-2.635805905E-1,9.634588361E-1,1.032331884E-1
9.012423500E-2,-2.128802687E-1,9.747595191E-1,1.215586066E-1
9.247267200E-2,-1.621799469E-1,9.883508682E-1,1.363716573E-1
9.482111000E-2,-1.029277667E-1,9.898779988E-1,1.511846930E-1
9.716959900E-2,-4.016320780E-2,9.851438999E-1,1.672194302E-1
9.951803700E-2,1.771457121E-2,9.733850956E-1,1.785201132E-1
1.018665260E-1,7.207997888E-2,9.723161459E-1,1.835595965E-1
1.042149640E-1,1.227803007E-1,9.775083065E-1,1.861557066E-1
1.065634530E-1,1.675248593E-1,9.886562824E-1,1.873773932E-1
1.089118910E-1,2.086043358E-1,1.002400398E0,1.824906170E-1
1.112603810E-1,2.470877171E-1,1.013701081E0,1.800472289E-1
1.136088180E-1,2.783936262E-1,1.026223421E0,1.702736765E-1
1.159572560E-1,3.069507480E-1,1.032942772E0,1.629435122E-1
1.183057450E-1,3.358132839E-1,1.047908425E0,1.519482583E-1
1.206541830E-1,3.636068404E-1,1.071426034E0,1.383569092E-1
1.230026720E-1,3.865135908E-1,1.098608851E0,1.247655526E-1
1.253511100E-1,4.057552814E-1,1.134343386E0,1.099525094E-1
1.276995990E-1,4.188885093E-1,1.180920482E0,9.620844573E-2
1.300480370E-1,4.285093546E-1,1.228871942E0,8.124268800E-2
1.323965260E-1,4.355340898E-1,1.273158431E0,7.116370648E-2
1.347449640E-1,4.497362971E-1,1.313779712E0,6.352811307E-2
1.370934530E-1,4.628695250E-1,1.359287858E0,6.200099736E-2
1.394418910E-1,4.746283293E-1,1.403727055E0,6.291726977E-2
1.417903280E-1,4.790569544E-1,1.450609565E0,6.505523622E-2
1.441388180E-1,4.822639227E-1,1.503600478E0,6.704048812E-2
1.464872560E-1,4.805840850E-1,1.562547326E0,6.795676053E-2
1.488357450E-1,4.827220440E-1,1.620425105E0,6.627693027E-2
1.511841830E-1,4.847072959E-1,1.675706744E0,6.459710002E-2
1.535326720E-1,4.854708612E-1,1.725032687E0,6.673506647E-2
1.558811100E-1,4.923428893E-1,1.771915197E0,6.398624927E-2
1.582295470E-1,5.041016936E-1,1.807802439E0,6.368082762E-2
1.605780370E-1,5.205945969E-1,1.840024710E0,5.986303091E-2
1.629264740E-1,5.360184908E-1,1.866138339E0,5.360184610E-2
1.652749640E-1,5.486935377E-1,1.887670755E0,4.856235534E-2
1.676234010E-1,5.662553906E-1,1.902941942E0,4.489727318E-2
1.699718910E-1,5.856497884E-1,1.944632292E0,3.603998944E-2
1.723203280E-1,6.186355352E-1,1.993347287E0,3.084778599E-2
1.746688180E-1,6.609367132E-1,2.007091284E0,2.596100792E-2
1.770172560E-1,7.015580535E-1,1.994263530E0,2.626643144E-2
1.793656930E-1,7.383615971E-1,1.979145169E0,2.641914412E-2
1.817141830E-1,7.740961909E-1,1.959139824E0,2.550287358E-2
1.840626200E-1,8.035695553E-1,1.936996698E0,2.687728032E-2
1.864111100E-1,8.338065147E-1,1.900345802E0,3.466558084E-2
1.887595470E-1,8.539644480E-1,1.851783514E0,4.489727318E-2
1.911080370E-1,8.619054556E-1,1.804748178E0,5.375456065E-2
1.934564740E-1,8.562551737E-1,1.777260065E0,6.612421572E-2
1.958049120E-1,8.435800672E-1,1.761988878E0,7.482878864E-2
1.981534010E-1,8.235748410E-1,1.750230074E0,7.971556485E-2
2.005018390E-1,7.999044657E-1,1.741067410E0,8.215895295E-2
2.028503280E-1,7.727217674E-1,1.747634053E0,8.078455180E-2
2.051987660E-1,7.473716140E-1,1.794974685E0,7.666133344E-2
2.075472560E-1,7.293516397E-1,1.829029441E0,7.146912813E-2
2.098956930E-1,7.209524512E-1,1.831472754E0,5.925218388E-2
2.122441830E-1,7.125533223E-1,1.827960372E0,3.970507160E-2
