Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
25.00,0.85,-1.52,0.39
25.00,0.86,-1.49,0.41
25.00,0.88,-1.46,0.42
25.00,0.91,-1.44,0.44
25.01,0.93,-1.44,0.46
25.01,0.95,-1.43,0.49
25.01,0.97,-1.44,0.51
25.01,0.99,-1.46,0.53
25.02,0.99,-1.48,0.55
25.02,0.99,-1.52,0.58
25.02,0.98,-1.56,0.61
25.02,0.96,-1.61,0.64
25.03,0.94,-1.67,0.67
25.03,0.91,-1.72,0.70
25.03,0.89,-1.77,0.72
25.03,0.86,-1.82,0.73
25.03,0.83,-1.87,0.74
25.04,0.80,-1.92,0.75
25.04,0.77,-1.96,0.75
25.04,0.74,-2.00,0.75
25.04,0.72,-2.03,0.75
25.05,0.70,-2.05,0.73
25.05,0.69,-2.06,0.71
25.05,0.69,-2.07,0.68
25.05,0.70,-2.07,0.65
25.06,0.70,-2.05,0.61
25.06,0.72,-2.03,0.57
25.06,0.73,-1.99,0.53
25.06,0.74,-1.96,0.49
25.07,0.76,-1.93,0.44
25.07,0.78,-1.89,0.40
25.07,0.79,-1.86,0.36
25.07,0.80,-1.83,0.32
25.08,0.81,-1.81,0.29
25.08,0.82,-1.78,0.25
25.08,0.84,-1.74,0.22
25.08,0.85,-1.71,0.18
25.08,0.86,-1.67,0.15
25.09,0.87,-1.62,0.13
25.09,0.89,-1.57,0.11
25.09,0.91,-1.52,0.09
25.09,0.92,-1.45,0.07
25.10,0.95,-1.39,0.05
25.10,0.97,-1.34,0.04
25.10,0.99,-1.29,0.02
25.10,1.02,-1.23,0.01
25.11,1.05,-1.17,0.01
25.11,1.08,-1.13,0.00
25.11,1.10,-1.10,0.00
25.11,1.13,-1.06,0.00
25.12,1.16,-1.02,0.01
25.12,1.19,-0.97,0.01
25.12,1.23,-0.93,0.02
25.12,1.26,-0.88,0.03
25.12,1.29,-0.86,0.04
25.13,1.30,-0.88,0.04
25.13,1.31,-0.88,0.05
25.13,1.33,-0.85,0.06
25.13,1.34,-0.82,0.09
25.14,1.36,-0.78,0.11
25.14,1.37,-0.73,0.14
25.14,1.38,-0.68,0.16
25.14,1.38,-0.62,0.18
25.15,1.40,-0.53,0.19
25.15,1.40,-0.50,0.21
25.15,1.38,-0.52,0.23
25.15,1.35,-0.54,0.25
25.16,1.31,-0.57,0.28
25.16,1.26,-0.59,0.30
25.16,1.21,-0.61,0.32
25.16,1.16,-0.63,0.33
25.17,1.11,-0.63,0.34
25.17,1.06,-0.66,0.34
25.17,1.00,-0.71,0.33
25.17,0.94,-0.74,0.34
25.17,0.90,-0.73,0.35
25.18,0.87,-0.72,0.35
25.18,0.84,-0.73,0.35
25.18,0.81,-0.76,0.35
25.18,0.78,-0.80,0.35
25.19,0.75,-0.83,0.34
25.19,0.74,-0.86,0.33
25.19,0.72,-0.89,0.33
25.19,0.71,-0.91,0.32
25.20,0.70,-0.93,0.32
25.20,0.69,-0.97,0.31
25.20,0.67,-1.05,0.27
25.20,0.64,-1.14,0.24
25.21,0.62,-1.19,0.23
25.21,0.61,-1.21,0.22
25.21,0.59,-1.23,0.20
25.21,0.57,-1.26,0.18
25.22,0.56,-1.27,0.16
25.22,0.54,-1.27,0.14
