Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
16.00,0.15,0.22,0.47
16.00,0.15,0.21,0.47
16.00,0.15,0.19,0.48
16.00,0.15,0.18,0.49
16.01,0.15,0.17,0.49
16.01,0.15,0.16,0.50
16.01,0.16,0.14,0.50
16.01,0.16,0.13,0.50
16.01,0.17,0.11,0.51
16.02,0.17,0.10,0.53
16.02,0.18,0.09,0.54
16.02,0.19,0.07,0.54
16.02,0.19,0.06,0.55
16.03,0.20,0.05,0.56
16.03,0.21,0.04,0.57
16.03,0.21,0.03,0.58
16.03,0.22,0.03,0.58
16.04,0.23,0.03,0.59
16.04,0.23,0.02,0.60
16.04,0.24,0.02,0.61
16.04,0.24,0.03,0.61
16.05,0.24,0.03,0.62
16.05,0.23,0.03,0.62
16.05,0.23,0.04,0.62
16.05,0.22,0.04,0.62
16.06,0.20,0.05,0.62
16.06,0.19,0.06,0.62
16.06,0.17,0.07,0.61
16.06,0.14,0.08,0.60
16.06,0.12,0.09,0.59
16.07,0.09,0.10,0.58
16.07,0.06,0.11,0.57
16.07,0.04,0.12,0.55
16.07,0.02,0.12,0.55
16.08,0.01,0.12,0.54
16.08,-0.01,0.14,0.52
16.08,-0.03,0.17,0.49
16.08,-0.05,0.19,0.47
16.09,-0.08,0.21,0.44
16.09,-0.10,0.25,0.42
16.09,-0.12,0.30,0.40
16.09,-0.14,0.35,0.37
16.10,-0.17,0.40,0.34
16.10,-0.20,0.48,0.32
16.10,-0.22,0.55,0.31
16.10,-0.24,0.58,0.29
16.10,-0.25,0.59,0.26
16.11,-0.25,0.59,0.24
16.11,-0.24,0.59,0.23
16.11,-0.22,0.59,0.22
16.11,-0.20,0.57,0.21
16.12,-0.17,0.55,0.21
16.12,-0.14,0.51,0.21
16.12,-0.10,0.47,0.22
16.12,-0.07,0.43,0.24
16.13,-0.03,0.38,0.26
16.13,0.00,0.33,0.28
16.13,0.04,0.28,0.31
16.13,0.07,0.24,0.33
16.14,0.10,0.19,0.36
16.14,0.12,0.13,0.39
16.14,0.14,0.08,0.41
16.14,0.16,0.04,0.43
16.15,0.18,-0.01,0.46
16.15,0.19,-0.06,0.48
16.15,0.20,-0.10,0.49
16.15,0.21,-0.13,0.51
16.15,0.22,-0.16,0.53
16.16,0.23,-0.17,0.54
16.16,0.23,-0.17,0.55
16.16,0.24,-0.16,0.56
16.16,0.25,-0.15,0.58
16.17,0.27,-0.13,0.59
16.17,0.28,-0.10,0.60
16.17,0.30,-0.07,0.60
16.17,0.31,-0.03,0.60
16.18,0.33,0.01,0.60
16.18,0.35,0.05,0.60
16.18,0.37,0.09,0.60
16.18,0.39,0.12,0.61
16.19,0.42,0.16,0.60
16.19,0.44,0.18,0.60
16.19,0.46,0.20,0.60
16.19,0.49,0.21,0.60
16.20,0.52,0.21,0.60
16.20,0.56,0.21,0.59
16.20,0.59,0.21,0.59
16.20,0.63,0.20,0.58
16.20,0.67,0.18,0.58
16.21,0.70,0.15,0.59
16.21,0.74,0.11,0.59
16.21,0.77,0.06,0.59
16.21,0.79,0.00,0.59
16.22,0.81,-0.07,0.59
16.22,0.83,-0.14,0.59
16.22,0.83,-0.21,0.59
16.22,0.83,-0.29,0.59
16.23,0.83,-0.37,0.58
16.23,0.82,-0.45,0.58
16.23,0.80,-0.53,0.58
16.23,0.78,-0.62,0.57
16.24,0.76,-0.69,0.57
16.24,0.74,-0.77,0.57
16.24,0.71,-0.84,0.57
16.24,0.68,-0.91,0.58
16.25,0.66,-0.97,0.59
16.25,0.63,-1.04,0.60
16.25,0.60,-1.09,0.60
