Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
14.29,-1.94,9.57,1.53
14.29,-1.93,9.60,1.50
14.30,-1.92,9.60,1.50
14.30,-1.91,9.63,1.53
14.30,-1.93,9.63,1.53
14.30,-1.95,9.69,1.55
14.31,-1.96,9.66,1.53
14.31,-1.98,9.65,1.52
14.31,-1.96,9.63,1.55
14.31,-1.98,9.62,1.60
14.31,-1.98,9.62,1.65
14.32,-1.96,9.61,1.67
14.32,-1.95,9.60,1.71
14.32,-1.96,9.57,1.69
14.32,-1.95,9.58,1.71
14.33,-1.95,9.55,1.71
14.33,-1.97,9.53,1.72
14.33,-1.96,9.51,1.73
14.33,-1.98,9.53,1.77
14.34,-2.01,9.51,1.76
14.34,-2.01,9.52,1.75
14.34,-2.02,9.51,1.77
14.34,-2.03,9.50,1.75
14.35,-2.06,9.49,1.78
14.35,-2.07,9.49,1.76
14.35,-2.07,9.51,1.78
14.35,-2.06,9.51,1.78
14.36,-2.05,9.53,1.77
14.36,-2.05,9.52,1.77
14.36,-2.05,9.53,1.74
14.36,-2.06,9.52,1.72
14.36,-2.06,9.55,1.70
14.37,-2.04,9.55,1.70
14.37,-2.02,9.59,1.66
14.37,-2.00,9.60,1.65
14.37,-2.01,9.60,1.66
14.38,-2.01,9.63,1.66
14.38,-2.02,9.65,1.65
14.38,-2.01,9.67,1.65
14.38,-2.02,9.72,1.65
14.39,-2.02,9.73,1.63
14.39,-2.00,9.76,1.64
14.39,-1.99,9.75,1.64
14.39,-2.00,9.77,1.63
14.40,-1.98,9.77,1.64
14.40,-1.97,9.76,1.62
14.40,-1.98,9.74,1.62
14.40,-1.96,9.76,1.65
14.41,-1.96,9.77,1.65
14.41,-1.94,9.79,1.64
14.41,-1.94,9.77,1.66
14.41,-1.95,9.78,1.67
14.41,-1.93,9.79,1.66
14.42,-1.96,9.77,1.64
14.42,-1.97,9.76,1.64
14.42,-1.95,9.74,1.65
14.42,-1.93,9.74,1.64
14.43,-1.92,9.73,1.66
14.43,-1.94,9.75,1.65
14.43,-1.93,9.73,1.65
14.43,-1.92,9.73,1.65
14.44,-1.90,9.71,1.68
14.44,-1.93,9.70,1.67
14.44,-1.93,9.71,1.68
14.44,-1.93,9.72,1.70
14.45,-1.92,9.69,1.71
14.45,-1.92,9.70,1.71
14.45,-1.92,9.69,1.71
14.45,-1.90,9.68,1.72
14.46,-1.90,9.68,1.72
14.46,-1.91,9.67,1.72
14.46,-1.93,9.66,1.72
14.46,-1.93,9.67,1.72
14.46,-1.91,9.65,1.72
14.47,-1.93,9.65,1.73
14.47,-1.94,9.67,1.74
14.47,-1.93,9.67,1.73
14.47,-1.92,9.66,1.74
14.48,-1.92,9.64,1.73
14.48,-1.91,9.67,1.74
14.48,-1.92,9.68,1.75
14.48,-1.93,9.65,1.73
14.49,-1.92,9.63,1.73
14.49,-1.94,9.65,1.71
14.49,-1.92,9.62,1.70
14.49,-1.91,9.62,1.73
14.50,-1.91,9.61,1.73
14.50,-1.92,9.62,1.73
14.50,-1.93,9.62,1.74
14.50,-1.94,9.64,1.75
14.50,-1.94,9.62,1.74
14.51,-1.96,9.66,1.73
14.51,-1.93,9.64,1.72
14.51,-1.96,9.63,1.71
14.51,-1.94,9.62,1.73
14.52,-1.94,9.63,1.72
14.52,-1.93,9.66,1.74
14.52,-1.96,9.66,1.73
14.52,-1.95,9.63,1.73
14.53,-1.96,9.63,1.77
14.53,-1.97,9.64,1.76
14.53,-1.97,9.61,1.76
14.53,-2.00,9.61,1.74
14.54,-2.00,9.62,1.74
14.54,-1.99,9.65,1.74
14.54,-2.01,9.64,1.73
14.54,-2.00,9.63,1.70
14.55,-2.00,9.63,1.70
14.55,-2.03,9.64,1.71
14.55,-2.02,9.61,1.71
14.55,-2.01,9.63,1.68
14.55,-1.99,9.63,1.68
14.56,-2.02,9.64,1.66
14.56,-2.00,9.65,1.65
14.56,-2.01,9.66,1.66
14.56,-2.03,9.67,1.66
14.57,-2.04,9.67,1.67
14.57,-2.06,9.66,1.67
14.57,-2.06,9.64,1.72
14.57,-2.07,9.63,1.72
14.58,-2.06,9.64,1.73
14.58,-2.07,9.65,1.75
14.58,-2.08,9.63,1.76
14.58,-2.08,9.60,1.75
14.59,-2.10,9.60,1.78
14.59,-2.10,9.57,1.78
14.59,-2.10,9.56,1.79
14.59,-2.12,9.57,1.77
14.60,-2.11,9.57,1.78
14.60,-2.10,9.58,1.75
14.60,-2.11,9.59,1.73
14.60,-2.13,9.58,1.74
14.60,-2.12,9.58,1.72
14.61,-2.12,9.57,1.68
14.61,-2.15,9.56,1.71
14.61,-2.15,9.57,1.66
14.61,-2.14,9.55,1.68
14.62,-2.13,9.54,1.66
14.62,-2.12,9.54,1.67
14.62,-2.12,9.54,1.66
14.62,-2.12,9.53,1.66
14.63,-2.12,9.56,1.67
14.63,-2.13,9.54,1.66
14.63,-2.11,9.57,1.66
14.63,-2.13,9.54,1.65
14.64,-2.11,9.54,1.66
14.64,-2.09,9.56,1.66
14.64,-2.09,9.57,1.62
14.64,-2.07,9.59,1.64
14.65,-2.08,9.59,1.67
14.65,-2.08,9.60,1.64
14.65,-2.07,9.60,1.67
14.65,-2.06,9.62,1.66
14.65,-2.06,9.61,1.69
14.66,-2.05,9.60,1.70
14.66,-2.05,9.59,1.69
14.66,-2.04,9.61,1.70
14.66,-2.04,9.61,1.72
14.67,-2.03,9.62,1.73
14.67,-2.02,9.62,1.73
14.67,-2.04,9.63,1.77
14.67,-2.03,9.62,1.78
14.68,-2.04,9.62,1.76
14.68,-2.02,9.63,1.75
14.68,-2.04,9.66,1.75
14.68,-2.03,9.63,1.74
14.69,-2.05,9.63,1.75
14.69,-2.06,9.64,1.76
14.69,-2.05,9.64,1.72
14.69,-2.07,9.63,1.72
14.69,-2.07,9.66,1.69
14.70,-2.04,9.67,1.69
14.70,-2.01,9.65,1.71
14.70,-2.04,9.64,1.72
14.70,-2.03,9.64,1.73
14.71,-2.04,9.63,1.73
14.71,-2.05,9.63,1.73
14.71,-2.04,9.61,1.72
14.71,-2.03,9.62,1.73
14.72,-2.04,9.61,1.73
14.72,-2.04,9.62,1.73
14.72,-2.03,9.62,1.69
14.72,-2.06,9.63,1.70
14.73,-2.02,9.63,1.70
14.73,-2.00,9.64,1.71
14.73,-2.02,9.64,1.74
14.73,-2.02,9.63,1.73
14.74,-2.03,9.64,1.73
14.74,-2.05,9.65,1.72
14.74,-2.03,9.65,1.71
14.74,-2.02,9.64,1.69
14.74,-2.01,9.62,1.69
14.75,-2.00,9.64,1.69
14.75,-2.00,9.63,1.72
14.75,-2.00,9.65,1.72
14.75,-2.00,9.65,1.73
14.76,-2.01,9.65,1.73
14.76,-2.00,9.66,1.72
14.76,-2.00,9.66,1.74
14.76,-2.00,9.67,1.74
14.77,-1.99,9.67,1.72
14.77,-2.00,9.66,1.72
14.77,-1.99,9.68,1.71
14.77,-1.99,9.66,1.72
14.78,-1.99,9.69,1.74
14.78,-1.96,9.69,1.72
14.78,-1.96,9.68,1.71
14.78,-1.97,9.69,1.71
14.79,-1.97,9.69,1.71
14.79,-2.00,9.71,1.69
14.79,-1.99,9.68,1.68
14.79,-2.01,9.69,1.66
14.79,-2.02,9.67,1.65
14.80,-2.04,9.66,1.64
14.80,-2.05,9.66,1.62
14.80,-2.06,9.68,1.59
14.80,-2.06,9.67,1.60
14.81,-2.09,9.67,1.60
14.81,-2.06,9.68,1.61
14.81,-2.07,9.66,1.61
14.81,-2.06,9.67,1.64
14.82,-2.08,9.68,1.64
14.82,-2.06,9.66,1.65
14.82,-2.07,9.67,1.67
14.82,-2.05,9.67,1.69
14.83,-2.06,9.66,1.72
14.83,-2.07,9.66,1.71
14.83,-2.08,9.66,1.71
14.83,-2.07,9.64,1.74
14.84,-2.06,9.62,1.73
14.84,-2.05,9.63,1.72
14.84,-2.04,9.63,1.75
14.84,-2.02,9.62,1.75
14.84,-2.04,9.61,1.74
14.85,-2.03,9.63,1.76
14.85,-2.04,9.62,1.76
14.85,-2.06,9.61,1.75
14.85,-2.03,9.61,1.76
14.86,-2.03,9.62,1.77
14.86,-2.02,9.62,1.76
14.86,-2.02,9.65,1.76
14.86,-2.03,9.62,1.75
14.87,-2.02,9.62,1.73
14.87,-2.03,9.61,1.71
14.87,-2.02,9.62,1.73
14.87,-2.02,9.61,1.68
14.88,-2.03,9.62,1.72
14.88,-2.01,9.61,1.70
14.88,-2.01,9.60,1.69
14.88,-2.04,9.60,1.69
14.88,-2.04,9.58,1.69
14.89,-2.03,9.57,1.68
14.89,-2.02,9.58,1.67
14.89,-2.03,9.57,1.65
14.89,-2.04,9.59,1.66
14.90,-2.03,9.61,1.65
14.90,-2.03,9.59,1.67
14.90,-2.03,9.60,1.65
14.90,-2.04,9.58,1.68
14.91,-2.07,9.58,1.67
14.91,-2.04,9.58,1.67
14.91,-2.06,9.58,1.65
14.91,-2.06,9.60,1.66
14.92,-2.03,9.60,1.67
14.92,-2.05,9.58,1.66
14.92,-2.03,9.58,1.66
14.92,-2.01,9.59,1.64
14.93,-2.03,9.60,1.66
14.93,-2.03,9.56,1.67
14.93,-2.03,9.60,1.66
14.93,-2.01,9.59,1.66
14.93,-2.02,9.60,1.69
14.94,-2.02,9.58,1.71
14.94,-2.02,9.59,1.69
14.94,-2.00,9.58,1.68
14.94,-1.99,9.58,1.71
14.95,-2.03,9.60,1.71
14.95,-2.00,9.60,1.71
14.95,-1.99,9.59,1.71
14.95,-1.99,9.59,1.70
14.96,-1.99,9.58,1.73
14.96,-1.98,9.58,1.71
14.96,-1.98,9.57,1.70
14.96,-1.99,9.61,1.68
14.97,-2.02,9.58,1.68
14.97,-2.00,9.60,1.67
14.97,-1.97,9.60,1.69
14.97,-1.97,9.59,1.70
14.98,-1.96,9.63,1.68
14.98,-1.96,9.65,1.70
14.98,-1.97,9.64,1.70
14.98,-1.98,9.65,1.71
14.98,-1.96,9.65,1.72
14.99,-1.97,9.68,1.75
14.99,-1.97,9.67,1.76
14.99,-1.97,9.68,1.76
14.99,-1.97,9.69,1.77
15.00,-1.99,9.70,1.76
15.00,-2.01,9.71,1.75
15.00,-1.98,9.72,1.74
15.00,-2.00,9.72,1.75
15.01,-2.01,9.75,1.74
15.01,-2.00,9.76,1.74
15.01,-2.00,9.78,1.74
15.01,-1.98,9.78,1.71
15.02,-1.98,9.78,1.73
15.02,-1.97,9.78,1.74
15.02,-1.99,9.77,1.72
15.02,-1.97,9.77,1.73
15.03,-1.95,9.78,1.72
15.03,-1.95,9.77,1.70
15.03,-1.92,9.77,1.70
15.03,-1.94,9.75,1.70
15.03,-1.90,9.72,1.71
15.04,-1.90,9.69,1.68
15.04,-1.90,9.69,1.68
15.04,-1.87,9.68,1.68
15.04,-1.86,9.68,1.68
15.05,-1.85,9.67,1.67
15.05,-1.84,9.65,1.67
15.05,-1.84,9.65,1.64
15.05,-1.85,9.64,1.67
15.06,-1.89,9.62,1.65
15.06,-1.87,9.61,1.67
15.06,-1.86,9.60,1.68
15.06,-1.88,9.62,1.69
15.07,-1.87,9.61,1.70
15.07,-1.88,9.61,1.71
15.07,-1.88,9.60,1.69
15.07,-1.88,9.60,1.73
15.08,-1.90,9.60,1.74
15.08,-1.92,9.60,1.75
15.08,-1.92,9.59,1.76
15.08,-1.93,9.58,1.78
15.08,-1.93,9.57,1.80
15.09,-1.92,9.58,1.79
15.09,-1.98,9.58,1.78
15.09,-1.97,9.59,1.76
15.09,-1.96,9.60,1.75
15.10,-1.97,9.62,1.74
15.10,-1.96,9.62,1.73
15.10,-1.96,9.63,1.71
15.10,-1.94,9.64,1.72
15.11,-1.97,9.64,1.75
15.11,-2.00,9.66,1.75
15.11,-2.01,9.67,1.75
15.11,-2.02,9.66,1.74
15.12,-2.02,9.67,1.73
15.12,-2.04,9.68,1.74
15.12,-2.03,9.68,1.70
15.12,-2.07,9.68,1.73
15.12,-2.07,9.68,1.73
15.13,-2.07,9.67,1.73
15.13,-2.07,9.69,1.71
15.13,-2.06,9.69,1.71
15.13,-2.07,9.67,1.70
15.14,-2.09,9.64,1.67
15.14,-2.10,9.65,1.67
15.14,-2.10,9.61,1.67
15.14,-2.11,9.63,1.69
15.15,-2.12,9.62,1.71
15.15,-2.10,9.61,1.69
15.15,-2.12,9.62,1.68
15.15,-2.11,9.58,1.68
15.16,-2.13,9.58,1.68
15.16,-2.10,9.57,1.68
15.16,-2.12,9.58,1.67
15.16,-2.10,9.58,1.67
15.17,-2.09,9.57,1.66
15.17,-2.11,9.53,1.67
15.17,-2.10,9.55,1.66
15.17,-2.11,9.53,1.67
15.17,-2.08,9.54,1.68
15.18,-2.11,9.54,1.69
15.18,-2.08,9.52,1.72
15.18,-2.08,9.51,1.71
15.18,-2.08,9.52,1.72
15.19,-2.07,9.52,1.76
15.19,-2.10,9.51,1.75
15.19,-2.08,9.51,1.74
15.19,-2.08,9.54,1.76
15.20,-2.07,9.53,1.75
15.20,-2.07,9.54,1.76
15.20,-2.05,9.55,1.75
15.20,-2.05,9.54,1.76
15.21,-2.07,9.55,1.74
15.21,-2.12,9.53,1.73
15.21,-2.13,9.56,1.72
15.21,-2.14,9.55,1.70
15.22,-2.17,9.57,1.69
15.22,-2.15,9.57,1.67
15.22,-2.13,9.57,1.66
15.22,-2.13,9.60,1.65
15.22,-2.15,9.59,1.65
15.23,-2.15,9.57,1.67
15.23,-2.14,9.56,1.66
15.23,-2.17,9.56,1.67
15.23,-2.18,9.59,1.68
15.24,-2.19,9.58,1.65
15.24,-2.17,9.58,1.66
15.24,-2.15,9.58,1.68
15.24,-2.18,9.58,1.66
15.25,-2.17,9.58,1.66
15.25,-2.16,9.56,1.68
15.25,-2.13,9.58,1.65
15.25,-2.12,9.57,1.68
15.26,-2.14,9.54,1.69
15.26,-2.13,9.54,1.67
15.26,-2.14,9.52,1.68
15.26,-2.11,9.56,1.67
15.27,-2.10,9.56,1.67
15.27,-2.11,9.57,1.71
15.27,-2.10,9.55,1.67
15.27,-2.13,9.57,1.69
15.27,-2.08,9.57,1.70
15.28,-2.10,9.57,1.71
15.28,-2.11,9.58,1.71
15.28,-2.09,9.61,1.71
15.28,-2.08,9.60,1.72
15.29,-2.09,9.62,1.72
15.29,-2.07,9.62,1.75
15.29,-2.05,9.65,1.75
15.29,-2.04,9.66,1.75
15.30,-2.06,9.68,1.73
15.30,-2.02,9.68,1.71
15.30,-2.03,9.69,1.71
15.30,-2.03,9.69,1.69
15.31,-2.01,9.70,1.68
15.31,-2.01,9.69,1.71
15.31,-1.98,9.70,1.70
15.31,-1.98,9.69,1.68
15.31,-1.98,9.71,1.69
15.32,-1.97,9.69,1.69
15.32,-2.00,9.66,1.68
15.32,-2.01,9.65,1.69
15.32,-2.01,9.66,1.67
15.33,-2.02,9.68,1.63
15.33,-2.02,9.66,1.61
15.33,-2.04,9.65,1.63
15.33,-2.06,9.66,1.62
15.34,-2.07,9.64,1.63
15.34,-2.06,9.63,1.62
15.34,-2.08,9.62,1.63
15.34,-2.08,9.64,1.64
15.35,-2.06,9.62,1.66
15.35,-2.07,9.65,1.66
15.35,-2.07,9.64,1.68
15.35,-2.07,9.67,1.67
15.36,-2.08,9.68,1.68
15.36,-2.09,9.70,1.68
15.36,-2.09,9.71,1.67
15.36,-2.06,9.68,1.67
15.36,-2.04,9.70,1.64
15.37,-2.04,9.68,1.61
15.37,-2.04,9.67,1.61
15.37,-2.04,9.68,1.63
15.37,-2.03,9.66,1.63
15.38,-2.02,9.66,1.63
15.38,-2.02,9.64,1.63
15.38,-2.02,9.62,1.66
15.38,-2.00,9.62,1.65
15.39,-2.00,9.62,1.66
15.39,-2.01,9.61,1.69
15.39,-2.02,9.58,1.67
15.39,-2.00,9.58,1.67
15.40,-1.96,9.60,1.67
15.40,-1.98,9.59,1.67
15.40,-1.96,9.59,1.67
15.40,-1.99,9.60,1.68
15.41,-1.98,9.59,1.67
15.41,-2.00,9.60,1.68
15.41,-2.00,9.56,1.67
15.41,-2.00,9.57,1.66
15.41,-2.02,9.57,1.65
15.42,-1.99,9.58,1.66
15.42,-1.99,9.59,1.66
15.42,-2.01,9.59,1.62
15.42,-2.04,9.60,1.62
15.43,-2.03,9.59,1.59
15.43,-2.03,9.59,1.60
15.43,-2.06,9.58,1.60
15.43,-2.05,9.59,1.57
15.44,-2.06,9.58,1.58
15.44,-2.05,9.56,1.59
15.44,-2.03,9.59,1.58
15.44,-2.04,9.59,1.56
15.45,-2.05,9.60,1.58
15.45,-2.04,9.61,1.57
15.45,-2.04,9.62,1.57
15.45,-2.04,9.65,1.59
15.46,-2.02,9.65,1.58
15.46,-2.03,9.64,1.60
15.46,-2.04,9.64,1.59
15.46,-2.04,9.69,1.61
15.46,-2.04,9.68,1.60
15.47,-2.03,9.67,1.59
15.47,-2.04,9.68,1.58
15.47,-2.05,9.68,1.59
15.47,-2.03,9.71,1.61
15.48,-2.05,9.69,1.60
15.48,-2.02,9.71,1.62
15.48,-2.00,9.71,1.59
15.48,-1.98,9.74,1.59
15.49,-2.01,9.75,1.59
15.49,-2.03,9.72,1.60
15.49,-2.03,9.70,1.61
15.49,-2.03,9.69,1.63
15.50,-2.03,9.70,1.66
15.50,-2.03,9.69,1.66
15.50,-2.03,9.68,1.66
15.50,-2.05,9.68,1.67
15.51,-2.05,9.66,1.65
15.51,-2.06,9.67,1.67
15.51,-2.07,9.68,1.67
15.51,-2.08,9.66,1.66
