Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
14.39,0.00,-0.04,-0.03
14.39,0.00,-0.04,-0.03
14.40,0.00,-0.04,-0.03
14.40,0.00,-0.04,-0.03
14.40,0.00,-0.04,-0.03
14.40,0.00,-0.04,-0.03
14.41,0.00,-0.04,-0.03
14.41,0.00,-0.04,-0.03
14.41,0.00,-0.04,-0.03
14.41,0.01,-0.04,-0.02
14.42,0.01,-0.04,-0.02
14.42,0.01,-0.03,-0.02
14.42,0.01,-0.03,-0.02
14.42,0.01,-0.02,-0.01
14.43,0.01,-0.02,-0.01
14.43,0.01,-0.01,-0.01
14.43,0.00,-0.01,-0.01
14.43,0.00,-0.01,-0.01
14.43,0.00,-0.01,0.00
14.44,0.00,-0.01,0.00
14.44,0.00,0.00,0.00
14.44,-0.01,0.00,0.00
14.44,-0.01,0.00,0.00
14.45,-0.01,0.00,0.00
14.45,-0.01,0.00,0.01
14.45,-0.01,0.00,0.01
14.45,-0.01,0.00,0.01
14.46,-0.01,-0.01,0.01
14.46,-0.01,-0.01,0.01
14.46,-0.01,-0.01,0.01
14.46,-0.01,-0.01,0.00
14.47,-0.01,-0.02,0.00
14.47,0.00,-0.02,0.00
14.47,0.00,-0.03,0.00
14.47,0.00,-0.03,0.00
14.48,0.00,-0.03,0.00
14.48,0.01,-0.04,0.00
14.48,0.01,-0.04,0.00
14.48,0.01,-0.04,0.00
14.48,0.01,-0.04,0.00
14.49,0.01,-0.04,0.00
14.49,0.01,-0.04,0.00
14.49,0.01,-0.04,0.00
14.49,0.01,-0.04,0.00
14.50,0.01,-0.05,0.00
14.50,0.01,-0.05,0.00
14.50,0.01,-0.05,0.00
14.50,0.01,-0.04,0.00
14.51,0.01,-0.04,0.00
14.51,0.01,-0.04,0.00
14.51,0.01,-0.04,0.00
14.51,0.01,-0.04,0.00
14.52,0.01,-0.05,0.00
14.52,0.01,-0.05,0.00
14.52,0.01,-0.05,0.00
14.52,0.01,-0.05,0.00
14.53,0.01,-0.05,0.00
14.53,0.01,-0.05,0.00
14.53,0.01,-0.05,0.00
14.53,0.01,-0.05,0.00
14.53,0.02,-0.05,-0.01
14.54,0.02,-0.05,-0.01
14.54,0.02,-0.05,-0.01
14.54,0.02,-0.05,-0.01
14.54,0.02,-0.05,-0.01
14.55,0.02,-0.05,-0.01
14.55,0.02,-0.05,-0.01
14.55,0.02,-0.05,-0.01
14.55,0.02,-0.05,-0.01
14.56,0.03,-0.04,-0.01
14.56,0.03,-0.04,-0.01
14.56,0.02,-0.04,-0.01
14.56,0.02,-0.04,-0.01
14.57,0.02,-0.04,-0.01
14.57,0.02,-0.04,-0.01
14.57,0.02,-0.03,0.00
14.57,0.02,-0.03,-0.01
14.57,0.02,-0.03,0.00
14.58,0.02,-0.03,-0.01
14.58,0.01,-0.03,0.00
14.58,0.01,-0.03,0.00
14.58,0.01,-0.03,0.00
14.59,0.01,-0.03,0.00
14.59,0.01,-0.03,0.00
14.59,0.01,-0.02,0.00
14.59,0.01,-0.02,0.00
14.60,0.01,-0.02,0.00
14.60,0.01,-0.02,0.00
14.60,0.01,-0.02,0.00
14.60,0.00,-0.02,0.00
14.61,0.00,-0.02,-0.01
14.61,0.00,-0.02,-0.01
14.61,0.00,-0.02,-0.01
14.61,0.00,-0.03,-0.01
14.62,0.00,-0.03,-0.01
14.62,0.00,-0.03,-0.01
14.62,0.00,-0.03,-0.01
14.62,0.00,-0.03,-0.01
14.62,0.00,-0.03,-0.01
14.63,0.00,-0.02,-0.01
14.63,-0.01,-0.02,-0.01
14.63,-0.01,-0.02,-0.01
14.63,-0.01,-0.02,-0.01
14.64,-0.01,-0.02,-0.02
14.64,-0.01,-0.02,-0.02
14.64,-0.01,-0.02,-0.02
14.64,-0.01,-0.03,-0.02
14.65,-0.01,-0.02,-0.02
14.65,-0.01,-0.02,-0.02
14.65,-0.01,-0.02,-0.02
