Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
21.50,0.00,0.07,0.02
21.51,0.00,0.07,0.02
21.51,0.00,0.06,0.02
21.51,0.00,0.06,0.02
21.51,0.00,0.06,0.02
21.52,0.00,0.06,0.02
21.52,-0.01,0.06,0.02
21.52,-0.01,0.06,0.02
21.52,0.00,0.06,0.02
21.53,0.00,0.06,0.03
21.53,0.00,0.06,0.02
21.53,0.00,0.06,0.02
21.53,0.00,0.05,0.02
21.54,0.00,0.05,0.02
21.54,0.01,0.05,0.02
21.54,0.01,0.05,0.02
21.54,0.01,0.05,0.02
21.54,0.01,0.04,0.02
21.55,0.01,0.04,0.02
21.55,0.01,0.04,0.02
21.55,0.02,0.04,0.01
21.55,0.02,0.04,0.01
21.56,0.02,0.04,0.01
21.56,0.02,0.04,0.01
21.56,0.02,0.04,0.01
21.56,0.03,0.03,0.00
21.57,0.03,0.03,0.00
21.57,0.03,0.03,0.00
21.57,0.03,0.03,0.00
21.57,0.04,0.03,0.00
21.58,0.04,0.02,0.00
21.58,0.04,0.02,-0.01
21.58,0.04,0.01,-0.01
21.58,0.04,0.01,-0.01
21.59,0.04,0.00,-0.01
21.59,0.05,-0.01,-0.01
21.59,0.05,-0.02,-0.02
21.59,0.05,-0.02,-0.02
21.59,0.05,-0.03,-0.02
21.60,0.05,-0.04,-0.02
21.60,0.05,-0.04,-0.03
21.60,0.05,-0.05,-0.03
21.60,0.05,-0.05,-0.03
21.61,0.05,-0.06,-0.03
21.61,0.05,-0.06,-0.04
21.61,0.06,-0.06,-0.04
21.61,0.06,-0.07,-0.04
21.62,0.06,-0.07,-0.04
21.62,0.06,-0.07,-0.04
21.62,0.06,-0.07,-0.05
21.62,0.06,-0.07,-0.05
21.63,0.06,-0.07,-0.05
21.63,0.06,-0.07,-0.05
21.63,0.06,-0.06,-0.05
21.63,0.06,-0.06,-0.05
21.64,0.06,-0.06,-0.05
21.64,0.06,-0.06,-0.04
21.64,0.06,-0.05,-0.04
21.64,0.06,-0.05,-0.04
21.64,0.06,-0.05,-0.04
21.65,0.05,-0.05,-0.04
21.65,0.05,-0.05,-0.03
21.65,0.05,-0.06,-0.03
21.65,0.05,-0.06,-0.03
21.66,0.04,-0.06,-0.03
21.66,0.04,-0.07,-0.02
21.66,0.04,-0.07,-0.02
21.66,0.03,-0.08,-0.02
21.67,0.03,-0.08,-0.02
21.67,0.03,-0.09,-0.02
21.67,0.03,-0.10,-0.02
21.67,0.03,-0.10,-0.02
21.68,0.03,-0.11,-0.02
21.68,0.03,-0.11,-0.02
21.68,0.03,-0.12,-0.02
21.68,0.03,-0.12,-0.03
21.69,0.03,-0.13,-0.03
21.69,0.03,-0.13,-0.03
21.69,0.03,-0.13,-0.03
21.69,0.03,-0.13,-0.03
21.69,0.03,-0.13,-0.03
21.70,0.03,-0.13,-0.03
21.70,0.04,-0.13,-0.04
21.70,0.04,-0.13,-0.04
21.70,0.04,-0.13,-0.04
21.71,0.04,-0.13,-0.04
21.71,0.05,-0.13,-0.04
21.71,0.05,-0.12,-0.04
21.71,0.05,-0.12,-0.05
21.72,0.05,-0.12,-0.04
21.72,0.05,-0.11,-0.05
21.72,0.05,-0.11,-0.05
21.72,0.06,-0.11,-0.05
21.73,0.06,-0.10,-0.05
21.73,0.06,-0.10,-0.05
21.73,0.06,-0.10,-0.05
21.73,0.06,-0.10,-0.04
21.73,0.06,-0.09,-0.04
21.74,0.06,-0.09,-0.04
21.74,0.06,-0.09,-0.04
21.74,0.06,-0.08,-0.04
21.74,0.06,-0.08,-0.04
21.75,0.05,-0.08,-0.04
21.75,0.05,-0.08,-0.04
21.75,0.04,-0.08,-0.04
21.75,0.04,-0.08,-0.04
21.76,0.03,-0.08,-0.04
21.76,0.03,-0.08,-0.03
21.76,0.03,-0.08,-0.03
21.76,0.02,-0.07,-0.03
21.77,0.02,-0.07,-0.03
21.77,0.01,-0.07,-0.03
21.77,0.01,-0.07,-0.03
21.77,0.00,-0.06,-0.03
21.78,0.00,-0.06,-0.03
21.78,0.00,-0.06,-0.03
21.78,0.00,-0.05,-0.03
21.78,-0.01,-0.05,-0.03
21.78,-0.01,-0.05,-0.04
21.79,-0.01,-0.05,-0.04
21.79,-0.01,-0.05,-0.04
21.79,-0.01,-0.05,-0.04
21.79,-0.01,-0.05,-0.04
21.80,-0.01,-0.05,-0.04
21.80,-0.01,-0.05,-0.05
21.80,-0.01,-0.05,-0.05
21.80,-0.01,-0.05,-0.05
21.81,-0.01,-0.05,-0.05
21.81,-0.01,-0.05,-0.05
21.81,-0.01,-0.05,-0.05
21.81,-0.01,-0.04,-0.05
21.82,-0.01,-0.04,-0.05
21.82,-0.01,-0.04,-0.05
21.82,-0.01,-0.04,-0.05
21.82,-0.02,-0.04,-0.06
21.83,-0.02,-0.04,-0.06
21.83,-0.02,-0.04,-0.06
21.83,-0.02,-0.04,-0.06
21.83,-0.03,-0.04,-0.06
21.83,-0.03,-0.04,-0.06
21.84,-0.03,-0.04,-0.06
21.84,-0.04,-0.04,-0.06
21.84,-0.04,-0.04,-0.06
21.84,-0.04,-0.03,-0.06
21.85,-0.04,-0.03,-0.05
21.85,-0.04,-0.03,-0.05
21.85,-0.05,-0.02,-0.05
21.85,-0.05,-0.02,-0.05
21.86,-0.05,-0.02,-0.04
21.86,-0.05,-0.01,-0.04
21.86,-0.05,-0.01,-0.04
21.86,-0.04,0.00,-0.04
21.87,-0.04,0.00,-0.03
21.87,-0.04,0.01,-0.03
21.87,-0.04,0.01,-0.03
21.87,-0.04,0.02,-0.03
21.88,-0.04,0.02,-0.02
21.88,-0.03,0.02,-0.02
21.88,-0.03,0.02,-0.02
21.88,-0.02,0.03,-0.02
21.88,-0.02,0.03,-0.02
21.89,-0.02,0.03,-0.02
21.89,-0.02,0.03,-0.02
21.89,-0.02,0.04,-0.01
21.89,-0.01,0.04,-0.01
21.90,-0.02,0.04,-0.01
21.90,-0.02,0.05,-0.01
21.90,-0.02,0.05,-0.01
21.90,-0.02,0.05,-0.01
21.91,-0.02,0.06,-0.01
21.91,-0.03,0.06,-0.01
21.91,-0.03,0.06,-0.01
21.91,-0.03,0.06,-0.01
21.92,-0.03,0.06,-0.01
21.92,-0.04,0.05,-0.01
21.92,-0.04,0.05,-0.01
21.92,-0.04,0.05,-0.01
21.93,-0.04,0.05,-0.01
21.93,-0.05,0.05,-0.01
21.93,-0.05,0.04,-0.01
21.93,-0.05,0.04,-0.01
21.93,-0.05,0.04,-0.01
21.94,-0.05,0.04,-0.01
21.94,-0.05,0.04,-0.01
21.94,-0.05,0.04,-0.01
21.94,-0.05,0.04,-0.01
21.95,-0.05,0.05,0.00
21.95,-0.05,0.05,0.00
21.95,-0.05,0.06,0.00
21.95,-0.04,0.07,0.00
21.96,-0.04,0.07,0.01
21.96,-0.04,0.08,0.01
21.96,-0.03,0.09,0.01
21.96,-0.03,0.09,0.01
21.97,-0.02,0.10,0.01
21.97,-0.02,0.10,0.01
21.97,-0.02,0.11,0.01
21.97,-0.01,0.11,0.01
21.97,-0.01,0.11,0.01
21.98,-0.01,0.12,0.01
21.98,0.00,0.12,0.00
21.98,0.00,0.12,0.00
21.98,0.00,0.12,0.00
21.99,0.00,0.11,0.00
21.99,0.00,0.11,-0.01
21.99,0.00,0.11,-0.01
21.99,0.00,0.10,-0.01
22.00,0.00,0.10,-0.01
22.00,0.00,0.09,-0.02
22.00,0.00,0.09,-0.02
22.00,0.00,0.08,-0.02
22.01,-0.01,0.07,-0.03
22.01,-0.01,0.07,-0.03
22.01,-0.02,0.06,-0.03
22.01,-0.02,0.05,-0.03
22.02,-0.02,0.04,-0.04
22.02,-0.03,0.04,-0.04
22.02,-0.03,0.03,-0.04
22.02,-0.03,0.03,-0.04
22.02,-0.04,0.03,-0.04
