"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.114416668E-3,4.504133606E-1,9.874815216E0,1.333726501E-1
1.209341668E-2,4.875361633E-1,9.648036804E0,1.142124939E-1
2.207341667E-2,2.817141724E-1,9.784253540E0,5.179229736E-2
3.208241667E-2,1.076261902E-1,9.734257507E0,1.188528442E-1
4.209241667E-2,2.326162720E-1,9.620194702E0,3.290158081E-1
5.210241667E-2,1.666035461E-1,9.754615173E0,4.068539429E-1
6.208141668E-2,1.948947144E-1,9.823172607E0,4.176315308E-1
7.209141667E-2,2.392025757E-1,9.862391052E0,3.219804382E-1
8.210141667E-2,2.743794250E-1,9.903405762E0,2.971321106E-1
9.211041668E-2,2.392025757E-1,9.884395294E0,2.739303589E-1
1.021204167E-1,2.633024597E-1,9.861941986E0,2.288740540E-1
1.121304167E-1,2.466870117E-1,9.825567627E0,1.908531189E-1
1.221404167E-1,2.312690735E-1,9.804162140E0,1.543290710E-1
1.321504167E-1,3.052153015E-1,9.805958405E0,1.573228455E-1
1.421594167E-1,4.067042542E-1,9.778116302E0,2.553689575E-1
1.521694167E-1,2.954855347E-1,9.826465759E0,3.339555359E-1
1.621794167E-1,3.011737061E-1,9.860295410E0,2.520758057E-1
1.721894167E-1,2.802172852E-1,9.837991791E0,2.311193848E-1
1.821984167E-1,2.627037048E-1,9.837692413E0,2.387535095E-1
1.921784167E-1,2.639012146E-1,9.854457550E0,2.248324585E-1
2.021874167E-1,2.782713318E-1,9.878407745E0,2.025288391E-1
2.121974167E-1,3.279679871E-1,9.890981598E0,1.859133911E-1
2.222074167E-1,3.956272888E-1,9.916578369E0,2.161505127E-1
2.322174167E-1,4.489164734E-1,9.909542999E0,2.556683350E-1
2.422264167E-1,4.296066284E-1,9.908195801E0,2.766247559E-1
2.522364167E-1,3.989204407E-1,9.839039612E0,2.477348328E-1
2.622464167E-1,3.888912964E-1,9.773026886E0,2.173480225E-1
2.722564167E-1,3.766168213E-1,9.759105835E0,2.082170105E-1
2.822664167E-1,3.381468201E-1,9.744885406E0,2.146536255E-1
2.922754167E-1,3.559597778E-1,9.725276184E0,1.754351807E-1
3.022854167E-1,3.924838257E-1,9.720486145E0,1.565744019E-1
3.122954167E-1,4.394860840E-1,9.696535950E0,1.698966980E-1
3.223054167E-1,4.623884583E-1,9.735305328E0,1.919009399E-1
3.322844167E-1,4.263134766E-1,9.787097626E0,2.122586060E-1
3.422944167E-1,3.852987671E-1,9.821825409E0,2.273771667E-1
3.523034167E-1,3.174897766E-1,9.826166382E0,2.600093079E-1
3.623134167E-1,2.667453003E-1,9.805509338E0,2.662962341E-1
3.723234167E-1,2.556683350E-1,9.797575836E0,2.531236267E-1
3.823334167E-1,2.631527710E-1,9.796378326E0,2.347119141E-1
3.923424167E-1,2.784210205E-1,9.758207703E0,2.134561157E-1
4.023524167E-1,3.132984924E-1,9.749376068E0,1.977388000E-1
4.123624167E-1,3.321592712E-1,9.771529999E0,2.116598511E-1
4.223724167E-1,3.520678711E-1,9.781409454E0,2.661465454E-1
4.323814167E-1,3.326083374E-1,9.791438599E0,3.071612549E-1
4.423914167E-1,3.029699707E-1,9.816586304E0,3.472778320E-1
4.524014167E-1,2.618055725E-1,9.790989532E0,3.755690002E-1
4.624114167E-1,2.215393066E-1,9.760453033E0,4.046086121E-1
4.723904167E-1,1.451980591E-1,9.773326263E0,4.089495850E-1
4.824004167E-1,6.451583862E-2,9.772428131E0,3.580554199E-1
4.924104167E-1,-3.173400879E-2,9.793983307E0,3.031196594E-1
5.024194167E-1,-1.601669312E-2,9.814939728E0,2.206411743E-1
5.124294167E-1,3.113525391E-2,9.812544708E0,1.692979431E-1
5.224447500E-1,-4.146377563E-2,9.845326538E0,1.907034302E-1
5.324547500E-1,-4.580474854E-2,9.906698914E0,2.423460388E-1
5.424637500E-1,1.377136230E-1,1.004486160E1,3.326083374E-1
5.524737500E-1,2.854563904E-1,1.012853760E1,3.953279114E-1
5.624837500E-1,2.106120300E-1,1.017958145E1,4.087998962E-1
5.724937500E-1,2.844085693E-2,1.016341507E1,4.055067444E-1
5.825027500E-1,2.275268555E-2,1.008078690E1,3.820056152E-1
5.925127500E-1,1.392105103E-2,1.000758911E1,2.766247559E-1
6.025227500E-1,3.562591553E-2,9.813891907E0,2.489323425E-1
6.125017500E-1,3.927832031E-1,9.523346100E0,2.585124207E-1
6.225117500E-1,5.740562439E-1,9.596094818E0,1.233435059E-1
6.325217500E-1,5.845344543E-1,9.868079224E0,-4.999603271E-2
6.425317500E-1,5.195695496E-1,9.878258057E0,2.844085693E-2
6.525407500E-1,4.924758911E-1,9.780960388E0,1.402583313E-1
6.625507500E-1,4.269122314E-1,9.834399261E0,1.956431580E-1
6.725607500E-1,6.333329773E-1,9.684860229E0,4.138893127E-1
6.825707500E-1,4.005670166E-1,9.544901276E0,4.707710266E-1
6.925797500E-1,-6.855743408E-2,9.675280151E0,2.414479065E-1
7.025897500E-1,2.471360779E-1,9.840237122E0,1.354682922E-1
7.125997500E-1,8.050259399E-1,9.924960938E0,1.936972046E-1
7.226097500E-1,8.683442688E-1,9.915231171E0,2.326162720E-1
7.326187500E-1,8.686436462E-1,9.863438873E0,2.820135498E-1
7.426287500E-1,8.749305725E-1,9.769284668E0,3.113525391E-1
7.526077500E-1,8.873547363E-1,9.697434082E0,1.815724182E-1
7.626177500E-1,1.135239258E0,9.720486145E0,1.916015625E-1
7.726277500E-1,9.512718201E-1,9.698032837E0,1.193019104E-1
7.826377500E-1,8.381071472E-1,9.675429840E0,4.445755005E-2
7.926467500E-1,6.774911499E-1,9.712852020E0,-5.538482666E-3
8.026567500E-1,5.360353088E-1,9.790989532E0,-9.879455566E-3
8.126667500E-1,5.902226257E-1,9.926906891E0,3.876937866E-2
8.226767500E-1,4.803511047E-1,9.935139771E0,-0.000000000E0
8.326867500E-1,4.689747620E-1,9.882149963E0,-6.750961304E-2
8.426957500E-1,6.343807983E-1,9.856852570E0,-6.122268677E-2
8.527057500E-1,7.752378845E-1,9.871072998E0,1.901046753E-2
8.627157500E-1,8.023315430E-1,9.898016968E0,4.475692749E-2
8.727257500E-1,7.391629028E-1,9.889634399E0,-4.490661621E-4
8.827347500E-1,6.815327454E-1,9.839937744E0,-6.601272583E-2
8.927147500E-1,6.005511475E-1,9.770931244E0,-1.236428833E-1
9.027237500E-1,7.568261719E-1,9.857301636E0,-6.421646118E-2
9.127337500E-1,6.153703308E-1,9.800419922E0,-1.215472412E-1
9.227437500E-1,3.468287659E-1,9.760453033E0,-2.555186462E-1
9.327537500E-1,1.634600830E-1,9.702673187E0,-3.799099731E-1
9.427627500E-1,1.538800049E-1,9.660311279E0,-4.025129700E-1
9.527727500E-1,5.646258545E-1,9.848020935E0,-2.525248718E-1
9.627827500E-1,7.502398682E-1,9.789642334E0,-2.570155334E-1
9.727927500E-1,8.057743835E-1,9.732910309E0,-3.577560425E-1
9.828027500E-1,8.625064087E-1,9.783205719E0,-3.945794678E-1
9.928117500E-1,8.514294434E-1,9.788145447E0,-3.685336304E-1
1.002821750E0,7.975415039E-1,9.787247314E0,-3.170407104E-1
1.012831750E0,7.310797119E-1,9.794432373E0,-2.890489197E-1
1.022841750E0,6.794371033E-1,9.805060272E0,-2.998265076E-1
1.032820750E0,6.259982300E-1,9.818083191E0,-3.412902832E-1
1.042830750E0,4.846920776E-1,9.774224396E0,-4.372407532E-1
1.052839750E0,5.444178772E-1,9.918224945E0,-4.122427368E-1
1.062849750E0,5.519023132E-1,9.932894440E0,-4.107458496E-1
1.072859750E0,5.303471375E-1,9.884395294E0,-4.406835938E-1
1.082869750E0,6.292913818E-1,9.780661011E0,-5.075944519E-1
1.092878750E0,9.340576172E-1,9.829908600E0,-4.514611816E-1
1.102888750E0,1.216220856E0,9.854158173E0,-3.399430847E-1
1.112898750E0,1.191073151E0,9.770781555E0,-3.486250305E-1
1.122908750E0,1.125659180E0,9.793833618E0,-3.555107117E-1
1.132917750E0,9.737251282E-1,9.798473969E0,-3.517684937E-1
1.142927750E0,8.488847351E-1,9.800719299E0,-3.302133179E-1
1.152937750E0,9.825567627E-1,9.886790314E0,-2.059716797E-1
1.162947750E0,9.255253601E-1,9.871671753E0,-2.733316040E-1
1.172926750E0,8.580157471E-1,9.950707397E0,-4.713697815E-1
1.182936750E0,6.707551575E-1,1.001297791E1,-6.855743408E-1
1.192946750E0,5.834866333E-1,9.996961212E0,-7.282356262E-1
1.202955750E0,8.437953186E-1,1.001103195E1,-5.424719238E-1
1.212965750E0,8.788224792E-1,9.934541016E0,-4.342469788E-1
1.222975750E0,8.366102600E-1,9.877210236E0,-4.309538269E-1
1.232985750E0,8.096662903E-1,9.854906616E0,-4.734654236E-1
1.242994750E0,7.093748474E-1,9.845476227E0,-5.490582275E-1
1.253004750E0,5.909710693E-1,9.844727783E0,-6.346801758E-1
1.263014750E0,7.899073792E-1,9.943372650E0,-5.691165161E-1
1.273024750E0,7.803273010E-1,9.889035645E0,-5.559439087E-1
1.283033750E0,6.746470642E-1,9.810748444E0,-6.589297485E-1
1.293043750E0,6.849755859E-1,9.761650543E0,-7.325765991E-1
1.303053750E0,7.297325134E-1,9.732760620E0,-8.014334106E-1
1.313032750E0,6.908134460E-1,9.731114044E0,-9.222322083E-1
1.323042750E0,8.982820129E-1,9.864187317E0,-8.780740356E-1
1.333052750E0,9.095086670E-1,9.807904358E0,-8.235873413E-1
1.343062750E0,8.425978088E-1,9.755662994E0,-8.099656677E-1
1.353071750E0,8.668473816E-1,9.734257507E0,-7.854167175E-1
1.363081750E0,8.891510010E-1,9.703870697E0,-7.939489746E-1
1.373091750E0,7.762857056E-1,9.648635559E0,-8.696914673E-1
1.383101750E0,9.017248535E-1,9.775721283E0,-7.665559387E-1
1.393110750E0,9.029223633E-1,9.806257782E0,-6.996450806E-1
1.403120750E0,7.768844604E-1,9.813742218E0,-7.460485840E-1
1.413130750E0,6.680607605E-1,9.834848328E0,-8.343649292E-1
1.423140750E0,5.674699402E-1,9.816586304E0,-8.863069153E-1
1.433149750E0,4.733157349E-1,9.806257782E0,-8.803193665E-1
1.443159750E0,5.059478760E-1,9.886041870E0,-7.890092468E-1
1.453169750E0,3.905378723E-1,9.837393036E0,-7.753875732E-1
1.463148750E0,2.731819153E-1,9.803862762E0,-8.250842285E-1
1.473158750E0,2.664459229E-1,9.788744202E0,-8.357121277E-1
1.483168750E0,2.781216431E-1,9.744885406E0,-8.143066406E-1
1.493177750E0,2.998265076E-1,9.732161865E0,-7.774832153E-1
1.503187750E0,3.061134338E-1,9.730215912E0,-7.478448486E-1
1.513197750E0,3.198847961E-1,9.742789764E0,-7.271878052E-1
1.523206917E0,2.540217590E-1,9.763746185E0,-7.358697510E-1
1.533216917E0,2.351609802E-1,9.799372101E0,-7.012916565E-1
1.543225917E0,3.905378723E-1,9.896370392E0,-5.635780334E-1
1.553235917E0,3.080593872E-1,9.848919067E0,-5.292993164E-1
1.563245917E0,2.306703186E-1,9.835297394E0,-5.571414185E-1
1.573255917E0,2.389031982E-1,9.849667511E0,-5.544470215E-1
1.583264917E0,2.526745605E-1,9.846673737E0,-5.471122742E-1
1.593274917E0,2.415975952E-1,9.868378601E0,-5.375321960E-1
1.603253917E0,1.672023010E-1,9.901310120E0,-5.703140259E-1
1.613263917E0,1.960922241E-2,9.886790314E0,-6.282435608E-1
1.623273917E0,1.022373962E-1,9.876012726E0,-5.565426636E-1
1.633283917E0,1.749861145E-1,9.822424164E0,-4.556524658E-1
1.643292917E0,1.125659180E-1,9.758656769E0,-4.445755005E-1
1.653302917E0,1.570234680E-1,9.754166107E0,-4.372407532E-1
1.663312917E0,1.776805115E-1,9.771829376E0,-4.150868225E-1
1.673322917E0,1.733395386E-1,9.821526031E0,-4.092489624E-1
1.683332917E0,1.273851013E-1,9.849517822E0,-3.903881836E-1
1.693341917E0,7.858657837E-2,9.842332764E0,-3.879931641E-1
1.703351917E0,5.583389282E-2,9.815538483E0,-3.450325012E-1
1.713361917E0,6.077362061E-2,9.781110077E0,-3.110531616E-1
1.723371917E0,4.430786133E-2,9.766440582E0,-2.945874023E-1
1.733380917E0,2.005828857E-2,9.777667236E0,-2.884501648E-1
1.743360917E0,-1.541793823E-2,9.786648560E0,-3.258723450E-1
1.753369917E0,-7.559280396E-2,9.780511322E0,-3.451821899E-1
1.763379917E0,-1.056802368E-1,9.802964630E0,-3.564088440E-1
1.773389917E0,-1.267863464E-1,9.835147705E0,-3.646417236E-1
1.783399917E0,-1.431024170E-1,9.838141479E0,-3.604504395E-1
1.793408917E0,-1.513352966E-1,9.835596771E0,-3.329077148E-1
1.803418917E0,-1.496887207E-1,9.832303619E0,-2.992277527E-1
1.813428917E0,-1.254391479E-1,9.829908600E0,-2.911445618E-1
1.823438917E0,-9.505233765E-2,9.834848328E0,-2.856060791E-1
1.833447917E0,-7.858657837E-2,9.842482452E0,-2.728825378E-1
1.843457917E0,-4.894821167E-2,9.852212219E0,-2.564167786E-1
1.853467917E0,-2.499801636E-2,9.867630157E0,-2.664459229E-1
1.863477917E0,-1.197509766E-2,9.879156189E0,-2.869532776E-1
1.873487917E0,-2.035766602E-2,9.887389069E0,-3.230282593E-1
1.883466917E0,-5.688171387E-3,9.870324554E0,-3.549119568E-1
1.893476917E0,3.233276367E-2,9.860445099E0,-3.917353821E-1
1.903485917E0,7.080276489E-2,9.880353699E0,-4.108955383E-1
1.913495917E0,1.233435059E-1,9.887688446E0,-4.080514526E-1
