"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.639814167E-1,1.359984279E-2,-2.482504770E-2,9.102901444E-3
1.739914167E-1,1.451091003E-2,-2.424767613E-2,5.546864122E-4
1.840014167E-1,9.849036112E-3,-2.153402194E-2,-4.696112126E-3
1.940104167E-1,9.693773463E-3,-1.668520272E-2,-1.243792195E-2
2.040204167E-1,1.098321192E-2,-8.692804724E-3,-9.068653919E-3
2.140304167E-1,1.800543442E-2,2.527359873E-3,-3.383072093E-3
2.240404167E-1,2.748650312E-2,6.278935820E-3,1.391012222E-3
2.340504167E-1,2.384409681E-2,1.993509382E-2,6.022248417E-3
2.440594167E-1,1.596844755E-2,2.227631211E-2,9.574702010E-3
2.540694167E-1,1.646645926E-2,1.248812675E-2,8.542727679E-3
2.640794167E-1,9.643468075E-3,5.357604474E-3,4.934968427E-3
2.740894167E-1,2.806601115E-3,3.164757043E-3,2.578072250E-3
2.840984167E-1,2.692439593E-3,7.520187646E-3,-1.948866993E-4
2.940784167E-1,1.355390996E-4,2.437826619E-2,-6.461836398E-3
3.040874167E-1,-1.398134511E-2,2.890776470E-2,-1.082169730E-2
3.140974167E-1,-9.998855181E-3,3.136879578E-2,-1.226672903E-2
3.241074167E-1,-1.902188174E-2,4.532928392E-2,-1.504293643E-2
3.341174167E-1,-1.711106114E-2,3.195382282E-2,-1.301760226E-2
3.441264167E-1,-3.708221018E-3,3.260083869E-2,-9.678277187E-3
3.541364167E-1,6.886100397E-3,3.690024838E-2,-9.196511470E-3
3.641464167E-1,7.548044436E-3,3.759502992E-2,-5.465220660E-3
3.741564167E-1,4.325886257E-3,3.026068583E-2,1.930644736E-3
3.841654167E-1,-6.445837207E-3,1.847291738E-2,1.271908544E-2
3.941754167E-1,-6.626133807E-3,-4.903774709E-3,2.281539328E-2
4.041854167E-1,1.928624697E-2,-6.489883363E-2,3.370524943E-2
4.141954167E-1,4.829153419E-2,-1.137025952E-1,4.677897692E-2
4.242054167E-1,6.662523001E-2,-1.429479122E-1,5.524647236E-2
4.342144167E-1,6.775467843E-2,-1.662843823E-1,6.501042098E-2
4.441944167E-1,6.257049739E-2,-1.894307882E-1,6.801510602E-2
4.542034167E-1,6.538678706E-2,-2.132269442E-1,6.662040949E-2
4.642134167E-1,7.099506259E-2,-2.461831868E-1,6.874476373E-2
4.742234167E-1,6.885495037E-2,-2.803076208E-1,7.312433422E-2
4.842334167E-1,6.344864517E-2,-2.968409956E-1,8.047435433E-2
4.942482500E-1,6.293892115E-2,-3.048225045E-1,9.158559144E-2
5.042582500E-1,6.725936383E-2,-3.045564294E-1,9.387777746E-2
5.142682500E-1,7.507574558E-2,-3.025492132E-1,8.965480328E-2
5.242782500E-1,7.402529567E-2,-2.889904678E-1,8.655710518E-2
5.342872500E-1,6.487067789E-2,-2.729316056E-1,8.353468031E-2
5.442972500E-1,5.656799674E-2,-2.600453198E-1,8.358421177E-2
5.543072500E-1,5.105791613E-2,-2.531794310E-1,8.454242349E-2
5.643172500E-1,5.477506295E-2,-2.497203350E-1,8.554277569E-2
5.743272500E-1,6.303778291E-2,-2.447806895E-1,8.732976019E-2
5.843362500E-1,7.153075933E-2,-2.354368865E-1,8.478026092E-2
5.943162500E-1,7.164581120E-2,-2.213559747E-1,7.936605811E-2
6.043252500E-1,6.675291061E-2,-2.067836374E-1,7.229237258E-2
6.143352500E-1,6.362822652E-2,-1.951083392E-1,6.364082545E-2
6.243452500E-1,6.660537422E-2,-1.897820234E-1,5.461537093E-2
6.343552500E-1,6.550601870E-2,-1.811634898E-1,4.763602465E-2
6.443642500E-1,6.670005620E-2,-1.678973287E-1,3.882542998E-2
6.543742500E-1,6.863005459E-2,-1.527726948E-1,3.355211020E-2
6.643842500E-1,7.146469504E-2,-1.391169429E-1,2.809807286E-2
6.743942500E-1,6.202458590E-2,-1.260935515E-1,2.461119741E-2
6.844032500E-1,3.960106149E-2,-1.020402163E-1,2.240411006E-2
6.944132500E-1,3.797680140E-2,-5.937877297E-2,2.483584173E-2
7.044232500E-1,7.749217749E-2,-7.942970842E-3,3.038236871E-2
7.144332500E-1,1.097076386E-1,2.301654592E-2,2.906064317E-2
7.244422500E-1,9.468285739E-2,1.121934131E-2,1.725417376E-2
7.344522500E-1,5.960929021E-2,-8.491780609E-3,-1.417780295E-3
7.444312500E-1,3.214108199E-2,-4.580020905E-3,-1.914795861E-2
7.544412500E-1,1.195512060E-2,1.752474532E-2,-2.778245881E-2
7.644512500E-1,7.284034509E-3,4.403454438E-2,-3.027153388E-2
7.744612500E-1,9.822026826E-3,6.868663430E-2,-3.564232960E-2
7.844712500E-1,1.516580861E-2,9.324699640E-2,-4.078495502E-2
7.944802500E-1,7.851170376E-3,1.194157451E-1,-4.384732246E-2
8.044902500E-1,3.717650659E-3,1.604879498E-1,-4.440779611E-2
8.145002500E-1,1.656740159E-2,2.194790840E-1,-3.818665072E-2
8.245102500E-1,3.249407560E-2,2.677381039E-1,-3.751518577E-2
8.345192500E-1,3.937381878E-2,3.021725118E-1,-4.936119542E-2
8.445292500E-1,2.735661902E-2,3.149235249E-1,-6.843872368E-2
8.545392500E-1,6.631900091E-3,3.212892711E-1,-8.559534699E-2
8.645492500E-1,-1.155613828E-2,3.316054940E-1,-9.917465597E-2
8.745582500E-1,-1.290023606E-2,3.508899808E-1,-1.007022485E-1
8.845682500E-1,-1.695225015E-3,3.728268445E-1,-1.049630195E-1
8.945782500E-1,5.660959519E-3,3.849037290E-1,-1.153967530E-1
9.045572500E-1,-5.291290581E-3,3.845402300E-1,-1.268619299E-1
9.145672500E-1,-2.054747567E-2,3.885834217E-1,-1.397340447E-1
9.245772500E-1,-3.145667911E-2,3.944446445E-1,-1.480209231E-1
9.345872500E-1,-4.101982340E-2,3.880290985E-1,-1.470153034E-1
9.445962500E-1,-4.648986086E-2,3.840099871E-1,-1.379164457E-1
9.546062500E-1,-5.351767689E-2,3.777792454E-1,-1.252816021E-1
9.646162500E-1,-5.210959911E-2,3.751547337E-1,-1.183399111E-1
9.746262500E-1,-4.976468533E-2,3.847311735E-1,-1.090020686E-1
9.846352500E-1,-4.260472581E-2,4.047193527E-1,-9.999071062E-2
9.946452500E-1,-3.253744543E-2,4.260004163E-1,-9.650543332E-2
1.004655250E0,-2.572862804E-2,4.356903732E-1,-1.035761684E-1
1.014665250E0,-3.064535558E-2,4.233378172E-1,-1.151710376E-1
1.024674250E0,-4.140150920E-2,4.043350518E-1,-1.183979511E-1
1.034684250E0,-4.651131481E-2,3.858955801E-1,-1.127395332E-1
1.044694250E0,-4.223553836E-2,3.706167340E-1,-9.879437834E-2
1.054673250E0,-3.854599595E-2,3.550412357E-1,-8.141884953E-2
1.064683250E0,-3.602439165E-2,3.504561186E-1,-6.398999691E-2
1.074693250E0,-3.100166656E-2,3.563171923E-1,-4.442029074E-2
1.084702250E0,-1.297421660E-2,3.637091219E-1,-2.139927074E-2
1.094712250E0,9.972644970E-3,3.669286072E-1,-4.909778014E-3
1.104722250E0,2.501080185E-2,3.620509803E-1,1.803617924E-4
1.114732250E0,3.037760407E-2,3.448552191E-1,-5.463410169E-3
1.124742250E0,2.783206850E-2,3.319538534E-1,-1.229685359E-2
1.134751250E0,2.457768656E-2,3.269985020E-1,-1.707216725E-2
1.144761250E0,3.271640837E-2,3.268516362E-1,-1.749796979E-2
1.154771250E0,4.459863156E-2,3.283406198E-1,-1.062435098E-2
1.164781250E0,5.273981392E-2,3.146699369E-1,-1.437278744E-2
1.174790250E0,5.536995083E-2,2.782080472E-1,-2.122669853E-2
1.184800250E0,4.527746141E-2,2.397205234E-1,-2.102680132E-2
