"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.820812900E-2,1.916533262E-1,5.772506446E-2,2.284568697E-1
3.055656700E-2,1.882936656E-1,8.200624585E-2,2.319692522E-1
3.290500400E-2,1.860029846E-1,1.024696305E-1,2.342599183E-1
3.525344200E-2,1.824906170E-1,1.181989461E-1,2.377723008E-1
3.760187900E-2,1.838650256E-1,1.327065676E-1,2.402156889E-1
3.995031700E-2,1.815743446E-1,1.459924877E-1,2.461714447E-1
4.229880600E-2,1.829487532E-1,1.605001241E-1,2.484621257E-1
4.464724400E-2,1.905843467E-1,1.783674061E-1,2.533488870E-1
4.699568100E-2,1.956238300E-1,1.928750277E-1,2.593046725E-1
4.934411900E-2,2.032594234E-1,2.084516287E-1,2.617480457E-1
5.169255600E-2,2.133384049E-1,2.202104330E-1,2.652604282E-1
5.404099400E-2,2.220429778E-1,2.298312783E-1,2.701472044E-1
5.638943100E-2,2.319692522E-1,2.319692522E-1,2.750339806E-1
5.873786900E-2,2.441861928E-1,2.342599183E-1,2.799207568E-1
6.108630600E-2,2.541124523E-1,2.341072112E-1,2.823641598E-1
6.343479600E-2,2.651077211E-1,2.267770469E-1,2.886253297E-1
6.578323300E-2,2.759502530E-1,2.168507725E-1,2.936648130E-1
6.813167100E-2,2.843494117E-1,2.060082406E-1,2.997733057E-1
7.048010800E-2,2.951919436E-1,1.937913001E-1,3.072561622E-1
7.282854600E-2,3.074088693E-1,1.803526580E-1,3.135173619E-1
7.517698300E-2,3.145863414E-1,1.693574041E-1,3.185568452E-1
7.752542100E-2,3.240544796E-1,1.536280811E-1,3.235963285E-1
7.987385800E-2,3.348970115E-1,1.401894391E-1,3.310792148E-1
8.222234800E-2,3.445178568E-1,1.232384369E-1,3.361186981E-1
8.457078500E-2,3.529170156E-1,1.110214889E-1,3.422271907E-1
8.691922300E-2,3.588727713E-1,9.529217333E-2,3.484883606E-1
8.926766000E-2,3.622324169E-1,8.322793990E-2,3.547495604E-1
9.161609800E-2,3.645231128E-1,6.765133142E-2,3.585673273E-1
9.396453500E-2,3.654393852E-1,5.070032179E-2,3.561239541E-1
9.631297300E-2,3.640649617E-1,3.863608837E-2,3.526115716E-1
9.866141000E-2,3.626905680E-1,2.183778957E-2,3.478775024E-1
1.010098480E-1,3.613161445E-1,8.551862091E-3,3.442124426E-1
1.033583380E-1,3.587200642E-1,-5.803049076E-3,3.419217467E-1
1.057067750E-1,3.533751369E-1,-2.626643144E-2,3.432961702E-1
1.080552130E-1,3.468085229E-1,-4.902049154E-2,3.471139669E-1
1.104036500E-1,3.400892019E-1,-7.528692484E-2,3.533751369E-1
1.127520880E-1,3.323009014E-1,-1.015533581E-1,3.608580232E-1
1.151005250E-1,3.205420971E-1,-1.302631795E-1,3.671191931E-1
1.174489630E-1,3.101576865E-1,-1.601946950E-1,3.710896969E-1
1.197974000E-1,2.973299026E-1,-1.948602796E-1,3.712424338E-1
1.221458900E-1,2.822114229E-1,-2.211267054E-1,3.689517379E-1
1.244943270E-1,2.672456801E-1,-2.341072112E-1,3.640649617E-1
1.268427650E-1,2.486148328E-1,-2.374668717E-1,3.579564989E-1
1.291912020E-1,2.327328026E-1,-2.359397560E-1,3.506263196E-1
1.315396400E-1,2.081461996E-1,-2.380777150E-1,3.345915973E-1
1.338880770E-1,1.788255423E-1,-2.328855246E-1,3.100049794E-1
1.362365150E-1,1.510319859E-1,-2.168507725E-1,2.854183912E-1
1.385849520E-1,1.218640283E-1,-1.948602796E-1,2.655658424E-1
1.409333900E-1,9.284878522E-2,-1.618745178E-1,2.481566966E-1
1.432818790E-1,6.261184067E-2,-1.264453828E-1,2.356343269E-1
