"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.307583334E-3,7.949045300E-2,-2.158835530E-1,-5.397063494E-2
1.925558333E-2,-3.262516484E-2,-2.143469006E-1,-5.746843666E-2
2.920358333E-2,-1.319487542E-1,-2.401493192E-1,-5.866940320E-2
3.915258333E-2,-2.012343556E-1,-2.834818959E-1,-8.269724250E-2
4.910058333E-2,-2.321707606E-1,-3.121230602E-1,-1.134142727E-1
5.904958333E-2,-2.265927643E-1,-3.102255464E-1,-1.370927095E-1
6.899758333E-2,-2.009700388E-1,-2.853642702E-1,-1.595115513E-1
7.894558333E-2,-1.873727292E-1,-2.470831722E-1,-1.767113060E-1
8.889458333E-2,-1.990304440E-1,-1.970828027E-1,-1.840829998E-1
9.884258333E-2,-2.106098682E-1,-1.540447772E-1,-1.828624606E-1
1.087915833E-1,-2.020269185E-1,-1.457917094E-1,-1.759033054E-1
1.187395833E-1,-1.820899695E-1,-1.859236807E-1,-1.740851700E-1
1.286875833E-1,-1.544369012E-1,-2.412184775E-1,-1.760630608E-1
1.386365833E-1,-1.107589379E-1,-3.087716997E-1,-1.638327539E-1
1.485845833E-1,-6.574447453E-2,-3.789459169E-1,-1.533752978E-1
1.585325833E-1,-3.683080524E-2,-4.239110053E-1,-1.282419860E-1
1.684815833E-1,-2.289979905E-2,-4.336529374E-1,-9.984045476E-2
1.784295833E-1,-2.369341999E-2,-4.264195263E-1,-8.219674975E-2
1.883785833E-1,-3.496291861E-2,-4.141817093E-1,-7.355704904E-2
1.983265833E-1,-4.096541926E-2,-4.103882909E-1,-6.758172065E-2
2.082745833E-1,-4.900362715E-2,-4.110765457E-1,-7.250751555E-2
2.182235833E-1,-6.316551566E-2,-4.163131118E-1,-9.459018707E-2
2.281715833E-1,-9.887985140E-2,-4.147161245E-1,-1.178531274E-1
2.381195833E-1,-1.434574425E-1,-4.079495668E-1,-1.319873184E-1
2.480685833E-1,-1.879651248E-1,-4.034722149E-1,-1.279337555E-1
2.580165833E-1,-2.100557685E-1,-4.235023856E-1,-1.069555059E-1
2.679655833E-1,-1.946635246E-1,-4.618157446E-1,-8.501367271E-2
2.779135833E-1,-1.623844057E-1,-5.137835741E-1,-6.631828099E-2
2.878615833E-1,-1.396472156E-1,-5.637305379E-1,-4.665468633E-2
2.978105833E-1,-1.415678859E-1,-5.664008856E-1,-1.613006555E-2
3.077585833E-1,-1.946853399E-1,-5.603971481E-1,4.643537849E-2
3.177065833E-1,-3.147432804E-1,-5.251182318E-1,1.222103015E-1
3.276555833E-1,-4.704910219E-1,-4.938825071E-1,1.674043089E-1
3.376035833E-1,-6.175358295E-1,-4.839957952E-1,1.712376624E-1
3.475525833E-1,-7.418662906E-1,-4.856808186E-1,1.703861952E-1
3.575005833E-1,-8.300251961E-1,-4.764806628E-1,1.782675534E-1
3.674485833E-1,-8.803074956E-1,-4.727616310E-1,2.147340775E-1
3.773975833E-1,-9.846985936E-1,-6.792764664E-1,4.870007634E-1
3.873455833E-1,-1.181076884E0,-9.613541365E-1,1.084663987E0
3.972935833E-1,-1.439722061E0,-9.594915509E-1,1.519675612E0
4.072425833E-1,-1.695452809E0,-6.936667562E-1,1.767574310E0
4.171905833E-1,-1.892047286E0,-3.499296308E-1,1.914774418E0
4.271395833E-1,-1.834696651E0,-3.430988193E-1,2.163025379E0
4.370875833E-1,-1.552027464E0,-3.702601492E-1,2.259507895E0
4.470355833E-1,-1.286913753E0,-4.941764474E-1,2.296342134E0
4.569845833E-1,-9.963058829E-1,-1.382044315E0,2.348461390E0
4.669325833E-1,-5.703753829E-1,-1.636932850E0,1.766505480E0
4.768805833E-1,-1.626194455E-3,-1.196047783E0,9.775860906E-1
4.868295833E-1,3.572581410E-1,-7.483751774E-1,4.193660319E-1
4.967775833E-1,5.693400502E-1,-6.035918593E-1,1.084662154E-1
5.067265833E-1,6.692221761E-1,-6.316850781E-1,-1.211313158E-1
5.166745833E-1,6.269183755E-1,-6.256237030E-1,-3.075121045E-1
5.266225833E-1,5.531502366E-1,-5.157543421E-1,-3.959895968E-1
5.365715833E-1,5.169176459E-1,-3.954018950E-1,-4.214291871E-1
5.465195833E-1,4.718108475E-1,-3.451992273E-1,-4.365319312E-1
5.564675833E-1,3.991635442E-1,-2.974564731E-1,-4.611462057E-1
5.664165833E-1,2.595715523E-1,-1.032931656E-1,-4.616007507E-1
5.763645833E-1,8.917478472E-2,2.272189707E-1,-4.397412539E-1
5.863135833E-1,-1.282912940E-1,6.641140580E-1,-4.289268255E-1
5.962615833E-1,-3.806708157E-1,1.046525002E0,-4.289627671E-1
6.062095833E-1,-5.669369698E-1,1.270253897E0,-4.491255283E-1
6.161585833E-1,-6.325367689E-1,1.341286540E0,-4.396617115E-1
6.261065833E-1,-6.216796637E-1,1.403707385E0,-3.903217912E-1
6.360545833E-1,-6.083827615E-1,1.408099413E0,-3.737870157E-1
6.460035833E-1,-6.057644486E-1,1.304249048E0,-3.604529798E-1
6.559515833E-1,-4.636433125E-1,8.359705806E-1,-4.234010577E-1
