"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.189583345E-4,-1.838925934E0,5.096152496E0,7.827971649E0
1.006695833E-2,-1.964963837E0,4.885690155E0,7.898175659E0
2.001495833E-2,-1.926942902E0,4.719685364E0,7.969277802E0
2.996395833E-2,-1.795216827E0,4.749623108E0,7.991880798E0
3.991195833E-2,-1.726060638E0,4.721331940E0,7.937543793E0
4.985995833E-2,-1.702559509E0,4.648283844E0,7.950866089E0
5.980795833E-2,-1.685195618E0,4.673132172E0,7.936645660E0
6.975695833E-2,-1.733545074E0,4.699178009E0,8.034691772E0
7.970495833E-2,-1.749711456E0,4.656217346E0,8.248596954E0
8.965295833E-2,-1.770518188E0,4.596192169E0,8.462801514E0
9.960095833E-2,-1.752705231E0,4.592749329E0,8.559500427E0
1.095499583E-1,-1.746717682E0,4.654570770E0,8.630452881E0
1.194979583E-1,-1.860181732E0,4.757257233E0,8.772657166E0
1.294459583E-1,-1.992656250E0,4.790338440E0,8.813073120E0
1.393939583E-1,-1.926194458E0,4.810845795E0,8.948391724E0
1.493419583E-1,-1.896256714E0,4.709805908E0,8.975335693E0
1.592909583E-1,-1.888921967E0,4.688250732E0,8.936566315E0
1.692389583E-1,-1.882185974E0,4.710105286E0,9.013805695E0
1.791869583E-1,-1.800755310E0,4.598886566E0,8.987460480E0
1.891349583E-1,-1.635199585E0,4.425846405E0,8.907227325E0
1.990839583E-1,-1.483115845E0,4.237388306E0,8.960067444E0
2.090319583E-1,-1.455573120E0,4.117936707E0,8.890162811E0
2.189799583E-1,-1.404080200E0,4.132905579E0,8.903634796E0
2.289279583E-1,-1.364412689E0,4.198169861E0,8.955127716E0
2.388759583E-1,-1.274898834E0,4.225113831E0,9.074878693E0
2.488249583E-1,-1.228046265E0,4.154460754E0,9.257947998E0
2.587729583E-1,-1.202748871E0,3.974534912E0,9.445957031E0
2.687209583E-1,-9.987231445E-1,3.128045197E0,9.840686188E0
2.786689583E-1,-7.924520874E-1,3.125949554E0,1.030247589E1
2.886179583E-1,-1.366658020E0,4.853806458E0,9.443112946E0
2.985659583E-1,-1.287173309E0,4.664599915E0,9.191037140E0
3.085139583E-1,-1.057550812E0,4.035009155E0,9.472302246E0
3.184619583E-1,-7.936495972E-1,3.517235870E0,8.833430786E0
3.284109583E-1,-3.478765869E-1,3.379222870E0,9.774673462E0
3.383589583E-1,-2.386038208E-1,3.192111969E0,9.879156189E0
3.483069583E-1,-3.782633972E-1,2.887645111E0,9.747130737E0
3.582549583E-1,-4.248165894E-1,2.878065033E0,9.739197235E0
3.682029583E-1,-2.191442871E-1,2.756218414E0,9.956694946E0
3.781519583E-1,3.191363525E-1,3.735182648E0,1.043674667E1
3.880999583E-1,7.852670288E-1,4.580774231E0,1.014470398E1
3.980479583E-1,1.932182007E0,2.285746765E0,9.332492981E0
4.079959583E-1,1.154698792E0,2.427951050E0,8.826994171E0
4.179449583E-1,1.641336823E0,3.493135986E0,7.957602081E0
4.278929583E-1,2.176623688E0,4.308640137E0,8.981921997E0
4.378409583E-1,1.388811951E0,4.581372986E0,8.660240936E0
4.477889583E-1,6.667135620E-1,4.791985016E0,8.306825867E0
4.577379583E-1,6.201603699E-1,4.286635895E0,8.850794678E0
4.676859583E-1,8.569679260E-1,2.917732544E0,9.100924530E0
4.776339583E-1,1.177002411E0,2.103575592E0,8.630153503E0
4.875819583E-1,1.537452850E0,1.825004883E0,8.271050262E0
4.975299583E-1,1.733694763E0,1.390308838E0,8.214767303E0
5.074820833E-1,1.862127686E0,1.198856964E0,8.399932251E0
5.174300833E-1,1.808838501E0,9.840536499E-1,8.649762726E0
5.273780833E-1,1.722617798E0,9.128018188E-1,8.759933624E0
5.373260833E-1,1.690584412E0,1.019230499E0,8.729546814E0
5.472750833E-1,1.699416046E0,1.206491089E0,8.544980621E0
5.572230833E-1,1.326691132E0,1.457519073E0,8.803043976E0
5.671710833E-1,1.064286804E0,2.136507111E0,8.768166504E0
5.771190833E-1,9.553134155E-1,2.686762848E0,8.397836609E0
5.870680833E-1,9.898915100E-1,2.868484955E0,8.205486603E0
5.970160833E-1,1.050665131E0,2.821782074E0,8.830736389E0
6.069640833E-1,1.039139099E0,2.703378296E0,9.585167542E0
6.169120833E-1,2.769241333E-1,2.969674530E0,9.461824036E0
6.268600833E-1,3.595523071E-1,2.871029663E0,9.187893677E0
6.368090833E-1,1.657802582E0,1.751956787E0,8.996292114E0
6.467570833E-1,2.633024597E0,7.412585449E-1,9.240284729E0
6.567050833E-1,1.581910400E0,2.908451843E0,1.147004791E1
