"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.423317940E-1,-4.497070312E-1,-6.367797852E-1,-6.219482422E-2
1.473061590E-1,-4.250183105E-1,-6.015319824E-1,-5.998229980E-2
1.522805250E-1,2.896118164E-2,4.679870605E-2,-1.892089844E-2
1.572548900E-1,3.306579590E-2,5.426025391E-2,-1.461791992E-2
1.622292550E-1,3.848266602E-2,6.716918945E-2,-1.502990723E-2
1.672036200E-1,4.188537598E-2,7.319641113E-2,-1.422119141E-2
1.721779860E-1,4.306030273E-2,7.327270508E-2,-1.332092285E-2
1.771523510E-1,4.306030273E-2,7.498168945E-2,-1.332092285E-2
1.821267160E-1,4.362487793E-2,8.120727539E-2,-1.332092285E-2
1.871010810E-1,4.187011719E-2,8.866882324E-2,-1.220703125E-2
1.920754470E-1,4.112243652E-2,9.809875488E-2,-1.118469238E-2
1.970498120E-1,4.235839844E-2,1.028137207E-1,-1.115417480E-2
2.020241770E-1,4.116821289E-2,1.111602783E-1,-1.049804688E-2
2.069985420E-1,3.860473633E-2,1.245574951E-1,-8.666992188E-3
2.119729070E-1,3.518676758E-2,1.322174072E-1,-7.827758789E-3
2.169472730E-1,3.088378906E-2,1.325988770E-1,-7.369995117E-3
2.219216380E-1,2.149963379E-2,1.303253174E-1,-7.705688477E-3
2.268960030E-1,1.370239258E-2,1.256866455E-1,-9.902954102E-3
2.318703680E-1,6.683349609E-3,1.161804199E-1,-1.190185547E-2
2.368447340E-1,7.781982422E-4,1.036071777E-1,-1.266479492E-2
2.418190990E-1,-6.225585938E-3,9.382629395E-2,-1.576232910E-2
2.467934640E-1,-6.713867188E-3,8.476257324E-2,-1.568603516E-2
2.517678290E-1,-4.028320312E-3,7.548522949E-2,-1.489257812E-2
2.567421950E-1,-3.662109375E-4,7.511901855E-2,-1.820373535E-2
2.617165600E-1,2.685546875E-3,7.327270508E-2,-1.759338379E-2
2.666909250E-1,6.301879883E-3,7.426452637E-2,-1.484680176E-2
2.716652900E-1,5.386352539E-3,7.408142090E-2,-1.338195801E-2
2.766396550E-1,4.745483398E-3,7.449340820E-2,-9.750366211E-3
2.816140210E-1,3.311157227E-3,7.511901855E-2,-4.898071289E-3
2.865883860E-1,2.120971680E-3,7.092285156E-2,-3.509521484E-4
2.915627510E-1,-1.022338867E-3,6.146240234E-2,7.125854492E-3
2.965371160E-1,-3.158569336E-3,5.029296875E-2,1.290893555E-2
3.015114820E-1,-9.765625000E-4,4.179382324E-2,1.684570312E-2
3.064858470E-1,-1.861572266E-3,3.094482422E-2,2.020263672E-2
3.114602120E-1,-4.882812500E-3,2.149963379E-2,2.320861816E-2
3.164345770E-1,-8.819580078E-3,1.516723633E-2,2.622985840E-2
3.214089430E-1,-1.231384277E-2,1.330566406E-2,2.748107910E-2
3.263833080E-1,-1.657104492E-2,1.420593262E-2,2.709960938E-2
3.313576730E-1,-1.667785645E-2,1.440429688E-2,2.371215820E-2
3.363320380E-1,-1.023864746E-2,1.266479492E-2,1.812744141E-2
3.413064040E-1,-6.286621094E-3,1.437377930E-2,1.483154297E-2
3.462807690E-1,-1.785278320E-3,2.012634277E-2,9.140014648E-3
3.512551340E-1,1.998901367E-3,2.627563477E-2,5.340576172E-3
3.562294990E-1,-1.861572266E-3,2.888488770E-2,2.059936523E-3
3.612038640E-1,-6.271362305E-3,2.714538574E-2,-1.663208008E-3
3.661782300E-1,-1.100158691E-2,2.372741699E-2,-4.745483398E-3
3.711525950E-1,-6.362915039E-3,2.215576172E-2,-6.607055664E-3
3.761269600E-1,3.005981445E-3,2.192687988E-2,-6.805419922E-3
3.811013250E-1,1.475524902E-2,2.209472656E-2,-6.500244141E-3
3.860756910E-1,2.589416504E-2,1.904296875E-2,-3.768920898E-3
3.910500560E-1,3.462219238E-2,1.202392578E-2,3.082275391E-3
3.960244210E-1,4.034423828E-2,4.669189453E-3,9.048461914E-3
4.009987860E-1,4.095458984E-2,-4.882812500E-3,9.536743164E-3
4.059731520E-1,3.941345215E-2,-9.826660156E-3,1.280212402E-2
4.109475170E-1,3.855895996E-2,-8.773803711E-3,1.774597168E-2
4.159218820E-1,3.791809082E-2,-1.226806641E-2,1.905822754E-2
4.208962470E-1,3.584289551E-2,-1.947021484E-2,2.146911621E-2
4.258706130E-1,3.787231445E-2,-2.769470215E-2,2.365112305E-2
4.308449780E-1,3.454589844E-2,-3.495788574E-2,2.503967285E-2
4.358193430E-1,3.294372559E-2,-4.541015625E-2,2.345275879E-2
4.407937080E-1,2.864074707E-2,-5.632019043E-2,1.791381836E-2
4.457680730E-1,2.363586426E-2,-5.895996094E-2,1.589965820E-2
4.507424390E-1,2.188110352E-2,-6.079101562E-2,1.300048828E-2
4.557168040E-1,2.162170410E-2,-6.077575684E-2,1.348876953E-2
4.606911690E-1,1.969909668E-2,-5.729675293E-2,1.214599609E-2
4.656655340E-1,1.762390137E-2,-5.625915527E-2,8.666992188E-3
4.706399000E-1,1.541137695E-2,-4.852294922E-2,8.666992188E-3
4.756142650E-1,1.473999023E-2,-4.362487793E-2,8.468627930E-3
4.805886300E-1,1.467895508E-2,-3.784179688E-2,7.827758789E-3
4.855629950E-1,1.393127441E-2,-3.260803223E-2,7.720947266E-3
4.905373610E-1,1.303100586E-2,-3.137207031E-2,8.361816406E-3
4.955117260E-1,1.013183594E-2,-3.428649902E-2,9.323120117E-3
5.004860910E-1,7.354736328E-3,-3.712463379E-2,9.185791016E-3
5.054604560E-1,5.050659180E-3,-3.620910645E-2,8.666992188E-3
5.104348220E-1,3.326416016E-3,-3.425598145E-2,1.034545898E-2
5.154091870E-1,2.487182617E-3,-3.431701660E-2,1.200866699E-2
5.203835520E-1,2.334594727E-3,-3.303527832E-2,1.281738281E-2
5.253579170E-1,3.341674805E-3,-3.315734863E-2,1.396179199E-2
5.303322820E-1,5.706787109E-3,-3.218078613E-2,1.524353027E-2
5.353066480E-1,5.416870117E-3,-3.202819824E-2,1.483154297E-2
5.402810130E-1,5.386352539E-3,-3.746032715E-2,1.538085938E-2
5.452553780E-1,2.502441406E-3,-4.547119141E-2,1.289367676E-2
5.502297430E-1,7.766723633E-3,-4.547119141E-2,1.101684570E-2
5.552041090E-1,8.041381836E-3,-4.646301270E-2,1.005554199E-2
5.601784740E-1,1.342773438E-2,-5.392456055E-2,1.110839844E-2
5.651528390E-1,1.420593262E-2,-6.144714355E-2,1.153564453E-2
5.701272040E-1,1.550292969E-2,-7.023620605E-2,1.312255859E-2
5.751015700E-1,1.617431641E-2,-7.070922852E-2,1.336669922E-2
5.800759350E-1,1.528930664E-2,-6.965637207E-2,1.388549805E-2
5.850503000E-1,1.506042480E-2,-7.034301758E-2,1.432800293E-2
5.900246650E-1,1.547241211E-2,-6.907653809E-2,1.293945312E-2
5.949990300E-1,1.383972168E-2,-6.524658203E-2,1.327514648E-2
5.999733960E-1,1.020812988E-2,-6.297302246E-2,1.428222656E-2
6.049477610E-1,6.881713867E-3,-5.847167969E-2,1.440429688E-2
6.099221260E-1,3.067016602E-3,-5.229187012E-2,1.499938965E-2
6.148964910E-1,-9.765625000E-4,-5.081176758E-2,1.629638672E-2
6.198708570E-1,-7.202148438E-3,-5.049133301E-2,1.757812500E-2
6.248452220E-1,-1.069641113E-2,-5.389404297E-2,1.531982422E-2
6.298195870E-1,-1.756286621E-2,-5.194091797E-2,1.478576660E-2
6.347939520E-1,-1.959228516E-2,-4.873657227E-2,1.593017578E-2
6.397683180E-1,-2.262878418E-2,-4.318237305E-2,1.660156250E-2
6.447426830E-1,-2.389526367E-2,-3.300476074E-2,1.666259766E-2
6.497170480E-1,-2.238464355E-2,-2.287292480E-2,1.799011230E-2
6.546914130E-1,-1.792907715E-2,-1.501464844E-2,2.020263672E-2
6.596657790E-1,-1.278686523E-2,-1.084899902E-2,2.374267578E-2
6.646401440E-1,-4.165649414E-3,-7.583618164E-3,2.244567871E-2
6.696145090E-1,5.126953125E-3,-2.304077148E-3,2.099609375E-2
6.745888740E-1,1.284790039E-2,2.502441406E-3,1.928710938E-2
6.795632390E-1,1.927185059E-2,7.751464844E-3,1.890563965E-2
6.845376050E-1,2.517700195E-2,9.170532227E-3,1.940917969E-2
6.895119700E-1,2.970886230E-2,1.095581055E-2,1.791381836E-2
6.944863350E-1,3.419494629E-2,1.287841797E-2,1.533508301E-2
6.994607000E-1,3.968811035E-2,1.318359375E-2,1.347351074E-2
7.044350660E-1,4.087829590E-2,1.509094238E-2,1.141357422E-2
7.094094310E-1,3.608703613E-2,1.623535156E-2,7.629394531E-3
7.143837960E-1,2.879333496E-2,1.490783691E-2,6.668090820E-3
7.193581610E-1,2.250671387E-2,1.014709473E-2,4.013061523E-3
7.243325270E-1,1.519775391E-2,4.348754883E-3,5.203247070E-3
7.293068920E-1,9.140014648E-3,-2.456665039E-3,4.028320312E-3
