"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.867813880E-1,-3.866465390E-1,-2.001314878E0,-1.374512792E0
2.887833880E-1,-4.037507772E-1,-2.009256124E0,-1.362295389E0
2.908913880E-1,-4.239093363E-1,-2.010478020E0,-1.348856449E0
2.928930540E-1,-4.336831570E-1,-2.009256124E0,-1.345802069E0
2.948948040E-1,-4.617829621E-1,-1.990930200E0,-1.341526031E0
2.968962040E-1,-4.898827672E-1,-1.975658536E0,-1.334806561E0
2.988977040E-1,-5.069869757E-1,-1.962830305E0,-1.332973957E0
3.008992750E-1,-5.491366982E-1,-1.926178455E0,-1.338471651E0
3.029007750E-1,-5.882320404E-1,-1.885861278E0,-1.342747808E0
3.049022190E-1,-6.138884425E-1,-1.864481091E0,-1.350078106E0
3.069037190E-1,-6.560381651E-1,-1.822942257E0,-1.358019352E0
3.089051730E-1,-6.847487688E-1,-1.800340176E0,-1.361684561E0
3.109065890E-1,-7.495005131E-1,-1.720927715E0,-1.380621433E0
3.129079730E-1,-7.873741388E-1,-1.645791292E0,-1.413608193E0
3.149093300E-1,-7.953153849E-1,-1.614026308E0,-1.429490566E0
3.169107300E-1,-8.203608394E-1,-1.564546227E0,-1.447205663E0
3.189121050E-1,-8.655648828E-1,-1.515676975E0,-1.452092648E0
3.209135160E-1,-8.893886805E-1,-1.497961879E0,-1.463088274E0
3.229149600E-1,-9.064928293E-1,-1.461310029E0,-1.478970647E0
3.249163810E-1,-9.187101722E-1,-1.433821082E0,-1.489966273E0
3.269177810E-1,-9.235970974E-1,-1.423436403E0,-1.488133669E0
3.289191610E-1,-9.266514182E-1,-1.406332135E0,-1.483857632E0
3.309205700E-1,-9.235970974E-1,-1.389838696E0,-1.483246803E0
3.329219610E-1,-9.168775678E-1,-1.384951949E0,-1.472251177E0
3.349232520E-1,-8.954973221E-1,-1.378232241E0,-1.460644722E0
3.369246520E-1,-8.912212253E-1,-1.371512771E0,-1.453314304E0
3.389260360E-1,-8.582345247E-1,-1.361739039E0,-1.420938492E0
3.409274430E-1,-8.099761605E-1,-1.357462883E0,-1.394060373E0
3.429288350E-1,-7.855415940E-1,-1.350132585E0,-1.379399657E0
3.449302140E-1,-7.330071330E-1,-1.328141332E0,-1.342747808E0
3.469316140E-1,-6.694771647E-1,-1.282326579E0,-1.289602518E0
3.489329470E-1,-6.358795762E-1,-1.271941781E0,-1.257837534E0
3.509272130E-1,-5.644083023E-1,-1.277439594E0,-1.199194431E0
3.529282790E-1,-5.002675056E-1,-1.319589257E0,-1.138107896E0
3.549296120E-1,-4.733894169E-1,-1.345245600E0,-1.108175516E0
3.569309450E-1,-4.349049032E-1,-1.411219120E0,-1.067247510E0
3.589323110E-1,-3.982529938E-1,-1.497961879E0,-1.018378377E0
3.609334440E-1,-3.817596138E-1,-1.545609355E0,-9.988306165E-1
3.629347440E-1,-3.469403088E-1,-1.649456501E0,-9.652330279E-1
3.649360770E-1,-3.304469287E-1,-1.745973229E0,-9.517940283E-1
3.669372430E-1,-3.090666533E-1,-1.794231534E0,-9.273594618E-1
3.689385430E-1,-2.846320570E-1,-1.883417845E0,-9.096443653E-1
3.709398760E-1,-2.821885943E-1,-1.924345851E0,-9.059790969E-1
3.729478090E-1,-2.632517815E-1,-1.996428013E0,-8.980379105E-1
3.749491750E-1,-2.553105056E-1,-2.050184011E0,-8.980379105E-1
3.769505080E-1,-2.479801327E-1,-2.069731712E0,-9.010922313E-1
3.789518410E-1,-2.400389016E-1,-2.092333794E0,-8.992596269E-1
3.809569740E-1,-2.223237902E-1,-2.101496935E0,-8.974270225E-1
3.829582740E-1,-2.162151486E-1,-2.093555450E0,-9.035356641E-1
3.849595740E-1,-2.033869773E-1,-2.062401295E0,-8.992596269E-1
3.869609070E-1,-1.942240000E-1,-2.008034468E0,-8.833771348E-1
3.889674400E-1,-1.881153435E-1,-1.957943439E0,-8.772684932E-1
3.909687400E-1,-1.783414930E-1,-1.815611839E0,-8.638294339E-1
3.929700730E-1,-1.697893888E-1,-1.644569635E0,-8.558881879E-1
3.949715060E-1,-1.691785157E-1,-1.555383325E0,-8.381730914E-1
3.969728390E-1,-1.697893888E-1,-1.375177979E0,-8.100733161E-1
3.989742050E-1,-1.716219783E-1,-1.285380840E0,-7.960233688E-1
4.009755380E-1,-1.752871722E-1,-1.089903951E0,-7.715888023E-1
4.029766040E-1,-1.771197617E-1,-8.840423822E-1,-7.489867806E-1
4.049779700E-1,-1.740654409E-1,-7.875256538E-1,-7.410455346E-1
4.069793030E-1,-1.722328514E-1,-5.944922566E-1,-7.123348117E-1
4.089806690E-1,-1.826175600E-1,-4.368889630E-1,-6.921762824E-1
4.109820350E-1,-1.930022538E-1,-3.727481365E-1,-6.842350364E-1
4.129836680E-1,-2.162151486E-1,-2.853944004E-1,-6.616330743E-1
4.149849680E-1,-2.498127222E-1,-2.554619908E-1,-6.494157314E-1
4.169863680E-1,-2.681387067E-1,-2.585163414E-1,-6.414744854E-1
4.189876680E-1,-3.047905862E-1,-2.939465344E-1,-6.304788589E-1
4.209892010E-1,-3.444968462E-1,-3.605308235E-1,-6.219268441E-1
4.229906010E-1,-3.670988381E-1,-3.977936208E-1,-6.127638221E-1
4.249919340E-1,-3.988638520E-1,-4.900342822E-1,-6.042117476E-1
4.269934670E-1,-4.123028815E-1,-5.376817584E-1,-5.993247628E-1
4.289948670E-1,-4.361266196E-1,-6.451940536E-1,-5.864965916E-1
4.309959330E-1,-4.544525743E-1,-7.557606101E-1,-5.693923831E-1
4.329906990E-1,-4.611721337E-1,-8.113493919E-1,-5.602294207E-1
4.349920650E-1,-4.752220213E-1,-9.109203815E-1,-5.388491154E-1
4.369933980E-1,-4.721677005E-1,-1.005604506E0,-5.211340189E-1
4.389947310E-1,-4.691133499E-1,-1.050808549E0,-5.150253773E-1
4.409922970E-1,-4.452896118E-1,-1.130831957E0,-5.028080940E-1
4.429936300E-1,-4.232984483E-1,-1.195583582E0,-4.857038558E-1
4.449949960E-1,-4.068050981E-1,-1.229792118E0,-4.808169305E-1
4.469963620E-1,-3.762618303E-1,-1.290878654E0,-4.783734679E-1
4.489925280E-1,-3.389990628E-1,-1.340358615E0,-4.734865427E-1
4.509938940E-1,-3.176187873E-1,-1.359906316E0,-4.698213637E-1
4.529952600E-1,-2.711930275E-1,-1.405110359E0,-4.740974009E-1
4.549965930E-1,-2.430932224E-1,-1.423436403E0,-4.716539383E-1
4.569979260E-1,-1.930022538E-1,-1.456423044E0,-4.789843261E-1
4.589992260E-1,-1.477982402E-1,-1.480857611E0,-4.857038558E-1
4.610005260E-1,-1.203092933E-1,-1.486355424E0,-4.930342436E-1
4.630021590E-1,-6.960748136E-2,-1.498572707E0,-5.028080940E-1
4.650034920E-1,-6.077498663E-3,-1.505903244E0,-5.101384521E-1
4.670048250E-1,2.263316698E-2,-1.515066147E0,-5.101384521E-1
4.690061910E-1,7.455671579E-2,-1.523007393E0,-5.125818849E-1
4.710075240E-1,1.252585351E-1,-1.527283430E0,-5.168579817E-1
4.730088240E-1,1.441953629E-1,-1.527283430E0,-5.211340189E-1
4.750101900E-1,1.820690036E-1,-1.539500713E0,-5.162471533E-1
4.770115230E-1,2.162774503E-1,-1.540111542E0,-5.193014741E-1
4.790128560E-1,2.352142781E-1,-1.541333318E0,-5.168579817E-1
4.810156890E-1,2.724770606E-1,-1.541944265E0,-5.119710565E-1
4.830172220E-1,2.822508812E-1,-1.538889885E0,-5.113601685E-1
4.850185880E-1,3.048529029E-1,-1.535835624E0,-5.089167356E-1
4.870196540E-1,3.292874992E-1,-1.531559587E0,-5.052515268E-1
4.890209540E-1,3.366178870E-1,-1.525450826E0,-5.058624148E-1
4.910225870E-1,3.512786627E-1,-1.512622714E0,-4.991428852E-1
4.930276530E-1,3.604416549E-1,-1.501627088E0,-4.979211390E-1
4.950289860E-1,3.659394085E-1,-1.489409804E0,-4.960885644E-1
4.970303520E-1,3.714372218E-1,-1.476581693E0,-4.948668182E-1
4.990317520E-1,3.671611547E-1,-1.448481798E0,-4.936450720E-1
5.010330520E-1,3.647177219E-1,-1.433821082E0,-4.881473184E-1
5.030344180E-1,3.610525131E-1,-1.400834322E0,-4.875364304E-1
5.050357840E-1,3.543330133E-1,-1.369680166E0,-4.857038558E-1
5.070371170E-1,3.500569463E-1,-1.341580391E0,-4.875364304E-1
5.090384170E-1,3.329527080E-1,-1.295154691E0,-4.838712513E-1
5.110397830E-1,3.298983872E-1,-1.270109177E0,-4.881473184E-1
5.130410830E-1,3.292874992E-1,-1.225515962E0,-4.857038558E-1
5.150434160E-1,3.268440664E-1,-1.183977127E0,-4.948668182E-1
5.170447490E-1,3.170702159E-1,-1.162596941E0,-4.979211390E-1
5.190458490E-1,3.042420447E-1,-1.122279763E0,-5.028080940E-1
5.210479490E-1,3.024094403E-1,-1.090514779E0,-5.156362057E-1
5.230492490E-1,2.969116569E-1,-1.074021459E0,-5.193014741E-1
5.250505820E-1,2.895812690E-1,-1.042867303E0,-5.266318321E-1
5.270519150E-1,2.846943736E-1,-1.011102319E0,-5.406817198E-1
5.290532480E-1,2.785857022E-1,-9.903329015E-1,-5.388491154E-1
5.310545810E-1,2.724770606E-1,-9.555135965E-1,-5.522881746E-1
5.330559470E-1,2.669792771E-1,-9.139747024E-1,-5.535098910E-1
5.350574800E-1,2.663684189E-1,-8.877075315E-1,-5.620620251E-1
5.370587800E-1,2.608706057E-1,-8.473904133E-1,-5.498446822E-1
5.390601800E-1,2.639249265E-1,-8.260101080E-1,-5.467903614E-1
5.410600130E-1,2.590380311E-1,-7.710322738E-1,-5.321295857E-1
5.430611460E-1,2.633140981E-1,-6.671851873E-1,-5.199123025E-1
5.450624790E-1,2.639249265E-1,-5.896052718E-1,-5.089167356E-1
5.470640120E-1,2.669792771E-1,-3.959610164E-1,-4.753191173E-1
5.490653780E-1,2.559836805E-1,-1.674974263E-1,-4.557714462E-1
5.510667440E-1,2.559836805E-1,-5.815253779E-2,-4.478302002E-1
5.530643770E-1,2.358251363E-1,1.287722290E-1,-4.331694245E-1
5.550657100E-1,1.973406225E-1,2.546104789E-1,-4.148434699E-1
5.570670430E-1,1.839015931E-1,2.906515300E-1,-4.124000371E-1
5.590683430E-1,1.472496837E-1,3.346338272E-1,-3.836893737E-1
5.610696760E-1,1.020456478E-1,3.505162895E-1,-3.568112850E-1
5.630710420E-1,7.333498448E-2,3.566249609E-1,-3.427613974E-1
5.650723750E-1,3.118528239E-2,3.566249609E-1,-3.140507340E-1
