"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.033916666E-2,-2.789605558E-1,1.624296904E-1,-2.491410375E-1
4.037416667E-2,-2.996897995E-1,1.371935755E-1,-2.841784060E-1
5.040916667E-2,-2.826940715E-1,5.564960837E-2,-2.778478563E-1
6.044416667E-2,-2.522411048E-1,-5.277860165E-2,-2.508042455E-1
7.047916666E-2,-1.857816577E-1,-1.328056902E-1,-2.342261821E-1
8.051516666E-2,-1.228165478E-1,-2.017674446E-1,-2.031873018E-1
9.055016666E-2,-1.009403914E-1,-2.477791458E-1,-1.604132801E-1
1.005851667E-1,-1.278420538E-1,-2.817669511E-1,-1.138726696E-1
1.106201667E-1,-1.641834378E-1,-2.566822469E-1,-9.479087591E-2
1.206551667E-1,-1.995563358E-1,-2.115342170E-1,-8.822111785E-2
1.306911667E-1,-2.350935340E-1,-1.851001531E-1,-8.198169619E-2
1.407261667E-1,-2.618868053E-1,-2.074725628E-1,-5.014386773E-2
1.507611667E-1,-2.772780657E-1,-2.157498449E-1,-3.240603581E-2
1.607961667E-1,-2.585831881E-1,-1.687788814E-1,-5.888877437E-2
1.708311667E-1,-2.204349190E-1,-1.655865312E-1,-6.778483838E-2
1.808671667E-1,-1.814222634E-1,-1.975916028E-1,-7.602732629E-2
1.909021667E-1,-1.393998116E-1,-1.822220832E-1,-9.685204923E-2
2.009371667E-1,-1.113311648E-1,-1.241830140E-1,-1.223965585E-1
2.109721667E-1,-1.209730282E-1,-6.479211152E-2,-1.449857950E-1
2.210071667E-1,-1.504582167E-1,4.470849410E-3,-1.507707089E-1
2.310431667E-1,-1.590265483E-1,4.541607574E-2,-1.362944245E-1
2.410781667E-1,-1.440822184E-1,4.461739212E-2,-1.145374700E-1
2.511131667E-1,-1.074612141E-1,2.941028588E-2,-9.004158527E-2
2.611481667E-1,-7.404413819E-2,2.005294897E-3,-5.674035847E-2
2.711831667E-1,-4.283196479E-2,-2.002683096E-2,-2.739629522E-2
2.812191667E-1,-2.651264518E-2,-2.582213469E-2,-1.408128813E-2
2.912541667E-1,-3.901266307E-2,-7.721939124E-3,-2.237954736E-2
3.012891667E-1,-8.222112060E-2,2.438992448E-2,-7.011750340E-2
3.113241667E-1,-1.425399482E-1,2.988474444E-2,-1.316494644E-1
3.213591667E-1,-1.927557141E-1,-5.993675441E-2,-2.048589587E-1
3.313951667E-1,-2.998919189E-1,-2.385205030E-1,-2.775771320E-1
3.414301667E-1,-3.593893349E-1,-1.880037934E-1,-3.092351854E-1
3.514651667E-1,-3.712171912E-1,-1.859509200E-1,-3.297635615E-1
3.615001667E-1,-3.013776541E-1,-1.935358644E-1,-3.377171159E-1
3.715351667E-1,-1.233900562E-1,-1.276285946E-1,-2.793828547E-1
3.815701667E-1,1.423470825E-1,3.240662068E-2,-1.878199279E-1
3.916061667E-1,4.391438961E-1,2.675405443E-1,-5.994532257E-2
4.016411667E-1,7.740614414E-1,5.980656743E-1,7.443005592E-2
4.116761667E-1,1.102644205E0,8.468369246E-1,2.534729242E-1
4.217111667E-1,1.305482030E0,8.946545124E-1,4.473761022E-1
4.317461667E-1,1.310909986E0,7.015467882E-1,5.909570456E-1
4.417821667E-1,1.133668900E0,4.206357002E-1,5.881879330E-1
4.518171667E-1,8.736642003E-1,1.923659444E-1,4.345884025E-1
4.618521667E-1,6.542239785E-1,3.007663414E-2,1.542028189E-1
4.718871667E-1,5.305898190E-1,-2.094011009E-2,-1.892645955E-1
4.819221667E-1,5.310678482E-1,-4.393037781E-2,-5.027338266E-1
4.919581667E-1,6.878265738E-1,4.510305077E-2,-7.509689927E-1
5.019931667E-1,9.725832343E-1,2.755823135E-1,-8.896810412E-1
5.120281667E-1,1.296235323E0,5.100657940E-1,-9.490915537E-1
5.220631667E-1,1.628790855E0,7.129137516E-1,-9.880754352E-1
5.320981667E-1,1.943901062E0,8.627560735E-1,-1.051497340E0
5.421331667E-1,2.258506060E0,8.939009309E-1,-1.121309161E0
5.521686667E-1,2.612069130E0,7.480661273E-1,-1.145608664E0
5.622036667E-1,2.999450207E0,4.511577189E-1,-1.093171000E0
5.722386667E-1,3.380351067E0,6.845051050E-2,-9.691538811E-1
5.822736667E-1,3.706364393E0,-2.306642830E-1,-8.435986042E-1
5.923086667E-1,3.962754488E0,-3.353003860E-1,-8.101915121E-1
6.023446667E-1,4.104636192E0,-3.810971677E-1,-7.432556152E-1
