"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.921922800E-2,-7.746763229E-1,2.943171740E0,8.745168686E0
2.943698800E-2,-7.986045480E-1,3.235694408E0,8.678169250E0
3.188370700E-2,-5.976074338E-1,3.283550978E0,8.831310272E0
3.437016500E-2,-4.444667995E-1,3.369692564E0,8.793025017E0
3.685662400E-2,-4.013960063E-1,3.513261795E0,8.759525299E0
3.934308200E-2,-4.348955154E-1,3.594617844E0,8.764310837E0
4.182954000E-2,-4.301098585E-1,3.633501291E0,8.773882866E0
4.431599900E-2,-4.444667995E-1,3.652643681E0,8.807381630E0
4.680245700E-2,-4.731806815E-1,3.681357622E0,8.793025017E0
4.928891500E-2,-4.683950245E-1,3.791427374E0,8.893523216E0
5.177537400E-2,-5.593222976E-1,3.887140274E0,9.056833267E0
5.426183200E-2,-7.507480979E-1,4.016352654E0,9.200403214E0
5.674829000E-2,-9.092726111E-1,4.054637909E0,9.415757179E0
5.923474900E-2,-1.067198873E0,4.116851330E0,9.607781410E0
6.157860300E-2,-1.239482164E0,4.064209461E0,9.736993790E0
6.406506100E-2,-1.407577872E0,3.915854216E0,9.660423279E0
6.655151900E-2,-1.488933921E0,3.882354736E0,9.444471359E0
6.903797800E-2,-1.555932879E0,3.930211306E0,9.339186668E0
7.152443600E-2,-1.508076429E0,3.925425529E0,9.315258980E0
7.401089400E-2,-1.421934843E0,3.848855257E0,9.291330338E0
7.649735300E-2,-1.282552958E0,3.858426571E0,9.296115875E0
7.898381100E-2,-1.100698471E0,3.820141315E0,9.367900848E0
8.147026900E-2,-8.709874153E-1,3.719642878E0,9.415757179E0
8.395672800E-2,-6.167500615E-1,3.614358664E0,9.353543282E0
8.644318600E-2,-4.061816335E-1,3.465405464E0,9.195617676E0
8.892964400E-2,-1.519442350E-1,3.331407309E0,8.955737114E0
9.111849900E-2,8.733802289E-2,3.245265722E0,8.749954224E0
9.360495700E-2,2.697907388E-1,3.106482029E0,8.601598740E0
9.609141500E-2,4.420739710E-1,2.957528830E0,8.505288124E0
9.857787400E-2,6.526423693E-1,2.842673302E0,8.505288124E0
1.010643320E-1,8.398807645E-1,2.689532757E0,8.505288124E0
1.035507900E-1,1.031306505E0,2.584248543E0,8.606385231E0
1.060372490E-1,1.160519004E0,2.454437733E0,8.726025581E0
1.085237070E-1,1.194018483E0,2.334796667E0,8.788239479E0
1.110101650E-1,1.208375454E0,2.205584288E0,8.912666321E0
1.134966240E-1,1.270588875E0,2.095514536E0,9.037093163E0
1.159830820E-1,1.222732425E0,1.994417667E0,9.090332985E0
1.184695400E-1,1.122233868E0,1.913061738E0,9.152546883E0
1.206947490E-1,1.045663476E0,1.860419631E0,9.296115875E0
1.231812070E-1,9.786644578E-1,1.802991867E0,9.458827972E0
1.256676650E-1,8.494520187E-1,1.726421595E0,9.674779892E0
1.281541240E-1,6.861419082E-1,1.683350682E0,9.899705887E0
1.306405820E-1,4.995017350E-1,1.563709617E0,1.018265629E1
1.331270400E-1,3.750749528E-1,1.563709617E0,1.043629551E1
1.356134990E-1,1.830509305E-1,1.530210137E0,1.070010471E1
1.380999570E-1,1.208375469E-1,1.496710539E0,1.075753212E1
1.405864150E-1,3.948157281E-2,1.515853167E0,1.079103184E1
1.430728740E-1,-3.708875179E-2,1.520638824E0,1.081496048E1
1.455593320E-1,5.982056726E-3,1.448255897E0,1.087717342E1
1.480457900E-1,7.298108935E-2,1.482353687E0,1.101117134E1
1.502709460E-1,1.974078715E-1,1.482353687E0,1.112602711E1
1.527574050E-1,4.229314029E-1,1.457827210E0,1.120798111E1
1.552438630E-1,5.904290080E-1,1.342971683E0,1.130369377E1
1.577303210E-1,7.292127013E-1,1.438684583E0,1.147119141E1
1.602167800E-1,9.355936646E-1,1.472782373E0,1.161954689E1
1.627032380E-1,1.136590719E0,1.252044439E0,1.173978615E1
1.651896960E-1,1.419542074E0,1.036690354E0,1.180678558E1
1.676761550E-1,1.778465390E0,9.553344250E-1,1.188335514E1
1.701626130E-1,2.018345833E0,1.031904817E0,1.180199909E1
1.726490710E-1,2.257628202E0,1.194616675E0,1.160040379E1
1.751355300E-1,2.540579557E0,1.194616675E0,1.147119141E1
1.776219880E-1,2.789433002E0,1.175474167E0,1.140897846E1
1.798471960E-1,2.856431961E0,1.175474167E0,1.121755219E1
1.823336550E-1,2.918645382E0,1.285543919E0,1.099681473E1
1.848201130E-1,2.986242771E0,1.443470240E0,1.087717342E1
1.873065710E-1,3.067598581E0,1.457827210E0,1.062772179E1
1.897930300E-1,3.144168854E0,1.563709617E0,1.035494041E1
1.922794880E-1,3.292523861E0,1.592423439E0,1.013001442E1
1.947659460E-1,3.450450182E0,1.558923960E0,9.818349838E0
1.972524050E-1,3.613760471E0,1.549352646E0,9.535398483E0
1.997388630E-1,3.714258909E0,1.549352646E0,9.257830620E0
2.022253210E-1,3.814757586E0,1.424327731E0,9.047262192E0
2.047117800E-1,3.939184189E0,1.342971683E0,8.764310837E0
2.071982380E-1,4.016352654E0,1.256830096E0,8.490931511E0
2.094233940E-1,4.140779495E0,1.194616675E0,8.146365166E0
2.119098530E-1,4.289134502E0,1.098903775E0,7.858627796E0
2.143963110E-1,4.346562386E0,1.084546804E0,7.581060410E0
2.168827690E-1,4.418346882E0,1.036690354E0,7.398607731E0
2.193692280E-1,4.470989227E0,9.457631707E-1,7.264609337E0
2.218556860E-1,4.351347923E0,9.116654396E-1,7.274180889E0
2.243421440E-1,4.236492634E0,9.212366939E-1,7.216753006E0
2.268286030E-1,4.174279213E0,9.553344250E-1,7.068397999E0
2.293150610E-1,4.107280254E0,1.003190875E0,6.991827965E0
2.318015190E-1,4.025924206E0,1.027119160E0,6.982256413E0
2.342879780E-1,3.996612072E0,1.170688510E0,6.967899323E0
2.367744360E-1,3.939184189E0,1.285543919E0,7.073183537E0
2.389996440E-1,3.896113396E0,1.366899967E0,7.159325123E0
2.414861030E-1,3.900899172E0,1.472782373E0,7.336394310E0
2.439725610E-1,3.857828379E0,1.549352646E0,7.514061451E0
2.464590190E-1,3.838685751E0,1.587637782E0,7.609774113E0
2.489454780E-1,3.896113396E0,1.678565025E0,7.786843300E0
