"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.401089400E-2,-8.669665456E-1,-2.109560966E0,-1.661763489E-1
7.649735300E-2,-8.722926974E-1,-2.107430458E0,-1.672415882E-1
7.898381100E-2,-8.818798065E-1,-2.098908424E0,-1.533935517E-1
8.147026900E-2,-8.850755095E-1,-2.083995342E0,-1.342193633E-1
8.395672800E-2,-8.882712126E-1,-2.071212530E0,-1.171756312E-1
8.644318600E-2,-8.904016614E-1,-2.056299210E0,-1.001319066E-1
8.892964400E-2,-8.935973644E-1,-2.032864094E0,-8.628387749E-2
9.111849900E-2,-8.999887705E-1,-2.005167961E0,-7.137060910E-2
9.360495700E-2,-9.095758200E-1,-1.967884898E0,-6.178351492E-2
9.609141500E-2,-9.180977345E-1,-1.919949412E0,-5.752258375E-2
9.857787400E-2,-9.255543351E-1,-1.864557266E0,-5.219641700E-2
1.010643320E-1,-9.340761900E-1,-1.815556526E0,-5.326165259E-2
1.035507900E-1,-9.415328503E-1,-1.776142955E0,-5.645735189E-2
1.060372490E-1,-9.500547051E-1,-1.752840996E0,-6.710968167E-2
1.085237070E-1,-9.596418142E-1,-1.744319081E0,-8.628387749E-2
1.110101650E-1,-9.702941179E-1,-1.749645233E0,-1.054580659E-1
1.134966240E-1,-9.766855240E-1,-1.762428045E0,-1.235670298E-1
1.159830820E-1,-9.820116758E-1,-1.792121410E0,-1.438064575E-1
1.184695400E-1,-9.958597422E-1,-1.835795999E0,-1.725677550E-1
1.206947490E-1,-1.010772943E0,-1.873079062E0,-1.981333494E-1
1.231812070E-1,-1.021425366E0,-1.912492752E0,-2.183727771E-1
1.256676650E-1,-1.029947162E0,-1.955102086E0,-2.407426685E-1
1.281541240E-1,-1.037403822E0,-2.006233215E0,-2.588516176E-1
1.306405820E-1,-1.040599465E0,-2.062690496E0,-2.716344297E-1
1.331270400E-1,-1.043795228E0,-2.124474049E0,-2.822867632E-1
1.356134990E-1,-1.036338568E0,-2.189453363E0,-2.929390669E-1
1.380999570E-1,-1.026751518E0,-2.253367424E0,-2.918738425E-1
1.405864150E-1,-1.022490501E0,-2.321542263E0,-2.865476906E-1
1.430728740E-1,-1.015033960E0,-2.376801252E0,-2.780258060E-1
1.455593320E-1,-1.005446792E0,-2.416214705E0,-2.599168718E-1
1.480457900E-1,-9.958597422E-1,-2.439649820E0,-2.375469655E-1
1.502709460E-1,-9.820116758E-1,-2.453497887E0,-2.098509073E-1
1.527574050E-1,-9.607070088E-1,-2.458824158E0,-1.768286824E-1
1.552438630E-1,-9.394024014E-1,-2.446041346E0,-1.448716968E-1
1.577303210E-1,-9.127715230E-1,-2.420475721E0,-1.161103994E-1
1.602167800E-1,-8.690969944E-1,-2.372673512E0,-8.415340632E-2
1.627032380E-1,-8.147701025E-1,-2.314085484E0,-5.006595328E-2
1.651896960E-1,-7.604432106E-1,-2.256562948E0,-1.810896210E-2
1.676761550E-1,-7.007901669E-1,-2.200105667E0,2.130466048E-3
1.701626130E-1,-6.359441280E-1,-2.154300690E0,1.384802908E-2
1.726490710E-1,-5.720301270E-1,-2.113821745E0,2.663082629E-2
1.751355300E-1,-5.102466345E-1,-2.076538563E0,3.728315607E-2
1.776219880E-1,-4.548544884E-1,-2.045646906E0,4.047885537E-2
1.798471960E-1,-4.079842567E-1,-2.022211790E0,3.089175746E-2
1.823336550E-1,-3.717663288E-1,-2.001972198E0,1.704372838E-2
1.848201130E-1,-3.462007344E-1,-1.985993862E0,1.065233024E-3
1.873065710E-1,-3.227656186E-1,-1.974276304E0,-7.456631400E-3
