"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.031635700E-2,-2.394019127E0,3.599403381E0,6.929614544E0
3.055344000E-2,-1.929811478E0,4.194019794E0,8.495717049E0
3.304422200E-2,-1.752144337E0,4.361517429E0,8.984451294E0
3.553167000E-2,-1.560718536E0,4.361517429E0,9.300901413E0
3.802245100E-2,-1.320838094E0,4.328018188E0,9.626923561E0
4.051318000E-2,-1.081555843E0,4.227519512E0,1.001456070E1
4.300396100E-2,-8.518448472E-1,4.107280254E0,1.028315544E1
4.549474200E-2,-6.215356588E-1,3.853640795E0,1.046500969E1
4.798552400E-2,-2.769692242E-1,3.470191002E0,1.064207840E1
5.047630500E-2,8.255238086E-2,2.967100143E0,1.069053364E1
5.296708600E-2,5.090730190E-1,2.425724030E0,1.062772179E1
5.545786700E-2,9.308080077E-1,1.898704767E0,1.057986546E1
5.794864900E-2,1.251446247E0,1.390828133E0,1.043629551E1
6.043943000E-2,1.347757339E0,1.113260746E0,1.027358437E1
6.293021100E-2,1.294517040E0,8.255237937E-1,1.010548782E1
6.514500300E-2,1.256231904E0,4.953143001E-1,9.937990189E0
6.763578400E-2,1.122233868E0,1.884347796E-1,9.708279610E0
7.012656500E-2,8.063812256E-1,2.123630047E-1,9.607781410E0
7.261734700E-2,4.947160780E-1,3.750749528E-1,9.473184586E0
7.510807600E-2,1.926222295E-1,4.953143001E-1,9.473184586E0
7.759880500E-2,-1.794617064E-2,5.766702294E-1,9.612566948E0
8.008958600E-2,-2.285145670E-1,7.537391186E-1,9.751350403E0
8.258036700E-2,-4.588237405E-1,8.685946465E-1,9.904491425E0
8.507114900E-2,-6.406782866E-1,9.744769931E-1,1.011565781E1
8.756198200E-2,-8.039883971E-1,1.098903775E0,1.027836990E1
9.005271100E-2,-1.024128079E0,1.218544960E0,1.037886810E1
9.254349200E-2,-1.272981644E0,1.285543919E0,1.047458076E1
9.472781500E-2,-1.579861164E0,1.347757339E0,1.058465099E1
9.721859700E-2,-1.857428551E0,1.501496196E0,1.062293625E1
9.970937800E-2,-2.082952023E0,1.578066587E0,1.065703392E1
1.022001590E-1,-2.279163599E0,1.692921996E0,1.075274658E1
1.046909400E-1,-2.571686029E0,1.726421595E0,1.097288609E1
1.071817220E-1,-2.743969440E0,1.879562140E0,1.125105190E1
1.096725030E-1,-2.772683144E0,1.970489502E0,1.143290615E1
1.121632320E-1,-2.834896564E0,2.009372711E0,1.166261768E1
1.146540130E-1,-2.950350285E0,2.143370867E0,1.185942745E1
1.171447950E-1,-2.945564747E0,2.172084808E0,1.202692509E1
1.196355760E-1,-2.916252613E0,2.205584288E0,1.215613747E1
1.221263570E-1,-2.743969440E0,2.205584288E0,1.222792149E1
1.243080760E-1,-2.514258385E0,2.191227436E0,1.223270798E1
1.267988570E-1,-2.264806747E0,2.133799553E0,1.222792149E1
1.292896380E-1,-2.011167526E0,2.003988981E0,1.229073334E1
1.317804200E-1,-1.661217093E0,1.793420553E0,1.230987644E1
1.342712010E-1,-1.162911773E0,1.534995675E0,1.223270798E1
1.367619300E-1,-6.933203340E-1,1.175474167E0,1.216570854E1
1.392527110E-1,-4.971089065E-1,9.020941257E-1,1.215613747E1
1.417434920E-1,-3.822534084E-1,6.005984545E-1,1.202213955E1
