"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.578755800E-2,-1.454708815E0,-4.226312041E-1,-5.420704484E-1
7.827719300E-2,-1.460034966E0,-4.130440950E-1,-5.559184551E-1
8.076682800E-2,-1.463230729E0,-3.683043122E-1,-6.027887464E-1
8.325646400E-2,-1.460034966E0,-3.150426745E-1,-6.517894268E-1
8.574609900E-2,-1.456839323E0,-2.660419345E-1,-6.933335662E-1
8.823573500E-2,-1.450447917E0,-2.159759998E-1,-7.316819429E-1
9.039427600E-2,-1.444056511E0,-1.680405140E-1,-7.625737190E-1
9.288391200E-2,-1.433404207E0,-1.201050207E-1,-7.860088348E-1
9.537354700E-2,-1.423817039E0,-7.323476672E-2,-8.073135018E-1
9.786318300E-2,-1.413164735E0,-3.062544949E-2,-8.222267628E-1
1.003528180E-1,-1.400381923E0,5.592473317E-3,-8.286181092E-1
1.028424530E-1,-1.388664365E0,3.741630912E-2,-8.328790665E-1
1.053320890E-1,-1.372685909E0,6.937330216E-2,-8.339443207E-1
1.078217240E-1,-1.355642200E0,9.280842543E-2,-8.264876604E-1
1.103113600E-1,-1.342859387E0,1.109173894E-1,-8.179658055E-1
1.128009950E-1,-1.330076575E0,1.247654185E-1,-8.041177988E-1
1.152906310E-1,-1.318359017E0,1.322220564E-1,-7.860088348E-1
1.177802660E-1,-1.302380562E0,1.343525201E-1,-7.625737190E-1
1.199737560E-1,-1.286401987E0,1.290263534E-1,-7.338123918E-1
1.224633910E-1,-1.269358277E0,1.173087880E-1,-7.018554211E-1
1.249530260E-1,-1.258705974E0,9.919982404E-2,-6.688331962E-1
1.274426620E-1,-1.251249313E0,7.043853402E-2,-6.368761659E-1
1.299322970E-1,-1.242727518E0,3.741630912E-2,-6.017234921E-1
1.324219330E-1,-1.233140349E0,4.527240526E-3,-5.591141582E-1
1.349115680E-1,-1.222488046E0,-3.382114694E-2,-5.133091807E-1
1.374012030E-1,-1.208639979E0,-7.430000603E-2,-4.653736651E-1
1.398908390E-1,-1.194792032E0,-1.062569916E-1,-4.131772518E-1
1.423804740E-1,-1.177748203E0,-1.286268830E-1,-3.611139953E-1
1.448701100E-1,-1.156443596E0,-1.339530498E-1,-3.099828064E-1
1.473597450E-1,-1.140465140E0,-1.318225861E-1,-2.545906901E-1
1.495532350E-1,-1.119160414E0,-1.179745570E-1,-1.960028708E-1
1.520428700E-1,-1.096790552E0,-9.453943372E-2,-1.395455301E-1
1.545325060E-1,-1.076684237E0,-6.577813625E-2,-8.308817446E-2
1.570221410E-1,-1.052183867E0,-2.636451647E-2,-2.343512699E-2
1.595117760E-1,-1.025553107E0,1.517957076E-2,3.195698932E-2
1.620014120E-1,-9.967917800E-1,5.019910634E-2,9.054480493E-2
1.644910470E-1,-9.680305123E-1,9.067796171E-2,1.470021605E-1
1.669806830E-1,-9.392692447E-1,1.354177445E-1,2.023942769E-1
1.694703180E-1,-9.094427228E-1,1.822880059E-1,2.619141638E-1
1.719599530E-1,-8.796161413E-1,2.334191799E-1,3.183715343E-1
1.744495890E-1,-8.519201279E-1,2.898765504E-1,3.790898025E-1
1.769392240E-1,-8.199630976E-1,3.442034125E-1,4.344819188E-1
1.791327140E-1,-7.901365757E-1,3.963998258E-1,4.952002168E-1
1.816223490E-1,-7.581796050E-1,4.390091598E-1,5.537880063E-1
1.841119850E-1,-7.262226343E-1,4.816184938E-1,6.102453470E-1
1.866016200E-1,-6.953308582E-1,5.306192040E-1,6.762897968E-1
1.890912560E-1,-6.676347852E-1,5.817503929E-1,7.444647551E-1
1.915808910E-1,-6.410039663E-1,6.232944727E-1,8.083786964E-1
1.940705260E-1,-6.165035963E-1,6.423355341E-1,8.710942864E-1
1.965601620E-1,-5.973294377E-1,6.455312371E-1,9.286168814E-1
1.990497970E-1,-5.802856684E-1,6.370093226E-1,9.808133245E-1
2.015394330E-1,-5.653724074E-1,6.147726178E-1,1.033009768E0
2.040290680E-1,-5.504591465E-1,5.881417990E-1,1.079879999E0
2.065187030E-1,-5.376763940E-1,5.529890656E-1,1.123554587E0
2.087122450E-1,-5.280892849E-1,5.029231310E-1,1.162968159E0
2.112018810E-1,-5.121107697E-1,4.411396384E-1,1.199186087E0
2.136915160E-1,-5.014584661E-1,3.612471521E-1,1.227947354E0
2.161811510E-1,-4.824174047E-1,2.760285139E-1,1.257773876E0
2.186707870E-1,-4.579170346E-1,2.035926580E-1,1.287600398E0
2.211604220E-1,-4.366123974E-1,1.482005417E-1,1.312100768E0
2.236500580E-1,-4.067858756E-1,1.087869257E-1,1.340862036E0
2.261396930E-1,-3.790898025E-1,8.748225868E-2,1.366427660E0
2.286293280E-1,-3.481980562E-1,8.322133124E-2,1.385601878E0
2.311189640E-1,-3.183715343E-1,9.280842543E-2,1.403710842E0
2.336085990E-1,-2.864145339E-1,1.173087880E-1,1.415428400E0
