"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.140690700E-2,-8.736097217E-1,-7.996488214E-1,1.919458853E-3
3.396951100E-2,-9.896739721E-1,-6.677020788E-1,1.535848249E-2
3.653643800E-2,-1.109403491E0,-5.272032022E-1,3.368442506E-2
3.910784400E-2,-1.232798219E0,-3.769304752E-1,5.445382744E-2
4.167294800E-2,-1.359858036E0,-2.217708379E-1,7.644495368E-2
4.424081300E-2,-1.485696197E0,-5.928082764E-2,9.843608737E-2
4.678602100E-2,-1.615199566E0,1.056526527E-1,1.204272136E-1
4.937706300E-2,-1.747146368E0,2.693643868E-1,1.436400712E-1
5.194466700E-2,-1.876649618E0,4.318543971E-1,1.668529361E-1
5.451451100E-2,-2.004931211E0,5.845705867E-1,1.888440698E-1
5.708060400E-2,-2.131990910E0,7.177391052E-1,2.108351886E-1
5.964810400E-2,-2.257829189E0,8.252513409E-1,2.328263223E-1
6.221701100E-2,-2.377558470E0,9.058854580E-1,2.535957098E-1
6.478336500E-2,-2.489957809E0,9.559763670E-1,2.755868435E-1
6.735336500E-2,-2.599913359E0,9.779675007E-1,2.939127684E-1
6.992081300E-2,-2.698873520E0,9.718588591E-1,3.134604394E-1
7.248779200E-2,-2.790503025E0,9.474242330E-1,3.293429315E-1
7.505654200E-2,-2.878467560E0,9.034420252E-1,3.440036774E-1
7.762367700E-2,-2.955436707E0,8.460206985E-1,3.525557816E-1
8.019232300E-2,-3.028740406E0,7.763821483E-1,3.525557816E-1
8.276128200E-2,-3.098378897E0,6.945262551E-1,3.440036774E-1
8.532841700E-2,-3.160687208E0,6.004530787E-1,3.256777525E-1
8.789716700E-2,-3.213221550E0,4.978277981E-1,3.000214398E-1
9.046544800E-2,-3.254760265E0,3.903155923E-1,2.658129930E-1
9.303117700E-2,-3.287746906E0,2.828034163E-1,2.291611284E-1
9.560044800E-2,-3.308516502E0,1.728477776E-1,1.912875175E-1
9.816727100E-2,-3.321955442E0,6.533557922E-2,1.534139067E-1
1.007376880E-1,-3.328064203E0,-4.095488414E-2,1.130968407E-1
1.033045630E-1,-3.324398994E0,-1.435801536E-1,7.400149852E-2
1.058481570E-1,-3.313403368E0,-2.352098525E-1,3.857134283E-2
1.084395110E-1,-3.291412115E0,-3.121788204E-1,1.919458853E-3
1.109835730E-1,-3.264534235E0,-3.744870424E-1,-2.984550595E-2
1.135768020E-1,-3.232769251E0,-4.245779216E-1,-6.038874388E-2
1.161203440E-1,-3.193673849E0,-4.685601890E-1,-9.337543696E-2
1.187112290E-1,-3.150913239E0,-5.125424266E-1,-1.239186749E-1
1.212791460E-1,-3.105709314E0,-5.626333356E-1,-1.569053680E-1
1.238465940E-1,-3.059283495E0,-6.139459610E-1,-1.911137849E-1
1.264157610E-1,-3.012857914E0,-6.738107204E-1,-2.228787541E-1
1.289264900E-1,-2.963988781E0,-7.385623455E-1,-2.546437383E-1
1.314450320E-1,-2.917562962E0,-8.118661642E-1,-2.864086926E-1
1.339615940E-1,-2.865028620E0,-9.022741318E-1,-3.108432889E-1
1.364795630E-1,-2.812494278E0,-1.007342815E0,-3.291692436E-1
1.389980000E-1,-2.755073071E0,-1.124628901E0,-3.426082432E-1
1.415146150E-1,-2.691543102E0,-1.244358420E0,-3.474951684E-1
1.440322190E-1,-2.623126268E0,-1.351870537E0,-3.438299894E-1
1.465490940E-1,-2.548600674E0,-1.437391639E0,-3.316127062E-1
1.490672710E-1,-2.467966557E0,-1.492369413E0,-3.108432889E-1
1.515859170E-1,-2.381223679E0,-1.509473681E0,-2.815217972E-1
1.541034690E-1,-2.287150621E0,-1.485039115E0,-2.460916191E-1
1.566207610E-1,-2.190634012E0,-1.427617788E0,-2.057745457E-1
1.591383130E-1,-2.089230537E0,-1.344540119E0,-1.605705619E-1
1.616542500E-1,-1.980496645E0,-1.241914868E0,-1.117013767E-1
1.641721670E-1,-1.865654111E0,-1.123407125E0,-6.161047146E-2
1.666891980E-1,-1.742259383E0,-9.951255322E-1,-1.274129469E-2
1.692068020E-1,-1.607869148E0,-8.619570732E-1,3.368442506E-2
1.717264380E-1,-1.462483406E0,-7.287885547E-1,7.644495368E-2
1.742413340E-1,-1.307323694E0,-6.017286777E-1,1.143185645E-1
1.767866460E-1,-1.142390251E0,-4.893296063E-1,1.448618025E-1
1.792793020E-1,-9.725697637E-1,-3.903695047E-1,1.705181152E-1
1.817976360E-1,-7.905321121E-1,-3.072918952E-1,1.888440698E-1
1.843168020E-1,-6.023857594E-1,-2.364315838E-1,1.973961741E-1
1.868049270E-1,-4.105742574E-1,-1.765668392E-1,1.998396367E-1
1.893489900E-1,-2.163192779E-1,-1.228107587E-1,1.949527115E-1
1.918672190E-1,-2.572948299E-2,-7.638503611E-2,1.839571446E-1
1.943841980E-1,1.599733979E-1,-3.240277618E-2,1.668529361E-1
1.969005520E-1,3.371241689E-1,1.157948282E-2,1.485269964E-1
1.994204480E-1,4.996141791E-1,5.434001237E-2,1.265358627E-1
2.019389900E-1,6.486651897E-1,9.343535453E-2,1.045447290E-1
2.044546150E-1,7.745032907E-1,1.337524354E-1,8.377533406E-2
2.069728960E-1,8.795720339E-1,1.691825837E-1,6.422766298E-2
2.094895110E-1,9.638713598E-1,1.997258216E-1,4.712344706E-2
2.120081040E-1,1.024957776E0,2.302690595E-1,3.612788394E-2
2.145253960E-1,1.064053178E0,2.620339990E-1,2.757577784E-2
2.170428440E-1,1.081157327E0,2.974641621E-1,2.146713063E-2
2.195599270E-1,1.079935670E0,3.365595043E-1,1.780194230E-2
2.220784690E-1,1.057944536E0,3.829852343E-1,1.535848249E-2
2.245952400E-1,1.016405702E0,4.330761433E-1,1.658021286E-2
2.271369070E-1,9.602062106E-1,4.843887687E-1,1.658021286E-2
2.296303440E-1,8.917893171E-1,5.418100953E-1,2.146713063E-2
2.321480000E-1,8.111552000E-1,6.016747952E-1,2.757577784E-2
2.346652920E-1,7.207472324E-1,6.688699722E-1,3.490615636E-2
2.371832610E-1,6.230088472E-1,7.372868061E-1,4.101480171E-2
2.397005520E-1,5.203835964E-1,8.093688488E-1,4.345826060E-2
2.422171150E-1,4.128713608E-1,8.887812495E-1,4.101480171E-2
2.447350320E-1,3.041374683E-1,9.718588591E-1,3.734961152E-2
2.472522710E-1,1.905166358E-1,1.056158185E0,3.001923673E-2
2.497259170E-1,7.933925092E-2,1.144122720E0,1.658021286E-2
2.522875320E-1,-3.061640076E-2,1.235752463E0,3.141188296E-3
2.548050840E-1,-1.369068623E-1,1.326160431E0,-1.762821153E-2
2.573240940E-1,-2.383104116E-1,1.415346622E0,-4.206280038E-2
2.598415420E-1,-3.336052895E-1,1.498424292E0,-7.260603458E-2
2.623605000E-1,-4.240132570E-1,1.571727991E0,-1.092579216E-1
2.648774270E-1,-5.070908666E-1,1.640144825E0,-1.507967263E-1
2.673941980E-1,-5.828381181E-1,1.703674793E0,-1.947789788E-1
2.699119590E-1,-6.512549520E-1,1.768426418E0,-2.399829775E-1
2.724295630E-1,-7.111197114E-1,1.835621595E0,-2.815217972E-1
2.749469590E-1,-7.624323368E-1,1.904038429E0,-3.206171393E-1
2.774655520E-1,-8.064146042E-1,1.973677039E0,-3.572690189E-1
2.799813340E-1,-8.467316628E-1,2.040872097E0,-3.914774358E-1
2.825008130E-1,-8.797183633E-1,2.101958513E0,-4.220206738E-1
2.850182610E-1,-9.029312134E-1,2.153271198E0,-4.476769865E-1
2.875361250E-1,-9.212571383E-1,2.193588257E0,-4.721115828E-1
2.900513860E-1,-9.322527051E-1,2.225353241E0,-4.953244328E-1
2.925688860E-1,-9.432482719E-1,2.249787807E0,-5.148720741E-1
2.950722710E-1,-9.444699883E-1,2.263226986E0,-5.331979990E-1
2.976060730E-1,-9.456917644E-1,2.269335508E0,-5.515239835E-1
3.001230520E-1,-9.408048391E-1,2.263226986E0,-5.698499084E-1
3.026696150E-1,-9.310309887E-1,2.248566151E0,-5.869541168E-1
3.051595110E-1,-9.188137054E-1,2.224131584E0,-6.040583253E-1
3.076782610E-1,-9.017094970E-1,2.182592630E0,-6.223842502E-1
3.101947190E-1,-8.833835125E-1,2.128836632E0,-6.419319510E-1
3.127141980E-1,-8.626141548E-1,2.055532932E0,-6.578144431E-1
3.152298750E-1,-8.418447375E-1,1.963903189E0,-6.761403680E-1
3.177483130E-1,-8.174101710E-1,1.850282311E0,-6.932445765E-1
3.202651360E-1,-7.929755449E-1,1.711005211E0,-7.091270685E-1
3.227849270E-1,-7.697626948E-1,1.554623842E0,-7.237878442E-1
3.252977920E-1,-7.428846359E-1,1.379916430E0,-7.372268438E-1
3.278177400E-1,-7.160065770E-1,1.195435286E0,-7.470006943E-1
3.303328960E-1,-6.830199361E-1,9.999586344E-1,-7.543310523E-1
3.328128440E-1,-6.475897431E-1,8.020384312E-1,-7.579962611E-1
3.353707090E-1,-6.121596098E-1,6.016747952E-1,-7.604396939E-1
3.378877400E-1,-5.742859840E-1,4.025329053E-1,-7.616614103E-1
3.404053440E-1,-5.327472091E-1,2.082779258E-1,-7.604396939E-1
3.429234170E-1,-4.912083745E-1,2.013158798E-2,-7.555527687E-1
3.454433130E-1,-4.484478831E-1,-1.545757204E-1,-7.470006943E-1
3.479587820E-1,-4.020221233E-1,-3.170657456E-1,-7.372268438E-1
3.504736770E-1,-3.531529903E-1,-4.685601890E-1,-7.250095606E-1
3.529932090E-1,-3.030620813E-1,-6.041721106E-1,-7.066835761E-1
3.555115940E-1,-2.505276799E-1,-7.251233459E-1,-6.859142184E-1
3.580273230E-1,-1.931064129E-1,-8.289703727E-1,-6.614795923E-1
3.605460730E-1,-1.369068623E-1,-9.120479822E-1,-6.297146678E-1
3.630815940E-1,-7.704211771E-2,-9.780213237E-1,-5.942844748E-1
3.655802400E-1,-1.717737690E-2,-1.023225307E0,-5.539674163E-1
3.680980520E-1,4.513082653E-2,-1.046438217E0,-5.087634325E-1
3.706156570E-1,1.037738398E-1,-1.050103426E0,-4.598942697E-1
3.731334170E-1,1.673037708E-1,-1.036664367E0,-4.098033905E-1
3.756517500E-1,2.271685153E-1,-1.006121159E0,-3.560472727E-1
3.781682610E-1,2.858115435E-1,-9.633606076E-1,-3.010694683E-1
3.806862290E-1,3.407893777E-1,-9.108262062E-1,-2.448698878E-1
3.832035210E-1,3.945454359E-1,-8.521832228E-1,-1.886703372E-1
3.857213860E-1,4.434146285E-1,-7.874315381E-1,-1.336925030E-1
3.882386250E-1,4.812882543E-1,-7.202364206E-1,-7.871468365E-2
3.907570630E-1,5.142749548E-1,-6.444892287E-1,-2.495858818E-2
3.932745630E-1,5.460399389E-1,-5.662985444E-1,2.635404840E-2
3.957923750E-1,5.729179382E-1,-4.819992185E-1,7.644495368E-2
3.983192500E-1,5.924656391E-1,-3.915912509E-1,1.253141314E-1
4.008265940E-1,6.083481312E-1,-2.987397909E-1,1.668529361E-1
4.033721150E-1,6.181219220E-1,-2.058883458E-1,2.059482783E-1
4.058620630E-1,6.217871308E-1,-1.203672960E-1,2.377132475E-1
4.083796150E-1,6.169002056E-1,-4.339834303E-2,2.670347393E-1
4.108971670E-1,6.059046388E-1,2.501850575E-2,2.926910520E-1
4.134152400E-1,5.888004303E-1,8.854843676E-2,3.146821856E-1
4.159328440E-1,5.680310130E-1,1.484131813E-1,3.342298567E-1
4.184495630E-1,5.399312377E-1,2.107213885E-1,3.513340652E-1
4.209674270E-1,5.130532384E-1,2.779164910E-1,3.708817363E-1
4.234850840E-1,4.873968959E-1,3.499985337E-1,3.904294074E-1
4.260024790E-1,4.629622698E-1,4.281892180E-1,4.111987948E-1
4.285215940E-1,4.397494197E-1,5.100451112E-1,4.307464659E-1
4.310382090E-1,4.202017784E-1,5.955661535E-1,4.502941370E-1
4.335553440E-1,4.018757939E-1,6.798654795E-1,4.710635543E-1
4.360734170E-1,3.872150779E-1,7.568344474E-1,4.881677628E-1
4.385910210E-1,3.749977946E-1,8.264730573E-1,5.064937472E-1
4.411081570E-1,3.664456606E-1,8.863377571E-1,5.211544633E-1
4.436258650E-1,3.603370190E-1,9.339852333E-1,5.345935225E-1
4.461434170E-1,3.578935862E-1,9.706371427E-1,5.431455970E-1
4.486619070E-1,3.578935862E-1,9.975152016E-1,5.480325222E-1
4.511787820E-1,3.615587354E-1,1.010954142E0,5.504760146E-1
4.536965940E-1,3.676673770E-1,9.901847839E-1,5.480325222E-1
4.562145630E-1,3.774412274E-1,9.132158160E-1,5.431455970E-1
4.587312820E-1,3.969889283E-1,7.788255811E-1,5.333718061E-1
4.612490940E-1,4.202017784E-1,5.894575119E-1,5.187110305E-1
4.637667500E-1,4.458580613E-1,3.536637127E-1,5.028285384E-1
4.662842500E-1,4.812882543E-1,8.488325030E-2,4.759504795E-1
4.688016460E-1,5.203835964E-1,-1.900058687E-1,4.417420328E-1
4.713190940E-1,5.558137298E-1,-4.380169511E-1,4.002032578E-1
4.738367500E-1,5.875787139E-1,-6.481543779E-1,3.586644530E-1
4.763546150E-1,6.120132804E-1,-8.265268803E-1,3.159039021E-1
4.788718020E-1,6.254523396E-1,-9.816865325E-1,2.804737687E-1
4.813919590E-1,6.254523396E-1,-1.113633275E0,2.535957098E-1
4.839072710E-1,6.120132804E-1,-1.205263019E0,2.364915162E-1
4.864248750E-1,5.912439227E-1,-1.257797360E0,2.303828597E-1
4.889431040E-1,5.594789386E-1,-1.263906002E0,2.352697849E-1
4.914599790E-1,5.179401040E-1,-1.226032376E0,2.474870831E-1
4.939774270E-1,4.702926874E-1,-1.152728677E0,2.658129930E-1
4.964956040E-1,4.153148532E-1,-1.053768516E0,2.841389477E-1
4.990130000E-1,3.554500937E-1,-9.364825487E-1,3.061300814E-1
5.015303440E-1,2.931419015E-1,-8.082009554E-1,3.268994689E-1
5.040740420E-1,2.259467840E-1,-6.786976457E-1,3.452254236E-1
5.065655000E-1,1.563082039E-1,-5.553029776E-1,3.659948111E-1
5.090830000E-1,8.300443739E-2,-4.490125179E-1,3.879859447E-1
5.116009170E-1,8.478941396E-3,-3.610480130E-1,4.099770784E-1
5.141186770E-1,-6.482482702E-2,-2.926311493E-1,4.331899285E-1
5.166358650E-1,-1.381285936E-1,-2.364315838E-1,4.551810622E-1
5.191537820E-1,-2.089889050E-1,-1.838972270E-1,4.747287333E-1
5.216722190E-1,-2.737405300E-1,-1.313628554E-1,4.893894792E-1
5.241888340E-1,-3.348270059E-1,-7.516331226E-2,4.991633296E-1
5.267307610E-1,-3.934700489E-1,-1.529856492E-2,5.028285384E-1
5.292239380E-1,-4.460043907E-1,4.578790814E-2,5.003851056E-1
5.317416980E-1,-4.948735833E-1,1.019874588E-1,4.942764044E-1
5.342589380E-1,-5.437427759E-1,1.533001065E-1,4.808373749E-1
5.367769590E-1,-5.877249837E-1,2.009475529E-1,4.625114501E-1
5.392943540E-1,-6.317072511E-1,2.437080890E-1,4.405203164E-1
5.418126360E-1,-6.708025932E-1,2.889120579E-1,4.160857201E-1
5.443297190E-1,-7.123414278E-1,3.426681459E-1,3.879859447E-1
5.468469590E-1,-7.477715611E-1,4.037546217E-1,3.562209904E-1
5.493648750E-1,-7.880886197E-1,4.709497392E-1,3.207908273E-1
5.518821670E-1,-8.271839619E-1,5.430318117E-1,2.841389477E-1
5.543999790E-1,-8.736097217E-1,6.126703620E-1,2.426001579E-1
5.569173750E-1,-9.200354218E-1,6.713134050E-1,2.010613531E-1
5.594348230E-1,-9.689046144E-1,7.238477468E-1,1.583008319E-1
5.619502920E-1,-1.021439075E0,7.690517306E-1,1.192054898E-1
5.644720110E-1,-1.080082059E0,8.044819236E-1,8.499705791E-2
5.669875840E-1,-1.139946818E0,8.374686241E-1,5.323209614E-2
5.695064380E-1,-1.197368026E0,8.728987575E-1,2.757577784E-2
5.720227400E-1,-1.251124144E0,9.046637416E-1,5.584647413E-3
5.745406040E-1,-1.307323694E0,9.364286661E-1,-1.274129469E-2
5.770824270E-1,-1.361079812E0,9.645284414E-1,-3.106723540E-2
5.795757610E-1,-1.416057587E0,9.816327095E-1,-4.817144573E-2
5.820935210E-1,-1.468592048E0,9.901847839E-1,-6.527566165E-2
5.846112290E-1,-1.517461181E0,9.901847839E-1,-7.749295235E-2
5.871289380E-1,-1.561443448E0,9.877413511E-1,-8.726678789E-2
5.896462290E-1,-1.598095298E0,9.791892171E-1,-8.971025050E-2
5.921634690E-1,-1.632303715E0,9.706371427E-1,-8.971025050E-2
5.946811250E-1,-1.661625266E0,9.620850086E-1,-8.237987012E-2
5.971996150E-1,-1.688503265E0,9.596415758E-1,-7.016257942E-2
5.997163860E-1,-1.709272742E0,9.608632922E-1,-5.794528127E-2
6.022341460E-1,-1.731263876E0,9.559763670E-1,-4.450625926E-2
6.047701880E-1,-1.749589801E0,9.449808002E-1,-2.740204707E-2
6.072699270E-1,-1.759363651E0,9.266548753E-1,-6.632647011E-3
6.097865420E-1,-1.765472293E0,9.046637416E-1,1.413675305E-2
6.123051360E-1,-1.765472293E0,8.826726079E-1,3.734961152E-2
6.148226360E-1,-1.758141875E0,8.631249070E-1,6.300593168E-2
6.173397190E-1,-1.744702816E0,8.447989821E-1,8.988398314E-2
6.198571150E-1,-1.723933458E0,8.264730573E-1,1.179837584E-1
6.223748230E-1,-1.692168474E0,8.093688488E-1,1.473052651E-1
6.248931570E-1,-1.657960057E0,7.971515656E-1,1.729615778E-1
6.274108130E-1,-1.613977790E0,7.910428643E-1,1.925092489E-1
6.299275320E-1,-1.562665224E0,7.910428643E-1,2.010613531E-1
6.324453440E-1,-1.504022121E0,7.983732820E-1,1.961744428E-1
6.349637820E-1,-1.442935705E0,8.118122816E-1,1.729615778E-1
6.374812820E-1,-1.375740528E0,8.240295649E-1,1.350879669E-1
6.399981040E-1,-1.306102037E0,8.228078485E-1,8.744052052E-2
6.425155520E-1,-1.234019995E0,8.081470728E-1,2.879750729E-2
6.450342500E-1,-1.160716176E0,7.751604319E-1,-3.106723540E-2
6.475496150E-1,-1.086190701E0,7.238477468E-1,-9.093198180E-2
6.500681570E-1,-1.011665225E0,6.676481962E-1,-1.483532637E-1
6.525860730E-1,-9.346961975E-1,6.138921380E-1,-1.984441727E-1
6.551034690E-1,-8.577272296E-1,5.711315870E-1,-2.399829775E-1
6.576212290E-1,-7.856451869E-1,5.418100953E-1,-2.778565884E-1
6.601391980E-1,-7.196717858E-1,5.283710361E-1,-3.071781099E-1
6.626563860E-1,-6.622505188E-1,5.161537528E-1,-3.364996016E-1
6.651737290E-1,-6.133813262E-1,5.039364696E-1,-3.670428395E-1
6.676922190E-1,-5.828381181E-1,4.807235897E-1,-3.988078237E-1
6.702092500E-1,-5.657339096E-1,4.489586055E-1,-4.305727780E-1
6.727275840E-1,-5.632904172E-1,4.074198008E-1,-4.586725533E-1
6.752443020E-1,-5.706207752E-1,3.683244586E-1,-4.794419706E-1
6.777619590E-1,-5.926119089E-1,3.353377879E-1,-4.904375076E-1
6.802794590E-1,-6.231551766E-1,3.170118332E-1,-4.904375076E-1
6.827971670E-1,-6.659156680E-1,3.255639374E-1,-4.806636870E-1
6.853149270E-1,-7.355542779E-1,3.866504133E-1,-4.427900612E-1
6.878335730E-1,-8.381795287E-1,5.051581860E-1,-3.719297647E-1
6.903503960E-1,-9.774566889E-1,6.578744054E-1,-2.656393051E-1
6.928672710E-1,-1.147277117E0,8.289164901E-1,-1.275838614E-1
6.953847710E-1,-1.340310454E0,9.938499928E-1,2.146713063E-2
6.979024790E-1,-1.527235031E0,1.117244601E0,1.521921754E-1
7.004208650E-1,-1.693390250E0,1.194213629E0,2.499305457E-1
7.029376880E-1,-1.837554336E0,1.243082762E0,3.171256483E-1
7.054830520E-1,-1.956062078E0,1.289508462E0,3.525557816E-1
7.079728440E-1,-2.053800344E0,1.338377714E0,3.574427068E-1
7.104911770E-1,-2.131990910E0,1.384803414E0,3.378950357E-1
7.130083130E-1,-2.189412355E0,1.412903190E0,2.865824103E-1
7.155264900E-1,-2.221177101E0,1.416568398E0,2.108351886E-1
7.180430000E-1,-2.226064205E0,1.394577265E0,1.143185645E-1
7.205608650E-1,-2.204072952E0,1.361590505E0,6.977294688E-4
7.230787820E-1,-2.155203819E0,1.324938655E0,-1.190317571E-1
7.255961770E-1,-2.085565329E0,1.307834387E0,-2.424264252E-1
7.281137290E-1,-1.992713928E0,1.315164804E0,-3.658211231E-1
7.306311250E-1,-1.886423469E0,1.357925296E0,-4.928809702E-1
7.331486250E-1,-1.771580935E0,1.436115980E0,-6.174973249E-1
7.356661250E-1,-1.648186207E0,1.539963007E0,-7.372268438E-1
7.381841460E-1,-1.527235031E0,1.662135959E0,-8.569563031E-1
7.407015940E-1,-1.412392497E0,1.792860985E0,-9.742423296E-1
7.432191460E-1,-1.312210679E0,1.926029563E0,-1.096415401E0
7.457376360E-1,-1.231576443E0,2.054311037E0,-1.227140427E0
7.482543020E-1,-1.172933459E0,2.164266825E0,-1.359087229E0
7.507726360E-1,-1.136281610E0,2.247344494E0,-1.489812255E0
7.532897190E-1,-1.117955685E0,2.301100492E0,-1.614428639E0
7.558070110E-1,-1.121620893E0,2.324313402E0,-1.731714606E0
7.583252400E-1,-1.141168475E0,2.323091507E0,-1.835561633E0
7.608422710E-1,-1.180263877E0,2.305987358E0,-1.922304511E0
7.633605000E-1,-1.238906860E0,2.283996344E0,-1.994386435E0
7.658788860E-1,-1.312210679E0,2.263226986E0,-2.042033911E0
7.683949270E-1,-1.402618647E0,2.251009464E0,-2.067690372E0
7.709127920E-1,-1.507687330E0,2.244900942E0,-2.070133686E0
7.734307610E-1,-1.624973416E0,2.246122599E0,-2.049364328E0
7.759487290E-1,-1.755698442E0,2.255896568E0,-2.005382061E0
7.784662820E-1,-1.901084185E0,2.276665926E0,-1.939408660E0
7.809830000E-1,-2.052578449E0,2.304765701E0,-1.852665901E0
7.835016460E-1,-2.217512131E0,2.342639208E0,-1.748818874E0
7.860190940E-1,-2.388554096E0,2.390286684E0,-1.627867699E0
7.885367500E-1,-2.564483166E0,2.446486235E0,-1.499586105E0
7.910534690E-1,-2.742855787E0,2.510016203E0,-1.362752318E0
7.935710210E-1,-2.918784618E0,2.573546171E0,-1.225918651E0
7.960885730E-1,-3.092270374E0,2.630967379E0,-1.090306759E0
7.986070110E-1,-3.255982161E0,2.671284437E0,-9.583598971E-1
8.011247710E-1,-3.412363529E0,2.698162556E0,-8.288565278E-1
8.036416980E-1,-3.552862406E0,2.709158182E0,-7.054618597E-1
8.061857610E-1,-3.673813581E0,2.716488600E0,-5.906193256E-1
8.086766460E-1,-3.762999773E0,2.723818779E0,-4.965461791E-1
8.111946670E-1,-3.806982040E0,2.725040674E0,-4.366814196E-1
8.137117500E-1,-3.799651623E0,2.727483988E0,-4.183554947E-1
8.162296670E-1,-3.742230415E0,2.739701271E0,-4.427900612E-1
8.187474270E-1,-3.637161732E0,2.772688150E0,-4.989896119E-1
8.212652920E-1,-3.492997646E0,2.832552671E0,-5.784019828E-1
