"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.423495320E-1,-1.211395264E-1,5.551300049E-1,3.963165283E-1
1.473238970E-1,-1.211395264E-1,5.551300049E-1,3.963165283E-1
1.522982620E-1,-2.288360596E-1,4.366455078E-1,3.963623047E-1
1.572726270E-1,-2.017837524E0,-1.529861450E0,3.981323242E-1
1.622469930E-1,-1.947097778E0,-1.428649902E0,4.115905762E-1
1.672213580E-1,-1.865615845E0,-1.298995972E0,4.101562500E-1
1.721957230E-1,-1.782058716E0,-1.144195557E0,3.997192383E-1
1.771700880E-1,-1.692031860E0,-9.654998779E-1,4.056549072E-1
1.821444540E-1,-1.591583252E0,-7.206115723E-1,4.963989258E-1
1.871188190E-1,-1.479568481E0,-4.687347412E-1,6.503448486E-1
1.920931840E-1,-1.364349365E0,-3.068847656E-1,7.966308594E-1
1.970675490E-1,-1.254547119E0,-2.461547852E-1,9.193420410E-1
2.020419140E-1,-1.155288696E0,-2.608032227E-1,1.015151978E0
2.070162800E-1,-1.059051514E0,-3.187408447E-1,1.090637207E0
2.119906450E-1,-9.635772705E-1,-4.025726318E-1,1.148956299E0
2.169650100E-1,-8.713836670E-1,-4.962158203E-1,1.195571899E0
2.219393750E-1,-7.802276611E-1,-5.868835449E-1,1.233154297E0
2.269137410E-1,-6.886138916E-1,-6.785583496E-1,1.261566162E0
2.318881060E-1,-5.936126709E-1,-7.729492188E-1,1.279052734E0
2.368624710E-1,-4.959106445E-1,-8.610992432E-1,1.290054321E0
2.418368360E-1,-3.991851807E-1,-9.206542969E-1,1.297210693E0
2.468112020E-1,-3.033752441E-1,-9.335784912E-1,1.302169800E0
2.517855670E-1,-2.096710205E-1,-8.905029297E-1,1.305496216E0
2.567599320E-1,-1.221008301E-1,-7.955169678E-1,1.307632446E0
2.617342970E-1,-4.109191895E-2,-6.570587158E-1,1.307968140E0
2.667086630E-1,2.973937988E-2,-4.878997803E-1,1.308547974E0
2.716830280E-1,9.361267090E-2,-3.046112061E-1,1.303527832E0
2.766573930E-1,1.549377441E-1,-1.290283203E-1,1.289306641E0
2.816317580E-1,2.161254883E-1,2.035522461E-2,1.267913818E0
2.866061230E-1,2.777862549E-1,1.394653320E-1,1.235748291E0
2.915804890E-1,3.334350586E-1,2.339935303E-1,1.199157715E0
2.965548540E-1,3.837890625E-1,3.090667725E-1,1.160202026E0
3.015292190E-1,4.234771729E-1,3.660430908E-1,1.118179321E0
3.065035840E-1,4.530944824E-1,4.119415283E-1,1.074020386E0
3.114779500E-1,4.730987549E-1,4.455108643E-1,1.025726318E0
3.164523150E-1,4.886169434E-1,4.697265625E-1,9.715270996E-1
3.214266800E-1,4.926147461E-1,4.749145508E-1,9.019317627E-1
3.264010450E-1,4.844512939E-1,4.465179443E-1,8.186645508E-1
3.313754110E-1,4.616394043E-1,3.969116211E-1,7.292327881E-1
3.363497760E-1,4.261932373E-1,3.385620117E-1,6.430664062E-1
3.413241410E-1,3.753204346E-1,2.763366699E-1,5.669250488E-1
3.462985060E-1,3.083190918E-1,2.231292725E-1,5.093841553E-1
3.512728710E-1,2.249145508E-1,1.877441406E-1,4.707183838E-1
3.562472370E-1,1.332244873E-1,1.682586670E-1,4.535522461E-1
3.612216020E-1,3.533935547E-2,1.505889893E-1,4.487304688E-1
3.661959670E-1,-6.449890137E-2,1.176605225E-1,4.541015625E-1
3.711703320E-1,-1.687011719E-1,6.301879883E-2,4.683532715E-1
3.761446980E-1,-2.740631104E-1,-4.776000977E-3,4.761352539E-1
3.811190630E-1,-3.775024414E-1,-8.685302734E-2,4.795684814E-1
3.860934280E-1,-4.707641602E-1,-1.916809082E-1,4.789581299E-1
3.910677930E-1,-5.545806885E-1,-3.232269287E-1,4.730834961E-1
3.960421590E-1,-6.364135742E-1,-4.687347412E-1,4.557952881E-1
4.010165240E-1,-7.196502686E-1,-5.973052979E-1,4.150848389E-1
4.059908890E-1,-7.904968262E-1,-6.988830566E-1,3.607482910E-1
4.109652540E-1,-8.365020752E-1,-7.821197510E-1,3.206329346E-1
4.159396200E-1,-8.685302734E-1,-8.212432861E-1,3.021240234E-1
4.209139850E-1,-8.908538818E-1,-8.095550537E-1,3.149261475E-1
4.258883500E-1,-9.053955078E-1,-7.552490234E-1,3.555450439E-1
4.308627150E-1,-9.169769287E-1,-6.627655029E-1,4.151000977E-1
4.358370800E-1,-9.282531738E-1,-5.495605469E-1,4.875335693E-1
4.408114460E-1,-9.336853027E-1,-4.615631104E-1,5.611419678E-1
4.457858110E-1,-9.360351562E-1,-4.396972656E-1,6.258697510E-1
4.507601760E-1,-9.372558594E-1,-4.923248291E-1,6.750946045E-1
4.557345410E-1,-9.408264160E-1,-6.021575928E-1,7.034301758E-1
4.607089070E-1,-9.480895996E-1,-7.494354248E-1,7.098999023E-1
4.656832720E-1,-9.541168213E-1,-9.213104248E-1,7.062835693E-1
4.706576370E-1,-9.502410889E-1,-1.094802856E0,7.061614990E-1
4.756320020E-1,-9.348907471E-1,-1.225784302E0,7.232513428E-1
4.806063680E-1,-9.105377197E-1,-1.285568237E0,7.662658691E-1
4.855807330E-1,-8.753814697E-1,-1.291625977E0,8.334503174E-1
4.905550980E-1,-8.286743164E-1,-1.259979248E0,9.115600586E-1
4.955294630E-1,-7.772216797E-1,-1.161697388E0,9.921417236E-1
5.005038290E-1,-7.168426514E-1,-9.777984619E-1,1.052246094E0
5.054781940E-1,-6.476135254E-1,-7.856903076E-1,1.075225830E0
5.104525590E-1,-5.792083740E-1,-6.581726074E-1,1.066543579E0
5.154269240E-1,-5.162353516E-1,-5.701904297E-1,1.043502808E0
5.204012890E-1,-4.680786133E-1,-4.855957031E-1,1.005233765E0
5.253756550E-1,-4.325561523E-1,-3.909759521E-1,9.291534424E-1
5.303500200E-1,-4.235839844E-1,-3.364562988E-1,7.900543213E-1
5.353243850E-1,-4.411010742E-1,-4.099578857E-1,5.955810547E-1
5.402987500E-1,-4.851226807E-1,-6.178741455E-1,3.606719971E-1
5.452731160E-1,-5.365753174E-1,-9.288787842E-1,1.169281006E-1
5.502474810E-1,-5.810852051E-1,-1.266845703E0,-8.430480957E-2
5.552218460E-1,-6.017761230E-1,-1.566513062E0,-2.120971680E-1
5.601962110E-1,-5.915832520E-1,-1.798995972E0,-2.815246582E-1
5.651705770E-1,-5.548706055E-1,-1.955505371E0,-3.132781982E-1
5.701449420E-1,-5.089721680E-1,-2.049377441E0,-3.231048584E-1
5.751193070E-1,-4.668884277E-1,-2.089416504E0,-3.080291748E-1
5.800936720E-1,-4.289550781E-1,-2.095489502E0,-2.633361816E-1
5.850680380E-1,-3.998413086E-1,-2.088027954E0,-1.789855957E-1
5.900424030E-1,-3.851165771E-1,-2.062728882E0,-4.829406738E-2
5.950167680E-1,-4.036407471E-1,-2.028121948E0,1.261901855E-1
5.999911330E-1,-4.643249512E-1,-2.005310059E0,3.211975098E-1
6.049654980E-1,-5.649108887E-1,-2.005889893E0,5.129089355E-1
6.099398640E-1,-6.869812012E-1,-2.021759033E0,6.799468994E-1
6.149142290E-1,-7.977600098E-1,-2.029785156E0,8.147735596E-1
6.198885940E-1,-8.757171631E-1,-2.014129639E0,9.241180420E-1
6.248629590E-1,-9.372558594E-1,-1.950241089E0,1.014770508E0
6.298373250E-1,-1.064331055E0,-1.740890503E0,1.063888550E0
6.348116900E-1,-1.246856689E0,-1.418182373E0,1.073165894E0
6.397860550E-1,-1.366592407E0,-1.145782471E0,1.087860107E0
6.447604200E-1,-1.441268921E0,-9.534149170E-1,1.100128174E0
6.497347860E-1,-1.535736084E0,-8.532714844E-1,1.101867676E0
