Time(s),X(m/s^2),Y(m/s^2),Z(m/s^2)
0.00533912,-4.440779686,-7.766204834,-2.707478762
0.02219927,-3.701098442,-6.042475224,-2.944368362
0.03906016,-3.24616313,-5.321936607,-3.023331404
0.05592115,-2.987738132,-4.620241642,-2.891726255
0.07278136,-2.863311291,-4.529314041,-2.796013355
0.08964146,-2.664407969,-4.407280445,-2.987439156
0.1065024,-2.626122952,-4.258925438,-2.997010469
0.12336339,-2.786442041,-4.11744976,-2.319542408
0.14022355,-2.805883646,-3.827918053,-1.230209947
0.1570837,-3.119343519,-3.689134359,-0.081056871
0.17394464,-4.412065983,-4.359423637,-0.227019042
0.19080558,-4.723432064,-4.500600338,-1.994118571
0.20766578,-4.268496513,-4.646562576,-3.619443417
0.22452594,-4.057928085,-4.672883511,-3.042474031
0.24138688,-3.777668715,-4.72313261,-3.109772205
0.25824782,-3.44985199,-4.838287354,-4.553242207
0.27510802,-3.988536358,-5.616253853,-3.646063566
0.29196813,-5.257330418,-5.975476265,-2.815155745
0.30882907,-4.886143684,-5.75025177,-2.381755829
0.32569006,-4.347459793,-5.982655048,-2.262114763
0.34255021,-4.85982275,-6.154938221,-2.494218588
0.35941037,-8.154141426,-6.272186279,-3.23180604
0.3762713,-12.21206951,-8.333602905,-3.55244422
0.3931323,-6.542874336,-10.44287586,-1.998904228
0.40999245,-0.701396108,-10.82333469,-3.284448147
0.42685261,-0.768395186,-11.26869869,-5.333900928
0.44371354,-2.09222436,-9.803693771,-10.04776096
0.46057448,-5.848656654,-8.979964256,-15.44656754
0.47743469,-11.49392319,-10.96002483,-13.26311684
0.49429485,-9.693623543,-13.08574867,-5.123033047
0.51115573,-4.117748737,-16.37049675,-2.111366987
0.52801672,-2.216650963,-17.41436577,-3.243770123
0.54487688,-5.214259624,-13.43300724,-5.939583778
0.56173703,-7.117451191,-10.54576778,-6.612266064
0.57859797,-7.517351627,-8.651848793,-5.448756218
0.59545896,-6.562016964,-7.553243637,-4.431208611
0.61231912,-4.086641788,-6.947261333,-3.88056016
0.62917927,-2.813062191,-6.41336298,-4.060021877
0.64604021,-2.604587555,-5.755037785,-4.735096931
0.66290115,-2.899203777,-4.934000492,-5.218746185
0.67976136,-3.162414312,-4.321138382,-5.05124855
0.69662151,-3.488137245,-3.99302268,-4.459922314
0.7134824,-3.370888948,-3.732205153,-3.882952929
0.73034339,-3.040380239,-3.99302268,-3.969094515
0.7472036,-3.018844843,-4.246961117,-3.530908823
0.7640637,-3.148057222,-4.131806374,-3.339483023
0.78092464,-3.72024107,-4.050450325,-3.207877874
0.79778563,-4.66839695,-5.163711071,-3.926023722
0.81464578,-4.821537495,-5.623432159,-4.433601379
0.83150594,-4.632504463,-5.475077152,-5.020142078
0.84836688,-3.995714664,-4.886143684,-5.417649746
0.86522787,-3.116950512,-4.689633369,-5.719145298
0.88208802,-2.752942562,-4.972285271,-5.9515481
0.89894818,-3.023630619,-4.617848396,-5.589932919
0.91580912,-3.83270359,-4.555634975,-5.759823322
0.93267006,-5.729015827,-6.267400742,-5.343472004
0.94953026,-8.015357971,-10.4476614,-6.186044693
0.96639042,-11.65184975,-14.99881077,-9.133105278
0.9832513,-11.24028397,-17.55554199,-7.497909546
1.0001123,-11.56570816,-18.55873299,-4.414458752
1.0169725,-12.34397411,-15.77199173,-1.697109461
1.03383261,-10.56251717,-10.69651508,-3.169592619
1.05069354,-9.401400566,-8.924929619,-5.580361366
1.06755453,-8.656932831,-9.12114048,-5.740680695
1.08441469,-7.18445015,-9.216854095,-4.632205486
1.10127485,-5.369792938,-7.359126091,-4.071985722
1.11813578,-4.09860611,-5.479863167,-3.554837227
1.13499677,-4.086641788,-4.893322468,-2.807977438
1.15185693,-4.242175579,-4.756931305,-1.692323804
1.16871709,-3.727419376,-4.742275238,-1.237388372
1.18557802,-3.397209883,-4.613062859,-1.955833435
1.20243896,-3.183949709,-4.268496513,-2.985046148
1.21929917,-3.028416157,-3.91166687,-3.250948668
1.23615927,-3.004487991,-3.581158161,-2.391327143
1.25302021,-3.533600807,-3.808775425,-1.510469317
1.2698812,-4.771288395,-4.445565224,-1.00049901
1.28674141,-5.499005318,-5.297709465,-0.794417143
1.30360151,-5.087440014,-5.343472004,-2.482254505
1.32046245,-3.483351469,-4.524528503,-3.997808456
1.33732344,-2.623729944,-4.316352844,-3.550051451
1.3541836,-2.836990356,-5.252245903,-3.667598963
1.37104375,-3.890131474,-5.908477306,-3.29641223
1.38790469,-4.670789719,-5.891727448,-3.011367321
1.40476563,-4.34028101,-5.906084538,-3.119343519
1.42162584,-5.185545921,-6.327221394,-2.223829508
1.43848599,-5.324329376,-4.864608288,-2.997010469
1.45534688,-6.356234074,-3.325126171,-3.255734205
1.47220787,-10.86431217,-4.074378967,-4.708775997
1.48906808,-12.48515034,-8.831609726,-0.803988397
1.50592818,-3.315554857,-15.07298851,-1.685145378
1.52278912,-0.02632105,-17.95065689,-4.692026138
1.53965011,-1.83619225,-10.86640549,-7.112665176
1.55651026,-5.841478348,-5.841179371,-11.3452692
1.57337042,-8.872286797,-6.516553402,-14.71376514
1.59023136,-8.29531765,-8.97278595,-7.177271366
1.60709235,-4.412065983,-11.46491051,-2.719442844
1.6239525,-0.955035329,-18.09661865,-3.646063566
1.64081266,-1.845763564,-17.17508316,-6.590730667
1.65767354,-6.253343105,-12.77946758,-8.810073853
