Time(s),X(rad/s),Y(rad/s),Z(rad/s)
0.07129834,-0.01099525,-0.052685577,-0.004428643
0.088154433,-0.01099525,-0.052685577,-0.004428643
0.105009798,-0.028098974,-0.039246935,0.004123219
0.121864277,-0.02443389,-0.039246935,0.004123219
0.138719538,-0.019547112,-0.038025241,0.004123219
0.155575631,-0.014660334,-0.028251685,0.005344913
0.172430996,-0.012216945,-0.022143213,0.002901525
0.189285475,-0.01099525,-0.018478129,-0.001985254
0.206140788,-0.012216945,-0.016034741,-0.008093726
0.222996829,-0.008551862,-0.012369657,-0.008093726
0.239852194,-0.006108473,-0.007482879,-0.001985254
0.256706673,0,-0.002596101,0.00167983
0.273561985,0.002443389,0.005955761,0.010231691
0.290418079,0.006108473,0.008399149,0.013896775
0.307273444,0.003665084,0.008399149,0.013896775
0.324127871,0,0.012064233,0.010231691
0.340983183,0.001221695,-0.000152712,-0.001985254
0.357839277,0,-0.00503949,-0.014202199
0.374694642,0,0.004734066,-0.020310672
0.391549121,0.01099525,0.015729317,-0.015423893
0.408404433,0.025655584,0.020616096,-0.008093726
0.425260475,0.030542362,0.018172706,-0.003206948
0.44211584,0.025655584,0.013285927,-0.000763559
0.458970319,0.017103724,0.012064233,-0.001985254
0.475825631,0.007330167,0.005955761,-0.003206948
0.492681725,-0.007330167,-0.00503949,-0.006872032
0.50953709,-0.0219905,-0.012369657,-0.014202199
0.526391569,-0.020768806,-0.017256435,-0.017867282
0.543246881,-0.015882028,-0.018478129,-0.017867282
0.560102923,-0.01343864,-0.019699825,-0.017867282
0.576958288,-0.019547112,-0.019699825,-0.016645588
0.593812767,-0.020768806,-0.024586603,-0.012980504
0.610668079,-0.019547112,-0.033138465,-0.009315421
0.627524173,-0.0219905,-0.035581853,-0.009315421
0.644379538,-0.025655584,-0.028251685,-0.01175881
0.661234017,-0.028098974,-0.034360159,-0.017867282
0.678089329,-0.025655584,-0.047798797,-0.02519745
0.694945423,-0.019547112,-0.050242186,-0.026419144
0.711800788,-0.01099525,-0.046577103,-0.02275406
0.728655215,-0.001221695,-0.047798797,-0.017867282
0.745510527,0.003665084,-0.058794048,-0.017867282
0.762366621,-0.001221695,-0.066124216,-0.021532366
0.779221985,-0.008551862,-0.074676074,-0.030084228
0.796076465,-0.014660334,-0.07711947,-0.0361927
0.812931777,-0.0219905,-0.072232686,-0.038636088
0.829787871,-0.0219905,-0.066124216,-0.037414394
0.846643235,-0.017103724,-0.064902522,-0.03130592
0.863497715,-0.012216945,-0.06123744,-0.026419144
0.880353027,-0.009773556,-0.057572354,-0.02519745
0.897209121,-0.012216945,-0.05635066,-0.03130592
0.914064485,-0.015882028,-0.058794048,-0.037414394
0.930918965,-0.019547112,-0.053907271,-0.042301174
0.947774277,-0.019547112,-0.046577103,-0.045966256
0.964630371,-0.018325418,-0.044133715,-0.041079476
0.981485735,-0.008551862,-0.042912021,-0.0361927
0.998340215,0,-0.044133715,-0.033749312
1.015195527,0.004886778,-0.038025241,-0.037414394
1.032051621,0.006108473,-0.036803547,-0.042301174
1.048906985,0.002443389,-0.033138465,-0.041079476
1.065761465,-0.001221695,-0.030695075,-0.039857782
1.082616777,-0.003665084,-0.024586603,-0.037414394
1.099472871,-0.006108473,-0.022143213,-0.03130592
1.116328235,-0.012216945,-0.022143213,-0.026419144
1.133182715,-0.015882028,-0.020921519,-0.020310672
1.150038027,-0.017103724,-0.022143213,-0.015423893
1.166894121,-0.018325418,-0.020921519,-0.012980504
1.183749485,-0.018325418,-0.014813046,-0.012980504
1.200603965,-0.018325418,-0.009926268,-0.010537115
1.217459277,-0.01099525,-0.013591352,-0.009315421
1.234315371,-0.006108473,-0.017256435,-0.01175881
1.251170788,0.001221695,-0.019699825,-0.019088976
1.268025267,0.006108473,-0.018478129,-0.020310672
1.284880579,0.006108473,-0.011147963,-0.020310672
1.301736673,0.007330167,-0.001374406,-0.012980504
1.318592038,0.006108473,-0.00503949,-0.01175881
1.335446517,0,-0.006261184,-0.010537115
1.352301829,-0.001221695,-0.009926268,-0.005650337
1.369157923,-0.001221695,-0.00503949,-0.001985254
1.386013288,-0.003665084,0.002290677,-0.000763559
1.402867819,-0.009773556,0.009620844,0.004123219
1.419723131,-0.017103724,0.005955761,0.00167983
1.436579225,-0.02443389,0.001068983,-0.003206948
1.45343459,-0.023212196,-0.001374406,-0.01175881
1.470289069,-0.014660334,-0.00503949,-0.016645588
1.487144381,-0.007330167,-0.006261184,-0.021532366
1.504000475,-0.004886778,-0.007482879,-0.023975754
1.520855892,0,-0.017256435,-0.021532366
1.537710371,0.002443389,-0.023364907,-0.020310672
1.554565683,-0.002443389,-0.028251685,-0.019088976
1.571421777,-0.009773556,-0.030695075,-0.014202199
1.588277142,-0.018325418,-0.031916771,-0.005650337
1.605131673,-0.025655584,-0.038025241,0.000458135
1.621986985,-0.025655584,-0.042912021,0.005344913
1.638843079,-0.025655584,-0.049020492,0.00167983
1.655698444,-0.020768806,-0.053907271,-0.001985254
1.672552923,-0.014660334,-0.051463883,-0.009315421
1.689408288,-0.004886778,-0.046577103,-0.015423893
1.706264381,0.001221695,-0.047798797,-0.019088976
1.723119746,0,-0.047798797,-0.020310672
1.739974225,-0.001221695,-0.041690327,-0.019088976
1.756829538,0.001221695,-0.036803547,-0.017867282
1.773685683,-0.003665084,-0.030695075,-0.021532366
1.790541048,-0.003665084,-0.028251685,-0.021532366
1.807395527,-0.008551862,-0.030695075,-0.021532366
1.824250892,-0.008551862,-0.029473381,-0.017867282
1.841106985,-0.007330167,-0.023364907,-0.009315421
