Time(s),X(m/s^2),Y(m/s^2),Z(m/s^2)
0.00682562,-1.0651052,-8.570492744,3.57218504
0.02368062,1.678265929,-5.087141037,3.421437263
0.04053645,2.137987137,-4.694418907,2.188535452
0.05739229,1.793420553,-6.116652966,1.475175142
0.07424729,1.482054472,-7.950452328,1.350449324
0.09110229,1.125224829,-9.449256897,1.187737346
0.10795812,0.823729217,-10.4165554,1.436890006
0.12481395,-0.28713873,-10.62712383,2.365604401
0.14166895,-1.702194214,-10.24636555,3.988835335
0.15852395,-2.211865425,-9.030213356,5.169095039
0.17537979,-2.166401863,-8.259425163,4.513162613
0.19223562,-1.958226204,-8.838788033,4.259523392
0.20909062,-1.661217093,-8.735896111,4.235595226
0.22594562,-2.43708992,-9.274580956,4.563411713
0.2428015,-2.853740215,-10.28225803,4.886742115
0.25965734,-1.941476464,-10.04058266,4.563411713
0.27651234,-0.406779856,-9.183354378,4.039084435
0.29336734,1.113260746,-8.877073288,3.7710886
0.31022317,2.578565598,-8.805288315,2.722434044
0.327079,3.691826344,-8.812466621,0.742373228
0.343934,3.167499065,-8.285746574,-1.441077471
0.36078906,0.222831607,-8.615956306,-2.070688963
0.37764489,-2.69312191,-13.09292698,-2.152044773
0.39450072,-8.204390526,-25.7458744,2.796611547
0.41135572,-6.533303261,-22.50419807,3.576970816
0.42821072,-4.431208611,-17.56032753,1.056132078
0.44506656,-1.386042476,-12.35085297,0.395413935
0.46192244,1.108475089,-8.254639626,1.611566067
0.47877744,5.61655283,-5.046463013,-2.168794632
0.49563244,6.378068924,-7.986344814,-3.478266716
0.51248828,3.557828188,-7.823632717,-1.04835546
0.52934411,1.920240164,-7.373483181,1.343270779
0.54619916,-0.205782741,-7.500302792,1.546959877
0.56305416,-0.964606643,-7.663313389,2.499602318
0.57990999,-2.365305185,-7.759026527,2.243570328
0.59676583,-3.569493294,-7.115057945,2.298605204
0.61362088,-4.706682205,-6.040082455,2.574079037
0.63047588,-5.041976452,-5.029713154,2.437388897
0.64733171,-3.308376312,-5.060820103,3.143869877
0.66418755,-0.492921472,-5.451148987,4.022335052
0.6810426,3.272783279,-5.723930836,4.055834293
0.6978976,6.361319065,-6.209972858,4.968098164
0.71475343,10.12253666,-11.62792206,2.339283228
0.73160932,9.545269012,-14.99881077,2.243570328
0.74846432,9.052347183,-14.86959839,5.935396671
0.76531932,7.634898663,-12.21685505,5.049454212
0.7821752,4.424329281,-12.3053894,3.828516245
0.79903104,0.160618216,-14.30698586,-0.514456868
0.81588604,-2.394019127,-15.38644791,-0.892821968
0.83274109,-5.073082924,-16.17189217,-1.670788407
0.84959692,-6.229414463,-11.94138145,0.213260323
0.86645275,-4.522434711,-9.425328255,1.072881818
0.88330781,-3.401995659,-10.70608711,2.257927179
0.90016281,0.582054079,-7.919345856,5.784349442
0.91701864,-1.994118571,-11.48913765,5.817849159
0.93387452,-6.097510338,-13.89033508,2.61714983
0.95072953,-7.981858253,-10.75155067,1.580459356
0.96758453,-6.411269188,-8.661419868,2.68175602
0.98444041,-4.869394302,-9.051749229,4.182653904
1.00129624,-3.313162088,-10.09801102,4.996811867
1.0181513,-0.885643482,-9.451649666,4.307379723
1.0350063,0.893121064,-5.790929794,3.969692707
1.05186213,1.345663667,-5.211567879,3.63439846
1.06871802,1.295414329,-6.370292187,1.118345499
1.08557302,1.438983679,-7.938488007,0.646660328
1.10242807,1.788634896,-8.924929619,1.161416292
