Time(s),X(rad/s),Y(rad/s),Z(rad/s)
0.01026131,-0.682927251,0.228304163,0.199594349
0.02712131,-0.179589093,-0.342227191,-0.006872032
0.043982091,0.220057726,-0.337340385,-0.155918762
0.060843654,0.414307147,-0.10521844,-0.306187183
0.077704487,0.581679285,-0.117435388,-0.419804782
0.094564435,0.739277899,-0.289694309,-0.524870515
0.111425216,0.786924005,-0.185850278,-0.588398635
0.128286831,0.794254124,-0.071010992,-0.655591846
0.145147664,0.789367378,0.106134713,-0.639709771
0.162007612,0.536476612,0.401937485,-0.60794574
0.178868393,0.398425132,0.79287976,-0.666587055
0.195729956,0.55846709,1.016449809,-0.831515849
0.212590841,0.795475841,1.084864736,-0.974454105
0.229450789,0.887102962,1.296217918,-0.918256164
0.246311571,0.738056183,1.390288353,-0.719119906
0.263173133,0.485165447,1.134954214,-0.570073187
0.280033966,0.238383144,0.629172683,-0.476002723
0.296893966,0.002443389,0.176992998,-0.414918006
0.313754748,0.040315919,0.162332654,-0.375823766
0.33061631,0.300689578,0.559536099,-0.361163437
0.347477143,0.411863774,0.910162389,-0.262206197
0.364337091,0.298246175,1.003011227,-0.207229927
0.381197873,0.058641337,0.807540059,-0.087503873
0.398059487,-0.075745061,0.709804535,0.112854034
0.414920321,-0.054976255,0.533880532,0.351084471
0.431780425,0.207840785,1.374406338,0.423164427
0.44864105,0.417972237,2.100092888,0.597866774
0.465502664,-0.356734812,1.52956152,0.580763042
0.482363498,-0.513111711,0.989572585,0.315655321
0.499223446,-0.113617592,1.395175099,0.316877008
0.516084227,0.105065726,2.834331274,0.625965715
0.532945789,-0.102622338,3.096995592,1.003622055
0.549806675,-0.223570094,1.845980406,0.542890489
0.566666623,-0.040315919,1.900956631,0.419499368
0.583527404,0.157751307,2.202715158,0.00167983
0.600388966,0.201732308,1.964484811,-0.098499119
0.6172498,0.505934238,2.571666956,-0.010537115
0.6341098,0.826018214,3.04079771,0.337645829
0.650970581,0.911536813,2.820892572,0.59908843
0.667832143,0.672084689,2.327327967,0.663838267
0.684692977,0.465618312,1.847202063,0.592979968
0.701552925,0.312906504,1.692046881,0.456150204
0.718413758,0.277477354,1.711593986,0.337645829
0.735275321,0.395981729,1.776343822,0.244797036
0.752136154,0.592674553,1.896069884,0.199594349
0.768996102,0.777150452,1.900956631,0.257013977
0.785856883,0.844343603,1.679829955,0.371853262
0.802718498,0.84190023,1.379293084,0.4964661
0.819579331,0.786924005,0.932152927,0.486692548
0.836439279,0.722174168,0.790436328,0.465923756
0.85330006,0.6965186,0.768445849,0.452485114
0.870161675,0.613443375,0.889393628,0.467145443
0.887022508,0.575570822,1.109298587,0.4964661
0.903882456,0.56213218,1.338977218,0.494022727
0.920743237,0.464396626,1.436712742,0.420721054
0.937604852,0.303132951,1.334090471,0.332759053
0.954465685,0.154086217,1.158166409,0.308325142
0.971325633,-0.086740308,1.038440347,0.388956994
0.988186414,-0.41415444,0.978577316,0.472032219
1.005048029,-0.855186164,0.823422134,0.569767773
