"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.818870280E-1,-3.192198649E-2,1.354899141E-3,5.199685227E-3
2.838870280E-1,-3.497631103E-2,6.241821218E-3,2.145358827E-3
2.858865280E-1,-3.375457972E-2,5.630955566E-3,3.977954388E-3
2.878865280E-1,-3.558717668E-2,1.296133921E-2,3.367089201E-3
2.898865280E-1,-3.558717668E-2,1.173960790E-2,1.534493407E-3
2.918865280E-1,-3.619803861E-2,1.479393523E-2,1.534493407E-3
2.938865280E-1,-3.558717668E-2,1.601566561E-2,3.127630043E-4
2.958865280E-1,-3.192198649E-2,1.723739691E-2,-2.981022408E-4
2.978862780E-1,-3.008938953E-2,1.968085580E-2,-9.089675150E-4
2.998860550E-1,-2.947852388E-2,2.334604785E-2,-2.130697947E-3
3.018858550E-1,-2.581333369E-2,2.456777729E-2,-2.981022408E-4
3.038856730E-1,-2.703506313E-2,2.701123990E-2,-1.519832760E-3
3.058855060E-1,-2.581333369E-2,2.701123990E-2,-2.981022408E-4
3.078853520E-1,-2.275900729E-2,2.945470065E-2,-2.741563367E-3
3.098852090E-1,-2.214814164E-2,3.189815953E-2,-2.981022408E-4
3.118850750E-1,-2.031554654E-2,3.373076022E-2,-1.519832760E-3
3.138848250E-1,-1.848294958E-2,3.556335345E-2,-9.089675150E-4
3.158845890E-1,-1.909381524E-2,3.617421538E-2,-9.089675150E-4
3.178843660E-1,-1.970467903E-2,3.800681233E-2,-2.981022408E-4
3.198841550E-1,-1.542862318E-2,3.861767799E-2,-2.741563367E-3
3.218839550E-1,-1.665035449E-2,3.739595041E-2,3.127630043E-4
3.238837640E-1,-1.603948697E-2,4.045027494E-2,-2.981022408E-4
3.258835820E-1,-1.176343113E-2,4.228287190E-2,-2.981022408E-4
3.278834080E-1,-1.115256734E-2,4.411546886E-2,9.236282785E-4
3.298831580E-1,-1.237429678E-2,4.350459948E-2,9.236282785E-4
3.318829180E-1,-8.709105663E-3,4.411546886E-2,1.534493407E-3
3.338826480E-1,-1.115256734E-2,4.167200625E-2,3.367089201E-3
3.358824250E-1,-8.709105663E-3,4.350459948E-2,2.145358827E-3
3.378822100E-1,-5.654779263E-3,4.594806209E-2,1.534493407E-3
3.398820030E-1,-6.876510102E-3,4.228287190E-2,5.199685227E-3
3.418818030E-1,-4.433049355E-3,4.533719644E-2,8.254011162E-3
3.438816030E-1,-3.822183935E-3,4.350459948E-2,4.588819575E-3
3.458813690E-1,-2.600453328E-3,4.594806209E-2,9.475741535E-3
3.478811020E-1,-2.600453328E-3,4.594806209E-2,1.008660719E-2
3.498808350E-1,-7.678575930E-4,4.533719644E-2,1.008660719E-2
3.518805680E-1,4.538728972E-4,4.411546886E-2,1.130833756E-2
3.538803010E-1,-1.569923625E-4,4.655892402E-2,1.191920321E-2
3.558800340E-1,-1.569923625E-4,4.533719644E-2,1.558439434E-2
3.578798340E-1,1.064738142E-3,4.533719644E-2,1.680612378E-2
3.598795670E-1,2.897333819E-3,4.533719644E-2,1.497352868E-2
3.618793000E-1,4.729929380E-3,4.533719644E-2,1.802785508E-2
3.638790330E-1,3.508199239E-3,4.228287190E-2,1.863871887E-2
3.658787660E-1,6.562525406E-3,4.228287190E-2,1.924958639E-2
3.678784990E-1,7.784255780E-3,4.167200625E-2,2.230391093E-2
3.698782320E-1,9.005986154E-3,4.289373383E-2,1.986045018E-2
3.718779320E-1,9.616851807E-3,4.045027494E-2,2.291477844E-2
3.738777320E-1,1.144944783E-2,4.167200625E-2,2.291477844E-2
3.758774650E-1,1.267117821E-2,3.861767799E-2,2.535823733E-2
3.778772310E-1,1.450377330E-2,3.983940929E-2,2.535823733E-2
3.798769640E-1,1.633636840E-2,3.495248780E-2,2.657996863E-2
3.818766970E-1,1.572550461E-2,3.739595041E-2,2.474737354E-2
3.838764300E-1,1.511463802E-2,3.678508475E-2,2.474737354E-2
3.858761630E-1,2.183415554E-2,3.495248780E-2,2.535823733E-2
3.878758960E-1,2.244502306E-2,3.311989084E-2,2.230391093E-2
3.898756960E-1,2.244502306E-2,3.067643195E-2,2.413650788E-2
3.918754290E-1,2.611021325E-2,3.067643195E-2,2.535823733E-2
3.938751620E-1,2.611021325E-2,2.884383500E-2,2.657996863E-2
3.958748950E-1,2.855367400E-2,2.640037425E-2,2.474737354E-2
3.978746280E-1,2.977540344E-2,2.273518220E-2,2.352564223E-2
3.998743610E-1,3.099713475E-2,2.456777729E-2,2.535823733E-2
4.018740940E-1,3.405145928E-2,2.273518220E-2,2.230391093E-2
4.038738270E-1,3.771665320E-2,1.968085580E-2,2.230391093E-2
4.058736270E-1,3.649492189E-2,1.784826070E-2,2.169304714E-2
4.078733600E-1,3.771665320E-2,1.723739691E-2,1.924958639E-2
4.098730930E-1,3.893838450E-2,1.479393523E-2,1.986045018E-2
4.118728260E-1,4.199270904E-2,1.662652940E-2,1.924958639E-2
4.138725590E-1,4.077098146E-2,1.235047355E-2,2.108218148E-2
4.158722920E-1,4.077098146E-2,9.296147153E-3,1.863871887E-2
4.178720250E-1,4.382530600E-2,1.296133921E-2,1.863871887E-2
4.198718250E-1,4.382530600E-2,8.685281500E-3,1.863871887E-2
4.218716250E-1,4.504703358E-2,9.296147153E-3,1.741698943E-2
4.238713580E-1,4.321444035E-2,9.907012805E-3,1.375179831E-2
4.258710910E-1,4.321444035E-2,7.463551592E-3,1.619525999E-2
4.278708240E-1,4.504703358E-2,6.852686405E-3,1.619525999E-2
4.298705570E-1,4.443616793E-2,6.241821218E-3,1.375179831E-2
4.318702900E-1,4.504703358E-2,6.852686405E-3,1.253006700E-2
4.338700230E-1,4.565790296E-2,3.798360005E-3,1.314093266E-2
4.358698230E-1,4.382530600E-2,2.576629631E-3,1.558439434E-2
4.378695890E-1,4.321444035E-2,7.440338959E-4,1.741698943E-2
4.398693220E-1,4.260357842E-2,4.409225658E-3,1.619525999E-2
4.418690550E-1,4.321444035E-2,-4.776966234E-4,1.069747284E-2
4.438687880E-1,4.077098146E-2,-1.088561839E-3,1.375179831E-2
4.458685210E-1,4.138184339E-2,7.440338959E-4,1.375179831E-2
4.478682540E-1,3.954924643E-2,-1.088561839E-3,1.253006700E-2
4.498679870E-1,3.832751885E-2,-3.532022936E-3,1.130833756E-2
4.518677870E-1,4.016011581E-2,-3.532022936E-3,1.008660719E-2
4.538675530E-1,3.588405624E-2,-5.364618730E-3,1.069747284E-2
4.558672860E-1,3.588405624E-2,-4.753753077E-3,1.008660719E-2
4.578670190E-1,3.588405624E-2,-4.776966234E-4,1.069747284E-2
4.598667520E-1,3.221886605E-2,-4.142887890E-3,9.475741535E-3
4.618664850E-1,3.466232866E-2,-7.197214290E-3,1.314093266E-2
4.638662180E-1,3.282973170E-2,-5.975483917E-3,1.191920321E-2
4.658659510E-1,2.977540344E-2,-4.753753077E-3,8.254011162E-3
4.678657510E-1,2.855367400E-2,-5.975483917E-3,8.864876814E-3
4.698654840E-1,2.977540344E-2,-7.197214290E-3,1.008660719E-2
4.718652170E-1,2.427761629E-2,-9.640675969E-3,9.475741535E-3
4.738649500E-1,2.305588685E-2,-1.147327106E-2,9.475741535E-3
4.758646830E-1,2.122329175E-2,-1.208413579E-2,8.864876814E-3
4.778644160E-1,1.633636840E-2,-1.330586709E-2,7.032280788E-3
4.798641160E-1,1.633636840E-2,-1.330586709E-2,7.032280788E-3
4.818638490E-1,1.633636840E-2,-1.391673181E-2,6.421415135E-3
4.838636490E-1,1.144944783E-2,-1.513846219E-2,6.421415135E-3
4.858633820E-1,1.022771653E-2,-1.819278859E-2,7.032280788E-3
4.878631150E-1,7.784255780E-3,-1.880365424E-2,7.032280788E-3
4.898628480E-1,7.784255780E-3,-1.880365424E-2,5.810550414E-3
4.918626140E-1,2.897333819E-3,-2.124711499E-2,7.032280788E-3
4.938623470E-1,1.064738142E-3,-2.124711499E-2,6.421415135E-3
4.958620800E-1,4.538728972E-4,-2.246884629E-2,7.643145975E-3
4.978618130E-1,-3.822183935E-3,-2.674490213E-2,8.864876814E-3
4.998616130E-1,-5.654779263E-3,-2.918836474E-2,6.421415135E-3
5.018613130E-1,-5.043914542E-3,-2.796663344E-2,3.977954388E-3
5.038610460E-1,-6.876510102E-3,-2.735576779E-2,7.032280788E-3
5.058607790E-1,-8.098240942E-3,-2.796663344E-2,7.032280788E-3
5.078605120E-1,-8.709105663E-3,-2.796663344E-2,7.032280788E-3
5.098602450E-1,-9.930836968E-3,-2.674490213E-2,7.643145975E-3
5.118599780E-1,-1.176343113E-2,-2.796663344E-2,3.367089201E-3
5.138597780E-1,-1.420689281E-2,-2.674490213E-2,2.756224014E-3
5.158595780E-1,-1.298516244E-2,-2.674490213E-2,1.534493407E-3
5.178593110E-1,-1.237429678E-2,-2.613403648E-2,9.236282785E-4
