"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.750708343E-3,-2.776576080E0,4.962779846E0,8.017327881E0
1.271470834E-2,-2.664309540E0,4.875810699E0,8.034542084E0
2.267970835E-2,-2.535876617E0,4.793481903E0,8.139324188E0
3.264370834E-2,-2.490071869E0,4.750820618E0,7.972570953E0
4.260870835E-2,-2.471360779E0,4.790039062E0,7.930358734E0
5.257270834E-2,-2.491269379E0,4.838687897E0,8.035889282E0
6.253670834E-2,-2.539469147E0,4.864134979E0,8.108338623E0
7.250170835E-2,-2.633922729E0,4.849914551E0,8.229137421E0
8.246570834E-2,-2.700384521E0,4.867877197E0,8.362659760E0
9.242970834E-2,-2.720293121E0,4.882097626E0,8.407266998E0
1.023947083E-1,-2.664758606E0,4.907993774E0,8.434660034E0
1.123587083E-1,-2.553539886E0,4.893923035E0,8.517437897E0
1.223237083E-1,-2.449206848E0,4.844974823E0,8.677754517E0
1.322877083E-1,-2.350262604E0,4.702620850E0,8.921298065E0
1.422517083E-1,-2.243983612E0,4.583917694E0,9.150621185E0
1.522167083E-1,-2.118544464E0,4.427942047E0,9.398655396E0
1.621807083E-1,-2.073188782E0,4.221221924E0,9.445957031E0
1.721457083E-1,-1.962568817E0,4.084556122E0,9.620793457E0
1.821097083E-1,-1.927691345E0,3.959116974E0,9.607620850E0
1.920737083E-1,-1.909878387E0,3.684737549E0,9.327253876E0
2.020387083E-1,-1.720372467E0,3.554059296E0,8.987011414E0
2.120027083E-1,-1.307381287E0,3.592978363E0,8.223898315E0
2.219677083E-1,-5.852828979E-1,3.936513977E0,7.638316040E0
2.319317083E-1,3.098556519E-2,4.971461792E0,7.779622192E0
2.418957083E-1,6.002517700E-1,5.228028259E0,7.443720703E0
2.518607083E-1,1.083297272E0,4.259542236E0,7.045249329E0
2.618247083E-1,1.062191162E0,3.384162598E0,7.545509033E0
2.717897083E-1,1.160985718E0,2.943778381E0,7.836204529E0
2.817537083E-1,1.367107086E0,2.742297363E0,7.742499390E0
2.917177083E-1,1.597927094E0,2.627635803E0,7.594457245E0
3.016827083E-1,1.711241455E0,2.555186462E0,7.289691010E0
3.116467083E-1,1.884431305E0,2.398612061E0,6.894812164E0
3.216107083E-1,1.897005157E0,2.080074463E0,6.801256714E0
3.315757083E-1,1.524729309E0,2.170037384E0,7.002438354E0
3.415397083E-1,7.740403748E-1,3.097957764E0,6.746919708E0
3.515047083E-1,7.553292847E-1,4.187991028E0,6.458918610E0
3.614687083E-1,6.460565186E-1,5.172344055E0,4.994214478E0
3.714327083E-1,1.026864624E0,3.516487427E0,4.636159058E0
3.813977083E-1,1.288221130E0,1.369053040E0,7.287894745E0
3.913617083E-1,2.421514435E0,1.177900543E0,7.260801086E0
4.013267084E-1,1.951791229E0,2.248474274E0,6.473887482E0
4.112907083E-1,1.089883575E0,2.246678009E0,6.678212585E0
4.212547083E-1,4.408332825E-1,6.586303711E-1,8.153843994E0
4.312197083E-1,2.841091919E-1,-8.143066406E-2,8.957073669E0
4.411837083E-1,3.318598938E-1,1.064286804E-1,8.952433319E0
4.511487084E-1,5.942642212E-1,9.280700684E-3,7.574848022E0
4.611127083E-1,9.099577332E-1,1.260379028E-1,4.596192169E0
4.710767083E-1,2.039209442E0,1.517095184E0,3.660787354E0
4.810417083E-1,1.570833435E0,1.275796967E0,1.187330933E1
4.910057083E-1,1.656305695E0,-1.160087585E0,1.214394653E1
5.009697083E-1,8.132588196E-1,-1.359023895E0,7.992180176E0
5.109347083E-1,7.858657837E-2,-3.272195435E-1,9.656718750E0
5.208987083E-1,1.829196167E-1,1.362167358E-1,1.022433838E1
5.308637084E-1,3.513194275E-1,4.499642944E-1,8.686137085E0
