"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.890250016E-3,4.342619476E0,3.729195099E0,6.982380066E0
1.186324999E-2,4.699926453E0,3.570824432E0,7.578590240E0
2.183624997E-2,4.420158234E0,3.499871979E0,8.400081940E0
3.180925001E-2,3.633094940E0,3.375780029E0,9.470655670E0
4.178224999E-2,3.090173950E0,3.151696014E0,1.033256332E1
5.175525002E-2,2.854713593E0,3.046464844E0,1.108699448E1
6.172825000E-2,2.786156158E0,3.056643677E0,1.102726868E1
7.170124998E-2,2.759361877E0,3.046165466E0,1.001207977E1
8.167425002E-2,2.984493713E0,3.003953247E0,8.771609344E0
9.164725000E-2,3.351231079E0,2.968626709E0,8.069419556E0
1.016202500E-1,3.696862335E0,2.879561920E0,8.104596405E0
1.115922500E-1,4.103566589E0,2.477498016E0,8.356672211E0
1.215652500E-1,3.854334869E0,2.056723022E0,8.640482025E0
1.315382500E-1,3.574716339E0,1.964664459E0,8.541687469E0
1.415112500E-1,3.595223694E0,2.225571899E0,8.660091248E0
1.514842500E-1,3.469036102E0,2.368973694E0,9.112001495E0
1.614572500E-1,3.653302917E0,2.321672058E0,9.144783325E0
1.714302500E-1,3.491938477E0,2.129920807E0,9.196875000E0
1.814032500E-1,3.163970490E0,2.026635590E0,9.060957642E0
1.913762500E-1,2.940934296E0,2.097887421E0,8.767867126E0
2.013492500E-1,2.699187012E0,2.177821198E0,9.200916595E0
2.113222500E-1,2.591710510E0,2.624192963E0,9.801018677E0
2.212952500E-1,2.596500549E0,3.120560760E0,9.938133545E0
2.312682500E-1,2.393073578E0,3.646117859E0,9.358389130E0
2.412412500E-1,2.113455048E0,3.747157745E0,8.653205566E0
2.512142500E-1,1.847607880E0,3.486399994E0,8.358019409E0
2.611872500E-1,1.794318695E0,3.226989441E0,8.076454926E0
2.711602500E-1,2.047592010E0,3.069965973E0,8.354726257E0
2.811332500E-1,2.367776184E0,3.102149048E0,8.779842224E0
2.911062500E-1,2.492017822E0,2.824626160E0,8.644822998E0
3.010792500E-1,2.637664948E0,2.536175995E0,8.518485718E0
3.110522500E-1,2.846480713E0,2.270478516E0,8.682394867E0
3.210252500E-1,2.841540985E0,2.100581818E0,8.807534637E0
3.309982500E-1,2.823578339E0,2.023492126E0,8.751401367E0
3.409712500E-1,2.984643402E0,1.933229828E0,8.593629456E0
3.509442500E-1,3.089425507E0,1.498533783E0,8.392148438E0
3.609172500E-1,3.091670837E0,1.512604523E0,8.337362366E0
3.708902500E-1,2.844385071E0,2.086660767E0,8.083789673E0
3.808632500E-1,2.387535095E0,2.247426453E0,8.538244629E0
3.908362500E-1,2.384241943E0,2.294877777E0,9.096583557E0
4.008092500E-1,2.384691010E0,1.788031769E0,9.320068817E0
