"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.455958366E-3,-6.062003374E-1,3.477800786E-1,-8.203232661E-3
1.542895834E-2,-7.201889157E-1,2.348178029E-1,1.004769057E-1
2.540195832E-2,-8.526907563E-1,-1.837131567E-2,1.457407922E-1
3.537495836E-2,-9.737402797E-1,-4.623013437E-1,1.209105477E-1
4.534795834E-2,-1.065692544E0,-8.707892299E-1,1.014807727E-2
5.532095832E-2,-1.075269699E0,-1.097565413E0,-1.173241287E-1
6.529295834E-2,-1.018698812E0,-1.262519002E0,-2.400061041E-1
7.526595832E-2,-9.634659290E-1,-1.485898137E0,-3.647418916E-1
8.523895836E-2,-9.485082626E-1,-1.725694180E0,-4.819750488E-1
9.521195834E-2,-9.874036312E-1,-1.882978797E0,-5.543954372E-1
1.051849583E-1,-1.059582233E0,-2.115018845E0,-5.266524553E-1
1.151579584E-1,-1.150376320E0,-2.267509222E0,-4.542422295E-1
1.251299583E-1,-1.313047528E0,-2.498752356E0,-3.723180592E-1
1.351029584E-1,-1.541005969E0,-2.442155361E0,-2.742806971E-1
1.450759583E-1,-1.738111854E0,-2.246299982E0,-1.066736057E-1
1.550489583E-1,-1.847450376E0,-2.385576725E0,7.923501730E-2
1.650219584E-1,-1.861779809E0,-2.659442186E0,2.095730454E-1
1.749949583E-1,-1.782385588E0,-2.421912909E0,2.577033043E-1
1.849669584E-1,-1.431078672E0,-1.556295156E0,2.945172489E-1
1.949399583E-1,-9.204506874E-1,-1.058487892E0,3.542700708E-1
2.049129583E-1,-4.715349376E-1,-1.358212590E0,4.183950126E-1
2.148859584E-1,-1.091786921E-1,-1.744315386E0,4.774167240E-1
2.248589583E-1,2.566381693E-1,-1.804715633E0,5.362976193E-1
2.348319584E-1,6.231479049E-1,-1.940503120E0,5.634890199E-1
2.448039583E-1,9.238792658E-1,-2.214642763E0,5.743331313E-1
2.547769583E-1,1.184635758E0,-1.918637276E0,5.761502385E-1
2.647499584E-1,1.343311906E0,-1.643360138E0,6.221209168E-1
2.747229583E-1,1.306039929E0,-1.788094044E0,7.120270729E-1
2.846959584E-1,1.133819461E0,-2.143704176E0,8.008823991E-1
2.946689583E-1,9.933983088E-1,-2.193650007E0,8.285239339E-1
3.046409583E-1,9.997349977E-1,-1.808953881E0,8.444498777E-1
3.146139584E-1,1.045544147E0,-1.242132545E0,8.942053914E-1
3.245869583E-1,9.528539777E-1,-8.348009586E-1,8.740966916E-1
3.345599584E-1,6.927867532E-1,-7.831345797E-1,7.615733743E-1
3.445329583E-1,3.592836559E-1,-1.042944074E0,5.881603360E-1
3.545059583E-1,1.412349939E-1,-1.490578771E0,4.312734902E-1
3.644779584E-1,1.946098059E-1,-1.912184000E0,3.671088815E-1
3.744509583E-1,4.438302219E-1,-2.050086498E0,3.728743792E-1
3.844239584E-1,7.220903039E-1,-1.767551661E0,3.931910992E-1
3.943969583E-1,9.057993889E-1,-1.134784102E0,4.374303818E-1
4.043699583E-1,1.022904515E0,-2.953871787E-1,5.905112624E-1
4.143419584E-1,1.047336578E0,6.281720996E-1,7.688981295E-1
4.243149583E-1,9.841356874E-1,1.110855460E0,9.767072797E-1
4.342879584E-1,7.460017204E-1,5.234990716E-1,1.176420450E0
4.442609583E-1,4.561350048E-1,-2.302729785E-1,1.379585981E0
4.542339583E-1,2.655286491E-1,-2.858090103E-1,1.604492068E0
4.642069584E-1,1.831288189E-1,-1.500148885E-2,1.839543819E0
4.741789583E-1,2.239249051E-1,-1.405263990E-1,2.003772259E0
4.841519584E-1,3.243697286E-1,-5.975333452E-1,1.972339869E0
4.941249583E-1,4.075527191E-1,-1.213021398E0,1.709627628E0
5.040979583E-1,4.563692808E-1,-1.822628021E0,1.376514554E0
5.140709584E-1,3.900073469E-1,-2.152623653E0,1.455661297E0
5.240439583E-1,2.044215053E-1,-2.181906223E0,1.723752141E0
5.340159584E-1,7.127407193E-2,-2.156175137E0,1.642817378E0
5.439889584E-1,2.589288168E-3,-2.275093555E0,1.550964475E0
5.539619583E-1,-6.511730701E-2,-2.425938129E0,1.455189228E0
5.639349584E-1,-1.532032341E-1,-2.527057886E0,1.349461913E0
5.739079583E-1,-2.953685522E-1,-2.414793491E0,1.278536916E0
5.838809583E-1,-4.678679109E-1,-2.109120131E0,1.319074750E0
5.938534167E-1,-5.439683199E-1,-1.911154032E0,1.424467206E0
6.038264167E-1,-4.936729968E-1,-1.795300364E0,1.494145632E0
6.137994167E-1,-3.576334715E-1,-1.857409477E0,1.387674093E0
6.237724167E-1,-1.625622511E-1,-2.117411375E0,1.203964353E0
6.337454166E-1,1.171187907E-1,-2.589645147E0,1.116613507E0
6.437184167E-1,4.181851745E-1,-3.107342958E0,1.107502341E0
6.536904167E-1,7.226381302E-1,-3.570841074E0,1.097972751E0
6.636634167E-1,1.005527616E0,-3.951904297E0,1.042136908E0
6.736364167E-1,1.261189699E0,-4.396334171E0,1.053894758E0
6.836094167E-1,1.474709153E0,-4.870678425E0,1.209601521E0
6.935824167E-1,1.568275452E0,-5.166609764E0,1.434123039E0
7.035554167E-1,1.553672433E0,-5.423401356E0,1.642122626E0
7.135274167E-1,1.465665698E0,-5.639429569E0,1.879700541E0
7.235004167E-1,1.369710326E0,-5.688541412E0,2.161889791E0
7.334734167E-1,1.298086405E0,-5.522311211E0,2.519443274E0
7.434464167E-1,1.170135856E0,-5.124816895E0,2.909728765E0
7.534194167E-1,9.489715695E-1,-4.714603424E0,3.251822710E0
7.633924167E-1,6.447389722E-1,-4.514363289E0,3.493299007E0
7.733644167E-1,2.281954736E-1,-4.448072433E0,3.629193544E0
7.833374167E-1,-2.051961869E-1,-4.309474468E0,3.665578604E0
7.933104167E-1,-5.154727697E-1,-4.021905899E0,3.656487465E0
8.032834167E-1,-6.790467501E-1,-3.674092293E0,3.624746561E0
8.132564167E-1,-7.429657578E-1,-3.444096565E0,3.604557514E0
8.232294167E-1,-7.604491711E-1,-3.225861311E0,3.589815617E0
8.332014167E-1,-7.988668084E-1,-2.921419621E0,3.611515522E0
8.431744167E-1,-8.716456890E-1,-2.427475214E0,3.689091444E0
8.531474167E-1,-9.964995980E-1,-1.880969524E0,3.705439806E0
8.631204167E-1,-1.102976084E0,-1.423071504E0,3.551738262E0
8.730934167E-1,-1.096729517E0,-1.010242343E0,3.250542402E0
8.830664167E-1,-9.812508821E-1,-6.008614898E-1,2.898880959E0
8.930384167E-1,-8.243443966E-1,-2.454946190E-1,2.585893631E0
9.030114167E-1,-6.983653903E-1,7.689754665E-2,2.320414305E0
9.129844167E-1,-6.587870717E-1,2.817347348E-1,2.125485182E0
9.229574167E-1,-7.412105799E-1,2.569769323E-1,1.975907683E0
9.329304167E-1,-8.272915483E-1,1.711645126E-1,1.786649942E0
9.429034167E-1,-7.721638083E-1,1.087024510E-1,1.543005586E0
9.528754167E-1,-5.277906060E-1,1.439127047E-2,1.284089327E0
9.628484167E-1,-1.607332826E-1,-5.995859578E-2,1.016071677E0
9.728214167E-1,1.949531138E-1,-1.239105761E-1,7.641536593E-1
9.827944167E-1,4.339097738E-1,-2.307826877E-1,5.442964435E-1
9.927674167E-1,5.168189406E-1,-3.445177674E-1,3.789144158E-1
1.002740417E0,4.315727353E-1,-2.863053381E-1,2.578937113E-1
1.012712417E0,2.111719996E-1,-1.334912479E-1,1.260486096E-1
1.022685417E0,-1.168918982E-1,1.771451160E-2,-1.220540330E-2
1.032658417E0,-4.767404795E-1,2.362456024E-1,-1.078981161E-1
1.042631417E0,-7.998725176E-1,4.849361181E-1,-2.065557241E-1
1.052604417E0,-9.975265265E-1,7.082735300E-1,-3.097079694E-1
1.062576417E0,-1.018046498E0,8.391963840E-1,-3.762217462E-1
1.072549417E0,-8.772215843E-1,8.567236662E-1,-4.162271917E-1
1.082522417E0,-6.375634074E-1,7.542364001E-1,-4.461166561E-1
1.092495417E0,-3.933342695E-1,6.031212211E-1,-4.858249128E-1
1.102468417E0,-2.324260771E-1,4.375593960E-1,-5.129833221E-1
1.112441417E0,-1.915207207E-1,3.043882847E-1,-5.242884159E-1
1.122414417E0,-2.288819551E-1,2.634158432E-1,-5.270565152E-1
1.132386417E0,-2.970111370E-1,2.455907762E-1,-5.534968972E-1
1.142359417E0,-3.263037801E-1,2.151484489E-1,-5.817274451E-1
1.152332417E0,-2.679607868E-1,2.016615868E-1,-5.901589990E-1
1.162305417E0,-1.691082418E-1,1.643235385E-1,-5.820661783E-1
1.172278417E0,-7.898067683E-2,6.968854368E-2,-5.690103173E-1
1.182250417E0,-2.002441138E-2,-1.695926860E-2,-5.660667419E-1
1.192223417E0,8.006948046E-4,-6.729418784E-2,-5.463497639E-1
1.202196417E0,-1.796420198E-3,-1.019898504E-1,-4.863255620E-1
1.212169417E0,-2.702225000E-2,-1.182850376E-1,-4.241408110E-1
1.222142417E0,-4.848892614E-2,-1.438655108E-1,-4.223192036E-1
1.232115417E0,-8.178530633E-2,-1.164392978E-1,-4.831241965E-1
1.242087417E0,-1.294878423E-1,-3.233214468E-2,-5.446282625E-1
1.252060417E0,-2.066686153E-1,6.426452100E-2,-5.699522495E-1
1.262033417E0,-2.878692150E-1,1.954814047E-1,-5.612346530E-1
1.272006417E0,-3.468914032E-1,3.897750676E-1,-5.161689520E-1
1.281979417E0,-3.731560409E-1,5.664225221E-1,-4.270803332E-1
1.291952417E0,-3.856503665E-1,6.719989181E-1,-3.238951266E-1
1.301924417E0,-3.829118609E-1,7.257735133E-1,-2.994094789E-1
1.311897417E0,-3.825163841E-1,7.274361849E-1,-3.289886713E-1
1.321870417E0,-4.157459736E-1,7.137227654E-1,-3.678588271E-1
1.331843417E0,-5.463925004E-1,6.608628035E-1,-4.214469790E-1
1.341816417E0,-7.986915708E-1,5.686503053E-1,-4.872244000E-1
1.351789417E0,-1.071445107E0,4.721660614E-1,-5.455249548E-1
1.361761417E0,-1.274649858E0,3.875275850E-1,-5.953436494E-1
1.371734417E0,-1.362254977E0,3.163973093E-1,-6.922196746E-1
1.381707417E0,-1.328209400E0,2.524939775E-1,-8.217867017E-1
1.391680417E0,-1.161032677E0,1.905449182E-1,-8.881001472E-1
1.401653417E0,-9.344365597E-1,1.464205980E-1,-7.964234948E-1
1.411626417E0,-7.207335830E-1,1.145768985E-1,-6.246174574E-1
1.421598417E0,-5.584607720E-1,7.134500891E-2,-5.062590837E-1
