"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.914374969E-3,-1.060839891E0,-1.424307972E-1,1.474201865E-2
1.988737501E-2,-1.281802654E0,-3.261814713E-1,2.046214044E-1
2.986037498E-2,-1.380692482E0,-5.503625870E-1,3.518196344E-1
3.983337502E-2,-1.304828286E0,-7.531483173E-1,4.144851267E-1
4.980637500E-2,-1.103316426E0,-9.727794528E-1,3.554385900E-1
5.978037498E-2,-8.630965948E-1,-9.991786480E-1,1.702362448E-1
6.975337502E-2,-6.629624367E-1,-7.969570756E-1,-2.815752849E-2
7.972637500E-2,-5.809231400E-1,-5.546429753E-1,-1.966109574E-1
8.969937498E-2,-6.507205963E-1,-3.307326436E-1,-2.868390977E-1
9.967237501E-2,-9.122691751E-1,-1.547020674E-1,-3.001536429E-1
1.096453750E-1,-1.329261899E0,4.225334525E-2,-2.370929271E-1
1.196193750E-1,-1.859610200E0,2.144138962E-1,-1.971428096E-1
1.295923750E-1,-2.432979584E0,3.526905477E-1,-1.610324681E-1
1.395653750E-1,-2.913927555E0,2.507616878E-1,-8.815456182E-2
1.495383750E-1,-3.141886950E0,2.103449591E-2,4.611216113E-2
1.595113750E-1,-3.122404099E0,8.164156228E-2,1.521829516E-1
1.694843750E-1,-2.916597605E0,-4.594835639E-2,2.214416564E-1
1.794573750E-1,-2.641150236E0,-5.079222918E-1,2.131946236E-1
1.894313750E-1,-2.300515652E0,-1.314340353E0,1.766667068E-1
1.994043750E-1,-1.708424807E0,-1.324947000E0,1.696919203E-1
2.093773750E-1,-7.928577662E-1,-9.431785941E-1,2.135464549E-1
2.193503750E-1,1.364886016E-1,-8.923994303E-1,2.591344118E-1
2.293233750E-1,6.285893917E-1,-9.546422958E-1,2.794157267E-1
2.392963750E-1,7.895638943E-1,-5.088709593E-1,3.779157102E-1
2.492703750E-1,6.485822797E-1,4.145931825E-2,5.680930614E-1
2.592433750E-1,3.055213690E-1,5.773450732E-1,7.898510695E-1
2.692163750E-1,-4.082083702E-2,9.325785637E-1,9.595551491E-1
2.791893750E-1,-2.454077750E-1,9.203256965E-1,1.094513774E0
2.891623750E-1,-2.829045355E-1,6.060410142E-1,1.230440497E0
2.991353750E-1,-1.832461357E-1,2.670093179E-1,1.292877793E0
3.091093750E-1,-7.401601877E-3,1.502342429E-2,1.270311952E0
3.190823750E-1,2.289053351E-1,-1.973064989E-1,1.180439353E0
3.290553750E-1,5.115804076E-1,-4.207640886E-1,1.068122625E0
3.390283750E-1,8.247525692E-1,-6.032260656E-1,9.954515696E-1
3.490013750E-1,1.175770760E0,-6.404938102E-1,9.427454472E-1
3.589743750E-1,1.519403934E0,-4.930370450E-1,9.211912155E-1
