"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.855069640E-1,3.672827184E-1,-7.042512894E-1,2.102903575E-1
2.875069640E-1,5.004513264E-1,-3.725514412E-1,1.388191283E-1
2.895069640E-1,6.134614348E-1,-8.116871864E-2,7.345654815E-2
2.915069640E-1,6.629415154E-1,5.505422875E-2,4.352414981E-2
2.935069640E-1,7.417431474E-1,3.079524338E-1,-2.061670274E-2
2.955071060E-1,8.028296232E-1,5.468007326E-1,-9.514226019E-2
2.975072310E-1,8.242099285E-1,6.591999531E-1,-1.366810948E-1
2.995073420E-1,8.590292335E-1,8.693376184E-1,-2.203696370E-1
3.015074420E-1,8.724682927E-1,9.621891379E-1,-2.649627924E-1
3.055051610E-1,9.292787313E-1,1.063592792E0,-4.433354437E-1
3.075052370E-1,9.414960742E-1,1.034882069E0,-4.860960245E-1
3.095053080E-1,9.384417534E-1,1.029384255E0,-5.813909769E-1
3.115053080E-1,9.091202021E-1,1.029384255E0,-6.919575930E-1
3.135053080E-1,9.024006724E-1,9.957867265E-1,-7.554876208E-1
3.155053080E-1,8.828529716E-1,8.693376184E-1,-8.825475574E-1
3.175053080E-1,8.688030839E-1,6.744716167E-1,-1.012661815E0
3.195053080E-1,8.633053303E-1,5.614615083E-1,-1.076802731E0
3.215053080E-1,8.626944423E-1,2.945134044E-1,-1.200808406E0
3.255040690E-1,8.828529716E-1,-1.862375438E-1,-1.344361663E0
3.275040690E-1,9.158397317E-1,-5.387067795E-1,-1.406059027E0
3.295040690E-1,9.390525818E-1,-7.207446098E-1,-1.423163295E0
3.315040690E-1,9.995282292E-1,-1.112309217E0,-1.450652242E0
3.335040690E-1,1.077108145E0,-1.517312884E0,-1.460426092E0
3.355040690E-1,1.121701360E0,-1.724396229E0,-1.457982659E0
3.375040690E-1,1.219439745E0,-2.128788948E0,-1.458593488E0
3.395040690E-1,1.331228137E0,-2.522797108E0,-1.463480353E0
3.415040690E-1,1.386816859E0,-2.713997841E0,-1.467145562E0
3.435041020E-1,1.504102945E0,-3.058526039E0,-1.489136696E0
3.455041350E-1,1.568854690E0,-3.209409714E0,-1.505019307E0
3.475041680E-1,1.695303798E0,-3.436651468E0,-1.549001575E0
3.495042010E-1,1.820531130E0,-3.572263479E0,-1.606422901E0
3.515042340E-1,1.884061098E0,-3.595476389E0,-1.641242146E0
3.535042670E-1,2.025781870E0,-3.554548502E0,-1.729206800E0
3.555042670E-1,2.178498268E0,-3.431153774E0,-1.828166962E0
3.575042670E-1,2.256078005E0,-3.350519419E0,-1.880090475E0
3.615041990E-1,2.457663536E0,-3.151988268E0,-2.063961029E0
3.655041310E-1,2.633592844E0,-3.072575808E0,-2.331519842E0
3.695040630E-1,2.714837790E0,-3.064023733E0,-2.519666433E0
3.715040630E-1,2.749046326E0,-3.088458300E0,-2.635119915E0
3.735040630E-1,2.760652781E0,-3.107395172E0,-2.690708637E0
3.755040630E-1,2.774091721E0,-3.156875134E0,-2.791501522E0
3.775040630E-1,2.774702549E0,-3.225292206E0,-2.882520437E0
3.795040630E-1,2.771648407E0,-3.261944056E0,-2.919172287E0
3.815040630E-1,2.753933191E0,-3.337691307E0,-2.991254330E0
3.855040290E-1,2.707507372E0,-3.425655842E0,-3.070666790E0
3.875040290E-1,2.661692619E0,-3.454366684E0,-3.109762192E0
3.895040290E-1,2.633592844E0,-3.459864378E0,-3.121368647E0
3.915040290E-1,2.578004122E0,-3.450701475E0,-3.140916348E0
3.955031950E-1,2.475378752E0,-3.401832104E0,-3.148246765E0
3.975031950E-1,2.402685642E0,-3.351741314E0,-3.137251139E0
3.995031950E-1,2.320829868E0,-3.301039457E0,-3.118314266E0
