"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.201750030E-1,3.375824451E0,3.639186621E0,8.389581680E0
4.241704190E-1,6.177040339E-1,2.353500366E0,1.038634586E1
4.281700520E-1,2.466027737E-1,1.939303398E0,1.027860737E1
4.321695340E-1,-3.830722719E-2,1.860294700E0,1.014692593E1
4.361689000E-1,-1.460463107E-1,1.848323703E0,1.008467674E1
4.401662100E-1,-1.771709323E-1,1.915361404E0,9.926659584E0
4.441657640E-1,1.197100878E-1,2.027888775E0,8.636184692E0
4.481635640E-1,3.495534360E-1,2.209848166E0,7.831733227E0
4.521629910E-1,4.620809257E-1,2.379836559E0,7.860463619E0
4.561624770E-1,4.237737060E-1,2.401384354E0,8.229170799E0
4.601608280E-1,2.753331959E-1,2.274491549E0,8.727164268E0
4.621613060E-1,2.585737705E-1,2.274491549E0,8.808567047E0
4.661607340E-1,1.268926859E-1,2.161964178E0,8.861239433E0
4.701602040E-1,2.801215947E-1,2.262520552E0,8.921094894E0
4.741597120E-1,2.849099934E-1,2.317587137E0,8.736741066E0
4.781592780E-1,4.644751251E-1,2.588132143E0,8.696040154E0
4.821591440E-1,5.602431893E-1,2.703053713E0,8.688857079E0
4.861586100E-1,7.565677166E-1,2.829946518E0,8.803778648E0
4.901576430E-1,7.326257229E-1,2.901772499E0,8.909123421E0
4.941572430E-1,7.158663273E-1,2.947262287E0,9.004891396E0
4.981567090E-1,4.477157295E-1,2.789244890E0,9.244312286E0
5.021567080E-1,3.519476354E-1,2.762908697E0,9.268254280E0
5.061561740E-1,1.915361360E-2,2.841917515E0,9.397541046E0
5.081568740E-1,-1.987187415E-1,2.858676910E0,9.457395554E0
5.121563400E-1,-3.734954596E-1,2.920926094E0,9.524434090E0
5.161558060E-1,-3.639186621E-1,3.035847664E0,9.577106476E0
5.201552720E-1,-2.777273953E-1,3.019088268E0,9.526827812E0
5.241548380E-1,-2.346317619E-1,2.966415882E0,9.517251015E0
5.281543040E-1,-1.867477298E-1,2.885013103E0,9.519645691E0
5.321537700E-1,-1.388636976E-1,2.822763920E0,9.553164482E0
5.361532360E-1,7.182604820E-2,2.822763920E0,9.557952881E0
5.401527690E-1,1.221042871E-1,2.856282711E0,9.560346603E0
5.441523010E-1,4.309563041E-1,2.990357876E0,9.569923401E0
5.481518330E-1,4.812345505E-1,3.078943491E0,9.668086052E0
5.501520330E-1,6.248866320E-1,3.213018656E0,9.634567261E0
5.541515650E-1,4.716577232E-1,3.222595453E0,9.534010887E0
5.581511640E-1,8.164227605E-1,3.117250681E0,9.313743591E0
5.621499300E-1,8.954314590E-1,3.081337690E0,9.282619476E0
5.661494620E-1,1.072602391E0,3.016694069E0,9.182063103E0
5.701490610E-1,1.400607944E0,3.201047659E0,9.071929932E0
5.741486600E-1,1.405396342E0,3.337517262E0,9.165303230E0
