"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.919593400E-2,-2.087139606E0,3.648456335E0,7.459624767E0
2.159254800E-2,-2.193022013E0,3.771686792E0,7.098308563E0
2.398676700E-2,-2.025524378E0,3.948157310E0,7.423732281E0
2.638218400E-2,-1.938186288E0,4.071985722E0,7.533802032E0
2.877754800E-2,-1.947159410E0,4.144368649E0,7.575676441E0
3.117296500E-2,-2.042872429E0,4.165306091E0,7.694719315E0
3.356833000E-2,-1.906481385E0,4.244269371E0,8.288737297E0
3.596374600E-2,-1.604985833E0,4.147359848E0,8.709276199E0
3.835916300E-2,-1.854437590E0,4.001996040E0,8.545368195E0
4.075452800E-2,-2.312064886E0,4.007977962E0,8.435895920E0
4.314994400E-2,-2.572882652E0,4.154538155E0,8.388637543E0
4.554530900E-2,-2.647658348E0,4.197608948E0,8.239086151E0
4.794072600E-2,-2.627319336E0,4.205385685E0,8.076375008E0
5.033609000E-2,-2.485544443E0,4.097708702E0,8.030911446E0
5.273150700E-2,-2.409572363E0,3.874577999E0,7.665407181E0
5.512687100E-2,-2.854637384E0,4.103690624E0,7.476374149E0
5.752228800E-2,-2.743969440E0,4.296313286E0,7.849654675E0
5.991770500E-2,-2.603989124E0,4.482355118E0,8.030911446E0
6.231306900E-2,-2.394617319E0,4.406980991E0,8.038089752E0
6.470848600E-2,-2.140379906E0,4.169493675E0,8.081160545E0
6.710385100E-2,-2.335993052E0,4.235296249E0,8.188837051E0
6.949926700E-2,-2.659024239E0,4.417748928E0,8.322834969E0
7.189468400E-2,-2.142772675E0,4.479962349E0,9.241679192E0
7.429004800E-2,-1.578066587E0,4.344169617E0,9.483354568E0
7.668546500E-2,-1.596012712E0,3.973880291E0,9.166305542E0
7.908083000E-2,-2.123630047E0,4.018147469E0,8.878568649E0
8.147624600E-2,-2.569293261E0,4.117449760E0,8.532805443E0
8.387161100E-2,-2.740380049E0,4.128217220E0,8.368298531E0
8.626702800E-2,-2.505285263E0,4.079762459E0,8.126624107E0
8.866239200E-2,-2.318047047E0,4.027718544E0,7.937591076E0
9.105780900E-2,-2.444866419E0,4.124029636E0,7.758129120E0
9.345322600E-2,-2.544168711E0,4.201198578E0,7.655836105E0
9.584859000E-2,-2.462812662E0,4.161716938E0,7.637889862E0
9.824400700E-2,-2.381456852E0,4.145565033E0,7.552944660E0
1.006393710E-1,-2.296511650E0,4.063013077E0,7.545167923E0
1.030347880E-1,-2.267797709E0,4.028914928E0,7.506882668E0
1.054301530E-1,-2.131406784E0,3.921836376E0,7.552944660E0
1.078255690E-1,-2.008176327E0,3.863212109E0,7.554739475E0
1.102209860E-1,-1.899302959E0,3.799204111E0,7.522436142E0
1.126163510E-1,-1.756929994E0,3.715455294E0,7.481160164E0
1.150117670E-1,-1.637887120E0,3.670589924E0,7.482954502E0
1.174071320E-1,-1.524826288E0,3.597608805E0,7.479963779E0
1.198025480E-1,-1.372882009E0,3.543172121E0,7.520641804E0
1.221979130E-1,-1.267597795E0,3.531806231E0,7.506882668E0
1.245933300E-1,-1.210170031E0,3.492324591E0,7.421339512E0
1.269887460E-1,-1.177268744E0,3.443870068E0,7.451249599E0
1.293383300E-1,-1.140179992E0,3.425325632E0,7.572087288E0
1.316868190E-1,-1.083948612E0,3.406183004E0,7.682755470E0
1.340352570E-1,-1.042074203E0,3.368496180E0,7.817949772E0
1.363837460E-1,-9.433703423E-1,3.354139090E0,8.009973526E0
1.387321840E-1,-8.859425783E-1,3.339184046E0,7.996813297E0
1.410806730E-1,-8.709874153E-1,3.337389469E0,7.829315662E0
1.434291630E-1,-9.086744189E-1,3.391227961E0,7.890332699E0
1.457776010E-1,-9.373882413E-1,3.503092289E0,8.118846893E0
1.481260900E-1,-1.017547846E0,3.503690481E0,8.022536278E0
1.504745280E-1,-1.126421213E0,3.557528973E0,7.982456207E0
1.528230170E-1,-1.125823021E0,3.697509289E0,8.196614265E0
1.551714550E-1,-7.058826685E-1,4.022933006E0,9.073583603E0
1.575131730E-1,-8.985049129E-1,4.163511276E0,9.625727654E0
1.598548920E-1,-1.226919770E0,4.362115860E0,9.989436150E0
1.622030170E-1,-1.494915962E0,4.444668293E0,1.021137047E1
1.645980690E-1,-1.767099500E0,4.497310162E0,1.032802105E1
1.669931210E-1,-2.038086653E0,4.553541660E0,1.031964588E1
1.693885900E-1,-2.364706993E0,4.642673969E0,1.008156013E1
1.717840070E-1,-2.507079840E0,4.676771641E0,9.921838760E0
1.741793710E-1,-2.620140791E0,4.738985062E0,9.747162819E0
1.765747880E-1,-2.766103029E0,4.782654285E0,9.563513756E0
1.789702050E-1,-3.023331404E0,4.834099770E0,9.541379929E0
1.813655690E-1,-3.347558975E0,4.858027935E0,9.537791252E0
1.837609860E-1,-3.551547050E0,4.908277512E0,9.449256897E0
1.861430170E-1,-3.779463291E0,5.011168957E0,9.388837814E0
1.885517670E-1,-3.926023722E0,5.099104881E0,9.352945328E0
1.909471320E-1,-4.010969162E0,5.128417015E0,9.251250267E0
1.933425480E-1,-4.086342812E0,5.191228867E0,9.226125717E0
1.957379650E-1,-4.147359848E0,5.248656273E0,9.162715912E0
1.981333300E-1,-4.140181541E0,5.377270699E0,9.084351540E0
2.005287460E-1,-3.990031719E0,5.522634506E0,9.046066284E0
2.029241110E-1,-3.787240028E0,5.673382282E0,9.065208435E0
2.053195280E-1,-3.483351469E0,5.763113499E0,8.827720642E0
2.077148920E-1,-3.262015581E0,5.849853039E0,8.718847275E0
2.101103090E-1,-3.031706333E0,5.907878876E0,8.682356834E0
2.125056730E-1,-2.810370207E0,5.854040623E0,8.234300613E0
2.149010900E-1,-2.609373093E0,5.791827202E0,8.002197266E0
2.172965070E-1,-2.493919373E0,5.793622017E0,7.854440212E0
2.196918710E-1,-2.462812662E0,5.825326920E0,7.663014412E0
2.220872880E-1,-2.556132793E0,6.057430744E0,7.654639721E0
2.244826530E-1,-2.472383976E0,5.985047817E0,7.133602619E0
2.268780690E-1,-2.271386862E0,5.708676815E0,6.295516491E0
2.292601010E-1,-2.219342947E0,5.567500114E0,6.067600250E0
2.316688510E-1,-2.038684845E0,5.487340450E0,6.012565136E0
2.340642150E-1,-1.600798368E0,5.652445316E0,5.861817360E0
2.364462980E-1,-1.609771490E0,5.641677380E0,5.656034470E0
2.388550480E-1,-1.695314884E0,5.599205017E0,5.531009674E0
2.412504130E-1,-2.044068813E0,5.779862881E0,6.047859192E0
2.436458300E-1,-1.986042738E0,5.719444275E0,5.732604980E0
2.460411940E-1,-1.689931035E0,5.534000397E0,5.248656273E0
2.484366110E-1,-1.681556106E0,5.643472195E0,5.751149178E0
2.508319760E-1,-1.292124271E0,5.309673309E0,5.398806095E0
2.532273920E-1,-8.650053740E-1,5.096712112E0,5.227719307E0
