"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.286250005E-3,-1.657802582E0,3.608545990E0,8.797056427E0
1.234825002E-2,-1.601669312E0,3.505560150E0,8.794811096E0
2.241124999E-2,-1.580114136E0,3.417692871E0,8.878038025E0
3.247425001E-2,-1.611099701E0,3.396736450E0,8.973389740E0
4.253724997E-2,-1.656605072E0,3.373235321E0,9.069489899E0
5.260025000E-2,-1.641037445E0,3.267854462E0,9.107061768E0
6.266325002E-2,-1.634451141E0,3.165018311E0,9.097182312E0
7.272624999E-2,-1.767075348E0,3.122207336E0,9.109606476E0
8.278925001E-2,-1.825603638E0,3.080893250E0,9.111103363E0
9.285125002E-2,-1.679058380E0,3.013832703E0,9.014105072E0
1.029142500E-1,-1.534908142E0,2.979853363E0,8.912167053E0
1.129772500E-1,-1.413360901E0,3.037483521E0,8.790320435E0
1.230402500E-1,-1.303788757E0,3.112926636E0,8.599766693E0
1.331032500E-1,-1.178499298E0,3.145708466E0,8.508007507E0
1.431662500E-1,-1.084195404E0,3.113525391E0,8.407266998E0
1.532292500E-1,-1.125509491E0,3.053949280E0,8.361312561E0
1.632912500E-1,-1.110989685E0,2.927612000E0,8.418194275E0
1.733542500E-1,-8.827143860E-1,2.677332458E0,8.436605988E0
1.834172500E-1,-6.315367126E-1,2.448458405E0,8.459208984E0
1.934802500E-1,-4.933740234E-1,2.409090271E0,8.498726807E0
2.035432500E-1,-3.224295044E-1,2.241588593E0,8.487649841E0
2.136062500E-1,-8.461903381E-1,2.381098480E0,8.902886353E0
2.236692500E-1,-8.686436462E-1,2.696642303E0,8.051007843E0
2.337322500E-1,-1.829196167E-1,2.408192139E0,7.465126190E0
2.437942500E-1,-1.300794983E-1,2.190694427E0,8.540789337E0
2.538572500E-1,7.813751221E-2,2.137704620E0,8.569828949E0
2.639202500E-1,2.966830444E-1,2.011067963E0,8.647367706E0
2.739832500E-1,6.201603699E-1,1.816023560E0,9.034462738E0
2.840462500E-1,9.650431824E-1,1.699266357E0,9.172775116E0
2.941092500E-1,1.127305756E0,1.631157990E0,9.206904144E0
3.041722500E-1,1.246457977E0,1.523382111E0,9.087751923E0
3.142342500E-1,1.300645294E0,1.381327515E0,8.954379272E0
3.242972500E-1,1.333427124E0,1.209335175E0,8.866511993E0
3.343602500E-1,1.036295013E0,9.541159058E-1,8.256380768E0
3.444232500E-1,1.496138763E0,-4.490661621E-3,8.713530121E0
3.544862500E-1,1.195863190E0,1.103205872E-1,9.317224731E0
3.645492500E-1,1.249601440E0,9.159452820E-1,9.236692200E0
3.746122500E-1,1.806144104E0,1.111438751E0,9.192234650E0
3.846742500E-1,1.971550140E0,7.069798279E-1,9.926308136E0
3.947372500E-1,2.328707428E0,5.519023132E-1,1.036474640E1
4.048002500E-1,2.697241058E0,5.215155029E-1,1.009321106E1
4.148632500E-1,3.098855896E0,-3.697311401E-1,9.690997467E0
4.249262500E-1,3.258573761E0,-1.460812225E0,9.352102203E0
4.349892500E-1,3.544030151E0,-1.598675537E0,8.381071472E0
4.450522500E-1,3.428769836E0,-1.010398865E0,7.436236267E0
4.551142500E-1,3.452570343E0,-9.352551270E-1,7.931406555E0
4.651772500E-1,3.785627747E0,-1.163380737E0,8.282426605E0
4.752402500E-1,4.121978302E0,-1.548978882E0,8.372539215E0
4.853024167E-1,4.377796326E0,-1.667981415E0,8.207133179E0
4.953654167E-1,4.542004852E0,-1.764530640E0,7.911947021E0
5.054284167E-1,4.508175201E0,-1.985920258E0,7.569908295E0
5.154914167E-1,4.484973450E0,-1.903142395E0,7.344028015E0
5.255544166E-1,4.566553802E0,-1.949545898E0,7.024891663E0
5.356164167E-1,4.623585205E0,-2.384092255E0,6.732399902E0
5.456794167E-1,4.588857422E0,-2.881807251E0,6.516698456E0
5.557424166E-1,4.552782440E0,-3.206781464E0,6.616391144E0
5.658054167E-1,4.848118286E0,-3.542084198E0,6.871011658E0
5.758684166E-1,5.203329620E0,-3.739373932E0,7.207661591E0
5.859314167E-1,5.481750641E0,-3.770359497E0,7.490872650E0
5.959944167E-1,5.705535278E0,-3.847000122E0,7.799081726E0
6.060564166E-1,5.819747772E0,-4.069138184E0,7.810907135E0
6.161194167E-1,5.804180145E0,-4.391417999E0,7.595804443E0
6.261824167E-1,5.821394348E0,-4.986280975E0,7.442523193E0
6.362454167E-1,6.191574554E0,-5.446573792E0,7.462282104E0
6.463084167E-1,6.806795197E0,-5.542374573E0,7.506290588E0
6.563714166E-1,7.630083160E0,-5.321883087E0,7.880662079E0
6.664344167E-1,8.647517395E0,-4.873715057E0,8.477920074E0
6.764964167E-1,8.808133392E0,-4.804708557E0,9.244176636E0
6.865594166E-1,8.878786469E0,-4.999154205E0,9.482181702E0
6.966224167E-1,9.028175812E0,-5.493576050E0,9.342971191E0
7.066854167E-1,8.663534088E0,-6.076763306E0,9.072333984E0
7.167484167E-1,8.450976105E0,-6.506819000E0,8.443192291E0
7.268114167E-1,8.382867737E0,-6.748117218E0,8.010142822E0
7.368744166E-1,8.550519104E0,-6.823560333E0,7.775131531E0
7.469364167E-1,9.069489899E0,-6.660848694E0,7.755971375E0
7.569994167E-1,9.580676880E0,-6.364465027E0,8.086035004E0
7.670624166E-1,9.684111786E0,-6.249653778E0,8.514893188E0
7.771254167E-1,9.476044464E0,-6.454877014E0,9.113947449E0
7.871884166E-1,8.976383514E0,-6.824159088E0,1.034498749E1
7.972514167E-1,8.594527588E0,-7.362589417E0,1.153995255E1
8.073144167E-1,8.396788788E0,-7.939340057E0,1.193752579E1
8.173774166E-1,8.217162323E0,-8.146209869E0,1.192076065E1
8.274394167E-1,8.178842010E0,-8.238268433E0,1.114342712E1
8.375024167E-1,8.005652161E0,-7.846982117E0,1.008482849E1
