"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.201500001E-3,-1.350192261E0,4.888384552E0,8.206085358E0
1.114950000E-2,-1.306333466E0,4.806205444E0,8.066425781E0
2.109750000E-2,-1.382674713E0,4.773722992E0,8.085436249E0
3.104650000E-2,-1.438508606E0,4.823868713E0,8.228388977E0
4.099450000E-2,-1.305884399E0,4.802313538E0,8.236771545E0
5.094350000E-2,-1.195863190E0,4.745282135E0,8.186027069E0
6.089150000E-2,-1.175056458E0,4.785698090E0,8.192014618E0
7.083950000E-2,-1.106499023E0,4.804109802E0,8.347840576E0
8.078850000E-2,-1.039887543E0,4.730462952E0,8.481662292E0
9.073650000E-2,-1.080602875E0,4.676425323E0,8.550668793E0
1.006855000E-1,-1.110091553E0,4.706662445E0,8.682694244E0
1.106335000E-1,-1.103954315E0,4.721331940E0,8.720266113E0
1.205825000E-1,-1.078357544E0,4.625231781E0,8.648565216E0
1.305305000E-1,-1.054107971E0,4.536166992E0,8.565188599E0
1.404785000E-1,-1.076561279E0,4.527035980E0,8.579858093E0
1.504275000E-1,-1.096170502E0,4.526886292E0,8.653355255E0
1.603755000E-1,-1.051114197E0,4.495002594E0,8.769214325E0
1.703245000E-1,-9.630972290E-1,4.442910919E0,8.769364014E0
1.802725000E-1,-9.110055542E-1,4.423900452E0,8.743767242E0
1.902205000E-1,-8.072712708E-1,4.393513641E0,8.821156311E0
2.001695000E-1,-6.366261292E-1,4.249513092E0,8.818611603E0
2.101175000E-1,-4.760101318E-1,4.088747406E0,8.967851257E0
2.200665000E-1,-5.093907166E-1,4.062851257E0,9.453591156E0
2.300145000E-1,-4.198768616E-1,4.167932739E0,9.201665039E0
2.399625000E-1,-2.787203979E-1,3.563938751E0,9.655820618E0
2.499115000E-1,-9.430389404E-1,4.167783051E0,9.992620239E0
2.598595000E-1,-3.324586487E-1,4.867727509E0,9.011859741E0
2.698085000E-1,-3.306623840E-1,3.700005798E0,9.507179718E0
2.797565000E-1,-1.881587219E-1,3.044518890E0,9.902807007E0
2.897045000E-1,2.674937439E-1,2.893482971E0,9.549242249E0
2.996535000E-1,6.372248840E-1,2.613265686E0,9.374106445E0
3.096015000E-1,8.178991699E-1,2.322121124E0,9.353748779E0
3.195505000E-1,9.668394470E-1,2.355052643E0,9.291328583E0
3.294985000E-1,1.566043396E0,2.478246460E0,9.195078735E0
3.394465000E-1,1.057251434E0,4.186344452E0,8.343349915E0
3.493955000E-1,-1.296004944E0,8.456065521E0,7.347171478E0
3.593435000E-1,-2.356399841E0,4.047283630E0,1.341555222E1
3.692925000E-1,-1.811083832E0,4.151317291E0,1.239512421E1
3.792405000E-1,-2.908900909E0,8.978778534E0,7.963140564E0
3.891885000E-1,-1.518592072E0,3.808679810E0,1.104328537E1
3.991375000E-1,6.860234070E-1,8.403524780E-1,1.128847549E1
4.090855000E-1,1.728156281E0,1.641636200E0,9.240883484E0
4.190345000E-1,2.596650238E0,1.452579346E0,8.345295868E0
4.289825000E-1,2.976709900E0,4.706213379E-1,8.073461151E0
4.389315000E-1,3.382665710E0,1.761836243E-1,7.999664612E0
4.488795000E-1,3.464545441E0,6.307882690E-1,7.519463196E0
4.588275000E-1,3.549418945E0,8.279283142E-1,7.241042175E0
4.687765000E-1,3.474424896E0,9.527687073E-1,7.127877502E0
4.787245000E-1,3.153941345E0,1.441652069E0,7.149881744E0
4.886735000E-1,2.781515808E0,1.988764343E0,7.408992920E0
4.986215000E-1,2.511477356E0,2.194736023E0,7.850724335E0
5.085695000E-1,2.484832764E0,2.351759491E0,8.262068939E0
5.185185000E-1,3.375181274E0,2.140548706E0,8.666378174E0
5.284665000E-1,3.046015778E0,2.682870941E0,8.474177856E0
5.384155000E-1,1.314117279E0,3.450025635E0,8.350235596E0
5.483635000E-1,2.411784668E0,2.230511627E0,9.449549561E0
5.583115000E-1,2.165097656E0,2.074236603E0,9.534123688E0
5.682605000E-1,1.467398529E0,2.375709686E0,9.474996643E0
5.782085000E-1,9.797126770E-1,2.691852264E0,1.032927017E1
5.881575000E-1,9.563612366E-1,3.404669952E0,9.994266815E0
5.981055000E-1,1.879940643E0,3.447480927E0,8.555608521E0
6.080535000E-1,2.624791718E0,3.285368042E0,8.103997650E0
6.180025000E-1,2.318079529E0,3.071911926E0,7.139702911E0
6.279505000E-1,2.421065369E0,3.384911041E0,9.213939514E0
6.378995000E-1,2.719245300E0,3.874842224E0,1.048300049E1
6.478475000E-1,2.800526276E0,3.830833740E0,1.066337540E1
6.577955000E-1,2.696492615E0,3.508254547E0,1.068732559E1
6.677445000E-1,2.495760040E0,3.272045746E0,1.049886749E1
6.776925000E-1,2.158810730E0,3.170257416E0,1.024394760E1
6.876415000E-1,1.801354065E0,3.048410797E0,1.022748184E1
6.975895000E-1,1.540147247E0,2.925815735E0,1.001597168E1
7.075375000E-1,1.351988525E0,2.808010712E0,9.752818909E0
7.174865000E-1,1.151106262E0,2.834505615E0,9.372908936E0
7.274345000E-1,6.177653503E-1,2.871478729E0,8.872200165E0
7.373835000E-1,3.567082214E-1,2.464475098E0,8.679401093E0
7.473315000E-1,2.746788025E-1,2.425256653E0,8.565937042E0
7.572805000E-1,1.291813660E-1,2.523302765E0,8.266858978E0
7.672285000E-1,-1.023870850E-1,2.413880310E0,8.234376526E0
7.771765000E-1,-3.128494263E-1,2.384691010E0,8.257578278E0
7.871255000E-1,-4.412823486E-1,2.425406342E0,8.462951202E0
7.970735000E-1,-2.246827698E-1,2.518662415E0,8.793314209E0
8.070225000E-1,-6.087840271E-1,2.136357422E0,9.051976318E0
8.169705000E-1,-1.324445801E0,1.722617798E0,8.764873352E0
8.269185000E-1,-1.049766998E0,1.461111603E0,8.095764771E0
8.368675000E-1,-7.450007629E-1,1.875449982E0,7.879464569E0
8.468155000E-1,-6.460565186E-1,2.014510803E0,7.684420166E0
8.567645000E-1,-3.829037476E-1,1.918859711E0,7.560028839E0
8.667125000E-1,5.194198608E-2,1.936373291E0,7.307204590E0
8.766605000E-1,3.900888062E-1,1.911375275E0,6.798412628E0
8.866095000E-1,5.945635986E-1,1.852248230E0,6.618935852E0
8.965575000E-1,9.252259827E-1,1.798210602E0,7.073839874E0
9.065065000E-1,1.108444977E0,1.929038544E0,7.171287231E0
9.164545000E-1,1.199605408E0,1.875449982E0,7.051685944E0
9.264025000E-1,1.265318756E0,1.713337097E0,7.281907196E0
9.363515000E-1,2.049088898E0,2.876867523E0,7.773784332E0
9.462995000E-1,2.564766541E0,3.091521149E0,7.818241882E0
9.562485000E-1,6.879693604E-1,-1.767823792E-1,8.285121002E0
9.661965000E-1,6.236032104E-1,-9.565109253E-2,9.001082153E0
9.761445000E-1,9.418414307E-1,7.312294006E-1,9.173523560E0
9.860935000E-1,1.561852112E0,7.821235657E-1,9.545949097E0
9.960415000E-1,2.071093140E0,8.825646973E-1,9.529633026E0
1.005994875E0,2.576591949E0,7.569758606E-1,9.546697540E0
1.015942875E0,3.211870880E0,6.030958557E-1,9.574839020E0
1.025891875E0,3.704047394E0,5.213658142E-1,9.746981049E0
1.035839875E0,3.971541138E0,4.360432434E-1,9.675280151E0
1.045787875E0,3.992796936E0,2.441423035E-1,9.428892517E0
1.055736875E0,4.084556122E0,1.466949463E-2,9.104666748E0
1.065684875E0,4.354444885E0,7.394622803E-2,8.587641907E0
1.075633875E0,4.637655945E0,2.630030823E-1,7.992778931E0
1.085581875E0,4.594096527E0,2.612068176E-1,7.713160400E0
1.095529875E0,4.717739410E0,1.194515991E-1,7.730524292E0
1.105478875E0,4.958289185E0,2.197430420E-1,8.049960022E0
1.115426875E0,4.785398712E0,9.744735718E-2,8.607251129E0
1.125375875E0,4.677024078E0,-2.171983337E-1,9.374106445E0
1.135323875E0,4.631967773E0,-2.845582581E-1,1.019380188E1
1.145271875E0,4.763394470E0,-5.647755432E-1,1.072549622E1
1.155220875E0,4.823120270E0,-7.496411133E-1,1.123039627E1
1.165168875E0,4.727618866E0,-7.006929016E-1,1.152887558E1
1.175117875E0,4.722679138E0,-7.005432129E-1,1.143576920E1
1.185065875E0,4.568050690E0,-6.532415771E-1,1.130898285E1
1.195013875E0,4.294120331E0,-6.878196716E-1,1.121168518E1
1.204962875E0,4.035158844E0,-9.012757874E-1,1.164308807E1
1.214910875E0,3.456462250E0,-1.072369995E0,1.223570572E1
1.224859875E0,2.808310089E0,-1.370849304E0,1.283296371E1
1.234807875E0,2.117796021E0,-1.466500397E0,1.344578934E1
1.244755875E0,1.548380127E0,-1.553170166E0,1.382779495E1
1.254704875E0,1.168769531E0,-1.627864838E0,1.390024429E1
1.264652875E0,8.605604553E-1,-1.477128296E0,1.382150803E1
1.274601875E0,6.822811890E-1,-1.277593231E0,1.348860031E1
1.284549875E0,7.228468323E-1,-1.103804626E0,1.292831543E1
1.294498875E0,7.569758606E-1,-8.753796387E-1,1.227297821E1
1.304446875E0,6.487509155E-1,-7.288343811E-1,1.176822784E1
1.314394875E0,6.233038330E-1,-5.144801331E-1,1.128652954E1
1.324343875E0,6.182144165E-1,-3.591032410E-1,1.142888351E1
1.334291875E0,4.025129700E-1,-6.601272583E-2,1.189875641E1
1.344240875E0,1.338217163E-1,7.005432129E-2,1.213451614E1
1.354188875E0,-2.507286072E-1,1.585203552E-1,1.247116608E1
1.364136875E0,-5.995033264E-1,5.396278381E-1,1.254765701E1
1.374085875E0,-8.954379272E-1,1.065484314E0,1.236099518E1
1.384033875E0,-1.236129456E0,1.234333191E0,1.250110382E1
1.393982875E0,-1.619033203E0,1.116228790E0,1.240410553E1
1.403930875E0,-1.755848694E0,1.010997620E0,1.164533340E1
1.413878875E0,-1.737436981E0,8.331674194E-1,1.053404434E1
1.423827875E0,-1.552870789E0,6.782395935E-1,1.002869522E1
1.433775875E0,-1.347647552E0,6.318360901E-1,9.665999451E0
1.443724875E0,-1.318009186E0,5.533992004E-1,9.272767181E0
1.453672875E0,-1.425335999E0,5.739065552E-1,8.542136536E0
1.463621875E0,-1.641636200E0,6.599775696E-1,7.538922729E0
1.473569875E0,-2.009271698E0,7.731422424E-1,6.714886322E0
1.483517875E0,-2.099384308E0,6.830296326E-1,6.268963623E0
1.493466875E0,-2.293081512E0,4.629872131E-1,6.256090393E0
1.503414875E0,-2.357297974E0,2.098635864E-1,6.395600281E0
1.513363875E0,-2.131268005E0,2.200424194E-2,6.597380676E0
1.523311875E0,-1.967807922E0,-3.306623840E-1,6.788383484E0
1.533259875E0,-1.647623749E0,-7.027885437E-1,7.603737946E0
1.543208875E0,-1.364712067E0,-7.604187012E-1,8.869056702E0
1.553156875E0,-9.442364502E-1,-8.824150085E-1,8.981023865E0
1.563105875E0,-4.352947998E-1,-1.054856415E0,8.062234497E0
1.573053875E0,-9.639953613E-2,-7.232958984E-1,6.936725006E0
1.583001875E0,-4.936734009E-1,-5.813909912E-1,5.669160919E0
