"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.464333316E-3,-4.045637054E0,3.339106293E0,8.095914459E0
1.245833340E-2,-3.995191956E0,3.139571228E0,7.708220673E0
2.245233336E-2,-3.439098358E0,3.101849670E0,6.964417419E0
3.244633332E-2,-3.231779480E0,3.249442749E0,6.593339081E0
4.244033340E-2,-3.195105743E0,3.237018585E0,6.985523529E0
5.243433337E-2,-3.263962555E0,2.955454102E0,7.685018921E0
6.242833333E-2,-3.091521149E0,2.480641479E0,8.153544617E0
7.242233329E-2,-2.939138031E0,2.188000031E0,8.691525879E0
8.241633337E-2,-2.930755463E0,2.163151703E0,8.573122101E0
9.241033334E-2,-3.494034119E0,2.300416260E0,8.336613922E0
1.024043333E-1,-3.172951813E0,2.272723846E0,8.067623291E0
1.123983334E-1,-3.149450684E0,2.371518402E0,7.973169708E0
1.223933334E-1,-3.048410797E0,2.409689026E0,7.713310089E0
1.323873333E-1,-3.403771820E0,2.349963226E0,7.642207947E0
1.423813334E-1,-4.131408691E0,2.427352295E0,7.990982666E0
1.523753334E-1,-4.843028870E0,2.372566223E0,8.752000122E0
1.623693333E-1,-5.775589600E0,2.062411194E0,9.362879791E0
1.723633334E-1,-6.049220581E0,1.572330322E0,9.585466919E0
1.823573334E-1,-5.944288788E0,1.161584473E0,9.800719299E0
1.923513333E-1,-5.807173920E0,1.043330383E0,1.014919464E1
2.023453333E-1,-5.585185547E0,9.020242310E-1,9.916278992E0
2.123393334E-1,-5.235512695E0,2.481838989E-1,9.929002533E0
2.223333333E-1,-5.576353912E0,-4.855902100E-1,1.090437424E1
2.323273333E-1,-6.245013428E0,-8.545729065E-1,1.213825836E1
2.423213334E-1,-6.488856354E0,-7.188052368E-1,1.220007980E1
2.523153333E-1,-5.323529663E0,-6.827302551E-1,1.094254486E1
2.623093333E-1,-3.662733307E0,-7.795788574E-1,9.023984528E0
2.723033334E-1,-3.649411011E0,-6.626719666E-1,8.029302979E0
2.822983334E-1,-4.830155640E0,-6.072871399E-1,6.922055511E0
2.922923333E-1,-6.252647552E0,-9.294172668E-1,6.045178986E0
3.022863334E-1,-8.340056763E0,-1.272204437E0,6.110293579E0
3.122803334E-1,-9.980645142E0,-1.987866211E0,5.533243561E0
3.222743333E-1,-1.061667252E1,-2.290836182E0,4.265679474E0
3.322683333E-1,-1.012838791E1,-1.204545135E0,2.564616852E0
3.422623334E-1,-8.696764984E0,5.269042969E-1,1.128353577E0
3.522563333E-1,-6.740483093E0,1.559008026E0,1.818867645E0
3.622503333E-1,-5.980363770E0,1.953138428E0,3.698808289E0
3.722443334E-1,-6.527476044E0,1.675166473E0,5.190456390E0
3.822383333E-1,-7.371720428E0,7.707472229E-1,5.761668549E0
3.922323333E-1,-8.168363800E0,-4.117936707E-1,3.769311676E0
4.022263334E-1,-8.988807678E0,-9.978250122E-1,2.661166077E0
4.122203334E-1,-8.804989929E0,-1.099463654E0,3.509601746E0
4.222143333E-1,-7.905360718E0,-1.185534668E0,4.655319214E0
4.322093334E-1,-7.124284973E0,-1.267414398E0,4.816833344E0
4.422033334E-1,-5.549409943E0,-1.457070007E0,3.726201324E0
4.521973333E-1,-3.796854401E0,-1.187480621E0,2.997366943E0
