"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.461479000E-3,3.195793331E-1,4.330300093E-1,-1.443433315E-1
7.445122000E-3,3.195793331E-1,4.330300093E-1,-1.443433315E-1
9.459282000E-3,3.195793331E-1,4.330300093E-1,-1.443433315E-1
1.141240700E-2,3.195793331E-1,4.330300093E-1,-1.443433315E-1
1.339605000E-2,3.195793331E-1,4.330300093E-1,-1.443433315E-1
1.541021000E-2,3.195793331E-1,4.330300093E-1,-1.443433315E-1
1.742437000E-2,3.195793331E-1,4.330300093E-1,-1.443433315E-1
1.940801300E-2,3.195793331E-1,4.330300093E-1,-1.443433315E-1
2.139165500E-2,3.195793331E-1,4.330300093E-1,-1.443433315E-1
2.343633300E-2,3.195793331E-1,4.330300093E-1,-1.443433315E-1
2.538945800E-2,3.195793331E-1,4.330300093E-1,-1.443433315E-1
2.737310000E-2,3.195793331E-1,4.330300093E-1,-1.443433315E-1
2.935674300E-2,3.195793331E-1,4.330300093E-1,-1.443433315E-1
3.137090300E-2,3.195793331E-1,4.330300093E-1,-1.443433315E-1
3.338506300E-2,3.195793331E-1,4.330300093E-1,-1.443433315E-1
3.539922300E-2,3.195793331E-1,4.330300093E-1,-1.443433315E-1
3.741338400E-2,-2.087918371E-1,-2.577939928E-1,-1.342233270E-1
3.942754400E-2,-2.050634027E-1,-3.547330499E-1,-7.829693705E-2
4.144170400E-2,-2.087918371E-1,-3.446130455E-1,-7.563377917E-2
4.345586400E-2,-2.039981484E-1,-3.350256681E-1,-7.456851006E-2
4.540898900E-2,-2.071939409E-1,-3.291667104E-1,-7.669904083E-2
4.739263200E-2,-2.034655064E-1,-3.222424984E-1,-7.882957160E-2
4.940679200E-2,-2.061286718E-1,-3.158509135E-1,-7.776430249E-2
5.142095200E-2,-2.045307755E-1,-3.057309091E-1,-7.882957160E-2
5.343511200E-2,-2.061286718E-1,-2.950782478E-1,-8.042746782E-2
5.544927200E-2,-2.066612989E-1,-2.865561247E-1,-7.936219871E-2
5.746343200E-2,-2.055960447E-1,-2.759034932E-1,-7.936219871E-2
5.944707500E-2,-2.082591951E-1,-2.705771625E-1,-7.829693705E-2
6.140020000E-2,-2.077265680E-1,-2.620550692E-1,-7.723167539E-2
6.341436000E-2,-2.119876295E-1,-2.535329461E-1,-7.669904083E-2
6.536748500E-2,-2.119876295E-1,-2.492718846E-1,-7.456851006E-2
6.735112800E-2,-2.167813182E-1,-2.434129268E-1,-7.510114461E-2
6.933477000E-2,-2.162486911E-1,-2.434129268E-1,-7.510114461E-2
7.134893000E-2,-2.221076339E-1,-2.476739883E-1,-7.510114461E-2
7.336309100E-2,-2.215750068E-1,-2.492718846E-1,-7.510114461E-2
7.537725100E-2,-2.295644879E-1,-2.524676621E-1,-7.936219871E-2
7.739141100E-2,-2.300971150E-1,-2.620550692E-1,-7.936219871E-2
7.937505400E-2,-2.327602804E-1,-2.727077007E-1,-8.362326026E-2
8.138921400E-2,-2.348908186E-1,-2.817624509E-1,-8.948221803E-2
8.340337400E-2,-2.412824035E-1,-2.913498282E-1,-9.640643001E-2
8.538701600E-2,-2.439455539E-1,-3.041329980E-1,-1.017327532E-1
8.737065900E-2,-2.487392575E-1,-3.169161677E-1,-1.107875034E-1
8.935430200E-2,-2.503371537E-1,-3.334277868E-1,-1.193096191E-1
9.133794400E-2,-2.545982003E-1,-3.456783295E-1,-1.267664731E-1
9.332158700E-2,-2.535329461E-1,-3.605920076E-1,-1.352885813E-1
9.533574700E-2,-2.588592768E-1,-3.739078343E-1,-1.459412277E-1
9.734990700E-2,-2.577939928E-1,-3.882888854E-1,-1.555286050E-1
9.933355000E-2,-2.583266199E-1,-4.000068009E-1,-1.667138934E-1
1.013477100E-1,-2.588592768E-1,-4.090615511E-1,-1.768338978E-1
1.033923880E-1,-2.567287385E-1,-4.191815555E-1,-1.890844405E-1
1.053455130E-1,-2.551308274E-1,-4.293015897E-1,-2.034655064E-1
1.073291550E-1,-2.556634545E-1,-4.330300093E-1,-2.189118415E-1
1.093433150E-1,-2.503371537E-1,-4.351605177E-1,-2.311623842E-1
1.113574750E-1,-2.524676621E-1,-4.346278906E-1,-2.487392575E-1
1.133716360E-1,-2.519350350E-1,-4.324973822E-1,-2.609897852E-1
1.153857960E-1,-2.530003190E-1,-4.266384244E-1,-2.759034932E-1
1.173999560E-1,-2.530003190E-1,-4.191815555E-1,-2.881540358E-1
1.194141160E-1,-2.530003190E-1,-4.095941782E-1,-3.062635362E-1
1.214282760E-1,-2.567287385E-1,-4.037352204E-1,-3.163835406E-1
1.234729540E-1,-2.561961114E-1,-3.930825889E-1,-3.296993375E-1
1.254565970E-1,-2.588592768E-1,-3.797667921E-1,-3.440804183E-1
1.274097220E-1,-2.641855776E-1,-3.648530841E-1,-3.552657068E-1
1.293933640E-1,-2.647182047E-1,-3.488741219E-1,-3.723099232E-1
1.313770070E-1,-2.695119083E-1,-3.355582952E-1,-3.792341352E-1
1.333606490E-1,-2.759034932E-1,-3.254382908E-1,-3.925499618E-1
1.353748090E-1,-2.785666585E-1,-3.110572100E-1,-4.016047120E-1
1.373889700E-1,-2.876214087E-1,-2.918824553E-1,-4.117247164E-1
1.393726120E-1,-2.961435318E-1,-2.780340314E-1,-4.213120937E-1
1.413867720E-1,-3.041329980E-1,-2.657834888E-1,-4.324973822E-1
1.434314500E-1,-3.105245829E-1,-2.519350350E-1,-4.431500137E-1
1.453845750E-1,-3.217098713E-1,-2.418150306E-1,-4.484763443E-1
1.473682180E-1,-3.318298757E-1,-2.348908186E-1,-4.564658105E-1
1.493823780E-1,-3.419498801E-1,-2.311623842E-1,-4.591289759E-1
1.513965380E-1,-3.499393761E-1,-2.300971150E-1,-4.665858448E-1
1.534106980E-1,-3.611246645E-1,-2.247707993E-1,-4.713795185E-1
1.554248580E-1,-3.685815036E-1,-2.231729031E-1,-4.735100567E-1
1.574390180E-1,-3.744404614E-1,-2.178465873E-1,-4.767058492E-1
1.594226610E-1,-3.818973005E-1,-2.135855258E-1,-4.756405652E-1
1.614368210E-1,-3.866910040E-1,-2.071939409E-1,-4.820321798E-1
1.634509810E-1,-3.946804702E-1,-1.981391907E-1,-4.793690145E-1
1.654041060E-1,-3.989415467E-1,-1.880191714E-1,-4.804342687E-1
1.673877490E-1,-4.026699662E-1,-1.778991669E-1,-4.814995229E-1
1.693713910E-1,-3.994741738E-1,-1.704423130E-1,-4.804342687E-1
1.713550340E-1,-3.989415467E-1,-1.613875628E-1,-4.809668958E-1
1.733691940E-1,-3.968110085E-1,-1.523328125E-1,-4.793690145E-1
1.753833540E-1,-3.914846778E-1,-1.432780623E-1,-4.814995229E-1
1.773975140E-1,-3.840278387E-1,-1.374191195E-1,-4.830974340E-1
1.794116750E-1,-3.771036267E-1,-1.262338310E-1,-4.846953154E-1
1.814258350E-1,-3.643204570E-1,-1.225054115E-1,-4.841626883E-1
1.834705130E-1,-3.526025414E-1,-1.150485575E-1,-4.836300611E-1
1.854236380E-1,-3.398193717E-1,-1.070590764E-1,-4.857605994E-1
1.874072800E-1,-3.259709179E-1,-1.017327532E-1,-4.884237647E-1
1.894214400E-1,-3.121224940E-1,-9.906959534E-2,-4.916195571E-1
1.914356000E-1,-2.961435318E-1,-9.693906456E-2,-4.942827225E-1
1.934497610E-1,-2.838929892E-1,-9.853696078E-2,-5.017395616E-1
1.954639210E-1,-2.705771625E-1,-9.960222989E-2,-5.091964006E-1
1.974780810E-1,-2.572613657E-1,-9.480853379E-2,-5.155879855E-1
1.994922410E-1,-2.482066154E-1,-9.693906456E-2,-5.262406468E-1
2.015064010E-1,-2.407497615E-1,-1.006674916E-1,-5.336974859E-1
2.034900440E-1,-2.364887148E-1,-1.081243455E-1,-5.432848930E-1
2.054431690E-1,-2.279665917E-1,-1.155811921E-1,-5.550028086E-1
2.074268110E-1,-2.199771106E-1,-1.262338310E-1,-5.640575290E-1
2.094104540E-1,-2.135855258E-1,-1.384843737E-1,-5.768406987E-1
2.114246140E-1,-2.093244642E-1,-1.576591432E-1,-5.816344023E-1
2.134387740E-1,-2.029328793E-1,-1.747033745E-1,-5.917543769E-1
2.154529340E-1,-1.992044598E-1,-1.960086524E-1,-6.018744111E-1
2.174670950E-1,-1.954760253E-1,-2.247707993E-1,-6.125270724E-1
2.194507370E-1,-1.938781291E-1,-2.567287385E-1,-6.215817928E-1
2.214343800E-1,-1.938781291E-1,-2.945456207E-1,-6.322344542E-1
2.234485400E-1,-1.949433982E-1,-3.344930410E-1,-6.444849968E-1
2.254321820E-1,-1.981391907E-1,-3.818973005E-1,-6.578007936E-1
2.274463430E-1,-2.002697140E-1,-4.356931746E-1,-6.684534550E-1
2.294605030E-1,-2.008023560E-1,-4.900216460E-1,-6.854977012E-1
2.314746630E-1,-2.082591951E-1,-5.384911895E-1,-6.972155571E-1
2.334888230E-1,-2.135855258E-1,-5.763080716E-1,-7.057377100E-1
2.354419480E-1,-2.157160491E-1,-6.141249537E-1,-7.099987864E-1
2.374255910E-1,-2.194444835E-1,-6.439523697E-1,-7.142598033E-1
2.394092330E-1,-2.290318608E-1,-6.716492176E-1,-7.073355913E-1
2.413928760E-1,-2.391518652E-1,-6.982808709E-1,-7.046724558E-1
2.434070360E-1,-2.460760921E-1,-7.126619220E-1,-6.993461251E-1
2.453601610E-1,-2.583266199E-1,-7.227819562E-1,-6.945524216E-1
2.473438040E-1,-2.625876963E-1,-7.243798375E-1,-6.881608367E-1
2.493274460E-1,-2.705771625E-1,-7.211840153E-1,-6.812366247E-1
2.513416060E-1,-2.796319127E-1,-7.052050829E-1,-6.716492176E-1
2.533557660E-1,-2.822950780E-1,-6.796387434E-1,-6.604639888E-1
2.553699270E-1,-2.870887816E-1,-6.482134461E-1,-6.487460732E-1
2.573840870E-1,-2.924150825E-1,-6.061354876E-1,-6.343649626E-1
2.593677290E-1,-2.988066673E-1,-5.613943934E-1,-6.253102422E-1
2.613513720E-1,-3.046656251E-1,-5.086637735E-1,-6.157228351E-1
2.633655320E-1,-3.089267015E-1,-4.601942301E-1,-6.024070382E-1
2.653491750E-1,-3.206445873E-1,-4.069310129E-1,-5.880259871E-1
2.673633350E-1,-3.254382908E-1,-3.579288721E-1,-5.837649107E-1
2.693774950E-1,-3.366235793E-1,-3.121224940E-1,-5.763080716E-1
2.713611380E-1,-3.499393761E-1,-2.759034932E-1,-5.709817410E-1
2.733142630E-1,-3.653857112E-1,-2.466087192E-1,-5.757754445E-1
2.752979050E-1,-3.797667921E-1,-2.253034264E-1,-5.816344023E-1
2.772815480E-1,-4.005394280E-1,-2.114549875E-1,-5.944175720E-1
2.792651900E-1,-4.213120937E-1,-2.034655064E-1,-6.109291911E-1
2.812488330E-1,-4.420847595E-1,-1.986718178E-1,-6.301039457E-1
2.832935110E-1,-4.633900523E-1,-1.976065636E-1,-6.444849968E-1
2.852771530E-1,-4.862932265E-1,-1.981391907E-1,-6.673882008E-1
2.872913130E-1,-5.044026971E-1,-1.970739216E-1,-6.801713705E-1
2.893054730E-1,-5.214469433E-1,-1.970739216E-1,-6.956176758E-1
2.913196340E-1,-5.384911895E-1,-1.906823367E-1,-7.084008455E-1
2.933337940E-1,-5.528722405E-1,-1.858886480E-1,-7.169229984E-1
2.953479540E-1,-5.688512325E-1,-1.757686287E-1,-7.222493291E-1
2.973010790E-1,-5.864281058E-1,-1.645833552E-1,-7.243798375E-1
2.992847220E-1,-6.045376062E-1,-1.480717659E-1,-7.281082273E-1
3.012683640E-1,-6.226470470E-1,-1.288969964E-1,-7.254450917E-1
3.032825240E-1,-6.439523697E-1,-1.123853996E-1,-7.222493291E-1
3.052661670E-1,-6.684534550E-1,-9.374327213E-2,-7.158577442E-1
3.072192920E-1,-6.934871674E-1,-7.456851006E-2,-7.110640407E-1
3.092029340E-1,-7.174556255E-1,-3.036003746E-2,-7.073355913E-1
3.111865770E-1,-7.430219650E-1,3.355583176E-2,-6.998787522E-1
3.131702200E-1,-7.696535587E-1,1.166464612E-1,-6.881608367E-1
3.151843800E-1,-7.941546440E-1,2.210423797E-1,-6.796387434E-1
3.171985400E-1,-8.191883564E-1,3.222424984E-1,-6.684534550E-1
3.191821820E-1,-8.367652297E-1,4.138552547E-1,-6.620618701E-1
3.211963430E-1,-8.479505181E-1,4.868258536E-1,-6.535397172E-1
3.232410200E-1,-8.580704927E-1,5.576659441E-1,-6.423544884E-1
3.252246630E-1,-8.676578999E-1,6.322344542E-1,-6.402239203E-1
3.272388230E-1,-8.761799932E-1,6.982808709E-1,-6.348975897E-1
3.292529830E-1,-8.900284767E-1,7.595335841E-1,-6.269081235E-1
3.312671430E-1,-9.001484513E-1,8.064051867E-1,-6.247776151E-1
3.332813040E-1,-9.166600704E-1,8.452873230E-1,-6.157228351E-1
3.352954640E-1,-9.342369437E-1,8.612663150E-1,-6.109291911E-1
3.372485890E-1,-9.523464441E-1,8.660600185E-1,-6.018744111E-1
3.392322310E-1,-9.741843343E-1,8.548747301E-1,-5.954828262E-1
3.412158740E-1,-9.965549111E-1,8.298410177E-1,-5.965480804E-1
3.432300340E-1,-1.022653818E0,7.829693556E-1,-5.992112756E-1
3.452136770E-1,-1.046622276E0,7.329019308E-1,-6.093312502E-1
3.472278370E-1,-1.073253989E0,6.705839634E-1,-6.178534031E-1
