"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.481481000E-3,-7.158663273E-1,4.843470097E0,7.544129372E0
5.953404000E-3,-7.254431248E-1,4.793191910E0,7.311892033E0
7.448766000E-3,-7.757213712E-1,4.757278919E0,7.074865818E0
9.462926000E-3,-8.403648138E-1,4.752490520E0,6.873753071E0
1.144656900E-2,-9.528923035E-1,4.776432514E0,6.722918510E0
1.343021100E-2,-1.089361787E0,4.836287498E0,6.670246124E0
1.541385400E-2,-1.271321058E0,4.912901878E0,6.643909931E0
1.739749600E-2,-1.493981838E0,4.972756863E0,6.596025467E0
1.941165600E-2,-1.757344007E0,4.994304657E0,6.490680695E0
2.142581700E-2,-2.001552582E0,5.013458252E0,6.339846134E0
2.343997700E-2,-2.145204782E0,5.073313236E0,6.239289761E0
2.542361900E-2,-2.217030764E0,5.149928093E0,6.212953568E0
2.740726200E-2,-2.248155355E0,5.212177277E0,6.239289761E0
2.939090400E-2,-2.257732153E0,5.260061264E0,6.279991150E0
3.137454700E-2,-2.264914751E0,5.293580055E0,6.311115742E0
3.335819000E-2,-2.274491549E0,5.322310448E0,6.332663536E0
3.534183200E-2,-2.281674147E0,5.355829239E0,6.368576527E0
3.735599200E-2,-2.293645144E0,5.389348030E0,6.433219910E0
3.937015300E-2,-2.305616140E0,5.422866821E0,6.528987885E0
4.138431300E-2,-2.317587137E0,5.442020416E0,6.643909931E0
4.336795500E-2,-2.317587137E0,5.449203014E0,6.761225700E0
4.535159800E-2,-2.317587137E0,5.453991413E0,6.852205276E0
4.733524000E-2,-2.331952572E0,5.451597214E0,6.926425457E0
4.934940100E-2,-2.358288765E0,5.449203014E0,6.995857239E0
5.133304300E-2,-2.398990154E0,5.442020416E0,7.058106422E0
5.331668600E-2,-2.458845139E0,5.432443619E0,7.094019413E0
5.530032800E-2,-2.533065319E0,5.451597214E0,7.127538681E0
5.728397100E-2,-2.600103140E0,5.482721806E0,7.161057472E0
5.929813100E-2,-2.624045134E0,5.489904404E0,7.165845871E0
6.128177400E-2,-2.616862535E0,5.475539207E0,7.153874874E0
6.326541600E-2,-2.588132143E0,5.446808815E0,7.117961884E0
6.527957600E-2,-2.559401512E0,5.415684223E0,7.050923824E0
6.726321900E-2,-2.549824715E0,5.386953831E0,6.962338448E0
6.924686100E-2,-2.545036316E0,5.358223438E0,6.854599476E0
7.123050400E-2,-2.545036316E0,5.331887245E0,6.742072105E0
7.321414700E-2,-2.549824715E0,5.310339451E0,6.639121532E0
7.519778900E-2,-2.561795712E0,5.293580055E0,6.545747280E0
7.718143200E-2,-2.576161146E0,5.286397457E0,6.459556103E0
7.916507400E-2,-2.588132143E0,5.293580055E0,6.382941723E0
8.117923500E-2,-2.602497339E0,5.315127850E0,6.323086739E0
8.316287700E-2,-2.609679937E0,5.343858242E0,6.287173748E0
8.517703700E-2,-2.609679937E0,5.355829239E0,6.277596951E0
8.716068000E-2,-2.597708941E0,5.353435040E0,6.299144745E0
8.914432200E-2,-2.559401512E0,5.339069843E0,6.351817131E0
9.115848300E-2,-2.489969730E0,5.307945251E0,6.445190907E0
9.317264300E-2,-2.410961151E0,5.274426460E0,6.564900875E0
9.518680300E-2,-2.339135170E0,5.243301868E0,6.701370716E0
9.720096300E-2,-2.284068346E0,5.204994678E0,6.852205276E0
9.918460600E-2,-2.236184359E0,5.157110691E0,7.012616634E0
1.011682480E-1,-2.193088770E0,5.099649429E0,7.149086475E0
1.031518910E-1,-2.161964178E0,5.044582844E0,7.285555840E0
1.051355330E-1,-2.161964178E0,5.011064053E0,7.462726593E0
1.071191760E-1,-2.176329374E0,5.008669853E0,7.558494568E0
1.091028190E-1,-2.202665567E0,5.001487255E0,7.750030994E0
1.110864610E-1,-2.231395960E0,4.970362663E0,7.927201748E0
1.131006210E-1,-2.250549555E0,4.917690277E0,8.080430984E0
1.150842640E-1,-2.240972757E0,4.857835293E0,8.281543732E0
1.170984240E-1,-2.221819162E0,4.814739704E0,8.394071579E0
1.191125840E-1,-2.169146776E0,4.766855717E0,8.485051155E0
1.211267440E-1,-2.087743998E0,4.721365929E0,8.556877136E0
1.231103870E-1,-2.003946781E0,4.695029736E0,8.633491516E0
1.250940290E-1,-1.917755604E0,4.675876141E0,8.695740700E0
1.270776720E-1,-1.860294700E0,4.663905144E0,8.717288017E0
1.290613150E-1,-1.731007814E0,4.635174274E0,8.738836288E0
1.310754750E-1,-1.539471745E0,4.548983097E0,8.688557625E0
1.330896350E-1,-1.434126854E0,4.505887508E0,8.604761124E0
1.351037950E-1,-1.352723956E0,4.484339714E0,8.487444878E0
1.370874380E-1,-1.312022567E0,4.484339714E0,8.336610794E0
1.390710800E-1,-1.297657371E0,4.498704910E0,8.171410561E0
1.410547230E-1,-1.295263171E0,4.513070107E0,8.087613106E0
1.430383650E-1,-1.283292055E0,4.556165695E0,7.917624950E0
1.450220080E-1,-1.288080573E0,4.594472885E0,7.750030994E0
1.470361680E-1,-1.309628367E0,4.616020679E0,7.513004780E0
1.490503280E-1,-1.302445769E0,4.596867085E0,7.381323814E0
1.510644880E-1,-1.292868972E0,4.568136692E0,7.292738438E0
1.530786490E-1,-1.309628367E0,4.546588898E0,7.240066051E0
1.550928090E-1,-1.335964561E0,4.532223701E0,7.199364662E0
1.571069690E-1,-1.352723956E0,4.515464306E0,7.170634270E0
1.590906110E-1,-1.359906554E0,4.503493309E0,7.177816868E0
1.610742540E-1,-1.367089152E0,4.508281708E0,7.201758862E0
1.630578970E-1,-1.379060149E0,4.520252705E0,7.220912457E0
1.650415390E-1,-1.395819545E0,4.553771496E0,7.242460251E0
1.670556990E-1,-1.434126854E0,4.592078686E0,7.278373241E0
1.690393420E-1,-1.491587639E0,4.623203278E0,7.326257229E0
1.710535020E-1,-1.565807939E0,4.649539471E0,7.386112213E0
1.730371450E-1,-1.649604917E0,4.690241337E0,7.472303391E0
1.750207870E-1,-1.747767210E0,4.740519524E0,7.587224960E0
1.770044300E-1,-1.795651317E0,4.759673119E0,7.654263020E0
1.789880720E-1,-1.881842494E0,4.786009312E0,7.795520782E0
1.810022330E-1,-1.944091797E0,4.790797710E0,7.958326340E0
1.829858750E-1,-1.977610588E0,4.786009312E0,8.109161377E0
1.850000350E-1,-1.994369984E0,4.764461517E0,8.250418663E0
1.869836780E-1,-2.011129379E0,4.718971729E0,8.379706383E0
1.890283560E-1,-2.025494576E0,4.690241337E0,8.420407295E0
1.910425160E-1,-2.063801765E0,4.671087742E0,8.451532364E0
1.930261580E-1,-2.116474390E0,4.666299343E0,8.475474358E0
1.950403190E-1,-2.164358377E0,4.687847137E0,8.480262756E0
1.970544790E-1,-2.193088770E0,4.718971729E0,8.473079681E0
1.990381210E-1,-2.176329374E0,4.800374508E0,8.451532364E0
2.010217640E-1,-1.951274395E0,5.025429249E0,8.367734909E0
2.030054060E-1,-1.733402014E0,5.171475887E0,8.214506149E0
2.049890490E-1,-1.675941229E0,5.195417881E0,8.018181801E0
2.069726920E-1,-1.723825216E0,5.190629482E0,7.824251175E0
2.089868520E-1,-1.778891921E0,5.188235283E0,7.647080421E0
2.109704940E-1,-1.795651317E0,5.190629482E0,7.498639584E0
2.129541370E-1,-1.819593310E0,5.161899090E0,7.378929615E0
2.149377790E-1,-1.841141105E0,5.135562420E0,7.328651428E0
2.169214220E-1,-1.924938202E0,5.044582844E0,7.242460251E0
2.189355820E-1,-2.030282974E0,4.946420670E0,7.173028469E0
2.209192250E-1,-2.145204782E0,4.833893299E0,7.089231014E0
2.229028670E-1,-2.169146776E0,4.793191910E0,7.065289021E0
2.249170280E-1,-2.217030764E0,4.699818134E0,7.022193432E0
2.269311880E-1,-2.308010340E0,4.548983097E0,6.979097843E0
2.289148300E-1,-2.370259762E0,4.453215122E0,6.967126846E0
2.309289900E-1,-2.432508945E0,4.381389141E0,6.983886242E0
2.329126330E-1,-2.489969730E0,4.311957359E0,7.026981831E0
2.348962760E-1,-2.509123325E0,4.273650169E0,7.055712223E0
2.368799180E-1,-2.518700123E0,4.199429989E0,7.168240070E0
2.388635610E-1,-2.480392933E0,4.134786129E0,7.354987621E0
2.408777210E-1,-2.387019157E0,4.060565948E0,7.551311970E0
2.428613630E-1,-2.240972757E0,3.967192173E0,7.721300602E0
2.448450060E-1,-2.044648170E0,3.854664803E0,7.802703381E0
2.468591660E-1,-1.814804912E0,3.732560396E0,7.879317760E0
2.488733260E-1,-1.589749932E0,3.612850428E0,8.006210327E0
2.508569690E-1,-1.359906554E0,3.500322819E0,8.130708694E0
2.528406110E-1,-1.115697980E0,3.387795448E0,8.221688271E0
2.548547720E-1,-8.762778044E-1,3.296815634E0,8.259995461E0
2.568384140E-1,-6.488286853E-1,3.222595453E0,8.262390137E0
2.588525740E-1,-4.979939461E-1,3.177105665E0,8.224082947E0
2.608667350E-1,-2.920926213E-1,3.136404276E0,8.171410561E0
2.628503770E-1,-2.226607651E-1,3.131615877E0,8.145073891E0
2.648645370E-1,3.112462163E-2,3.143586874E0,8.085219383E0
2.668786970E-1,1.795651317E-1,3.186682463E0,8.030152321E0
2.688623400E-1,2.944868207E-1,3.241749048E0,7.946355343E0
2.708765000E-1,3.902548850E-1,3.296815634E0,7.872135162E0
2.728906600E-1,4.716577232E-1,3.347094059E0,7.833827972E0
2.749048200E-1,5.386953950E-1,3.404554844E0,7.838616371E0
2.768884630E-1,5.698199868E-1,3.464409828E0,7.843404770E0
2.788721060E-1,5.698199868E-1,3.514688015E0,7.838616371E0
2.808557480E-1,5.458779931E-1,3.550601006E0,7.852981567E0
2.828393910E-1,5.267243981E-1,3.562572241E0,7.867346764E0
2.848230330E-1,4.620809257E-1,3.552995205E0,7.908048153E0
2.868371940E-1,4.094084799E-1,3.509899616E0,7.946355343E0
2.888513540E-1,3.471592367E-1,3.454833031E0,7.996633530E0
2.908349960E-1,2.825157940E-1,3.390189648E0,8.061277390E0
2.928186390E-1,2.513911724E-1,3.356670856E0,8.097189903E0
2.948022810E-1,1.915361285E-1,3.289633036E0,8.173804283E0
2.968164420E-1,1.244984865E-1,3.222595453E0,8.255207062E0
2.988000840E-1,-2.633621916E-2,3.136404276E0,8.410830498E0
3.008142440E-1,-1.388636976E-1,3.078943491E0,8.523358345E0
3.027978870E-1,-2.178723514E-1,3.007117271E0,8.674192429E0
3.048120470E-1,-2.968810201E-1,2.925714493E0,8.846575737E0
3.067956900E-1,-3.375824392E-1,2.885013103E0,8.927978516E0
3.087793320E-1,-4.189853072E-1,2.808398485E0,9.066842079E0
3.107629750E-1,-4.932055473E-1,2.722207308E0,9.193734169E0
3.127466170E-1,-5.554547906E-1,2.643198729E0,9.313444138E0
3.147302600E-1,-6.129156351E-1,2.566584110E0,9.430760384E0
3.167139030E-1,-6.560112834E-1,2.492363930E0,9.555258751E0
3.186975450E-1,-6.847416759E-1,2.422932148E0,9.674968719E0
3.207117050E-1,-6.967126727E-1,2.353500366E0,9.765948296E0
3.226953480E-1,-7.062895298E-1,2.284068346E0,9.859322548E0
3.247095080E-1,-7.254431248E-1,2.221819162E0,9.971850395E0
3.267236680E-1,-7.350199223E-1,2.176329374E0,1.004846478E1
3.287073110E-1,-6.607996821E-1,2.145204782E0,9.995792389E0
3.306909530E-1,-4.932055473E-1,2.090138197E0,9.646238327E0
3.327051130E-1,-4.932055473E-1,2.080561161E0,9.646238327E0
3.346887560E-1,-5.506663918E-1,2.104503393E0,1.001494598E1
3.367029160E-1,-5.650315881E-1,2.128445387E0,1.042914295E1
3.387170760E-1,-5.434837937E-1,2.130839586E0,1.068771648E1
3.407312360E-1,-4.884171486E-1,2.094926596E0,1.075475407E1
3.427148790E-1,-4.118026793E-1,2.030282974E0,1.068053341E1
3.447290390E-1,-3.232172430E-1,1.958456993E0,1.051772785E1
3.467126820E-1,-2.035071403E-1,1.910573006E0,1.034774017E1
3.486963240E-1,-5.985504389E-2,1.903390408E0,1.023760605E1
3.506799670E-1,5.985504389E-2,1.941697598E0,1.017535686E1
3.526636100E-1,1.508347094E-1,2.039859772E0,1.013944435E1
3.546777700E-1,2.370259613E-1,2.161964178E0,1.011789608E1
3.566614120E-1,3.423708379E-1,2.276885748E0,1.008916569E1
3.586755720E-1,4.644751251E-1,2.346317768E0,1.006522369E1
3.606897330E-1,6.033388376E-1,2.367865562E0,1.004607010E1
3.626733750E-1,7.637503147E-1,2.327163935E0,1.000536919E1
3.646875350E-1,9.289502501E-1,2.245761156E0,9.926360130E0
3.666711780E-1,1.084573388E0,2.133233786E0,9.830592155E0
3.686548200E-1,1.230619669E0,1.999158382E0,9.753977776E0
3.706689810E-1,1.338358760E0,1.900996208E0,9.686940193E0
3.726831410E-1,1.407790542E0,1.853112102E0,9.624691010E0
3.746667830E-1,1.448492050E0,1.831564307E0,9.562441826E0
3.766809440E-1,1.460463047E0,1.786074519E0,9.481039047E0
3.786951040E-1,1.400607944E0,1.778891921E0,9.423578262E0
3.807092640E-1,1.326387763E0,1.790862918E0,9.361329079E0
3.827234240E-1,1.268926859E0,1.790862918E0,9.358934402E0
3.847375840E-1,1.216254473E0,1.783680320E0,9.394847870E0
3.867212270E-1,1.158793569E0,1.771709204E0,9.447520256E0
3.887048690E-1,1.079784989E0,1.762132406E0,9.504981041E0
3.906885120E-1,9.911994934E-1,1.757344007E0,9.579200745E0
3.926721540E-1,9.385270476E-1,1.757344007E0,9.617507935E0
3.946557970E-1,7.852981687E-1,1.771709204E0,9.691728592E0
3.966699570E-1,5.626373887E-1,1.802833915E0,9.765948296E0
3.986536000E-1,1.173158810E-1,1.867477298E0,9.871294022E0
4.006677600E-1,-2.082955539E-1,1.908178806E0,9.959878922E0
4.026514030E-1,-5.626373887E-1,1.953668594E0,1.007240677E1
4.046655630E-1,-9.409212470E-1,1.996764183E0,1.020408726E1
4.066797230E-1,-1.316810966E0,2.027888775E0,1.035252857E1
4.086633650E-1,-1.695094824E0,2.047042370E0,1.050336266E1
4.106470080E-1,-1.886630893E0,2.049436569E0,1.057518864E1
4.126611680E-1,-2.463633537E0,2.054224968E0,1.069489861E1
4.146448110E-1,-2.789244890E0,2.049436569E0,1.080503273E1
4.166589710E-1,-3.100491285E0,2.054224968E0,1.094629002E1
4.186731310E-1,-3.368641853E0,2.061407566E0,1.112106705E1
4.206872910E-1,-3.620033026E0,2.061407566E0,1.130063248E1
4.226709340E-1,-3.847482204E0,2.059013367E0,1.148498535E1
4.246850940E-1,-4.041412354E0,2.047042370E0,1.168849277E1
4.266687360E-1,-4.209006786E0,2.018311977E0,1.190636539E1
4.286523790E-1,-4.328716755E0,1.977610588E0,1.211466026E1
4.306360220E-1,-4.388571739E0,1.922544003E0,1.229183197E1
4.326196640E-1,-4.395754337E0,1.860294700E0,1.242111874E1
4.346338240E-1,-4.355052948E0,1.807622313E0,1.250012684E1
4.366174670E-1,-4.280832767E0,1.766920805E0,1.252885723E1
4.386316270E-1,-4.177882195E0,1.759738207E0,1.251449203E1
4.406457870E-1,-4.060565948E0,1.800439715E0,1.245942593E1
4.426599470E-1,-3.928884983E0,1.886630893E0,1.237562847E1
4.446741080E-1,-3.792415380E0,2.015917778E0,1.228464890E1
4.466577500E-1,-3.658340216E0,2.169146776E0,1.219845772E1
4.486413930E-1,-3.524264812E0,2.329558372E0,1.210508347E1
4.506250350E-1,-3.373430252E0,2.466027737E0,1.207156467E1
4.526391950E-1,-3.246537447E0,2.592920542E0,1.206198788E1
4.546533560E-1,-3.239354849E0,2.722207308E0,1.196143150E1
4.566675160E-1,-3.227383852E0,2.813186884E0,1.179383755E1
4.586816760E-1,-3.086126089E0,2.820369720E0,1.163821411E1
4.606958360E-1,-2.901772499E0,2.825158119E0,1.130781460E1
4.626794790E-1,-2.794033289E0,2.880224705E0,1.086967564E1
4.646936390E-1,-2.844311714E0,2.940079689E0,1.048660374E1
4.667077990E-1,-3.016694069E0,2.961627483E0,1.013704967E1
4.686914420E-1,-3.201047659E0,2.954444885E0,9.777919769E0
4.707056020E-1,-3.354276657E0,2.947262287E0,9.519346237E0
4.726892440E-1,-3.485957623E0,2.928108692E0,9.358934402E0
4.746728870E-1,-3.624821424E0,2.882618904E0,9.222464561E0
4.766565290E-1,-3.792415380E0,2.815581083E0,9.050082207E0
4.786401720E-1,-3.971980572E0,2.724601507E0,8.786720276E0
4.806238150E-1,-4.192247391E0,2.628833532E0,8.485051155E0
4.825769400E-1,-4.434061527E0,2.540247917E0,8.226476669E0
4.845911000E-1,-4.687847137E0,2.473210335E0,8.044517517E0
4.866052600E-1,-4.932055473E0,2.437297344E0,7.922413349E0
4.886194200E-1,-5.142745018E0,2.418143749E0,7.829039574E0
4.906030630E-1,-5.336675644E0,2.410961151E0,7.766790390E0
4.925867050E-1,-5.518634796E0,2.413355350E0,7.680599213E0
4.946008650E-1,-5.652710438E0,2.418143749E0,7.520187378E0
4.965845080E-1,-5.765237808E0,2.449268341E0,7.333439827E0
4.985986680E-1,-5.868188381E0,2.494758129E0,7.170634270E0
5.006128280E-1,-5.954379559E0,2.552218914E0,7.019799232E0
5.025964710E-1,-6.021417141E0,2.602497339E0,6.854599476E0
5.046106310E-1,-6.050147533E0,2.655169725E0,6.687005520E0
5.066247910E-1,-6.110002518E0,2.703053713E0,6.543353081E0
5.086084340E-1,-6.165069580E0,2.743755102E0,6.409277916E0
5.106225940E-1,-6.184223175E0,2.801215887E0,6.351817131E0
5.126367540E-1,-6.157886982E0,2.865859509E0,6.399701118E0
5.146203970E-1,-6.102819920E0,2.908955097E0,6.476315498E0
5.166040390E-1,-6.045359135E0,2.904166698E0,6.449979305E0
5.186181990E-1,-5.858611584E0,2.827552319E0,6.263231754E0
5.206018420E-1,-4.915296078E0,2.456450939E0,5.353435040E0
5.225854850E-1,-2.882618904E0,1.675941229E0,3.236960649E0
5.245996450E-1,-7.350199223E-1,8.475474119E-1,3.878606856E-1
5.265832870E-1,-3.136404157E-1,6.200982332E-1,-1.441309452E0
5.285669300E-1,-1.608903527E0,1.084573388E0,-1.407790542E0
5.305505720E-1,-3.222595453E0,1.786074519E0,-1.053448766E-1
5.325647330E-1,-4.132391930E0,2.298433542E0,1.812410712E0
5.345483750E-1,-4.139574528E0,2.442085743E0,3.766079187E0
5.365625350E-1,-3.653551817E0,2.284068346E0,5.446808815E0
5.385766950E-1,-3.038241863E0,1.975216389E0,6.600813866E0
5.405908560E-1,-2.583343744E0,1.671152830E0,7.182605267E0
5.426050160E-1,-2.473210335E0,1.489193439E0,7.369352818E0
5.446191760E-1,-2.681505919E0,1.446097851E0,7.414842606E0
5.466028190E-1,-3.055001259E0,1.443703651E0,7.541735172E0
5.485864610E-1,-3.402160645E0,1.391031146E0,7.903259754E0
5.505701040E-1,-3.655946016E0,1.266532660E0,8.530540466E0
5.525537460E-1,-3.857059002E0,1.089361787E0,9.346963882E0
5.545679060E-1,-4.029441357E0,8.930372596E-1,1.025915432E1
5.565820670E-1,-4.168305397E0,6.847416759E-1,1.114979744E1
5.585657090E-1,-4.240131378E0,4.932055473E-1,1.186805820E1
5.605798690E-1,-4.410119534E0,3.687070608E-1,1.226788998E1
5.625635120E-1,-4.627991676E0,3.303998411E-1,1.222000504E1
5.645776720E-1,-4.570530891E0,2.896983922E-1,1.218169785E1
5.665613150E-1,-4.268861771E0,2.202665508E-1,1.230859089E1
5.685449570E-1,-3.871424198E0,1.819593310E-1,1.244506073E1
5.705591170E-1,-3.205836058E0,1.819593310E-1,1.237802315E1
5.725427600E-1,-2.413355350E0,2.250549644E-1,1.196861458E1
5.745569200E-1,-2.154781580E0,3.830722570E-1,1.207874775E1
5.765710800E-1,-2.219424963E0,6.153098345E-1,1.258631802E1
5.785852400E-1,-2.279279947E0,8.188169599E-1,1.298854446E1
5.805994010E-1,-2.248155355E0,9.504981041E-1,1.307952404E1
5.825830430E-1,-2.173935175E0,1.005564690E0,1.280179691E1
5.845972030E-1,-2.066195965E0,1.022324085E0,1.223437023E1
5.865808460E-1,-1.944091797E0,1.043871999E0,1.155441761E1
5.885644880E-1,-1.836352706E0,1.115697980E0,1.091755962E1
5.905481310E-1,-1.776497602E0,1.223437071E0,1.042195988E1
5.925317740E-1,-1.757344007E0,1.374271750E0,1.008677197E1
5.945154160E-1,-1.771709204E0,1.601720929E0,9.878476143E0
5.965295760E-1,-1.798045516E0,1.833958507E0,9.749189377E0
5.985132190E-1,-1.881842494E0,1.948880196E0,9.536105156E0
6.005273790E-1,-2.035071373E0,1.965639591E0,9.160215378E0
6.025110220E-1,-2.255337954E0,1.975216389E0,8.724471092E0
6.045251820E-1,-2.523488522E0,2.001552582E0,8.327033043E0
6.065088240E-1,-2.777273893E0,2.035071373E0,8.022970200E0
6.084924670E-1,-2.954444885E0,2.090138197E0,7.812280178E0
6.104761100E-1,-3.081337690E0,2.121262789E0,7.718906403E0
6.124597520E-1,-3.244143248E0,2.109291792E0,7.718906403E0
6.144739120E-1,-3.411737442E0,2.094926596E0,7.759607792E0
6.164880720E-1,-3.600879431E0,2.109291792E0,7.738059998E0
6.185022330E-1,-3.830722809E0,2.164358377E0,7.647080421E0
6.205163930E-1,-4.055777550E0,2.252943754E0,7.556100368E0
6.225305530E-1,-4.218583584E0,2.355894566E0,7.517793179E0
6.245447130E-1,-4.309563160E0,2.432508945E0,7.524975777E0
6.265283560E-1,-4.343081951E0,2.449268341E0,7.527369976E0
6.285119980E-1,-4.345476151E0,2.425326347E0,7.532158375E0
6.304956410E-1,-4.328716755E0,2.379836559E0,7.570465565E0
6.324792830E-1,-4.290409565E0,2.312798738E0,7.639897823E0
6.344629260E-1,-4.261679173E0,2.243366957E0,7.740454197E0
6.364465690E-1,-4.228160381E0,2.193088770E0,7.869740963E0
6.384607290E-1,-4.149151325E0,2.157175779E0,7.979874134E0
6.404748890E-1,-4.029441357E0,2.121262789E0,8.046912193E0
6.424585310E-1,-3.847482204E0,2.087743998E0,8.070854187E0
6.444726920E-1,-3.641580820E0,2.047042370E0,8.113949776E0
6.464563340E-1,-3.471592426E0,1.963245392E0,8.145073891E0
6.484399770E-1,-3.303998232E0,1.857900500E0,8.111555099E0
6.504541370E-1,-3.114856482E0,1.757344007E0,8.044517517E0
6.524377790E-1,-2.899378300E0,1.695094824E0,7.936778545E0
6.544519400E-1,-2.679111719E0,1.656787634E0,7.838616371E0
6.564661000E-1,-2.477998734E0,1.606509328E0,7.757213593E0
6.584802600E-1,-2.293645144E0,1.546654344E0,7.692570210E0
6.604944200E-1,-2.142810583E0,1.477222443E0,7.661445618E0
6.624780630E-1,-2.042253971E0,1.386242747E0,7.663839817E0
6.644922230E-1,-1.963245392E0,1.288080573E0,7.692570210E0
6.664758650E-1,-1.862688899E0,1.189918280E0,7.726089001E0
