"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.983922000E-3,1.214401498E-1,-3.030677438E-1,-4.900216311E-2
7.509801000E-3,1.214401498E-1,-3.030677438E-1,-4.900216311E-2
9.493444000E-3,1.214401498E-1,-3.030677438E-1,-4.900216311E-2
1.147708600E-2,1.214401498E-1,-3.030677438E-1,-4.900216311E-2
1.346072900E-2,1.214401498E-1,-3.030677438E-1,-4.900216311E-2
1.544437100E-2,1.214401498E-1,-3.030677438E-1,-4.900216311E-2
1.745853100E-2,1.214401498E-1,-3.030677438E-1,-4.900216311E-2
1.947269200E-2,1.214401498E-1,-3.030677438E-1,-4.900216311E-2
2.148685200E-2,1.214401498E-1,-3.030677438E-1,-4.900216311E-2
2.350101200E-2,1.214401498E-1,-3.030677438E-1,-4.900216311E-2
2.545413700E-2,1.214401498E-1,-3.030677438E-1,-4.900216311E-2
2.743777900E-2,1.214401498E-1,-3.030677438E-1,-4.900216311E-2
2.942142200E-2,1.214401498E-1,-3.030677438E-1,-4.900216311E-2
3.140506500E-2,1.214401498E-1,-3.030677438E-1,-4.900216311E-2
3.338870700E-2,1.214401498E-1,-3.030677438E-1,-4.900216311E-2
3.540286700E-2,1.214401498E-1,-3.030677438E-1,-4.900216311E-2
3.741702800E-2,-2.812298238E-1,-5.097290277E-1,-1.006674916E-1
3.943118800E-2,-2.950782478E-1,-5.214469433E-1,-2.540655732E-1
4.144534800E-2,-2.982740402E-1,-4.623247683E-1,-2.572613657E-1
4.342899000E-2,-3.004045784E-1,-4.303668439E-1,-2.593919039E-1
4.538211500E-2,-2.966761589E-1,-4.085289240E-1,-2.519350350E-1
4.739627600E-2,-2.972087860E-1,-3.877562582E-1,-2.466087192E-1
4.941043600E-2,-2.934803665E-1,-3.659183383E-1,-2.471413612E-1
5.136356100E-2,-2.902845740E-1,-3.467435837E-1,-2.460760921E-1
5.334720300E-2,-2.886866629E-1,-3.318298757E-1,-2.348908186E-1
5.533084600E-2,-2.828277051E-1,-3.163835406E-1,-2.290318608E-1
5.731448800E-2,-2.769687474E-1,-3.004045784E-1,-2.242381722E-1
5.932864900E-2,-2.732403278E-1,-2.838929892E-1,-2.162486911E-1
6.134280900E-2,-2.663161159E-1,-2.625876963E-1,-2.141181529E-1
6.338748600E-2,-2.625876963E-1,-2.407497615E-1,-2.093244642E-1
6.534061100E-2,-2.657834888E-1,-2.151834220E-1,-2.098570913E-1
6.729373600E-2,-2.663161159E-1,-1.901497096E-1,-2.034655064E-1
6.927737900E-2,-2.668487430E-1,-1.619201899E-1,-1.970739216E-1
7.126102200E-2,-2.695119083E-1,-1.315601617E-1,-1.949433982E-1
7.324466400E-2,-2.753708661E-1,-1.012001261E-1,-1.944107562E-1
7.522830700E-2,-2.860234976E-1,-6.764429063E-2,-1.896170676E-1
7.721194900E-2,-2.950782478E-1,-3.888215125E-2,-1.880191714E-1
7.922611000E-2,-3.041329980E-1,-7.989482954E-3,-1.837581247E-1
8.124027000E-2,-3.169161677E-1,2.769687586E-2,-1.784317940E-1
8.322391200E-2,-3.259709179E-1,6.604639441E-2,-1.731054783E-1
8.520755500E-2,-3.419498801E-1,1.049285457E-1,-1.693770438E-1
8.719119700E-2,-3.531351686E-1,1.427454352E-1,-1.645833552E-1
8.920535800E-2,-3.664509654E-1,1.778991669E-1,-1.629854590E-1
