"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.471083000E-2,-1.999056488E-1,2.393064648E-1,-9.056077152E-2
9.695649700E-2,-1.999056488E-1,2.490803003E-1,-9.178250283E-2
9.922114400E-2,-2.012801021E-1,2.564106882E-1,-9.162978828E-2
1.014726700E-1,-2.049452960E-1,2.649627924E-1,-9.285151958E-2
1.037277360E-1,-2.061670274E-1,2.759583890E-1,-9.040805697E-2
1.059759660E-1,-2.075414658E-1,2.881756723E-1,-9.040805697E-2
1.082334740E-1,-2.124283910E-1,2.942843437E-1,-9.162978828E-2
1.104865260E-1,-2.136501223E-1,3.016147017E-1,-9.040805697E-2
1.127401270E-1,-2.160935849E-1,3.126102984E-1,-9.040805697E-2
1.149933010E-1,-2.162462920E-1,3.162754774E-1,-8.918632567E-2
1.172472060E-1,-2.174680233E-1,3.211624026E-1,-9.040805697E-2
1.194994640E-1,-2.186897546E-1,3.333797157E-1,-8.674286306E-2
1.217522720E-1,-2.211332172E-1,3.407101035E-1,-8.659014851E-2
1.240054460E-1,-2.199114859E-1,3.455969989E-1,-8.781187981E-2
1.262561180E-1,-2.186897546E-1,3.455969989E-1,-8.536841720E-2
1.285020280E-1,-2.186897546E-1,3.468187451E-1,-8.414668590E-2
1.307688740E-1,-2.186897546E-1,3.480404615E-1,-8.536841720E-2
1.330187520E-1,-2.162462920E-1,3.517056704E-1,-8.170322329E-2
1.352760760E-1,-2.125810981E-1,3.553708494E-1,-7.925976813E-2
1.375251610E-1,-2.115120888E-1,3.675881624E-1,-7.803803682E-2
1.397785790E-1,-2.102903575E-1,3.700316250E-1,-7.544185966E-2
1.420315690E-1,-2.090686262E-1,3.785837293E-1,-7.299839705E-2
1.442846210E-1,-2.066251636E-1,3.834706545E-1,-6.811147183E-2
1.465381620E-1,-2.054034323E-1,3.859141171E-1,-6.566801667E-2
1.487911540E-1,-1.991420686E-1,3.871358633E-1,-6.688974798E-2
1.510450600E-1,-1.966986060E-1,3.883575797E-1,-6.200282276E-2
1.532986600E-1,-1.930334121E-1,3.932445049E-1,-6.062837690E-2
1.555509790E-1,-1.944078654E-1,3.969096839E-1,-5.818491429E-2
1.578042750E-1,-1.905899495E-1,3.995058835E-1,-5.696318299E-2
1.600573270E-1,-1.918116808E-1,3.982841372E-1,-5.696318299E-2
1.623090970E-1,-1.893682331E-1,4.007275999E-1,-5.696318299E-2
1.645532380E-1,-1.893682331E-1,3.995058835E-1,-5.696318299E-2
1.668040310E-1,-1.881465018E-1,3.958406746E-1,-5.818491429E-2
1.690705110E-1,-1.869247705E-1,3.921754956E-1,-5.696318299E-2
1.713269810E-1,-1.869247705E-1,3.921754956E-1,-5.818491429E-2
1.735806430E-1,-1.881465018E-1,3.883575797E-1,-5.574145541E-2
1.758314980E-1,-1.869247705E-1,3.846924007E-1,-5.696318299E-2
1.780830840E-1,-1.893682331E-1,3.810271919E-1,-5.818491429E-2
1.803368690E-1,-1.869247705E-1,3.749185503E-1,-5.711590126E-2
1.825897980E-1,-1.869247705E-1,3.675881624E-1,-5.711590126E-2
1.848427270E-1,-1.881465018E-1,3.663664162E-1,-5.711590126E-2
1.870968170E-1,-1.855503172E-1,3.639229834E-1,-5.345070735E-2
1.893506620E-1,-1.879937798E-1,3.602577746E-1,-5.467243865E-2
1.916031040E-1,-1.818851233E-1,3.541491330E-1,-5.100724846E-2
1.938550570E-1,-1.794416606E-1,3.492622077E-1,-5.100724846E-2
1.961041410E-1,-1.806633919E-1,3.480404615E-1,-4.978551716E-2
1.983626870E-1,-1.818851233E-1,3.468187451E-1,-5.100724846E-2
2.006126260E-1,-1.831068546E-1,3.394883573E-1,-4.856378585E-2
2.028574980E-1,-1.843285859E-1,3.358231783E-1,-4.734205827E-2
2.051222690E-1,-1.843285859E-1,3.346014321E-1,-4.978551716E-2
2.073771520E-1,-1.831068546E-1,3.309362531E-1,-4.856378585E-2
2.096330720E-1,-1.855503172E-1,3.248275816E-1,-4.993823543E-2
2.118816080E-1,-1.867720485E-1,3.236058652E-1,-4.871650413E-2
