"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.208624000E-2,8.530412912E-1,1.013599682E1,5.318048596E-1
1.430152900E-2,8.249256015E-1,1.007378292E1,5.120640397E-1
1.660549300E-2,8.536394835E-1,1.005942631E1,4.737788737E-1
1.886073500E-2,8.015955687E-1,1.002173901E1,4.259224236E-1
2.111291200E-2,7.639086246E-1,9.983454704E0,3.678964674E-1
2.336401100E-2,6.454638839E-1,9.898509026E0,3.284149170E-1
2.561627000E-2,5.742774606E-1,9.831509590E0,2.560320199E-1
2.786962600E-2,5.599204898E-1,9.821938515E0,2.656033039E-1
3.012273800E-2,4.175475538E-1,9.722636223E0,2.165504545E-1
3.237615600E-2,4.319044948E-1,9.669994354E0,2.303091735E-1
3.462835400E-2,4.743770957E-1,9.669396400E0,3.553341627E-1
3.688183400E-2,4.737788737E-1,9.640682220E0,4.121637046E-1
3.913482400E-2,4.163511395E-1,9.569496155E0,4.450650215E-1
4.138805800E-2,2.985046208E-1,9.426525116E0,3.625126183E-1
4.364141500E-2,1.184447184E-1,9.250652313E0,2.650051117E-1
4.589458900E-2,2.793620527E-1,9.302696228E0,4.139583111E-1
4.814794700E-2,1.136590764E-1,9.189037323E0,2.309073806E-1
5.039819100E-2,1.513460279E-1,9.150752068E0,2.691925466E-1
5.263793700E-2,3.260220885E-1,9.245268822E0,5.192425251E-1
5.489105000E-2,3.870390654E-1,9.297312737E0,6.251249313E-1
5.714391900E-2,4.013960063E-1,9.349954605E0,6.059823632E-1
5.940063200E-2,3.493520916E-1,9.349954605E0,5.533402562E-1
6.165368300E-2,3.445664644E-1,9.273384094E0,6.723831892E-1
6.391051900E-2,4.235295951E-1,9.172286987E0,9.349954724E-1
6.617651000E-2,4.325026870E-1,9.110074043E0,1.063609719E0
6.843096600E-2,3.427718580E-1,9.148957253E0,9.583254457E-1
7.068212600E-2,2.817548811E-1,9.282955170E0,7.770691514E-1
7.293237100E-2,2.117647976E-1,9.464810371E0,5.006981492E-1
7.518487300E-2,1.848455518E-1,9.555737495E0,2.141576260E-1
7.743761900E-2,2.285145670E-1,9.585049629E0,7.597211748E-2
7.968792400E-2,2.380858511E-1,9.608977318E0,4.187439568E-3
8.194457700E-2,2.380858511E-1,9.675378799E0,3.828516230E-2
8.419793500E-2,1.758724600E-1,9.718449593E0,8.614161611E-2
8.645257300E-2,1.381855011E-1,9.761520386E0,3.349951655E-2
8.870415900E-2,3.409772366E-2,9.799804688E0,-5.264209956E-2
9.095739400E-2,2.991028316E-2,9.838089943E0,-1.387837082E-1
9.321056800E-2,4.007977992E-2,9.766903877E0,-2.440679073E-1
9.546368200E-2,-4.606183618E-2,9.814760208E0,-2.201396823E-1
9.771685500E-2,-9.391828626E-2,9.876375198E0,-7.178468257E-2
9.996996700E-2,-1.094716340E-1,1.000020409E1,8.195417374E-2
1.022202120E-1,-4.785645381E-2,1.007139015E1,8.255238086E-2
1.044642300E-1,6.759724021E-2,1.004806042E1,-7.956135273E-2
1.067287580E-1,2.255235314E-1,9.900303841E0,-2.709871531E-1
1.089824190E-1,3.553341627E-1,9.747760773E0,-4.821537733E-1
1.112390710E-1,4.366901219E-1,9.647860527E0,-6.161518097E-1
1.134908410E-1,4.701896608E-1,9.538389206E0,-6.550351977E-1
1.157417570E-1,4.510470629E-1,9.433703423E0,-6.460621357E-1
1.179918800E-1,3.750749528E-1,9.352347374E0,-5.754738450E-1
1.202349210E-1,3.026920557E-1,9.347561836E0,-4.755735099E-1
1.225025600E-1,2.691925466E-1,9.357132912E0,-3.367897868E-1
1.247546350E-1,2.446661144E-1,9.399605751E0,-2.123630047E-1
1.270108610E-1,2.243271172E-1,9.466006279E0,-5.383851007E-2
1.292601290E-1,2.141576260E-1,9.503693581E0,5.144568533E-2
1.315123260E-1,1.854437590E-1,9.541978836E0,1.471585929E-1
