"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.011589800E-2,-1.264032960E0,1.274875760E0,2.300213099E0
9.236943900E-2,-1.134529471E0,1.240972757E0,2.254550934E0
9.462389400E-2,-1.012356400E0,1.209360480E0,2.186744928E0
9.687584800E-2,-9.098837972E-1,1.176526427E0,2.098169327E0
9.912896000E-2,-8.281805515E-1,1.147510409E0,1.993558764E0
1.013814010E-1,-7.614435554E-1,1.123228431E0,1.877952456E0
1.036356140E-1,-7.018841505E-1,1.103833556E0,1.773341775E0
1.058888480E-1,-6.536257863E-1,1.088103771E0,1.685682654E0
1.081423880E-1,-6.116288304E-1,1.064890862E0,1.623527050E0
1.103956840E-1,-5.867360830E-1,1.041830659E0,1.587027907E0
1.126500790E-1,-5.804746747E-1,1.019839525E0,1.563814998E0
1.148996520E-1,-5.977316499E-1,1.000291824E0,1.552666783E0
1.171387260E-1,-6.371324658E-1,9.928087592E-1,1.558470011E0
1.193951340E-1,-6.716463566E-1,1.007469535E0,1.571756244E0
1.216614920E-1,-6.902777553E-1,1.036791086E0,1.591303945E0
1.239182060E-1,-6.953173876E-1,1.075886369E0,1.607186437E0
1.261699760E-1,-6.892086864E-1,1.101542711E0,1.613447785E0
1.284161920E-1,-6.721044779E-1,1.116203547E0,1.616044044E0
1.306758350E-1,-6.450737119E-1,1.129795313E0,1.616196752E0
1.329277280E-1,-6.093381047E-1,1.139569163E0,1.609171748E0
1.351829760E-1,-5.772676468E-1,1.143234253E0,1.600772381E0
1.374344410E-1,-5.342016816E-1,1.144608736E0,1.586417079E0
1.396880430E-1,-4.958698750E-1,1.134834886E0,1.576948643E0
1.419412780E-1,-4.540255964E-1,1.132391453E0,1.579544783E0
1.441932930E-1,-4.170682430E-1,1.139874578E0,1.583515406E0
1.464431710E-1,-3.765984178E-1,1.153313637E0,1.588707805E0
1.487015320E-1,-3.481931984E-1,1.158200502E0,1.586417079E0
1.509542170E-1,-3.197879493E-1,1.155909777E0,1.575574160E0
1.532089170E-1,-2.889392674E-1,1.141248941E0,1.567174792E0
1.554619080E-1,-2.544253767E-1,1.120479584E0,1.555110216E0
1.577140450E-1,-2.160935849E-1,1.096197724E0,1.536936998E0
1.599675240E-1,-1.777617931E-1,1.074206591E0,1.515098572E0
1.622203920E-1,-1.408044398E-1,1.054658890E0,1.492038369E0
1.644736270E-1,-9.376781434E-2,1.027933478E0,1.460578799E0
1.667283870E-1,-4.306599870E-2,9.961684942E-1,1.426523089E0
1.689802790E-1,2.596177394E-3,9.669997096E-1,1.396285176E0
1.712336370E-1,4.337143153E-2,9.401215911E-1,1.364672899E0
1.734863830E-1,9.162978828E-2,9.109528065E-1,1.334282398E0
1.757391300E-1,1.397354305E-1,8.938485980E-1,1.307709813E0
1.779894960E-1,1.841758788E-1,8.744536042E-1,1.275028467E0
1.802439520E-1,2.115120888E-1,8.487972617E-1,1.234711409E0
1.824878480E-1,2.362521291E-1,8.219192028E-1,1.193325281E0
1.847515810E-1,2.525927722E-1,7.927503586E-1,1.137125611E0
