"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.740267100E-2,5.339583874E0,4.521238327E0,6.989434719E0
1.981819200E-2,5.349154949E0,4.454239368E0,7.166503906E0
2.223366100E-2,5.296513081E0,4.420739651E0,7.295716286E0
2.465006700E-2,5.258227825E0,4.439882278E0,7.454240799E0
2.706584800E-2,5.219942570E0,4.425525665E0,7.583453178E0
2.948079600E-2,5.119443893E0,4.415954113E0,7.674380302E0
3.189605700E-2,5.037489891E0,4.372883320E0,7.746165276E0
3.431142100E-2,4.984847546E0,4.406383038E0,7.841877937E0
3.672735900E-2,4.850849628E0,4.420739651E0,7.908876896E0
3.914272300E-2,4.807778835E0,4.392025948E0,7.966304779E0
4.155808800E-2,4.759922504E0,4.392025948E0,8.028517723E0
4.397610900E-2,4.654638290E0,4.396811485E0,8.062017441E0
4.639116100E-2,4.635495663E0,4.363312244E0,8.085946083E0
4.880725400E-2,4.621138573E0,4.334598064E0,8.095517159E0
5.127110900E-2,4.568496704E0,4.344169617E0,8.095517159E0
5.372392100E-2,4.592424870E0,4.320241451E0,8.138587952E0
5.614959800E-2,4.563711166E0,4.301098824E0,8.152944565E0
5.855423400E-2,4.625924587E0,4.291527271E0,8.124231339E0
6.095897300E-2,4.750350952E0,4.320241451E0,8.052446365E0
6.336366100E-2,4.846064091E0,4.334598064E0,8.023732185E0
6.576834800E-2,4.874777794E0,4.344169617E0,8.038089752E0
6.817308800E-2,4.884349346E0,4.363312244E0,8.038089752E0
7.057793200E-2,4.898705959E0,4.454239368E0,8.071588516E0
7.298282700E-2,4.913063049E0,4.444668293E0,8.095517159E0
7.538782700E-2,4.893920422E0,4.516452789E0,8.105088234E0
7.779293200E-2,4.908277512E0,4.535595417E0,8.105088234E0
8.020043200E-2,4.936991215E0,4.569094658E0,8.124231339E0
8.260324400E-2,4.941776752E0,4.593023300E0,8.114660263E0
8.500840000E-2,4.970490932E0,4.607379913E0,8.090731621E0
8.741350400E-2,4.951348305E0,4.583451748E0,8.109873772E0
8.981866100E-2,4.951348305E0,4.602594376E0,8.090731621E0
9.222381700E-2,4.965705395E0,4.540380955E0,8.062017441E0
9.462897300E-2,4.927420139E0,4.549952030E0,8.057231903E0
9.703412900E-2,4.917848587E0,4.526023865E0,8.023732185E0
9.943928600E-2,4.884349346E0,4.559523582E0,8.038089752E0
1.018444420E-1,4.841278553E0,4.554738045E0,8.009375572E0
1.042495980E-1,4.822135925E0,4.530809879E0,8.009375572E0
1.066547540E-1,4.788636208E0,4.521238327E0,7.980661869E0
1.090599110E-1,4.721637249E0,4.554738045E0,7.980661869E0
1.114650670E-1,4.645066738E0,4.549952030E0,7.956733704E0
1.138702230E-1,4.640281200E0,4.549952030E0,7.908876896E0
1.162753270E-1,4.621138573E0,4.554738045E0,7.913662910E0
1.186804840E-1,4.606781960E0,4.597808838E0,7.884948730E0
1.210856400E-1,4.582853794E0,4.607379913E0,7.861020565E0
1.234907960E-1,4.582853794E0,4.645665169E0,7.841877937E0
1.258959520E-1,4.582853794E0,4.660022259E0,7.817949772E0
1.283011090E-1,4.587639332E0,4.688735962E0,7.798807144E0
1.307062650E-1,4.606781960E0,4.669593334E0,7.784450054E0
1.331114210E-1,4.611567497E0,4.683950424E0,7.779664516E0
1.355165770E-1,4.621138573E0,4.636094093E0,7.798807144E0
1.379217340E-1,4.611567497E0,4.612165451E0,7.808378696E0
1.403268900E-1,4.587639332E0,4.616951466E0,7.865806103E0
1.427320460E-1,4.587639332E0,4.588237286E0,7.904091358E0
1.451372020E-1,4.611567497E0,4.554738045E0,7.928019524E0
1.475423070E-1,4.616353035E0,4.526023865E0,7.975875854E0
1.499474630E-1,4.592424870E0,4.521238327E0,8.062017441E0
1.523526190E-1,4.597210407E0,4.526023865E0,8.119445801E0
1.547577750E-1,4.587639332E0,4.487739086E0,8.205587387E0
1.571629320E-1,4.554139614E0,4.463810444E0,8.286943436E0
1.595680880E-1,4.534996986E0,4.411168575E0,8.353941917E0
1.619732440E-1,4.525425911E0,4.401597023E0,8.440681458E0
1.643784000E-1,4.496711731E0,4.396811485E0,8.469395638E0
1.667835570E-1,4.463212490E0,4.372883320E0,8.531609535E0
1.691887130E-1,4.467998028E0,4.406383038E0,8.589036942E0
1.715938690E-1,4.439284325E0,4.401597023E0,8.660821915E0
1.739990250E-1,4.453640938E0,4.392025948E0,8.665607452E0
1.764041290E-1,4.453640938E0,4.382454872E0,8.746963501E0
1.788092860E-1,4.439284325E0,4.382454872E0,8.770891190E0
1.812144420E-1,4.420141697E0,4.377668858E0,8.785248756E0
1.836195980E-1,4.362713814E0,4.358526230E0,8.761320114E0
1.860247540E-1,4.281357765E0,4.296313286E0,8.770891190E0
1.884299110E-1,4.310071945E0,4.272384644E0,8.799605370E0
1.908350670E-1,4.305285931E0,4.238885403E0,8.723034859E0
1.932402230E-1,4.324428558E0,4.272384644E0,8.679964066E0
1.956453790E-1,4.348356724E0,4.267599106E0,8.641678810E0
1.980505360E-1,4.290929317E0,4.277170658E0,8.584251404E0
2.004556920E-1,4.204787731E0,4.301098824E0,8.531609535E0
2.028608480E-1,4.200001717E0,4.301098824E0,8.593822479E0
2.052660040E-1,4.118646145E0,4.253242016E0,8.737391472E0
2.076711610E-1,4.051646709E0,4.214957237E0,8.785248756E0
2.100762650E-1,3.994219303E0,4.191029072E0,8.804390907E0
2.124814210E-1,3.936791420E0,4.162314892E0,8.775676727E0
2.148865770E-1,3.888336897E0,4.143172264E0,8.770891190E0
2.172917340E-1,3.806980848E0,4.124029636E0,8.737391472E0
2.196968900E-1,3.735196114E0,4.119244099E0,8.746963501E0
2.221020460E-1,3.677768469E0,4.095315933E0,8.718249321E0
2.245072020E-1,3.682554007E0,4.147958279E0,8.713463783E0
2.269123590E-1,3.591626883E0,4.167100430E0,8.679964066E0
2.293175150E-1,3.596412420E0,4.171886444E0,8.665607452E0
2.317226710E-1,3.596412420E0,4.143172264E0,8.627322197E0
2.341278270E-1,3.567698479E0,4.162314892E0,8.612964630E0
2.365329840E-1,3.524627686E0,4.157529354E0,8.593822479E0
2.389380880E-1,3.529413462E0,4.124029636E0,8.550751686E0
2.413432440E-1,3.510270834E0,4.133601189E0,8.435895920E0
2.437484000E-1,3.524627686E0,4.143172264E0,8.344370842E0
2.461535570E-1,3.471985579E0,4.133601189E0,8.301300049E0
2.485587130E-1,3.428914785E0,4.133601189E0,8.229515076E0
2.509638690E-1,3.395415306E0,4.080958843E0,8.210372925E0
2.533690250E-1,3.342773199E0,4.104887009E0,8.181658745E0
2.557741820E-1,3.318845034E0,4.100101471E0,8.229515076E0
2.581793380E-1,3.247060299E0,4.143172264E0,8.267800331E0
2.605844940E-1,3.227917671E0,4.171886444E0,8.325227737E0
2.629896500E-1,3.237488985E0,4.167100430E0,8.334799767E0
2.653948070E-1,3.218346357E0,4.195814610E0,8.377870560E0
2.677999630E-1,3.156133175E0,4.176671982E0,8.416155815E0
2.702051190E-1,3.189632654E0,4.171886444E0,8.464610100E0
2.726102230E-1,3.251846075E0,4.171886444E0,8.483752251E0
2.750153790E-1,3.223132133E0,4.162314892E0,8.450253487E0
2.774205360E-1,3.247060299E0,4.171886444E0,8.459824562E0
2.798256920E-1,3.266202927E0,4.152743816E0,8.488538742E0
2.822308480E-1,3.261417150E0,4.152743816E0,8.464610100E0
2.846360040E-1,3.242274761E0,4.176671982E0,8.397012711E0
2.870411610E-1,3.227917671E0,4.162314892E0,8.392227173E0
2.894463170E-1,3.242274761E0,4.147958279E0,8.382656097E0
2.918514730E-1,3.108276606E0,4.176671982E0,8.397012711E0
2.942566290E-1,2.816352367E0,4.224528313E0,8.435895920E0
2.966617860E-1,2.935993433E0,4.272384644E0,8.387441635E0
2.990669420E-1,2.897708178E0,4.219742775E0,8.215158463E0
3.014720980E-1,2.782254457E0,4.143172264E0,7.899305820E0
3.038772020E-1,2.734398127E0,4.047459602E0,7.559525013E0
3.062823590E-1,2.724826813E0,4.143172264E0,7.741379261E0
3.086875150E-1,2.609971285E0,4.147958279E0,7.913662910E0
3.110926710E-1,2.619542599E0,4.114458561E0,8.042875290E0
3.134978270E-1,2.648256540E0,4.133601189E0,8.109873772E0
3.159029840E-1,2.729612350E0,4.114458561E0,8.095517159E0
3.183081400E-1,2.763111830E0,4.147958279E0,8.095517159E0
3.207132960E-1,2.801397085E0,4.171886444E0,8.057231903E0
3.231184520E-1,2.791825771E0,4.133601189E0,8.105088234E0
