"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.469699100E-2,1.414111406E-1,2.748812735E-1,2.657185495E-2
3.710230400E-2,1.536280811E-1,2.602209449E-1,3.268032894E-2
3.950761600E-2,1.682884246E-1,2.394521236E-1,3.878879920E-2
4.191292900E-2,1.841704547E-1,2.162399292E-1,4.367557913E-2
4.431824100E-2,2.012741715E-1,1.954711229E-1,4.856235534E-2
4.672355400E-2,2.171562016E-1,1.759240031E-1,4.978405312E-2
4.912886600E-2,2.354816198E-1,1.551551968E-1,5.344913527E-2
5.153417900E-2,2.452551723E-1,1.392731816E-1,5.711421743E-2
5.393943900E-2,2.562504113E-1,1.197260618E-1,5.467082933E-2
5.634475200E-2,2.611372173E-1,1.062874198E-1,5.467082933E-2
5.875006400E-2,2.660239935E-1,9.407047927E-2,5.344913527E-2
6.115537700E-2,2.660239935E-1,8.551861346E-2,5.100574717E-2
6.356068900E-2,2.648022771E-1,8.063183725E-2,4.734066129E-2
6.596600200E-2,2.611372173E-1,8.307522535E-2,4.367557913E-2
6.837131400E-2,2.562504113E-1,9.040539712E-2,4.001049697E-2
7.077662700E-2,2.440334857E-1,1.038440317E-1,4.001049697E-2
7.318193900E-2,2.354816198E-1,1.197260618E-1,3.634541109E-2
7.558725200E-2,2.220429778E-1,1.356080920E-1,3.145863488E-2
7.799251200E-2,2.073826492E-1,1.527118087E-1,2.657185495E-2
8.039782500E-2,1.866138428E-1,1.661504507E-1,2.046338283E-2
8.280313700E-2,1.597365588E-1,1.795890927E-1,1.191152167E-2
8.520845000E-2,1.316375881E-1,1.893626451E-1,3.359660041E-3
8.761376200E-2,9.254335612E-2,1.856975704E-1,-3.970507067E-3
9.001907500E-2,5.100574717E-2,1.808107942E-1,-7.635590620E-3
9.242438700E-2,8.246437646E-3,1.905843467E-1,-1.252236869E-2
9.482970000E-2,-3.329117596E-2,2.052446753E-1,-1.863084175E-2
9.723501200E-2,-7.482878864E-2,2.260134816E-1,-1.985253580E-2
9.964027300E-2,-1.139230132E-1,2.516690791E-1,-2.473931387E-2
1.020455850E-1,-1.469087601E-1,2.773246467E-1,-2.962609194E-2
1.044508980E-1,-1.750077456E-1,2.968717813E-1,-3.451287001E-2
1.068562100E-1,-2.006633282E-1,3.103103936E-1,-4.184303805E-2
1.092615230E-1,-2.202104330E-1,3.127537966E-1,-5.161659420E-2
1.116668350E-1,-2.360924631E-1,3.054236174E-1,-6.139015034E-2
1.140721480E-1,-2.495311052E-1,2.919849753E-1,-7.116370648E-2
1.164774600E-1,-2.544178963E-1,2.724378705E-1,-8.460234851E-2
1.188827730E-1,-2.531961799E-1,2.504473627E-1,-1.029277667E-1
1.212880330E-1,-2.458660156E-1,2.223484069E-1,-1.151447073E-1
1.236933460E-1,-2.324273884E-1,1.930277348E-1,-1.346918195E-1
1.260986580E-1,-2.141019702E-1,1.612636745E-1,-1.554606259E-1
1.285039710E-1,-1.908897758E-1,1.221694499E-1,-1.786728203E-1
1.309092830E-1,-1.640124917E-1,8.307522535E-2,-2.006633282E-1
1.333145960E-1,-1.359135211E-1,4.153761268E-2,-2.226538211E-1
1.357199080E-1,-1.078145429E-1,-2.443389036E-3,-2.422009408E-1
1.381252210E-1,-7.849387079E-2,-4.520269856E-2,-2.641914487E-1
1.405304810E-1,-4.795150831E-2,-8.918370306E-2,-2.812951505E-1
1.429357940E-1,-1.985253580E-2,-1.282779276E-1,-2.983988822E-1
1.453411060E-1,9.468132630E-3,-1.661504507E-1,-3.142809272E-1
1.477464190E-1,3.390202299E-2,-1.991362125E-1,-3.277195692E-1
1.501517310E-1,5.711421743E-2,-2.247917950E-1,-3.362714052E-1
1.525570440E-1,7.910472155E-2,-2.467822880E-1,-3.460449576E-1
1.549623560E-1,9.987352788E-2,-2.663294077E-1,-3.521534503E-1
