Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
14.00,-2.66,12.88,-1.47
14.00,-2.73,12.53,-1.69
14.00,-2.74,12.42,-1.75
14.00,-2.74,12.30,-1.83
14.00,-2.76,12.04,-2.04
14.01,-2.78,11.95,-2.13
14.01,-2.86,11.73,-2.32
14.01,-2.90,11.45,-2.51
14.01,-2.92,11.31,-2.60
14.01,-2.97,11.16,-2.75
14.02,-3.00,11.09,-2.81
14.02,-3.13,10.73,-2.99
14.02,-3.14,10.63,-3.03
14.02,-3.16,10.58,-3.04
14.02,-3.27,10.50,-3.07
14.03,-3.32,10.36,-3.21
14.03,-3.38,10.28,-3.29
14.03,-3.29,10.02,-3.51
14.03,-3.25,10.01,-3.58
14.03,-3.29,10.01,-3.66
14.04,-3.42,9.90,-3.67
14.04,-3.51,9.73,-3.67
14.04,-3.52,9.63,-3.65
14.04,-3.53,9.55,-3.63
14.04,-3.50,9.40,-3.60
14.05,-3.23,8.97,-3.65
14.05,-3.06,8.84,-3.64
14.05,-3.25,8.95,-3.43
14.05,-3.45,8.95,-3.33
14.05,-3.67,8.87,-3.13
14.06,-3.61,8.79,-2.95
14.06,-3.45,8.70,-2.83
14.06,-3.39,8.64,-2.76
14.06,-3.34,8.53,-2.66
14.06,-3.33,8.48,-2.61
14.07,-3.37,8.37,-2.51
14.07,-3.38,8.34,-2.45
14.07,-3.41,8.26,-2.29
14.07,-3.52,8.19,-2.15
14.07,-3.57,8.14,-2.09
14.08,-3.65,8.07,-1.98
14.08,-3.73,8.04,-1.89
14.08,-3.77,8.01,-1.84
14.08,-3.81,7.94,-1.74
14.08,-3.82,7.91,-1.70
14.09,-3.86,7.83,-1.66
14.09,-3.88,7.79,-1.63
14.09,-3.93,7.69,-1.56
14.09,-3.93,7.60,-1.55
14.09,-3.93,7.55,-1.54
14.10,-3.96,7.47,-1.55
14.10,-4.02,7.39,-1.54
14.10,-4.07,7.35,-1.54
14.10,-4.16,7.28,-1.55
14.10,-4.20,7.25,-1.55
14.11,-4.26,7.21,-1.58
14.11,-4.28,7.15,-1.62
14.11,-4.30,7.12,-1.65
14.11,-4.36,7.07,-1.72
14.11,-4.37,7.03,-1.75
14.12,-4.39,6.96,-1.84
14.12,-4.38,6.91,-1.93
14.12,-4.37,6.89,-1.98
14.12,-4.31,6.81,-2.08
14.12,-4.29,6.70,-2.14
14.13,-4.24,6.66,-2.23
14.13,-4.21,6.58,-2.34
14.13,-4.21,6.54,-2.37
14.13,-4.16,6.46,-2.45
14.13,-4.11,6.39,-2.51
14.14,-4.08,6.34,-2.54
14.14,-4.02,6.22,-2.60
14.14,-4.02,6.22,-2.60
14.14,-4.00,6.16,-2.61
14.14,-3.95,6.12,-2.61
14.15,-3.93,6.07,-2.61
14.15,-3.90,5.99,-2.61
14.15,-3.87,5.97,-2.59
14.15,-3.84,5.96,-2.58
14.15,-3.79,5.93,-2.56
14.16,-3.76,5.91,-2.53
14.16,-3.71,5.86,-2.50
14.16,-3.71,5.85,-2.49
14.16,-3.70,5.83,-2.47
14.16,-3.64,5.79,-2.44
14.17,-3.60,5.79,-2.44
14.17,-3.58,5.80,-2.43
14.17,-3.59,5.80,-2.40
14.17,-3.60,5.81,-2.39
14.17,-3.59,5.83,-2.39
14.18,-3.59,5.83,-2.39
14.18,-3.60,5.87,-2.33
14.18,-3.59,5.89,-2.32
14.18,-3.59,5.90,-2.32
14.18,-3.63,5.94,-2.30
14.19,-3.65,5.97,-2.29
14.19,-3.66,6.01,-2.26
14.19,-3.69,6.06,-2.26
14.19,-3.69,6.08,-2.26
14.19,-3.70,6.13,-2.24
14.20,-3.72,6.17,-2.24
14.20,-3.74,6.21,-2.22
14.20,-3.74,6.23,-2.23
14.20,-3.76,6.24,-2.24
14.20,-3.78,6.29,-2.24
14.21,-3.76,6.32,-2.24
14.21,-3.76,6.33,-2.24
14.21,-3.78,6.39,-2.23
14.21,-3.79,6.40,-2.23
14.21,-3.79,6.42,-2.22
14.22,-3.81,6.48,-2.23
14.22,-3.82,6.48,-2.23
14.22,-3.81,6.50,-2.22
14.22,-3.80,6.51,-2.22
14.22,-3.80,6.55,-2.21
14.23,-3.80,6.59,-2.22
14.23,-3.79,6.59,-2.22
14.23,-3.77,6.63,-2.24
14.23,-3.74,6.66,-2.25
14.23,-3.72,6.68,-2.26
14.24,-3.67,6.69,-2.25
14.24,-3.60,6.73,-2.26
14.24,-3.60,6.73,-2.26
14.24,-3.55,6.72,-2.28
14.24,-3.52,6.71,-2.29
14.25,-3.49,6.71,-2.31
14.25,-3.47,6.71,-2.31
14.25,-3.43,6.72,-2.32
14.25,-3.38,6.72,-2.32
14.25,-3.35,6.72,-2.32
14.26,-3.31,6.72,-2.33
14.26,-3.27,6.72,-2.33
14.26,-3.25,6.72,-2.34
14.26,-3.21,6.64,-2.49
14.26,-3.20,6.64,-2.53
14.27,-3.28,6.74,-2.35
14.27,-3.29,6.77,-2.29
14.27,-3.27,6.79,-2.26
14.27,-3.22,6.85,-2.24
14.27,-3.22,6.88,-2.22
14.28,-3.20,6.93,-2.21
14.28,-3.20,6.98,-2.19
14.28,-3.20,7.01,-2.19
14.28,-3.21,7.06,-2.18
14.28,-3.20,7.08,-2.17
14.29,-3.20,7.13,-2.14
14.29,-3.21,7.19,-2.12
14.29,-3.21,7.24,-2.11
14.29,-3.21,7.30,-2.07
14.29,-3.22,7.36,-2.04
14.30,-3.21,7.40,-2.01
14.30,-3.20,7.50,-1.96
14.30,-3.20,7.50,-1.96
14.30,-3.20,7.60,-1.93
14.30,-3.18,7.67,-1.89
14.31,-3.16,7.72,-1.88
14.31,-3.12,7.80,-1.84
14.31,-3.11,7.83,-1.81
14.31,-3.11,7.91,-1.78
14.31,-3.15,7.96,-1.78
14.32,-3.18,7.99,-1.77
14.32,-3.23,8.05,-1.77
14.32,-3.24,8.11,-1.74
14.32,-3.22,8.14,-1.74
14.32,-3.20,8.18,-1.73
14.33,-3.20,8.19,-1.72
14.33,-3.20,8.21,-1.72
14.33,-3.22,8.23,-1.71
14.33,-3.24,8.24,-1.71
14.33,-3.29,8.25,-1.71
14.34,-3.32,8.26,-1.71
14.34,-3.42,8.26,-1.71
14.34,-3.45,8.25,-1.71
14.34,-3.46,8.26,-1.71
14.34,-3.43,8.26,-1.71
14.35,-3.39,8.25,-1.70
14.35,-3.37,8.21,-1.69
14.35,-3.39,8.17,-1.70
14.35,-3.41,8.15,-1.70
14.35,-3.41,8.11,-1.73
14.36,-3.42,8.09,-1.75
14.36,-3.44,8.03,-1.83
14.36,-3.46,8.04,-1.85
14.36,-3.45,8.05,-1.88
14.36,-3.41,8.07,-1.96
14.37,-3.35,8.03,-2.03
14.37,-3.31,8.03,-2.07
14.37,-3.26,8.04,-2.14
14.37,-3.24,8.03,-2.18
14.37,-3.22,8.08,-2.27
14.38,-3.17,8.14,-2.35
14.38,-3.17,8.22,-2.45
14.38,-3.15,8.25,-2.50
14.38,-3.14,8.29,-2.55
14.38,-3.11,8.41,-2.66
14.39,-3.09,8.55,-2.75
14.39,-3.08,8.63,-2.79
14.39,-3.04,8.75,-2.85
14.39,-3.01,8.86,-2.89
14.39,-2.98,8.91,-2.94
14.40,-2.97,9.01,-2.96
14.40,-3.01,9.10,-3.01
14.40,-3.01,9.13,-3.03
14.40,-3.00,9.25,-3.03
14.40,-2.96,9.32,-3.06
14.41,-2.86,9.42,-3.10
14.41,-2.82,9.46,-3.11
14.41,-2.78,9.51,-3.14
14.41,-2.80,9.54,-3.15
14.41,-2.81,9.54,-3.16
14.42,-2.84,9.52,-3.18
14.42,-2.92,9.51,-3.20
14.42,-2.97,9.51,-3.19
14.42,-3.04,9.45,-3.19
14.42,-3.06,9.42,-3.18
14.43,-3.07,9.36,-3.17
14.43,-3.11,9.29,-3.15
14.43,-3.14,9.24,-3.13
14.43,-3.26,9.14,-3.11
14.43,-3.33,9.08,-3.09
14.44,-3.45,8.96,-3.06
14.44,-3.56,8.75,-3.00
14.44,-3.56,8.75,-3.00
14.44,-3.58,8.61,-2.96
14.44,-3.57,8.53,-2.95
14.45,-3.56,8.39,-2.90
14.45,-3.67,8.26,-2.86
14.45,-3.67,8.18,-2.83
14.45,-3.62,8.04,-2.75
14.45,-3.60,7.98,-2.71
14.46,-3.55,7.85,-2.66
