Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
20.00,-3.01,6.28,-1.66
20.00,-2.97,6.17,-1.66
20.00,-2.85,6.11,-1.75
20.00,-2.78,6.01,-1.98
20.00,-2.78,6.01,-1.98
20.01,-2.78,6.00,-2.03
20.01,-2.78,5.97,-2.09
20.01,-2.74,5.91,-2.17
20.01,-2.68,5.88,-2.24
20.01,-2.65,5.86,-2.26
20.02,-2.65,5.82,-2.35
20.02,-2.66,5.78,-2.40
20.02,-2.64,5.77,-2.45
20.02,-2.51,5.84,-3.05
20.02,-2.37,5.90,-2.90
20.03,-2.37,5.90,-2.90
20.03,-2.56,5.43,-2.55
20.03,-2.72,5.23,-2.37
20.03,-2.69,5.10,-2.11
20.03,-2.53,5.13,-2.12
20.04,-2.32,5.20,-2.21
20.04,-2.38,5.24,-2.27
20.04,-2.46,5.26,-2.30
20.04,-2.80,5.28,-2.42
20.04,-2.80,5.28,-2.42
20.05,-2.80,5.28,-2.42
20.05,-2.89,5.32,-2.42
20.05,-2.89,5.32,-2.40
20.05,-2.90,5.31,-2.35
20.05,-2.92,5.23,-2.36
20.06,-3.02,5.17,-2.39
20.06,-3.11,5.09,-2.41
20.06,-3.17,5.07,-2.43
20.06,-3.31,5.04,-2.42
20.06,-3.33,5.03,-2.43
20.07,-3.33,5.03,-2.43
20.07,-3.39,5.00,-2.47
20.07,-3.44,4.98,-2.50
20.07,-3.51,4.93,-2.54
20.07,-3.58,4.91,-2.58
20.08,-3.61,4.89,-2.60
20.08,-3.65,4.85,-2.66
20.08,-3.68,4.83,-2.69
20.08,-3.84,4.84,-2.91
20.08,-3.84,4.84,-2.91
20.09,-3.84,4.84,-2.91
20.09,-3.86,4.86,-2.96
20.09,-3.86,4.89,-2.97
20.09,-3.93,4.82,-3.16
20.09,-4.13,5.18,-3.61
20.10,-3.99,5.34,-3.47
20.10,-4.17,4.87,-3.42
20.10,-4.48,4.62,-3.11
20.10,-4.07,4.90,-3.09
20.10,-4.02,4.99,-3.14
20.11,-4.02,4.99,-3.14
20.11,-4.15,5.10,-3.34
20.11,-4.32,5.29,-3.32
20.11,-4.45,5.38,-3.37
20.11,-4.69,5.59,-3.41
20.12,-4.77,5.69,-3.43
20.12,-4.95,5.95,-3.52
20.12,-5.23,6.29,-3.60
