Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
21.00,1.67,0.40,-1.05
21.00,1.66,0.43,-1.04
21.00,1.64,0.49,-1.00
21.00,1.63,0.52,-0.98
21.00,1.60,0.56,-0.95
21.01,1.58,0.62,-0.94
21.01,1.57,0.65,-0.93
21.01,1.54,0.73,-0.90
21.01,1.54,0.73,-0.90
21.01,1.52,0.78,-0.88
21.02,1.49,0.82,-0.87
21.02,1.48,0.83,-0.85
21.02,1.45,0.86,-0.83
21.02,1.44,0.90,-0.82
21.02,1.42,0.91,-0.82
21.03,1.41,0.93,-0.82
21.03,1.41,0.94,-0.82
21.03,1.39,0.95,-0.81
21.03,1.37,0.94,-0.80
21.03,1.37,0.95,-0.80
21.04,1.36,0.96,-0.80
21.04,1.36,0.97,-0.80
21.04,1.36,0.96,-0.80
21.04,1.36,0.96,-0.80
21.04,1.36,0.94,-0.80
21.05,1.35,0.93,-0.80
21.05,1.33,0.87,-0.80
21.05,1.32,0.86,-0.80
21.05,1.31,0.87,-0.80
21.05,1.32,0.87,-0.80
21.06,1.30,0.86,-0.80
21.06,1.29,0.84,-0.79
21.06,1.29,0.83,-0.79
21.06,1.28,0.81,-0.79
21.06,1.28,0.80,-0.78
21.07,1.26,0.78,-0.78
21.07,1.23,0.71,-0.77
21.07,1.20,0.69,-0.78
21.07,1.20,0.71,-0.77
21.07,1.19,0.73,-0.75
21.08,1.17,0.75,-0.72
21.08,1.16,0.76,-0.70
21.08,1.15,0.76,-0.69
21.08,1.13,0.76,-0.67
21.08,1.10,0.74,-0.66
21.09,1.09,0.74,-0.65
21.09,1.06,0.69,-0.63
21.09,1.00,0.65,-0.62
21.09,1.00,0.65,-0.62
21.09,0.97,0.69,-0.60
21.10,0.95,0.68,-0.58
21.10,0.93,0.70,-0.55
21.10,0.92,0.71,-0.53
21.10,0.89,0.73,-0.51
21.10,0.87,0.72,-0.49
21.11,0.85,0.72,-0.48
21.11,0.82,0.69,-0.46
21.11,0.78,0.66,-0.44
21.11,0.76,0.65,-0.42
21.11,0.70,0.53,-0.39
21.12,0.68,0.51,-0.39
21.12,0.64,0.56,-0.37
21.12,0.60,0.61,-0.35
21.12,0.58,0.62,-0.34
21.12,0.54,0.62,-0.33
21.13,0.52,0.63,-0.32
21.13,0.47,0.61,-0.31
21.13,0.40,0.48,-0.28
21.13,0.40,0.48,-0.28
21.13,0.36,0.51,-0.26
21.14,0.34,0.52,-0.25
21.14,0.30,0.51,-0.24
21.14,0.26,0.47,-0.23
21.14,0.23,0.42,-0.22
21.14,0.18,0.39,-0.21
21.15,0.16,0.41,-0.21
21.15,0.11,0.42,-0.21
21.15,0.03,0.41,-0.19
21.15,0.03,0.41,-0.19
21.15,-0.01,0.38,-0.18
21.16,-0.06,0.36,-0.17
21.16,-0.07,0.35,-0.16
21.16,-0.12,0.32,-0.15
21.16,-0.15,0.31,-0.15
21.16,-0.18,0.29,-0.13
21.17,-0.24,0.26,-0.11
21.17,-0.25,0.19,-0.10
21.17,-0.32,0.10,-0.08
21.17,-0.32,0.10,-0.08
21.17,-0.36,0.17,-0.06
21.18,-0.40,0.20,-0.04
21.18,-0.42,0.20,-0.03
21.18,-0.45,0.21,-0.02
21.18,-0.48,0.21,-0.01
21.18,-0.50,0.21,-0.01
21.19,-0.53,0.21,0.01
21.19,-0.55,0.20,0.02
21.19,-0.62,0.16,0.05
21.19,-0.62,0.16,0.05
21.19,-0.63,0.12,0.07
21.20,-0.66,0.10,0.07
21.20,-0.68,0.12,0.07
21.20,-0.71,0.17,0.09
21.20,-0.73,0.19,0.11
21.20,-0.74,0.18,0.11
21.21,-0.76,0.15,0.12
21.21,-0.77,0.13,0.13
21.21,-0.80,0.04,0.15
21.21,-0.82,0.06,0.15
21.21,-0.83,0.08,0.15
21.22,-0.86,0.10,0.17
21.22,-0.88,0.11,0.18
21.22,-0.90,0.10,0.19
21.22,-0.93,0.11,0.20
21.22,-0.94,0.13,0.21
21.23,-0.97,0.13,0.22
21.23,-1.00,0.10,0.22
21.23,-1.01,0.07,0.24
21.23,-1.02,0.01,0.26
21.23,-1.02,-0.04,0.26
21.24,-1.05,-0.05,0.27
21.24,-1.08,0.00,0.27
21.24,-1.09,0.02,0.27
21.24,-1.12,0.03,0.28
21.24,-1.13,0.02,0.29
21.25,-1.15,0.02,0.29
21.25,-1.17,0.02,0.30
21.25,-1.21,0.04,0.32
21.25,-1.21,0.04,0.32
21.25,-1.21,0.02,0.32
21.26,-1.22,0.01,0.32
21.26,-1.23,-0.01,0.32
21.26,-1.24,-0.01,0.32
21.26,-1.25,-0.02,0.32
21.26,-1.26,-0.02,0.32
21.27,-1.27,-0.03,0.32
21.27,-1.27,-0.04,0.32
21.27,-1.27,-0.06,0.32
21.27,-1.27,-0.07,0.31
21.27,-1.26,-0.08,0.30
21.28,-1.26,-0.08,0.30
21.28,-1.25,-0.08,0.30
21.28,-1.25,-0.08,0.29
21.28,-1.23,-0.10,0.28
21.28,-1.20,-0.11,0.27
21.29,-1.19,-0.11,0.26
21.29,-1.16,-0.11,0.25
21.29,-1.10,-0.10,0.23
21.29,-1.09,-0.09,0.22
21.29,-1.06,-0.09,0.22
21.30,-1.03,-0.09,0.21
21.30,-0.98,-0.07,0.19
21.30,-0.92,-0.07,0.17
21.30,-0.89,-0.06,0.15
21.30,-0.82,-0.05,0.13
21.31,-0.79,-0.05,0.11
21.31,-0.72,-0.05,0.09
21.31,-0.61,-0.05,0.05
21.31,-0.61,-0.05,0.05
21.31,-0.55,-0.01,0.01
21.32,-0.50,0.01,-0.02
21.32,-0.47,0.02,-0.04
21.32,-0.42,0.03,-0.07
21.32,-0.40,0.03,-0.09
21.32,-0.35,0.06,-0.12
21.33,-0.32,0.07,-0.14
21.33,-0.30,0.09,-0.15
21.33,-0.26,0.12,-0.18
21.33,-0.26,0.12,-0.18
21.33,-0.24,0.15,-0.19
21.34,-0.21,0.17,-0.20
21.34,-0.21,0.19,-0.20
21.34,-0.19,0.21,-0.21
21.34,-0.18,0.22,-0.21
21.34,-0.18,0.24,-0.21
21.35,-0.17,0.27,-0.21
21.35,-0.17,0.28,-0.20
21.35,-0.14,0.15,-0.17
21.35,-0.13,0.07,-0.17
21.35,-0.13,0.11,-0.18
