Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
22.00,-1.79,12.23,1.15
22.00,-1.90,12.24,0.91
22.00,-2.19,12.36,0.47
22.00,-2.19,12.36,0.47
22.00,-2.28,12.39,0.40
22.01,-2.36,12.42,0.32
22.01,-2.57,12.40,0.19
22.01,-2.67,12.40,0.15
22.01,-2.89,12.42,0.04
22.01,-3.14,12.49,-0.09
22.02,-3.28,12.57,-0.17
22.02,-3.57,12.82,-0.23
22.02,-4.06,13.61,-0.06
22.02,-4.06,13.61,-0.06
22.02,-4.10,13.84,0.04
22.03,-4.15,14.06,0.17
22.03,-4.24,14.44,0.53
22.03,-4.24,14.73,1.00
22.03,-4.22,14.81,1.25
22.03,-4.13,14.76,1.68
22.04,-4.14,14.59,1.86
22.04,-4.28,14.07,2.14
22.04,-4.50,13.08,2.35
22.04,-4.50,12.90,2.35
22.04,-4.49,12.90,2.33
22.05,-4.49,12.62,2.31
22.05,-4.48,12.51,2.20
22.05,-4.51,12.32,2.09
22.05,-4.52,12.24,2.04
22.05,-4.57,12.18,1.93
22.06,-4.64,12.19,1.81
22.06,-4.69,12.20,1.75
22.06,-4.79,12.28,1.55
22.06,-4.79,12.28,1.55
22.06,-4.79,12.30,1.52
22.07,-4.81,12.39,1.46
22.07,-4.79,12.43,1.41
22.07,-4.75,12.43,1.29
22.07,-4.71,12.42,1.24
22.07,-4.62,12.39,1.13
22.08,-4.50,12.34,1.02
22.08,-4.42,12.32,0.96
22.08,-3.95,12.22,0.73
22.08,-3.95,12.22,0.73
22.08,-3.83,12.17,0.70
22.09,-3.69,12.12,0.66
22.09,-3.58,12.06,0.61
22.09,-3.30,11.92,0.51
22.09,-2.95,11.82,0.37
22.09,-2.77,11.77,0.31
22.10,-2.41,11.71,0.14
22.10,-2.26,11.69,0.05
22.10,-1.66,11.50,-0.35
22.10,-1.52,11.44,-0.47
22.10,-1.52,11.44,-0.47
22.11,-1.26,11.37,-0.72
22.11,-1.14,11.36,-0.86
22.11,-0.91,11.38,-1.13
22.11,-0.66,11.47,-1.37
22.11,-0.52,11.53,-1.47
22.12,-0.30,11.72,-1.63
22.12,-0.19,11.91,-1.74
22.12,0.09,12.32,-1.72
22.12,0.11,12.49,-1.67
22.12,0.11,12.49,-1.67
22.13,0.13,12.83,-1.50
22.13,0.18,13.14,-1.34
22.13,0.21,13.33,-1.25
22.13,0.28,13.77,-0.98
22.13,0.34,13.94,-0.83
22.14,0.37,14.25,-0.43
22.14,0.33,14.57,-0.03
22.14,0.44,14.97,0.64
22.14,0.54,15.12,0.90
22.14,0.54,15.21,0.90
22.15,0.71,15.25,1.36
22.15,0.86,15.30,1.76
22.15,0.93,15.26,1.96
22.15,1.04,15.19,2.37
22.15,1.10,15.07,2.77
22.16,1.16,14.98,2.96
22.16,1.28,14.73,3.30
22.16,1.28,14.35,3.81
22.16,1.28,14.35,3.81
22.16,1.28,14.24,3.81
22.17,1.20,14.12,3.93
22.17,0.97,13.84,3.99
22.17,0.82,13.72,4.00
22.17,0.50,13.42,3.93
22.17,0.17,13.01,3.67
22.18,0.02,12.82,3.51
22.18,-0.33,12.54,3.14
22.18,-1.35,11.94,2.25
22.18,-1.60,11.77,2.04
22.18,-1.60,11.77,2.04
22.19,-1.83,11.63,1.84
22.19,-2.24,11.43,1.41
22.19,-2.67,11.25,1.00
22.19,-2.90,11.16,0.85
22.19,-3.28,10.96,0.48
22.20,-3.44,10.85,0.30
22.20,-3.72,10.71,0.02
22.20,-4.36,10.39,-0.51
22.20,-4.36,10.39,-0.51
22.20,-4.47,10.35,-0.61
22.21,-4.53,10.30,-0.72
22.21,-4.59,10.20,-0.95
22.21,-4.70,10.20,-0.98
22.21,-4.75,10.17,-1.02
22.21,-4.75,10.04,-1.12
22.22,-4.73,10.01,-1.11
22.22,-4.71,9.95,-1.07
22.22,-4.24,9.78,-0.95
22.22,-4.24,9.78,-0.95
22.22,-4.14,9.80,-0.89
22.23,-4.01,9.74,-0.84
22.23,-3.94,9.68,-0.81
22.23,-3.72,9.59,-0.77
22.23,-3.64,9.55,-0.73
22.23,-3.41,9.46,-0.68
22.24,-3.14,9.37,-0.70
22.24,-3.00,9.18,-0.78
22.24,-3.36,8.86,-0.79
22.24,-3.36,8.86,-0.79
22.24,-3.39,8.80,-0.78
22.25,-3.28,8.74,-0.70
22.25,-3.09,8.69,-0.74
22.25,-2.96,8.75,-0.74
22.25,-3.11,8.80,-0.77
22.25,-3.34,8.78,-0.84
22.26,-3.41,8.68,-0.86
22.26,-3.37,8.65,-0.84
22.26,-3.13,8.33,-0.87
22.26,-2.95,8.26,-0.86
22.26,-2.95,8.26,-0.86
22.27,-3.22,8.21,-0.82
22.27,-3.42,8.16,-0.82
22.27,-3.61,8.06,-0.79
22.27,-3.54,7.92,-0.67
22.27,-3.46,7.81,-0.61
22.28,-3.29,7.54,-0.55
22.28,-3.24,7.42,-0.54
22.28,-2.78,6.91,-0.40
22.28,-2.78,6.81,-0.42
22.28,-2.75,6.81,-0.42
22.29,-2.75,6.74,-0.45
22.29,-2.74,6.62,-0.50
22.29,-2.71,6.53,-0.56
22.29,-2.26,6.30,-1.03
22.29,-2.49,6.47,-0.99
22.30,-3.08,6.22,-1.05
22.30,-3.32,5.77,-0.97
22.30,-2.93,5.48,-0.88
22.30,-2.79,5.44,-0.89
22.30,-2.79,5.44,-0.89
22.31,-2.65,5.44,-0.98
22.31,-2.62,5.45,-1.12
22.31,-2.63,5.47,-1.22
22.31,-2.71,5.47,-1.40
22.31,-2.75,5.41,-1.46
22.32,-2.74,5.24,-1.51
22.32,-2.73,5.09,-1.52
22.32,-2.39,4.76,-1.63
22.32,-2.39,4.76,-1.63
22.32,-2.45,4.66,-1.87
22.33,-2.58,4.83,-2.04
22.33,-3.20,4.93,-1.82
22.33,-3.43,4.78,-1.68
22.33,-3.50,4.47,-1.38
22.33,-3.09,4.21,-1.21
22.34,-2.82,4.09,-1.20
22.34,-2.63,4.00,-1.12
22.34,-2.69,3.96,-1.17
22.34,-2.69,3.96,-1.17
22.34,-2.77,3.96,-1.16
22.35,-2.83,3.92,-1.16
22.35,-2.80,3.88,-1.18
22.35,-2.82,3.92,-1.15
22.35,-2.89,3.97,-1.12
22.35,-2.61,3.69,-1.61
22.36,-2.48,3.84,-1.75
22.36,-2.90,4.16,-1.20
22.36,-2.82,3.73,-0.78
22.36,-2.82,3.73,-0.78
22.36,-2.54,3.58,-0.78
22.37,-2.28,3.53,-0.69
22.37,-1.94,3.55,-0.62
22.37,-1.68,3.61,-0.61
22.37,-1.55,3.64,-0.61
22.37,-1.38,3.61,-0.72
22.38,-1.30,3.64,-0.68
22.38,-1.26,3.68,-0.62
22.38,-0.85,3.64,-0.45
22.38,-0.85,3.64,-0.45
22.38,-0.85,3.64,-0.45
22.39,-0.74,3.65,-0.45
22.39,-0.54,3.63,-0.47
22.39,-0.59,3.51,-0.37
22.39,-0.63,3.44,-0.36
22.39,-0.64,3.27,-0.53
22.40,-0.36,3.38,-0.43
22.40,-0.31,3.44,-0.43
22.40,-0.14,3.52,-0.20
22.40,-0.14,3.53,-0.16
22.40,-0.15,3.53,-0.16
22.41,-0.16,3.46,-0.17
22.41,-0.16,3.41,-0.17
22.41,-0.17,3.25,-0.31
22.41,-0.13,3.17,-0.53
22.41,0.14,3.25,-0.42
22.42,-0.08,3.20,-0.14
22.42,-0.30,3.21,-0.02
22.42,-0.34,3.37,0.05
22.42,-0.34,3.37,0.05
22.42,-0.40,3.41,0.06
22.43,-0.57,3.49,-0.02
22.43,-0.63,3.51,-0.12
22.43,-0.80,3.56,-0.42
22.43,-1.19,3.51,-0.80
22.43,-1.26,3.54,-0.91
22.44,-1.41,3.67,-1.18
22.44,-1.53,3.74,-1.31
22.44,-2.08,4.43,-2.21
22.44,-2.30,4.72,-2.31
22.44,-2.30,4.72,-2.31
22.45,-2.69,4.38,-2.41
22.45,-3.00,4.20,-2.44
22.45,-3.35,4.24,-2.19
22.45,-3.34,4.68,-2.22
22.45,-3.31,5.00,-2.35
22.46,-3.43,5.61,-2.80
22.46,-3.27,6.24,-3.33
22.46,-4.46,6.92,-3.26
22.46,-4.46,6.92,-3.26
22.46,-4.46,6.92,-3.26
22.47,-4.84,7.44,-3.18
22.47,-5.09,8.13,-3.27
22.47,-5.11,8.48,-3.42
22.47,-5.07,9.21,-3.66
22.47,-5.13,9.56,-3.79
22.48,-5.29,10.09,-4.19
22.48,-5.34,10.90,-4.33
22.48,-6.46,12.71,-4.60
22.48,-6.46,12.71,-4.60
22.48,-6.54,13.13,-4.75
22.49,-6.60,13.54,-4.96
22.49,-7.37,14.25,-4.97
22.49,-7.85,14.63,-4.93
22.49,-8.71,15.41,-4.86
22.49,-9.03,16.18,-4.81
22.50,-9.55,16.56,-4.84
22.50,-10.05,17.29,-4.86
22.50,-10.57,18.29,-4.85
22.50,-10.57,18.29,-4.85
22.50,-10.80,18.39,-4.87
22.51,-11.03,18.45,-4.87
22.51,-11.40,18.47,-4.99
22.51,-11.55,18.40,-5.08
22.51,-11.73,18.17,-5.34
22.51,-11.91,17.81,-5.60
22.52,-11.97,17.59,-5.71
22.52,-11.96,17.04,-5.87
22.52,-11.79,15.69,-5.86
22.52,-11.79,15.69,-5.86
22.52,-11.72,15.33,-5.83
22.53,-11.65,14.97,-5.78
22.53,-11.53,14.24,-5.59
22.53,-11.37,13.48,-5.40
22.53,-11.20,13.15,-5.27
22.53,-10.73,12.48,-5.06
22.54,-10.49,12.15,-5.02
22.54,-9.84,11.57,-5.09
22.54,-9.44,10.20,-4.87
22.54,-9.44,10.20,-4.87
22.54,-9.34,9.85,-4.85
22.55,-9.25,9.37,-5.06
22.55,-8.46,8.86,-5.28
22.55,-7.97,8.62,-5.48
22.55,-7.58,8.49,-5.60
22.55,-7.35,8.03,-4.87
22.56,-7.47,7.70,-4.63
22.56,-7.39,7.13,-4.32
22.56,-5.86,6.79,-4.23
22.56,-5.86,6.79,-4.23
22.56,-5.66,6.73,-4.12
22.57,-5.31,6.58,-3.91
22.57,-5.14,6.53,-3.80
22.57,-4.81,6.59,-3.59
22.57,-4.54,6.84,-3.63
22.57,-4.23,7.22,-3.49
22.58,-4.38,7.23,-3.09
22.58,-4.71,7.24,-3.00
22.58,-4.66,8.54,-2.46
22.58,-4.66,8.54,-2.46
22.58,-4.66,8.54,-2.46
22.59,-4.53,9.46,-1.89
22.59,-4.59,9.88,-1.61
22.59,-4.80,10.60,-1.16
22.59,-4.94,11.12,-0.96
22.59,-5.17,11.33,-0.66
22.60,-5.20,11.67,-0.48
22.60,-5.17,11.82,-0.42
22.60,-4.99,12.21,-0.33
22.60,-4.99,12.21,-0.33
22.60,-4.90,12.28,-0.34
22.61,-4.68,12.47,-0.40
22.61,-4.56,12.57,-0.44
22.61,-4.35,12.79,-0.48
22.61,-4.25,12.99,-0.51
22.61,-4.23,13.08,-0.50
22.62,-4.20,13.30,-0.52
22.62,-4.19,13.44,-0.54
22.62,-4.23,14.07,-0.63
22.62,-4.29,14.22,-0.67
22.62,-4.29,14.22,-0.67
22.63,-4.41,14.53,-0.72
22.63,-4.46,14.84,-0.73
22.63,-4.57,14.97,-0.72
22.63,-4.67,15.19,-0.67
22.63,-4.76,15.29,-0.65
22.64,-4.96,15.45,-0.65
22.64,-5.03,15.60,-0.68
22.64,-4.90,15.88,-0.93
22.64,-4.90,15.88,-0.93
22.64,-4.90,15.88,-0.93
22.65,-4.66,15.97,-1.17
22.65,-4.47,15.96,-1.40
22.65,-4.39,15.92,-1.57
