Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
19.00,-3.26,10.00,-1.83
19.00,-3.30,9.96,-1.84
19.00,-3.33,9.91,-1.82
19.00,-3.32,9.87,-1.71
19.00,-3.25,9.84,-1.66
19.01,-3.27,9.78,-1.68
19.01,-3.28,9.77,-1.70
19.01,-3.26,9.74,-1.68
19.01,-3.27,9.68,-1.72
19.01,-3.27,9.67,-1.72
19.02,-3.26,9.58,-1.83
19.02,-3.26,9.58,-1.83
19.02,-3.18,9.57,-1.93
19.02,-3.10,9.59,-1.98
19.02,-3.06,9.60,-1.98
19.03,-3.02,9.61,-1.93
19.03,-3.03,9.63,-1.91
19.03,-3.01,9.67,-1.90
19.03,-3.06,9.69,-1.92
19.03,-3.04,9.69,-1.90
19.04,-3.00,9.64,-1.82
19.04,-2.99,9.61,-1.82
19.04,-2.99,9.57,-1.80
19.04,-2.98,9.56,-1.78
19.04,-3.00,9.52,-1.77
19.05,-3.05,9.47,-1.77
19.05,-3.04,9.42,-1.81
19.05,-3.03,9.40,-1.83
19.05,-2.98,9.37,-1.82
19.05,-2.97,9.35,-1.81
19.06,-2.90,9.29,-1.73
19.06,-2.89,9.27,-1.73
19.06,-2.88,9.23,-1.74
19.06,-2.84,9.16,-1.77
19.06,-2.83,9.14,-1.80
19.07,-2.86,9.09,-1.81
19.07,-2.80,9.08,-1.77
19.07,-2.78,9.05,-1.75
19.07,-2.72,9.00,-1.70
19.07,-2.71,9.00,-1.60
19.08,-2.72,9.01,-1.50
19.08,-2.71,9.02,-1.46
19.08,-2.73,9.04,-1.40
19.08,-2.82,9.05,-1.30
19.08,-2.86,9.13,-1.26
19.09,-2.88,9.18,-1.20
19.09,-2.83,9.31,-1.11
19.09,-2.84,9.29,-1.17
19.09,-2.98,9.21,-1.27
19.09,-3.16,9.17,-1.05
19.10,-3.20,9.11,-0.97
19.10,-3.20,9.11,-0.97
19.10,-3.17,9.13,-0.94
19.10,-3.05,9.15,-0.84
19.10,-2.91,9.20,-0.80
19.11,-2.83,9.24,-0.82
19.11,-2.72,9.29,-0.86
19.11,-2.63,9.36,-0.85
19.11,-2.60,9.40,-0.83
19.11,-2.58,9.45,-0.75
19.12,-2.60,9.51,-0.64
19.12,-2.61,9.51,-0.64
19.12,-2.64,9.51,-0.64
19.12,-2.65,9.51,-0.64
19.12,-2.61,9.56,-0.70
19.13,-2.58,9.60,-0.70
19.13,-2.50,9.66,-0.66
19.13,-2.42,9.68,-0.72
19.13,-2.39,9.69,-0.76
19.13,-2.32,9.70,-0.83
19.14,-2.15,9.88,-0.87
19.14,-2.15,9.88,-0.87
19.14,-1.93,9.95,-0.95
19.14,-1.87,9.95,-0.97
19.14,-1.77,9.95,-1.06
19.15,-1.83,9.90,-1.13
19.15,-1.83,9.91,-1.11
19.15,-1.78,9.93,-1.00
19.15,-1.75,9.90,-0.98
19.15,-1.66,9.79,-1.03
19.16,-1.68,9.50,-1.27
19.16,-1.68,9.50,-1.27
19.16,-1.61,9.45,-1.28
19.16,-1.56,9.44,-1.26
19.16,-1.46,9.40,-1.23
19.17,-1.39,9.31,-1.23
19.17,-1.42,9.22,-1.26
19.17,-1.47,9.18,-1.24
19.17,-1.45,9.29,-1.08
19.17,-1.41,9.30,-1.07
19.18,-1.54,9.15,-1.12
19.18,-1.54,9.15,-1.12
19.18,-1.65,9.01,-1.19
19.18,-1.72,8.89,-1.20
19.18,-1.75,8.83,-1.14
19.19,-1.75,8.69,-0.94
19.19,-1.77,8.62,-0.91
19.19,-1.73,8.56,-0.89
19.19,-1.67,8.49,-0.86
19.19,-1.66,8.46,-0.86
19.20,-1.61,8.38,-0.82
19.20,-1.61,8.38,-0.76
19.20,-1.62,8.36,-0.71
19.20,-1.61,8.32,-0.69
19.20,-1.64,8.29,-0.69
19.21,-1.73,8.23,-0.70
19.21,-1.88,8.14,-0.72
19.21,-1.93,8.09,-0.74
19.21,-2.04,8.05,-0.77
19.21,-2.08,8.05,-0.77
19.22,-2.13,8.10,-0.75
19.22,-2.15,8.12,-0.74
19.22,-2.15,8.15,-0.72
19.22,-2.18,8.19,-0.66
19.22,-2.18,8.23,-0.59
19.23,-2.22,8.29,-0.45
19.23,-2.22,8.33,-0.31
19.23,-2.23,8.36,-0.25
19.23,-2.21,8.38,-0.13
19.23,-2.19,8.46,-0.10
19.24,-2.13,8.55,0.00
19.24,-2.18,8.56,0.01
19.24,-2.24,8.57,0.02
19.24,-2.35,8.60,0.06
19.24,-2.43,8.58,0.15
19.25,-2.46,8.57,0.18
19.25,-2.46,8.64,0.24
19.25,-2.44,8.69,0.28
19.25,-2.41,8.72,0.30
19.25,-2.41,8.72,0.34
19.26,-2.44,8.68,0.39
19.26,-2.49,8.65,0.40
19.26,-2.57,8.60,0.39
19.26,-2.64,8.45,0.30
19.26,-2.66,8.45,0.28
19.27,-2.64,8.49,0.32
19.27,-2.56,8.52,0.39
19.27,-2.53,8.42,0.39
19.27,-2.51,8.38,0.37
19.27,-2.55,8.30,0.28
19.28,-2.70,8.22,0.20
19.28,-2.70,8.22,0.20
19.28,-2.79,8.21,0.12
19.28,-2.81,8.21,0.07
19.28,-2.95,8.00,-0.23
19.29,-3.04,7.94,-0.33
19.29,-2.85,8.16,-0.29
19.29,-2.55,8.43,-0.13
19.29,-2.43,8.49,-0.06
19.29,-2.43,8.50,0.02
19.30,-2.62,8.50,0.00
19.30,-2.62,8.50,0.00
19.30,-2.68,8.60,0.04
19.30,-2.72,8.65,0.06
19.30,-2.87,8.69,0.06
19.31,-2.91,8.70,0.06
19.31,-2.98,8.72,0.08
19.31,-2.99,8.66,0.03
19.31,-3.08,8.53,-0.16
19.31,-3.17,8.44,-0.37
19.32,-3.02,8.81,0.00
19.32,-3.02,8.81,0.00
19.32,-2.99,8.86,0.23
19.32,-3.05,8.85,0.24
19.32,-3.17,8.81,0.20
19.33,-3.28,8.83,0.16
19.33,-3.32,8.85,0.13
19.33,-3.37,8.92,0.09
19.33,-3.40,8.95,0.07
19.33,-3.44,9.00,0.03
19.34,-3.48,9.07,0.01
19.34,-3.48,9.07,0.01
19.34,-3.46,9.14,0.02
19.34,-3.40,9.22,0.03
19.34,-3.36,9.24,0.03
19.35,-3.34,9.25,0.04
19.35,-3.40,9.27,0.07
19.35,-3.45,9.29,0.14
19.35,-3.27,9.35,0.20
19.35,-3.16,9.39,0.23
19.36,-2.92,9.47,0.24
19.36,-2.92,9.47,0.24
19.36,-2.84,9.47,0.22
19.36,-2.86,9.44,0.23
19.36,-2.88,9.42,0.24
19.37,-2.91,9.45,0.29
