Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
24.35,-0.33,-0.10,-0.07
24.35,-0.32,-0.09,-0.08
24.36,-0.30,-0.08,-0.08
24.36,-0.30,-0.07,-0.08
24.36,-0.28,-0.05,-0.09
24.36,-0.27,-0.05,-0.10
24.36,-0.26,-0.04,-0.10
24.37,-0.25,-0.03,-0.10
24.37,-0.25,-0.02,-0.11
24.37,-0.24,-0.01,-0.12
24.37,-0.24,0.00,-0.13
24.37,-0.24,0.01,-0.13
24.38,-0.24,0.02,-0.14
24.38,-0.25,0.04,-0.14
24.38,-0.25,0.05,-0.15
24.38,-0.25,0.05,-0.15
24.38,-0.26,0.06,-0.15
24.39,-0.26,0.07,-0.16
24.39,-0.27,0.08,-0.16
24.39,-0.28,0.09,-0.16
24.39,-0.29,0.09,-0.16
24.39,-0.30,0.10,-0.16
24.40,-0.31,0.10,-0.17
24.40,-0.33,0.11,-0.16
24.40,-0.36,0.10,-0.16
24.40,-0.36,0.10,-0.16
24.40,-0.38,0.11,-0.16
24.41,-0.39,0.11,-0.15
24.41,-0.41,0.10,-0.15
24.41,-0.42,0.11,-0.15
24.41,-0.44,0.11,-0.14
24.41,-0.46,0.12,-0.13
24.42,-0.47,0.12,-0.13
24.42,-0.49,0.13,-0.12
24.42,-0.51,0.14,-0.11
24.42,-0.52,0.14,-0.11
24.42,-0.54,0.15,-0.10
24.43,-0.55,0.16,-0.10
24.43,-0.58,0.17,-0.08
24.43,-0.59,0.18,-0.08
24.43,-0.62,0.20,-0.06
24.43,-0.65,0.22,-0.05
24.44,-0.67,0.22,-0.04
24.44,-0.71,0.24,-0.02
24.44,-0.75,0.26,-0.01
24.44,-0.77,0.26,0.00
24.44,-0.81,0.27,0.02
24.45,-0.83,0.28,0.03
24.45,-0.87,0.28,0.04
24.45,-0.91,0.28,0.07
24.45,-0.93,0.27,0.08
24.45,-0.97,0.27,0.10
24.46,-0.99,0.26,0.11
24.46,-1.02,0.24,0.12
24.46,-1.05,0.20,0.13
24.46,-1.05,0.20,0.13
24.46,-1.07,0.16,0.13
24.47,-1.07,0.14,0.13
24.47,-1.08,0.10,0.13
24.47,-1.08,0.06,0.11
24.47,-1.07,0.04,0.11
24.47,-1.07,-0.01,0.10
24.48,-1.06,-0.05,0.08
24.48,-1.05,-0.07,0.07
24.48,-1.04,-0.14,0.06
24.48,-1.04,-0.14,0.06
24.48,-1.03,-0.19,0.05
24.49,-1.02,-0.23,0.04
24.49,-1.02,-0.26,0.04
24.49,-1.02,-0.30,0.04
24.49,-1.02,-0.33,0.04
24.49,-1.02,-0.36,0.04
24.50,-1.03,-0.41,0.05
24.50,-1.03,-0.43,0.05
24.50,-1.05,-0.48,0.06
24.50,-1.05,-0.48,0.07
24.50,-1.06,-0.51,0.07
24.51,-1.06,-0.55,0.08
24.51,-1.06,-0.57,0.08
24.51,-1.07,-0.61,0.08
