Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
28.27,-2.55,9.40,0.07
28.27,-1.76,9.55,-0.36
28.27,-1.57,9.58,-0.46
28.28,-1.57,9.58,-0.46
28.28,-1.19,9.60,-0.62
28.28,-1.02,9.62,-0.69
28.28,-0.70,9.64,-0.75
28.28,-0.54,9.64,-0.77
28.29,-0.23,9.62,-0.76
28.29,0.05,9.61,-0.70
28.29,0.17,9.60,-0.65
28.29,0.84,9.65,-0.22
28.29,0.84,9.65,-0.22
28.30,0.84,9.65,-0.22
28.30,1.10,9.69,0.04
28.30,1.20,9.73,0.18
28.30,1.39,9.82,0.46
28.30,1.47,9.91,0.74
28.31,1.65,9.95,0.89
28.31,1.87,10.00,1.17
28.31,1.94,10.00,1.31
28.31,2.06,10.08,1.69
28.31,2.05,10.11,1.76
28.32,2.05,10.11,1.76
28.32,2.02,10.17,1.90
28.32,1.98,10.22,1.97
28.32,1.91,10.33,2.04
28.32,1.83,10.46,2.02
28.33,1.78,10.51,1.98
28.33,1.70,10.59,1.86
28.33,1.65,10.62,1.79
28.33,1.19,10.76,1.48
28.33,1.19,10.76,1.48
28.34,1.19,10.76,1.48
28.34,0.99,10.87,1.44
28.34,0.88,11.03,1.42
28.34,0.69,11.12,1.41
28.34,0.49,11.32,1.42
28.35,0.38,11.45,1.44
28.35,0.18,11.72,1.45
28.35,0.02,12.03,1.40
28.35,-0.35,12.43,1.35
28.35,-0.48,12.57,1.32
28.36,-0.48,12.57,1.32
28.36,-0.74,12.81,1.27
28.36,-1.09,12.99,1.30
28.36,-1.28,13.07,1.36
28.36,-1.58,13.22,1.56
28.37,-1.65,13.32,1.69
28.37,-1.71,13.59,2.04
28.37,-1.69,13.88,2.53
28.37,-1.64,14.44,3.57
28.37,-1.64,14.44,3.57
28.38,-1.64,14.56,3.80
28.38,-1.65,14.68,4.01
28.38,-1.68,14.96,4.35
28.38,-1.68,15.12,4.46
28.38,-1.63,15.52,4.57
28.39,-1.57,15.98,4.47
28.39,-1.53,16.27,4.36
28.39,-1.41,16.97,4.02
28.39,-0.97,18.08,2.79
28.39,-0.84,18.28,2.38
28.40,-0.84,18.28,2.38
28.40,-0.71,18.43,1.95
28.40,-0.57,18.58,1.09
28.40,-0.54,18.53,0.70
28.40,-0.51,18.46,0.03
28.41,-0.42,18.19,-0.48
28.41,-0.38,18.03,-0.67
28.41,-0.34,17.68,-0.93
28.41,-0.29,17.05,-1.08
28.41,-0.29,17.05,-1.08
28.42,-0.24,16.89,-1.05
28.42,-0.15,16.73,-1.01
28.42,0.18,16.46,-0.95
28.42,0.62,16.21,-0.91
28.42,0.84,16.06,-0.90
28.43,1.13,15.70,-0.88
28.43,1.27,15.54,-0.86
28.43,1.49,15.19,-0.88
28.43,1.87,14.33,-1.09
28.43,1.87,14.33,-1.09
28.44,1.98,14.12,-1.21
28.44,2.08,13.76,-1.41
28.44,2.25,13.56,-1.50
28.44,2.41,13.16,-1.66
28.44,2.46,12.96,-1.74
28.45,2.52,12.54,-1.89
28.45,2.65,12.16,-2.00
28.45,2.68,11.98,-2.04
28.45,2.41,11.46,-1.99
28.45,2.26,11.38,-1.94
28.46,2.26,11.38,-1.94
28.46,1.80,11.19,-1.89
28.46,1.46,11.04,-1.87
28.46,0.57,10.74,-1.79
28.46,0.13,10.62,-1.70
28.47,-0.71,10.41,-1.32
28.47,-1.49,10.25,-0.76
28.47,-1.83,10.17,-0.50
28.47,-2.85,9.81,0.55
28.47,-2.85,9.81,0.55
28.48,-2.99,9.71,0.77
28.48,-3.11,9.52,1.16
28.48,-3.09,9.46,1.32
28.48,-3.04,9.39,1.53
28.48,-3.00,9.36,1.58
28.49,-2.91,9.34,1.60
28.49,-2.92,9.26,1.53
28.49,-2.94,9.23,1.48
28.49,-3.28,9.02,0.89
28.49,-3.28,9.02,0.89
28.50,-3.38,8.97,0.74
28.50,-3.48,8.93,0.59
28.50,-3.58,8.88,0.42
28.50,-3.79,8.82,0.10
28.50,-4.02,8.82,-0.21
28.51,-4.09,8.83,-0.35
28.51,-4.18,8.80,-0.54
28.51,-4.17,8.75,-0.54
28.51,-3.50,8.63,-0.27
