Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
30.06,-0.52,9.22,-0.90
30.06,-0.55,9.22,-0.85
30.06,-0.57,9.20,-0.78
30.07,-0.57,9.22,-0.80
30.07,-0.57,9.26,-0.80
30.07,-0.59,9.37,-0.77
30.07,-0.57,9.43,-0.76
30.07,-0.52,9.54,-0.74
30.08,-0.67,9.75,-0.74
30.08,-0.67,9.75,-0.74
30.08,-0.69,9.80,-0.73
30.08,-0.65,9.85,-0.73
30.08,-0.56,9.91,-0.74
30.09,-0.53,9.92,-0.71
30.09,-0.53,9.91,-0.71
30.09,-0.54,9.83,-0.70
30.09,-0.63,9.80,-0.70
30.09,-0.69,9.79,-0.68
30.10,-1.00,9.88,-0.53
30.10,-1.00,9.88,-0.53
30.10,-1.11,9.94,-0.46
30.10,-1.30,10.09,-0.29
30.10,-1.42,10.14,-0.21
30.11,-1.67,10.25,-0.09
30.11,-1.77,10.33,0.00
30.11,-1.94,10.52,0.24
30.11,-1.98,10.68,0.44
30.11,-1.98,10.75,0.51
30.12,-1.91,10.98,0.77
30.12,-1.89,10.98,0.74
30.12,-1.89,10.98,0.74
30.12,-1.82,10.99,0.62
30.12,-1.75,11.01,0.56
30.13,-1.63,11.01,0.52
30.13,-1.49,10.90,0.47
30.13,-1.41,10.83,0.43
30.13,-1.21,10.72,0.35
30.13,-1.11,10.66,0.31
30.14,-0.72,10.24,0.10
30.14,-0.72,10.24,0.10
30.14,-0.69,10.14,0.02
30.14,-0.67,10.06,-0.04
30.14,-0.70,10.00,-0.07
30.15,-0.83,9.94,-0.04
30.15,-0.73,9.88,0.09
30.15,-0.64,9.85,0.13
30.15,-0.44,9.83,0.22
30.15,-0.37,9.78,0.23
30.16,-0.19,9.73,0.26
30.16,-0.18,9.73,0.25
30.16,-0.18,9.73,0.25
30.16,-0.21,9.71,0.17
30.16,-0.24,9.66,0.04
30.17,-0.28,9.65,-0.01
30.17,-0.38,9.66,-0.11
30.17,-0.47,9.67,-0.16
30.17,-0.67,9.69,-0.27
30.17,-0.80,9.75,-0.42
30.18,-0.97,9.91,-0.57
30.18,-1.03,9.99,-0.56
30.18,-1.03,9.99,-0.56
30.18,-1.13,10.13,-0.44
30.18,-1.22,10.26,-0.30
30.19,-1.28,10.31,-0.27
30.19,-1.37,10.40,-0.23
30.19,-1.41,10.53,-0.15
30.19,-1.42,10.60,-0.09
30.19,-1.49,10.69,-0.01
30.20,-1.56,10.94,0.20
30.20,-1.56,10.94,0.20
30.20,-1.54,11.02,0.25
30.20,-1.52,11.11,0.29
30.20,-1.50,11.32,0.38
30.21,-1.51,11.43,0.42
30.21,-1.52,11.70,0.43
30.21,-1.56,12.00,0.38
30.21,-1.57,12.15,0.34
30.21,-1.60,12.46,0.25
30.22,-1.58,13.11,0.16
30.22,-1.58,13.11,0.16
30.22,-1.56,13.25,0.18
30.22,-1.55,13.36,0.22
30.22,-1.55,13.55,0.34
30.23,-1.54,13.70,0.46
30.23,-1.55,13.74,0.51
30.23,-1.54,13.76,0.57
30.23,-1.56,13.71,0.54
30.23,-1.56,13.68,0.50
30.24,-1.56,13.76,0.87
30.24,-1.56,13.75,0.91
30.24,-1.56,13.75,0.91
30.24,-1.57,13.73,0.91
30.24,-1.59,13.65,0.86
30.25,-1.63,13.54,0.69
30.25,-1.63,13.46,0.59
30.25,-1.66,13.30,0.40
30.25,-1.67,13.24,0.32
30.25,-1.68,13.06,0.19
30.26,-1.70,12.66,0.10
30.26,-1.71,12.47,-0.01
30.26,-1.71,12.47,-0.01
30.26,-1.73,12.30,-0.12
30.26,-1.74,12.28,-0.03
30.27,-1.74,12.18,0.20
30.27,-1.71,12.13,0.32
30.27,-1.65,12.06,0.52
30.27,-1.58,11.98,0.60
30.27,-1.52,11.95,0.60
