Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
28.27,-0.03,-0.04,0.07
28.27,-0.04,-0.04,0.07
28.28,-0.03,-0.05,0.07
28.28,-0.04,-0.05,0.07
28.28,-0.04,-0.05,0.07
28.28,-0.04,-0.05,0.07
28.28,-0.04,-0.05,0.07
28.29,-0.04,-0.05,0.07
28.29,-0.05,-0.04,0.07
28.29,-0.05,-0.03,0.07
28.29,-0.05,-0.03,0.07
28.29,-0.05,-0.02,0.08
28.30,-0.05,-0.03,0.08
28.30,-0.06,-0.02,0.08
28.30,-0.06,-0.03,0.08
28.30,-0.06,-0.02,0.08
28.30,-0.07,-0.02,0.08
28.31,-0.07,-0.01,0.08
28.31,-0.08,-0.01,0.08
28.31,-0.08,0.00,0.08
28.31,-0.08,0.01,0.09
28.31,-0.08,0.01,0.08
28.32,-0.08,0.01,0.08
28.32,-0.09,0.02,0.09
28.32,-0.09,0.02,0.09
28.32,-0.09,0.02,0.09
28.32,-0.10,0.02,0.09
28.33,-0.10,0.02,0.09
28.33,-0.11,0.03,0.10
28.33,-0.10,0.03,0.09
28.33,-0.11,0.03,0.10
28.33,-0.11,0.03,0.09
28.34,-0.11,0.04,0.10
28.34,-0.11,0.04,0.10
28.34,-0.11,0.04,0.10
28.34,-0.11,0.04,0.10
28.34,-0.11,0.04,0.10
28.35,-0.11,0.04,0.10
28.35,-0.11,0.04,0.10
28.35,-0.11,0.04,0.10
28.35,-0.12,0.04,0.10
28.35,-0.11,0.04,0.11
28.36,-0.12,0.03,0.11
28.36,-0.12,0.03,0.11
28.36,-0.11,0.03,0.11
28.36,-0.11,0.03,0.11
28.36,-0.11,0.03,0.11
28.37,-0.11,0.02,0.11
28.37,-0.11,0.02,0.11
28.37,-0.10,0.01,0.11
28.37,-0.10,0.01,0.11
28.37,-0.10,0.01,0.11
28.38,-0.10,0.01,0.11
28.38,-0.09,0.00,0.11
28.38,-0.09,0.00,0.11
28.38,-0.09,-0.01,0.11
28.38,-0.09,-0.02,0.11
28.39,-0.08,-0.02,0.11
28.39,-0.08,-0.02,0.11
28.39,-0.08,-0.03,0.11
28.39,-0.07,-0.03,0.11
28.39,-0.07,-0.04,0.11
28.40,-0.08,-0.05,0.11
28.40,-0.07,-0.05,0.11
28.40,-0.07,-0.05,0.10
28.40,-0.07,-0.06,0.10
28.40,-0.07,-0.06,0.10
28.41,-0.07,-0.06,0.10
28.41,-0.07,-0.07,0.10
28.41,-0.07,-0.07,0.10
28.41,-0.07,-0.07,0.10
28.41,-0.07,-0.08,0.10
28.42,-0.07,-0.08,0.10
28.42,-0.06,-0.08,0.10
28.42,-0.06,-0.08,0.10
28.42,-0.06,-0.09,0.10
28.42,-0.07,-0.09,0.10
28.43,-0.06,-0.09,0.09
28.43,-0.06,-0.09,0.09
28.43,-0.06,-0.09,0.10
28.43,-0.06,-0.09,0.09
28.43,-0.06,-0.08,0.09
28.44,-0.06,-0.08,0.09
28.44,-0.06,-0.08,0.09
28.44,-0.06,-0.08,0.09
